Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00162752",74,16,4,-,2,11,5,26
"S00162753",98,6,-,-,3,6,6,14
"S00162754",113,10,5,-,6,8,7,30
"S00162755",122,10,1,-,-,6,8,22
"S00162756",152,9,3,-,4,11,9,26
"S00162757",157,8,6,1,2,22,24,30
"S00162758",130,7,4,-,14,10,21,30
"S00162759",146,13,3,1,12,9,14,40
"S00162760",87,6,3,-,-,1,10,14
"S00162761",99,11,2,-,3,8,4,31
"S00162762",93,12,5,-,-,11,6,26
"S00162763",154,11,4,2,4,15,9,40
"S00162764",106,16,4,-,5,16,15,31
"S00162765",110,17,1,-,4,10,6,32
"S00162766",72,3,2,-,-,3,-,9
"S00162767",73,6,5,2,5,2,7,17
"S00162768",119,6,1,-,5,8,10,22
"S00162769",143,14,4,-,5,11,12,24
"S00162770",116,5,1,-,2,5,2,16
"S00162771",134,11,4,-,4,8,7,33
"S00162772",78,18,2,-,3,11,6,24
"S00162773",80,15,1,-,2,15,2,22
"S00162774",112,11,1,-,2,18,6,31
"S00162775",121,23,7,-,3,12,8,31
"S00162776",87,11,5,-,2,10,10,26
"S00162777",140,15,3,-,9,28,35,36
"S00162778",167,7,2,1,11,3,9,19
"S00162779",116,12,6,-,4,23,29,40
"S00162780",97,10,-,1,6,8,11,16
"S00162781",136,16,2,-,1,5,6,36
"S00162782",121,11,-,-,5,3,3,26
"S00162783",128,15,7,-,9,25,21,31
"S00162784",120,6,1,1,11,16,13,20
"S00162785",72,10,4,-,6,11,9,19
"S00162786",73,5,2,1,3,7,3,10
"S00162787",82,13,2,-,4,6,3,12
"S00162788",182,12,3,-,12,15,22,43
"S00162789",65,8,6,4,5,8,6,19
"S00162790",68,4,-,-,1,4,7,14
"S00162791",85,8,-,4,9,5,16,13
"S00162792",131,12,4,-,4,9,6,26
"S00162793",75,9,4,2,3,10,7,29
"S00162794",120,8,3,-,4,8,12,38
"S00162795",122,14,-,-,3,12,6,30
"S00162796",125,11,3,1,5,12,6,34
"S00162797",72,5,2,-,6,7,9,18
"S00162798",121,9,4,1,14,18,13,26
"S00162799",121,7,1,-,1,4,4,33
"S00162800",111,13,4,-,3,8,8,33
"S00162801",161,16,4,-,9,8,19,31
"S00162802",153,11,-,-,6,10,9,26
"S00162803",163,23,2,1,8,38,21,42
"S00162804",71,7,4,-,-,7,4,14
"S00162805",67,5,1,-,2,4,5,14
"S00162806",73,12,4,1,3,15,8,27
"S00162807",147,16,1,-,1,12,4,29
"S00162808",137,13,6,3,6,18,17,24
"S00162809",65,6,-,-,1,11,3,11
"S00162810",133,9,5,-,4,3,2,30
"S00162811",129,16,5,1,15,11,30,40
"S00162812",103,12,1,1,4,19,14,28
"S00162813",200,16,5,-,6,14,10,48
"S00162814",82,8,5,-,4,15,8,23
"S00162815",103,8,2,1,4,15,7,25
"S00162816",179,25,4,1,3,12,16,52
"S00162817",130,24,3,1,4,17,2,33
"S00162818",64,4,-,-,7,7,9,15
"S00162819",104,9,6,-,7,10,8,28
"S00162820",65,8,2,-,3,5,6,13
"S00162821",98,8,-,-,5,11,13,13
"S00162822",136,16,4,-,6,17,4,32
"S00162823",92,10,1,-,3,11,7,36
"S00162824",114,12,4,2,1,9,4,25
"S00162825",105,7,2,1,5,7,7,18
"S00162826",169,16,5,3,12,19,17,40
"S00162827",88,7,4,-,9,14,13,23
"S00162828",80,2,5,1,8,13,6,17
"S00162829",91,10,4,-,5,7,1,21
"S00162830",105,13,2,1,2,16,7,36
"S00162831",101,5,-,-,4,9,10,22
"S00162832",117,9,2,-,4,5,9,34
"S00162833",103,13,2,-,3,13,10,34
"S00162834",95,8,2,-,2,20,18,38
"S00162835",80,3,5,-,6,17,10,18
"S00162836",155,8,4,-,9,8,10,39
"S00162837",60,7,2,-,10,8,7,13
"S00162838",113,15,5,-,3,6,10,34
"S00162839",99,18,2,-,4,15,5,33
"S00162840",96,8,2,-,4,11,3,23
"S00162841",114,10,2,-,10,14,19,24
"S00162842",109,14,4,-,6,16,8,34
"S00162843",157,9,3,-,3,11,8,27
"S00162844",105,10,2,-,8,13,3,23
"S00162845",115,12,2,1,-,13,10,26
"S00162846",92,8,2,1,3,10,8,14
"S00162847",124,6,6,-,17,10,19,29
"S00162848",121,9,3,-,7,10,6,30
"S00162849",76,6,-,-,7,7,1,22
"S00162850",95,13,1,-,6,10,7,27
"S00162851",152,19,16,12,26,59,33,64
"S00162852",120,4,3,-,9,15,17,25
"S00162853",154,6,2,-,7,10,8,35
"S00162854",165,7,3,-,14,18,21,21
"S00162855",77,8,3,-,2,11,9,23
"S00162856",105,6,2,-,4,5,14,24
"S00162857",98,8,8,2,9,14,21,23
"S00162858",139,13,4,-,17,16,14,31
"S00162859",89,7,4,-,5,13,13,16
"S00162860",125,5,1,-,6,12,22,25
"S00162861",94,5,1,-,3,12,14,20
"S00162862",86,10,6,-,7,16,9,22
"S00162863",108,12,3,-,2,13,7,25
"S00162864",89,9,3,3,8,17,10,23
"S00162865",111,13,4,-,7,21,13,24
"S00162866",202,11,5,1,12,9,20,40
"S00162867",113,9,2,2,6,18,17,30
"S00162868",129,18,7,-,11,23,21,42
"S00162869",159,7,4,1,10,14,9,26
"S00162870",69,-,2,-,-,4,5,16
"S00162871",90,3,2,-,8,5,6,23
"S00162872",159,7,-,-,7,9,9,29
"S00162873",143,7,4,-,4,4,11,31
"S00162874",98,13,-,-,1,14,8,27
"S00162875",182,18,6,-,6,23,18,44
"S00162876",88,12,-,-,1,12,9,19
"S00162877",131,4,1,-,7,11,12,28
"S00162878",161,17,3,-,12,15,12,34
"S00162879",70,5,1,1,10,22,24,24
"S00162880",86,20,2,-,5,14,10,29
"S00162881",87,10,-,-,5,4,3,19
"S00162882",90,5,2,-,5,6,8,27
"S00162883",84,12,2,3,4,16,13,26
"S00162884",114,4,4,-,7,5,7,22
"S00162885",64,11,3,1,-,10,3,24
"S00162886",163,16,9,-,7,14,10,39
"S00162887",101,10,2,-,4,10,7,26
"S00162888",82,2,-,-,12,13,22,21
"S00162889",164,9,-,1,25,16,25,40
"S00162890",130,11,3,-,9,10,11,23
"S00162891",68,5,3,-,8,6,12,16
"S00162892",117,13,2,-,4,5,8,18
"S00162893",92,11,-,-,5,1,6,15
"S00162894",184,13,4,2,24,17,21,33
"S00162895",196,17,6,-,8,15,19,41
"S00162896",126,7,-,-,3,10,13,30
"S00162897",112,11,2,-,4,10,9,29
"S00162898",141,16,7,-,8,17,13,38
"S00162899",195,12,1,-,7,6,14,33
"S00162900",87,3,-,-,2,4,1,11
"S00162901",65,12,2,-,1,14,2,31
"S00162902",122,10,3,1,2,5,5,23
"S00162903",112,-,2,-,11,7,21,27
"S00162904",182,9,5,-,12,17,21,52
"S00162905",104,9,4,-,4,10,7,19
"S00162906",104,3,-,-,4,5,10,22
"S00162907",88,10,1,-,6,10,10,30
"S00162908",70,14,1,2,3,17,10,22
"S00162909",124,10,2,-,2,9,10,27
"S00162910",94,10,5,-,2,9,6,18
"S00162911",63,3,-,-,3,3,2,9
"S00162912",95,4,-,-,17,5,9,15
"S00162913",133,17,6,-,25,26,20,49
"S00162914",68,8,2,-,-,9,8,17
"S00162915",74,10,3,1,6,23,13,31
"S00162916",109,15,5,-,11,8,13,18
"S00162917",77,4,-,-,2,-,4,14
"S00162918",123,12,2,1,12,10,17,33
"S00162919",113,9,7,-,2,11,9,23
"S00162920",100,11,3,1,9,13,9,30
"S00162921",186,13,5,-,12,5,12,54
"S00162922",127,22,1,-,5,14,10,33
"S00162923",167,20,3,-,7,9,17,30
"S00162924",177,18,4,-,11,14,14,33
"S00162925",128,3,1,-,9,7,11,18
"S00162926",153,14,3,-,7,18,12,37
"S00162927",187,18,7,-,4,14,11,35
"S00162928",125,9,4,-,2,12,4,30
"S00162929",160,15,5,1,2,16,6,43
"S00162930",79,9,3,1,3,7,5,10
"S00162931",130,13,-,-,4,8,7,21
"S00162932",91,12,3,-,2,9,2,16
"S00162933",115,-,3,1,5,12,17,25
"S00162934",182,4,-,-,7,7,13,24
"S00162935",103,6,4,-,4,5,6,22
"S00162936",95,11,2,-,1,10,11,27
"S00162937",96,17,2,1,1,9,9,22
"S00162938",78,12,-,-,5,7,7,18
"S00162939",74,7,2,-,-,11,5,16
"S00162940",64,5,-,-,5,6,4,20
"S00162941",157,10,5,-,6,6,7,25
"S00162942",81,11,-,-,2,1,1,16
"S00162943",98,12,3,-,4,9,2,21
"S00162944",109,10,1,-,3,12,7,29
"S00162945",172,23,1,-,1,9,6,46
"S00162946",185,14,3,-,4,13,14,40
"S00162947",84,10,2,-,5,8,7,17
"S00162948",78,11,3,-,-,4,5,21
"S00162949",115,10,2,-,1,13,12,18
"S00162950",159,11,1,-,7,9,13,32
"S00162951",106,11,-,-,4,7,7,28
"S00162952",73,4,-,-,3,4,5,12
"S00162953",73,6,-,-,2,5,3,13
"S00162954",131,6,1,2,7,17,12,22
"S00162955",121,9,-,-,5,9,8,27
"S00162956",158,16,4,-,4,7,14,41
"S00162957",76,4,5,-,2,7,2,17
"S00162958",174,10,1,-,4,9,2,42
"S00162959",68,8,2,-,5,4,6,17
"S00162960",81,5,3,-,1,5,2,15
"S00162961",87,10,-,-,7,4,4,8
"S00162962",65,5,3,-,-,5,6,10
"S00162963",129,10,1,-,7,4,7,26
"S00162964",71,2,-,-,2,4,10,11
"S00162965",83,5,-,-,2,11,5,24
"S00162966",138,20,3,2,7,14,16,37
"S00162967",72,4,1,-,2,6,3,14
"S00162968",177,8,4,-,10,4,16,25
"S00162969",117,8,1,-,1,3,8,15
"S00162970",78,3,3,1,4,8,7,17
"S00162971",115,13,1,-,6,10,9,25
"S00162972",117,5,2,-,6,14,11,30
"S00162973",124,10,5,-,3,7,12,26
"S00162974",103,9,5,-,6,6,15,20
"S00162975",67,4,1,-,3,4,6,11
"S00162976",100,7,-,-,3,1,7,18
"S00162977",126,11,8,-,4,5,7,25
"S00162978",124,14,8,-,11,15,19,26
"S00162979",72,8,6,-,1,6,7,23
"S00162980",191,18,4,1,7,12,7,39
"S00162981",128,17,2,-,7,20,18,36
"S00162982",88,3,-,-,4,2,4,14
"S00162983",109,4,1,-,10,-,10,21
"S00162984",108,2,-,-,3,1,13,13
"S00162985",85,-,-,-,6,1,10,10
"S00162986",129,13,4,-,5,12,16,26
"S00162987",144,9,1,-,11,9,16,24
"S00162988",97,6,1,-,1,4,8,12
"S00162989",122,9,5,1,9,8,23,26
"S00162990",157,5,2,-,10,10,18,24
"S00162991",122,4,3,-,4,10,16,32
"S00162992",83,4,2,-,2,6,8,15
"S00162993",118,6,-,-,3,5,3,26
"S00162994",107,8,1,-,-,4,10,30
"S00162995",102,11,2,-,6,4,5,23
"S00162996",115,10,1,-,4,8,7,21
"S00162997",124,4,5,-,3,2,10,16
"S00162998",186,21,1,3,7,9,6,39
"S00162999",194,17,10,-,11,38,34,59
"S00163000",78,12,4,-,3,11,10,21
"S00163001",121,9,1,-,8,12,11,26
"S00163002",80,4,1,-,6,3,7,13
"S00163003",105,4,4,-,3,6,5,11
"S00163004",101,5,6,-,4,10,14,23
"S00163005",135,6,-,2,2,12,8,42
"S00163006",92,9,4,-,4,5,6,17
"S00163007",89,4,1,-,7,7,8,15
"S00163008",176,12,5,-,7,15,8,30
"S00163009",180,5,-,1,22,16,19,25
"S00163010",186,21,4,-,11,15,11,27
"S00163011",189,24,5,-,12,11,18,50
"S00163012",141,16,1,-,2,8,6,22
"S00163013",214,16,10,-,6,13,15,40
"S00163014",165,15,1,-,7,8,12,28
"S00163015",66,4,1,1,3,5,5,16
"S00163016",134,9,1,-,6,9,9,27
"S00163017",78,3,4,-,8,11,16,16
"S00163018",145,7,-,1,3,5,6,20
"S00163019",179,11,3,-,5,14,13,42
"S00163020",155,5,1,-,6,3,9,17
"S00163021",125,6,2,-,5,11,17,27
"S00163022",78,2,-,-,4,2,4,16
"S00163023",82,5,1,-,9,11,10,19
"S00163024",171,11,2,-,7,5,12,33
"S00163025",149,12,6,-,-,9,10,33
"S00163026",99,13,2,-,3,8,4,25
"S00163027",125,8,4,1,7,7,14,21
"S00163028",96,7,1,-,3,8,3,19
"S00163029",90,17,3,4,3,10,10,28
"S00163030",141,12,1,-,4,9,16,37
"S00163031",75,7,2,-,3,8,9,15
"S00163032",101,14,4,-,5,12,5,21
"S00163033",79,7,1,-,4,4,8,16
"S00163034",92,4,1,1,8,15,18,17
"S00163035",124,14,1,-,4,19,12,38
"S00163036",144,17,5,-,6,8,5,33
"S00163037",179,19,11,-,7,18,14,39
"S00163038",116,7,6,-,15,19,13,32
"S00163039",107,7,4,-,1,9,3,28
"S00163040",87,13,1,-,1,11,2,19
"S00163041",96,2,1,1,5,8,8,22
"S00163042",125,14,3,-,-,11,16,23
"S00163043",117,10,1,-,1,5,10,31
"S00163044",91,6,3,-,6,13,14,30
"S00163045",120,7,1,-,8,11,16,41
"S00163046",102,14,5,-,4,4,5,24
"S00163047",195,9,-,-,26,17,34,42
"S00163048",108,12,5,-,4,1,4,24
"S00163049",71,3,2,1,10,12,25,18
"S00163050",116,10,2,-,7,5,9,28
"S00163051",123,14,4,2,-,7,9,28
"S00163052",172,14,6,-,9,13,14,38
"S00163053",107,13,7,1,2,6,2,23
"S00163054",160,13,5,-,31,18,36,33
"S00163055",131,4,4,-,15,21,31,43
"S00163056",201,22,2,-,10,15,17,52
"S00163057",108,8,4,-,5,11,9,29
"S00163058",119,10,3,-,5,8,6,28
"S00163059",139,1,-,2,14,12,25,19
"S00163060",97,11,3,-,3,8,14,14
"S00163061",152,4,7,1,6,7,24,29
"S00163062",87,5,-,-,2,2,15,23
"S00163063",124,14,3,1,6,8,12,29
"S00163064",97,4,2,-,10,10,20,22
"S00163065",117,11,-,-,7,11,10,34
"S00163066",60,-,1,-,6,12,19,22
"S00163067",124,4,2,-,8,10,24,24
"S00163068",114,12,5,-,1,12,6,39
"S00163069",123,3,-,-,6,9,13,25
"S00163070",79,-,-,-,14,4,19,12
"S00163071",102,4,3,-,5,12,17,29
"S00163072",98,10,3,-,6,5,7,18
"S00163073",89,5,5,-,16,22,26,32
"S00163074",128,1,1,1,16,10,26,22
"S00163075",167,7,3,-,16,16,45,31
"S00163076",78,5,2,-,17,20,21,15
"S00163077",69,6,3,-,2,7,11,15
"S00163078",91,5,1,1,2,6,11,13
"S00163079",140,8,4,1,11,9,13,41
"S00163080",72,7,1,-,6,6,12,22
"S00163081",89,4,3,-,6,8,12,19
"S00163082",77,5,3,2,6,26,22,24
"S00163083",178,7,4,-,8,9,12,36
"S00163084",127,5,-,-,5,9,9,29
"S00163085",158,15,2,-,6,6,7,36
"S00163086",97,8,3,-,2,10,12,25
"S00163087",148,4,4,-,14,16,37,36
"S00163088",94,9,1,-,2,5,4,24
"S00163089",101,7,3,-,8,14,6,23
"S00163090",71,5,4,-,2,9,11,12
"S00163091",99,5,-,-,9,15,19,31
"S00163092",161,11,3,-,6,10,12,21
"S00163093",137,24,5,1,4,20,15,29
"S00163094",60,6,3,-,4,8,3,10
"S00163095",105,6,3,-,11,20,21,22
"S00163096",164,18,1,1,4,16,12,29
"S00163097",122,6,4,1,11,11,16,25
"S00163098",129,5,-,-,7,6,8,29
"S00163099",100,10,2,-,4,1,4,25
"S00163100",180,22,15,-,2,15,10,44
"S00163101",141,11,1,-,15,17,17,30
"S00163102",174,17,3,-,9,17,19,35
"S00163103",173,9,4,-,7,13,11,39
"S00163104",80,3,1,-,10,6,21,9
"S00163105",119,6,3,1,6,7,16,25
"S00163106",79,4,3,-,6,9,12,19
"S00163107",94,1,-,-,5,8,8,21
"S00163108",177,16,3,-,2,8,9,33
"S00163109",82,4,1,1,22,12,17,21
"S00163110",111,9,7,2,12,23,16,40
"S00163111",126,1,1,-,1,1,4,17
"S00163112",153,8,8,-,7,18,25,38
"S00163113",157,7,4,-,5,8,16,51
"S00163114",70,1,-,-,6,1,8,16
"S00163115",125,24,12,-,6,26,9,40
"S00163116",129,14,5,-,9,16,14,27
"S00163117",65,10,1,1,3,12,14,20
"S00163118",121,6,5,-,4,5,8,28
"S00163119",110,5,3,2,13,12,25,17
"S00163120",155,12,4,-,4,12,26,35
"S00163121",87,14,4,-,5,22,19,25
"S00163122",71,4,4,-,6,17,16,18
"S00163123",156,7,4,3,16,22,34,34
"S00163124",144,11,1,-,3,7,10,18
"S00163125",121,2,2,-,10,16,30,29
"S00163126",81,7,2,-,2,10,8,27
"S00163127",130,12,5,1,22,14,26,20
"S00163128",81,4,2,-,2,8,3,25
"S00163129",125,5,4,-,3,8,5,40
"S00163130",110,6,6,-,9,11,21,16
"S00163131",84,6,4,-,6,5,6,13
"S00163132",149,12,2,-,6,14,6,32
"S00163133",121,6,-,-,4,8,11,26
"S00163134",102,11,5,-,5,8,7,18
"S00163135",69,3,1,-,2,15,17,9
"S00163136",104,6,6,-,7,14,13,26
"S00163137",119,22,12,1,9,32,15,39
"S00163138",120,5,7,1,10,17,27,25
"S00163139",115,7,4,-,6,8,12,21
"S00163140",107,4,4,-,11,12,41,28
"S00163141",148,20,3,2,10,13,13,37
"S00163142",93,4,1,2,6,16,24,17
"S00163143",85,9,-,-,2,10,6,25
"S00163144",62,24,11,1,1,23,6,24
"S00163145",65,3,3,2,8,10,18,14
"S00163146",186,9,4,-,10,11,13,40
"S00163147",149,8,3,-,4,6,16,21
"S00163148",132,8,3,1,4,8,7,27
"S00163149",119,9,3,-,2,14,5,24
"S00163150",120,10,4,-,1,13,6,32
"S00163151",64,4,2,-,-,4,5,18
"S00163152",142,5,-,-,9,4,15,18
"S00163153",154,9,2,-,3,19,17,32
"S00163154",148,14,4,2,8,8,19,28
"S00163155",65,2,2,2,1,5,4,24
"S00163156",77,6,4,-,4,8,17,18
"S00163157",124,15,7,1,6,21,24,34
"S00163158",126,13,5,-,7,14,17,26
"S00163159",122,10,5,-,4,15,23,34
"S00163160",115,8,3,-,2,6,10,20
"S00163161",144,13,2,-,4,11,9,46
"S00163162",109,10,3,-,2,6,24,13
"S00163163",61,3,-,-,-,3,7,11
"S00163164",172,13,3,2,7,11,13,38
"S00163165",106,6,3,-,6,8,15,16
"S00163166",83,7,-,-,4,8,6,25
"S00163167",81,5,-,-,15,14,14,14
"S00163168",132,13,8,-,9,16,18,27
"S00163169",69,9,-,3,5,12,6,20
"S00163170",91,4,-,-,3,4,5,11
"S00163171",153,14,-,-,6,12,11,34
"S00163172",85,6,1,1,4,7,6,21
"S00163173",173,2,1,-,10,4,13,22
"S00163174",98,1,-,-,4,2,6,10
"S00163175",114,13,4,1,17,13,23,32
"S00163176",79,8,1,1,14,12,13,19
"S00163177",192,12,10,2,12,54,53,93
"S00163178",108,5,-,-,3,8,5,22
"S00163179",107,2,3,-,7,7,27,10
"S00163180",96,8,8,2,4,10,6,23
"S00163181",129,13,4,-,5,16,32,33
"S00163182",104,10,2,-,1,11,13,19
"S00163183",154,15,2,-,4,18,6,46
"S00163184",147,18,4,-,6,7,6,23
"S00163185",130,11,9,-,8,14,14,30
"S00163186",76,1,1,1,6,6,17,10
"S00163187",129,19,7,3,5,22,14,41
"S00163188",118,6,2,-,7,4,17,21
"S00163189",70,3,2,-,4,7,18,8
"S00163190",89,11,9,-,6,18,26,14
"S00163191",120,6,5,1,19,4,18,26
"S00163192",77,4,-,-,7,6,11,15
"S00163193",90,6,-,-,3,2,6,23
"S00163194",108,7,3,2,-,12,9,29
"S00163195",68,6,2,-,2,6,5,15
"S00163196",136,12,2,-,19,12,9,31
"S00163197",90,9,2,1,7,11,16,23
"S00163198",136,9,4,-,7,11,7,28
"S00163199",96,4,2,-,7,6,13,19
"S00163200",66,9,1,-,1,14,12,25
"S00163201",109,8,-,-,3,12,18,17
"S00163202",110,13,3,1,7,11,17,23
"S00163203",80,-,1,-,4,2,20,17
"S00163204",93,7,2,-,9,8,28,22
"S00163205",102,1,-,-,4,9,31,27
"S00163206",161,16,3,1,10,13,14,30
"S00163207",123,12,5,-,6,7,5,23
"S00163208",116,13,2,1,7,10,12,28
"S00163209",118,9,10,-,10,18,23,30
"S00163210",76,2,-,-,3,3,4,16
"S00163211",67,6,1,-,4,9,11,14
"S00163212",121,16,4,-,3,11,7,27
"S00163213",106,10,3,-,9,12,19,21
"S00163214",127,16,2,-,3,11,12,39
"S00163215",104,8,2,-,7,10,10,22
"S00163216",95,6,5,-,5,12,13,26
"S00163217",73,1,-,-,5,11,18,11
"S00163218",82,1,-,1,11,7,21,15
"S00163219",124,11,7,2,4,11,6,27
"S00163220",761,21,23,-,101,54,153,151
"S00163221",83,6,9,-,2,9,6,22
"S00163222",136,10,8,-,7,20,22,31
"S00163223",77,27,10,1,1,23,4,26
"S00163224",119,8,1,-,4,9,16,17
"S00163225",126,19,9,-,3,14,10,37
"S00163226",96,6,4,-,6,12,16,27
"S00163227",71,6,3,-,1,1,1,12
"S00163228",120,7,4,-,13,16,19,36
"S00163229",94,7,-,-,12,12,25,24
"S00163230",79,3,1,-,1,6,6,12
"S00163231",109,7,-,-,-,8,10,33
"S00163232",126,12,1,1,3,9,10,27
"S00163233",104,5,3,2,9,14,16,20
"S00163234",100,4,1,-,2,6,6,13
"S00163235",131,5,9,-,9,17,14,36
"S00163236",82,-,1,-,9,6,9,13
"S00163237",103,4,4,-,12,8,13,22
"S00163238",102,11,4,-,5,7,9,23
"S00163239",76,3,2,-,7,4,15,16
"S00163240",70,-,3,-,4,6,16,13
"S00163241",72,11,4,-,6,15,9,25
"S00163242",103,8,4,-,6,10,17,31
"S00163243",109,8,-,-,1,7,7,24
"S00163244",159,14,5,-,17,23,21,32
"S00163245",92,6,1,-,2,8,8,17
"S00163246",86,9,3,-,8,24,18,27
"S00163247",76,-,-,-,7,3,12,15
"S00163248",155,6,4,1,11,4,6,29
"S00163249",132,2,1,1,13,12,24,33
"S00163250",93,3,-,-,5,4,8,21
"S00163251",81,13,4,2,7,18,13,25
"S00163252",114,1,-,-,6,6,6,7
"S00163253",106,3,-,-,13,3,7,10
"S00163254",89,7,1,-,9,12,10,20
"S00163255",94,5,3,-,4,14,13,19
"S00163256",86,3,-,-,9,4,10,13
"S00163257",139,12,5,1,16,28,23,45
"S00163258",121,7,2,-,4,9,9,36
"S00163259",88,10,5,-,1,11,4,26
"S00163260",258,43,13,6,25,46,46,86
"S00163261",71,4,1,-,5,2,11,4
"S00163262",125,5,-,-,6,6,8,27
"S00163263",126,2,3,-,3,19,17,24
"S00163264",74,8,2,-,3,20,7,23
"S00163265",92,5,3,-,9,10,15,24
"S00163266",131,6,1,-,5,4,6,27
"S00163267",134,3,1,-,5,5,18,16
"S00163268",88,4,2,-,2,4,11,15
"S00163269",61,7,5,-,7,4,8,10
"S00163270",146,4,4,-,10,15,22,18
"S00163271",154,6,3,2,10,13,27,27
"S00163272",106,11,-,-,2,7,7,18
"S00163273",90,5,4,-,3,3,20,21
"S00163274",152,15,-,-,8,10,11,32
"S00163275",137,6,1,-,10,20,20,23
"S00163276",77,7,4,-,5,10,5,17
"S00163277",74,6,2,-,3,12,8,24
"S00163278",167,23,9,2,6,20,10,46
"S00163279",140,11,8,1,11,4,27,15
"S00163280",85,11,2,-,1,6,9,32
"S00163281",81,7,2,-,3,3,11,20
"S00163282",136,10,2,-,14,19,23,27
"S00163283",82,8,-,-,2,2,10,14
"S00163284",123,12,9,2,25,18,17,29
"S00163285",92,8,5,1,6,11,11,10
"S00163286",104,2,-,-,6,3,12,14
"S00163287",90,6,4,-,7,3,12,18
"S00163288",126,16,5,-,1,10,6,28
"S00163289",70,5,2,-,5,5,11,10
"S00163290",125,9,6,-,7,16,14,31
"S00163291",107,3,1,-,10,5,12,13
"S00163292",145,16,8,-,8,21,16,43
"S00163293",125,4,-,1,25,12,24,21
"S00163294",126,1,2,-,18,12,17,22
"S00163295",80,-,2,-,8,6,20,11
"S00163296",133,4,1,-,6,6,15,13
"S00163297",73,2,3,-,2,9,8,15
"S00163298",91,14,6,-,20,16,14,33
"S00163299",90,10,2,-,2,8,7,14
"S00163300",62,4,1,-,2,5,6,11
"S00163301",115,6,2,-,4,7,7,20
"S00163302",117,7,2,-,6,3,5,19
"S00163303",172,3,2,1,6,2,8,10
"S00163304",73,4,3,-,5,9,8,13
"S00163305",140,7,6,2,9,19,14,34
"S00163306",83,6,3,1,2,7,11,17
"S00163307",114,10,2,-,5,6,4,22
"S00163308",80,13,5,-,3,18,6,23
"S00163309",108,5,-,-,7,6,8,19
"S00163310",124,10,5,6,23,16,8,33
"S00163311",142,9,3,-,6,5,7,34
"S00163312",142,14,5,-,1,14,11,25
"S00163313",97,6,2,-,5,9,8,28
"S00163314",199,19,10,2,11,19,16,79
"S00163315",152,12,2,-,7,10,14,25
"S00163316",140,21,4,1,4,12,6,25
"S00163317",174,9,4,-,22,11,45,44
"S00163318",76,6,2,2,7,9,10,15
"S00163319",132,5,-,-,2,12,10,22
"S00163320",151,1,-,-,16,6,29,22
"S00163321",167,5,1,1,7,3,8,14
"S00163322",138,2,-,-,7,4,21,25
"S00163323",143,12,1,-,3,12,7,29
"S00163324",154,10,3,-,6,9,5,10
"S00163325",94,6,2,-,3,3,2,8
"S00163326",93,9,3,1,5,22,10,27
"S00163327",148,8,3,-,5,8,15,18
"S00163328",111,16,9,-,-,13,9,36
"S00163329",64,9,3,-,1,6,7,15
"S00163330",153,14,1,-,3,9,15,41
"S00163331",128,12,1,-,9,8,8,25
"S00163332",105,9,2,-,8,11,12,21
"S00163333",71,5,2,-,3,4,11,16
"S00163334",62,3,-,-,3,7,13,14
"S00163335",94,7,2,-,2,6,10,15
"S00163336",89,8,1,-,4,9,3,12
"S00163337",165,9,5,1,12,20,26,32
"S00163338",80,7,4,-,5,10,7,21
"S00163339",161,27,17,1,13,38,25,63
"S00163340",141,7,4,1,15,20,39,30
"S00163341",97,10,5,-,12,13,13,17
"S00163342",81,3,-,-,8,5,17,7
"S00163343",155,3,1,-,8,1,9,30
"S00163344",100,17,5,-,1,10,2,28
"S00163345",137,12,5,-,5,22,19,31
"S00163346",106,5,3,-,10,12,18,28
"S00163347",120,6,3,-,6,19,18,31
"S00163348",169,24,12,2,11,41,29,69
"S00163349",84,17,7,-,1,10,1,29
"S00163350",123,8,1,-,17,13,20,26
"S00163351",78,7,3,-,7,8,5,14
"S00163352",91,10,4,-,2,4,11,15
"S00163353",100,3,-,-,1,5,9,18
"S00163354",106,-,4,1,6,2,5,10
"S00163355",78,8,2,1,8,12,19,24
"S00163356",81,9,1,-,6,17,15,18
"S00163357",99,10,3,-,2,7,6,17
"S00163358",109,2,1,-,8,6,12,14
"S00163359",120,9,5,-,3,11,10,29
"S00163360",113,12,5,-,3,15,3,29
"S00163361",77,7,5,-,9,15,16,15
"S00163362",75,13,2,-,3,6,3,18
"S00163363",182,14,4,-,8,14,16,48
"S00163364",134,7,4,-,3,15,9,31
"S00163365",166,3,-,-,6,7,10,21
"S00163366",126,5,4,1,8,7,13,23
"S00163367",122,11,3,2,9,9,8,32
"S00163368",101,7,1,-,11,14,20,21
"S00163369",221,15,8,1,15,46,61,68
"S00163370",146,15,5,1,6,14,5,39
"S00163371",128,15,6,-,2,15,8,37
"S00163372",133,16,6,-,9,16,8,30
"S00163373",92,6,2,-,4,5,6,11
"S00163374",90,11,1,1,-,10,4,26
"S00163375",135,13,4,1,3,10,3,26
"S00163376",93,6,-,-,12,13,9,21
"S00163377",73,10,-,-,6,7,10,23
"S00163378",60,2,2,1,8,6,14,7
"S00163379",105,7,-,2,9,9,12,29
"S00163380",143,9,4,-,14,11,21,31
