Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV602 - Economic activity of Household Reference Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Household Reference Persons aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Household Reference Persons aged 16 and over,Economically Active (full-time students) - Total,Economically Active (full-time students) - Employee - Total,Economically Active (full-time students) - Employee - Part-time,Economically Active (full-time students) - Employee - Full-time,Economically Active (full-time students) - Self-employed with employees - Total,Economically Active (full-time students) - Self-employed with employees - Part-time,Economically Active (full-time students) - Self-employed with employees - Full-time,Economically Active (full-time students) - Self-employed without employees - Total,Economically Active (full-time students) - Self-employed without employees - Part-time,Economically Active (full-time students) - Self-employed without employees - Full-time,Economically Active (full-time students) - Unemployed - Available for work,Economically Active Full-time student - Total,Economically Active Full-time student - Employee - Total,Economically Active Full-time student - Employee - Part-time,Economically Active full-time student - Employee - Full-time,Economically Active Full-time student - Self-employed with employees - Total,Economically Active Full-time student - Self-employed with employees - Part-time,Economically Active Full-time student - Self-employed with employees - Full-time,Economically Active Full-time student - Self-employed without employees - Total,Economically Active Full-time student - Self-employed without employees - Part-time,Economically Active Full-time student - Self-employed without employees - Full-time,Economically Active Full-time student - Unemployed - Available for work,Economically inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00170694,61,34,28,-,28,7,-,7,3,-,3,-,2,-,-,-,-,-,-,-,-,-,-,25,23,1,-,-,-
S00170695,52,24,20,5,15,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,28,26,-,-,3,-
S00170696,55,32,27,7,20,-,-,-,3,2,1,1,-,-,-,-,-,-,-,-,-,-,-,23,14,-,-,6,2
S00170697,56,28,26,6,20,1,-,1,1,-,1,-,4,4,-,2,-,-,-,-,-,-,-,24,16,-,-,8,-
S00170698,65,43,33,5,31,3,-,3,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,22,21,-,-,1,-
S00170699,71,43,34,5,29,1,-,1,7,-,7,1,-,-,-,-,-,-,-,-,-,-,-,28,23,-,-,5,1
S00170700,73,46,38,8,34,5,-,5,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,27,25,-,1,-,-
S00170701,81,55,43,14,25,2,-,2,5,-,5,2,3,1,-,1,-,-,-,-,-,-,2,24,6,-,-,11,7
S00170702,55,35,28,10,20,1,-,1,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,20,7,-,-,5,3
S00170703,82,48,41,9,28,-,-,-,4,1,5,3,1,-,-,-,-,-,-,1,-,1,-,32,22,-,-,9,2
S00170704,43,22,17,6,11,1,-,1,3,1,2,1,-,-,-,-,-,-,-,-,-,-,-,20,18,-,-,2,1
S00170705,52,13,11,-,10,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,39,24,-,4,11,-
S00170706,48,14,13,2,11,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,28,1,-,5,1
S00170707,50,35,35,9,25,-,-,-,-,-,-,-,2,2,-,2,-,-,-,-,-,-,-,14,7,-,6,1,-
S00170708,42,28,25,12,13,2,-,2,2,-,2,3,-,-,-,-,-,-,-,-,-,-,-,11,3,-,-,7,1
S00170709,71,42,35,10,25,5,-,5,4,-,4,-,2,2,2,-,-,-,-,-,-,-,-,28,24,-,1,3,-
S00170710,61,35,25,4,23,3,2,2,4,-,4,2,-,-,-,-,-,-,-,-,-,-,-,26,21,1,-,2,-
S00170711,50,34,36,5,27,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,15,-,-,-,-
S00170712,44,27,23,2,21,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,13,11,-,1,1,-
S00170713,40,28,25,4,21,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-
S00170714,84,58,53,11,34,-,-,-,8,2,7,1,-,-,-,-,-,-,-,-,-,-,-,30,26,-,1,2,2
S00170715,83,53,52,9,40,2,2,-,5,1,2,-,-,-,-,-,-,-,-,-,-,-,-,30,24,-,-,3,3
S00170716,50,31,26,10,19,-,-,-,3,1,3,1,-,-,-,-,-,-,-,-,-,-,-,18,10,-,2,7,-
S00170717,57,24,18,7,8,-,-,-,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,33,24,-,-,7,1
S00170718,55,40,35,7,28,1,-,1,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,15,13,-,1,1,2
S00170719,65,40,34,7,27,2,-,2,5,4,3,-,1,1,1,-,-,-,-,-,-,-,-,24,16,-,1,4,3
S00170720,42,31,27,3,24,-,-,-,5,-,5,1,-,-,-,-,-,-,-,-,-,-,-,12,9,-,-,1,2
S00170721,52,34,33,8,25,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,-,-,-,-
S00170722,47,33,30,4,26,2,-,2,1,1,-,-,1,1,1,-,-,-,-,-,-,-,-,13,13,-,-,-,-
S00170723,35,26,19,5,10,3,1,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,9,8,-,-,1,-
S00170724,47,30,27,6,21,-,-,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,17,14,1,-,4,-
S00170725,51,39,36,6,30,-,-,-,1,1,-,3,-,-,-,-,-,-,-,-,-,-,-,12,9,-,1,2,-
S00170726,85,64,54,9,42,2,-,2,4,1,3,4,1,1,1,-,-,-,-,-,-,-,-,18,14,-,2,1,-
S00170727,76,64,60,13,43,-,-,-,6,2,5,1,-,-,-,-,-,-,-,-,-,-,-,12,6,1,2,3,-
S00170728,44,32,22,-,22,5,-,5,4,2,3,1,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-
S00170729,53,35,28,3,25,5,-,5,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,18,17,-,-,-,2
S00170730,53,30,29,3,26,-,-,-,5,-,5,-,1,1,-,1,-,-,-,-,-,-,-,20,20,-,-,-,-
S00170731,57,36,33,1,36,2,2,-,2,-,2,-,2,2,-,2,-,-,-,-,-,-,-,20,16,-,1,4,2
S00170732,38,16,13,3,10,-,-,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,22,21,-,-,2,-
S00170733,64,36,31,9,22,2,-,2,3,1,-,-,1,1,-,1,-,-,-,-,-,-,-,27,16,-,-,8,3
S00170734,51,26,20,1,19,4,-,4,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,22,20,-,1,5,1
S00170735,39,21,18,4,14,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,18,16,-,-,-,-
S00170736,49,32,31,7,21,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,17,16,1,-,-,-
S00170737,38,25,14,2,13,3,-,2,8,-,6,1,-,-,-,-,-,-,-,-,-,-,-,11,11,-,-,-,-
S00170738,75,53,47,5,42,3,1,1,2,-,2,1,2,2,-,2,-,-,-,-,-,-,-,21,17,1,-,4,-
S00170739,33,22,18,4,14,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,12,10,-,-,1,-
S00170740,68,41,36,9,26,2,2,-,4,-,4,1,2,2,1,1,-,-,-,-,-,-,-,29,18,-,2,8,4
S00170741,84,55,35,5,30,4,-,1,17,3,14,-,-,-,-,-,-,-,-,-,-,-,-,29,23,4,-,-,1
S00170742,56,34,30,6,24,1,-,1,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,22,13,-,-,1,2
S00170743,28,18,14,1,13,2,-,2,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-
S00170744,61,29,25,2,20,3,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,32,26,-,4,2,-
S00170745,44,31,23,2,21,2,-,2,3,-,3,1,-,-,-,-,-,-,-,-,-,-,-,11,14,-,-,-,1
S00170746,72,55,50,5,45,1,-,1,8,1,7,-,-,-,-,-,-,-,-,-,-,-,-,13,12,-,1,-,-
S00170747,71,58,42,8,32,2,-,2,13,4,9,-,-,-,-,-,-,-,-,-,-,-,-,17,16,-,-,-,-
S00170748,53,41,34,12,23,2,-,2,2,-,1,-,2,2,2,-,-,-,-,-,-,-,-,10,6,-,1,2,-
S00170749,49,26,23,8,15,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,20,18,-,-,2,-
S00170750,64,40,33,4,31,-,-,-,4,2,3,-,-,-,-,-,-,-,-,-,-,-,-,24,19,-,-,2,3
S00170751,54,31,32,10,19,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,20,16,-,1,1,-
S00170752,55,36,29,7,22,1,-,1,5,3,1,1,1,1,1,-,-,-,-,-,-,-,-,18,12,3,-,1,3
S00170753,42,27,19,4,16,-,-,-,5,3,2,2,-,-,-,-,-,-,-,-,-,-,-,15,12,-,1,2,-
S00170754,36,24,22,5,17,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,12,11,-,-,1,-
S00170755,48,32,20,2,17,3,-,3,8,1,6,-,-,-,-,-,-,-,-,-,-,-,-,16,13,-,1,1,1
S00170756,48,36,29,2,27,6,-,6,4,1,2,-,-,-,-,-,-,-,-,-,-,-,-,14,10,-,-,2,-
S00170757,82,48,36,8,26,1,-,1,7,5,2,2,-,-,-,-,-,-,-,-,-,-,-,34,26,1,5,3,1
S00170758,63,38,35,12,24,-,-,-,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,25,18,1,1,-,-
S00170759,57,32,24,8,16,2,-,2,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,24,17,-,2,3,3
S00170760,41,26,24,3,15,-,-,-,4,1,3,1,-,-,-,-,-,-,-,-,-,-,-,14,6,-,-,3,2
S00170761,36,24,22,8,10,-,-,-,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,13,10,-,-,-,4
S00170762,63,50,35,4,31,2,-,2,13,1,9,-,-,-,-,-,-,-,-,-,-,-,-,12,11,-,-,2,1
S00170763,69,37,24,4,20,-,-,-,13,4,9,-,-,-,-,-,-,-,-,-,-,-,-,32,27,-,-,1,1
S00170764,91,64,56,11,44,2,-,2,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,29,25,-,2,1,-
S00170765,76,59,34,5,29,8,1,7,13,5,12,-,-,-,-,-,-,-,-,-,-,-,-,17,16,-,-,1,-
S00170766,65,37,28,6,22,1,-,1,6,1,2,-,-,-,-,-,-,-,-,-,-,-,-,25,21,-,4,4,1
S00170767,62,44,33,3,30,2,-,2,9,1,7,-,1,1,-,1,-,-,-,-,-,-,-,17,13,-,-,3,-
S00170768,70,52,38,5,33,8,1,7,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,18,17,-,2,-,-
S00170769,47,38,30,6,26,-,-,-,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-
S00170770,87,60,47,8,38,7,-,7,10,3,8,-,-,-,-,-,-,-,-,-,-,-,-,27,23,5,-,1,1
S00170771,79,59,49,10,39,-,-,-,6,1,7,2,-,-,-,-,-,-,-,-,-,-,-,21,14,2,1,4,2
S00170772,75,40,31,6,22,1,-,1,4,-,1,1,-,-,-,-,-,-,-,-,-,-,-,38,26,1,7,9,-
S00170773,42,17,13,4,9,-,-,-,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,25,20,-,1,3,1
S00170774,84,53,42,13,25,4,-,4,7,2,5,-,1,1,-,1,-,-,-,-,-,-,-,30,24,-,3,-,-
S00170775,43,25,17,6,11,1,-,1,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,22,18,1,-,2,-
S00170776,41,27,14,4,10,2,-,2,12,6,7,-,-,-,-,-,-,-,-,-,-,-,-,14,13,-,1,-,-
S00170777,93,65,50,5,45,2,1,5,9,4,5,2,1,-,-,-,-,-,-,1,-,1,-,27,25,-,2,-,1
S00170778,63,49,29,7,21,4,-,4,16,4,12,-,-,-,-,-,-,-,-,-,-,-,-,12,10,-,-,1,1
S00170779,89,53,35,4,35,2,-,2,11,3,8,5,-,-,-,-,-,-,-,-,-,-,-,36,27,-,-,8,2
S00170780,65,37,24,2,19,3,-,3,7,2,5,3,2,-,-,-,-,-,-,-,-,-,2,22,24,-,-,2,-
S00170781,36,26,16,6,12,3,-,3,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,17,11,-,2,-,-
S00170782,85,43,29,9,20,5,-,5,7,4,3,4,-,-,-,-,-,-,-,-,-,-,-,48,32,2,-,7,3
S00170783,49,22,15,4,11,1,-,1,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,27,23,-,2,2,1
S00170784,65,42,18,6,13,3,-,3,21,4,16,-,-,-,-,-,-,-,-,-,-,-,-,23,21,-,-,2,-
S00170785,62,29,17,10,4,3,-,3,10,1,9,-,-,-,-,-,-,-,-,-,-,-,-,33,25,1,-,-,1
S00170786,53,27,19,6,13,-,-,-,3,2,4,2,-,1,1,-,-,-,-,-,-,-,2,24,19,-,-,4,2
S00170787,60,37,19,4,15,4,-,4,14,2,12,-,-,-,-,-,-,-,-,-,-,-,-,24,23,-,1,-,-
S00170788,36,29,21,2,21,1,-,1,5,3,1,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,-,-,2
S00170789,37,28,20,5,17,1,-,1,6,4,3,-,-,-,-,-,-,-,-,-,-,-,-,9,6,-,-,5,-
S00170790,67,49,30,1,28,7,-,7,11,1,10,2,-,-,-,-,-,-,-,-,-,-,-,21,15,-,-,-,2
S00170791,79,53,30,6,24,4,-,4,17,4,13,1,-,-,-,-,-,-,-,-,-,-,-,27,24,1,1,1,-
S00170792,76,44,28,4,24,3,-,3,13,4,9,-,1,-,-,-,-,-,-,1,1,-,-,28,27,-,1,-,-
S00170793,50,35,17,1,16,3,-,3,15,4,11,-,-,-,-,-,-,-,-,-,-,-,-,15,15,-,-,-,-
S00170794,64,36,27,7,20,1,-,1,8,5,3,-,-,-,-,-,-,-,-,-,-,-,-,28,21,1,-,3,-
S00170795,51,34,28,6,22,3,-,3,-,-,-,1,1,1,-,1,-,-,-,-,-,-,-,16,16,-,-,-,-
S00170796,40,21,19,1,16,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,19,14,-,4,2,-
S00170797,63,35,22,3,16,5,-,5,12,3,10,-,-,-,-,-,-,-,-,-,-,-,-,24,26,-,1,-,-
S00170798,50,34,18,6,12,1,-,1,15,7,8,-,-,-,-,-,-,-,-,-,-,-,-,12,11,-,-,1,-
S00170799,61,42,28,6,22,4,-,4,9,3,9,1,-,-,-,-,-,-,-,-,-,-,-,19,15,-,-,-,2
S00170800,53,33,26,4,22,-,-,-,4,2,1,4,-,-,-,-,-,-,-,-,-,-,-,20,20,-,-,-,-
S00170801,64,38,31,3,28,2,-,2,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,29,28,-,-,2,-
S00170802,50,31,20,3,17,3,-,3,7,-,7,1,-,-,-,-,-,-,-,-,-,-,-,19,16,-,1,1,1
S00170803,40,32,23,3,20,3,-,3,5,4,3,-,-,-,-,-,-,-,-,-,-,-,-,12,9,-,-,3,-
S00170804,45,28,18,2,16,-,-,-,10,3,7,-,-,-,-,-,-,-,-,-,-,-,-,17,15,2,-,-,-
S00170805,49,38,27,3,24,5,-,5,6,1,5,-,-,-,-,-,-,-,-,-,-,-,-,10,7,2,-,1,1
S00170806,44,29,17,6,8,-,-,-,11,4,10,2,-,-,-,-,-,-,-,-,-,-,-,15,8,-,1,1,3
S00170807,45,23,17,3,11,-,-,-,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,22,19,-,-,2,1
S00170808,49,38,25,1,24,1,1,1,11,3,9,-,-,-,-,-,-,-,-,-,-,-,-,11,10,-,2,-,-
S00170809,54,46,25,5,20,5,2,3,16,7,9,-,-,-,-,-,-,-,-,-,-,-,-,8,6,-,1,-,-
S00170810,58,28,15,4,11,1,-,1,12,5,7,-,-,-,-,-,-,-,-,-,-,-,-,30,30,-,-,-,-
S00170811,77,37,27,7,20,8,-,8,4,2,1,1,-,-,-,-,-,-,-,-,-,-,-,44,39,3,-,2,1
S00170812,68,28,22,3,16,-,-,-,7,2,3,1,-,-,-,-,-,-,-,-,-,-,-,35,31,1,1,-,2
S00170813,60,25,16,2,15,3,-,3,6,4,3,-,-,-,-,-,-,-,-,-,-,-,-,34,34,-,-,-,-
S00170814,81,58,45,9,36,4,-,4,7,2,7,-,1,1,1,-,-,-,-,-,-,-,-,22,17,-,-,4,1
S00170815,53,14,12,-,12,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,36,32,-,-,2,4
S00170816,52,26,21,4,17,2,-,2,3,3,-,-,1,1,1,-,-,-,-,-,-,-,-,26,24,-,-,2,-
S00170817,65,42,32,6,23,3,-,3,8,4,3,-,-,-,-,-,-,-,-,-,-,-,-,23,16,-,-,4,2
S00170818,39,17,12,1,10,3,-,3,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,22,22,-,-,-,-
S00170819,66,32,24,5,19,-,-,-,6,2,7,4,-,-,-,-,-,-,-,-,-,-,-,38,35,-,-,1,-
S00170820,76,52,43,7,36,1,-,1,4,2,4,3,-,-,-,-,-,-,-,-,-,-,-,24,23,-,-,3,-
S00170821,63,46,42,9,33,1,-,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,15,-,2,2,-
S00170822,58,20,17,1,16,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,38,29,-,2,2,2
S00170823,79,44,29,4,25,3,-,3,11,4,7,-,-,-,-,-,-,-,-,-,-,-,-,35,35,-,-,-,-
S00170824,43,27,12,1,11,4,-,4,11,1,11,-,-,-,-,-,-,-,-,-,-,-,-,18,17,-,-,-,1
S00170825,41,25,21,7,14,-,-,-,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,17,17,-,-,-,-
S00170826,52,28,24,3,17,4,1,4,2,-,2,-,1,1,-,1,-,-,-,-,-,-,-,26,26,-,-,-,-
S00170827,61,51,25,6,21,9,-,9,16,8,8,-,1,-,-,-,-,-,-,-,-,-,1,10,6,-,1,1,4
S00170828,80,38,28,8,21,2,-,2,6,3,3,-,2,2,-,2,-,-,-,-,-,-,-,41,35,-,-,3,-
S00170829,80,48,36,8,28,1,1,-,7,2,10,-,-,-,-,-,-,-,-,-,-,-,-,32,30,-,-,1,-
S00170830,47,28,22,6,16,-,-,-,4,2,1,2,2,2,-,2,-,-,-,-,-,-,-,19,13,-,2,5,2
S00170831,54,38,28,4,29,1,-,1,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,15,15,-,1,-,-
S00170832,56,40,32,7,30,2,-,2,7,-,5,1,-,-,-,-,-,-,-,-,-,-,-,12,8,2,-,3,-
S00170833,60,30,25,7,16,-,-,-,5,2,4,-,-,-,-,-,-,-,-,-,-,-,-,30,29,-,-,-,-
S00170834,42,29,18,-,18,4,2,3,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,17,16,-,-,-,1
S00170835,84,26,19,6,14,-,-,-,5,2,3,1,-,-,-,-,-,-,-,-,-,-,-,58,48,1,1,5,3
S00170836,61,36,22,4,18,4,1,3,9,-,8,2,-,-,-,-,-,-,-,-,-,-,-,25,24,-,-,-,1
S00170837,34,19,10,1,7,-,-,-,9,3,6,-,-,-,-,-,-,-,-,-,-,-,-,15,13,-,-,4,-
S00170838,55,36,26,6,20,4,-,4,6,1,4,-,-,-,-,-,-,-,-,-,-,-,-,19,19,-,-,-,-
S00170839,66,41,23,4,19,3,-,3,10,1,7,2,1,1,-,1,-,-,-,-,-,-,-,28,28,-,-,-,-
S00170840,50,38,18,6,12,2,-,2,18,4,13,-,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-
S00170841,38,20,13,2,13,3,-,3,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,18,15,-,2,-,1
S00170842,64,43,28,4,24,3,-,3,9,4,11,-,-,-,-,-,-,-,-,-,-,-,-,21,13,-,-,4,5
S00170843,64,43,20,2,17,5,-,2,21,8,13,-,-,-,-,-,-,-,-,-,-,-,-,21,20,-,-,1,-
S00170844,36,28,20,3,18,3,-,3,5,3,3,-,-,-,-,-,-,-,-,-,-,-,-,8,5,2,-,1,-
S00170845,34,24,13,1,13,1,-,1,10,3,7,-,-,-,-,-,-,-,-,-,-,-,-,10,9,-,2,-,-
S00170846,34,17,13,2,11,2,-,2,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,-,-,-
S00170847,62,41,23,5,18,4,-,4,15,5,10,-,-,-,-,-,-,-,-,-,-,-,-,24,19,1,1,3,1
S00170848,60,36,22,2,20,1,-,1,12,1,10,-,-,-,-,-,-,-,-,-,-,-,-,24,20,-,2,4,-
S00170849,37,21,13,-,11,4,-,1,5,-,5,1,-,-,-,-,-,-,-,-,-,-,-,16,15,-,-,-,1
S00170850,47,31,20,2,19,1,-,1,10,3,7,-,1,1,-,1,-,-,-,-,-,-,-,15,11,-,-,1,-
S00170851,53,27,14,1,13,3,-,3,7,2,5,1,-,-,-,-,-,-,-,-,-,-,-,28,22,-,1,1,-
S00170852,54,37,19,3,16,7,2,6,15,3,9,-,-,-,-,-,-,-,-,-,-,-,-,17,16,-,2,-,-
S00170853,75,49,24,2,21,6,1,4,22,8,17,-,-,-,-,-,-,-,-,-,-,-,-,26,22,-,2,2,1
S00170854,44,34,20,3,17,2,-,2,13,4,9,-,-,-,-,-,-,-,-,-,-,-,-,10,8,-,1,-,-
S00170855,44,28,18,3,15,7,-,7,6,3,4,-,1,1,-,1,-,-,-,-,-,-,-,16,16,-,-,-,-
S00170856,47,37,23,3,20,4,-,4,11,3,5,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-
S00170857,51,36,32,2,30,2,-,2,5,2,3,1,-,1,1,-,-,-,-,1,-,1,-,11,9,1,-,2,-
S00170858,36,20,15,3,12,-,-,-,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-,16,16,-,-,-,-
S00170859,49,39,18,5,17,8,1,7,9,3,6,-,-,-,-,-,-,-,-,-,-,-,-,10,9,-,-,1,-
S00170860,75,40,30,7,24,5,-,5,7,4,3,-,1,1,1,-,-,-,-,-,-,-,-,34,30,-,1,2,1
S00170861,48,27,21,6,15,-,-,-,4,1,3,2,-,-,-,-,-,-,-,-,-,-,-,21,15,-,-,6,-
S00170862,50,31,27,4,22,-,-,-,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,19,13,2,-,6,1
S00170863,56,32,31,8,21,-,-,-,4,1,5,-,1,1,-,1,-,-,-,-,-,-,-,20,15,1,1,3,-
S00170864,36,21,18,2,16,-,-,-,3,1,2,-,1,1,1,-,-,-,-,-,-,-,-,18,16,-,-,2,1
S00170865,44,15,10,1,8,2,-,2,3,2,2,-,2,2,-,2,-,-,-,-,-,-,-,28,22,1,1,3,1
S00170866,55,38,28,4,24,4,-,4,10,4,8,-,1,1,1,-,-,-,-,-,-,-,-,13,9,1,2,1,-
S00170867,87,58,42,4,39,4,-,4,10,6,4,-,-,-,-,-,-,-,-,-,-,-,-,29,25,1,-,3,-
S00170868,46,28,24,1,23,2,1,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,18,10,-,-,5,-
S00170869,65,25,21,3,18,-,-,-,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,41,38,-,-,2,-
S00170870,52,31,23,5,18,4,-,4,2,2,1,2,-,-,-,-,-,-,-,-,-,-,-,18,18,-,-,-,-
S00170871,66,34,24,3,24,1,-,1,9,4,5,-,-,-,-,-,-,-,-,-,-,-,-,32,30,-,-,1,1
S00170872,62,38,23,7,17,2,1,1,14,2,10,1,-,-,-,-,-,-,-,-,-,-,-,24,22,-,2,-,-
S00170873,35,22,15,4,10,3,-,3,4,2,3,-,-,-,-,-,-,-,-,-,-,-,-,13,12,1,-,-,-
S00170874,45,28,22,5,17,1,-,1,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,17,17,-,-,-,-
S00170875,64,42,35,5,30,2,-,2,5,1,3,-,-,-,-,-,-,-,-,-,-,-,-,22,21,-,1,-,-
S00170876,58,42,31,4,27,1,-,1,7,3,4,-,-,-,-,-,-,-,-,-,-,-,-,19,16,-,1,-,-
S00170877,50,32,22,5,17,1,-,1,8,2,6,-,-,-,-,-,-,-,-,-,-,-,-,19,14,-,-,1,4
S00170878,50,21,11,3,9,4,-,3,8,2,4,-,1,1,1,-,-,-,-,-,-,-,-,28,26,4,-,-,-
S00170879,37,24,14,2,12,3,1,2,9,2,4,-,-,-,-,-,-,-,-,-,-,-,-,13,9,2,1,-,2
S00170880,68,34,27,5,22,2,-,2,5,2,4,-,1,1,-,1,-,-,-,-,-,-,-,34,27,2,2,2,2
S00170881,47,28,18,6,12,4,1,1,6,1,4,1,-,-,-,-,-,-,-,-,-,-,-,19,17,-,1,1,-
S00170882,49,33,17,-,17,2,1,3,10,-,10,1,2,2,-,2,-,-,-,-,-,-,-,15,12,1,-,1,1
S00170883,49,26,23,7,13,2,1,1,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,23,23,-,-,-,-
S00170884,48,30,27,7,20,1,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,18,13,-,2,3,1
S00170885,50,27,21,7,14,-,-,-,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,23,18,-,-,5,-
S00170886,40,21,18,2,15,-,-,-,2,2,1,1,2,2,2,1,-,-,-,-,-,-,-,17,14,-,1,2,1
S00170887,34,23,18,2,16,1,-,1,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-
S00170888,54,21,18,4,14,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,25,-,1,7,-
S00170889,58,24,20,5,20,-,-,-,1,1,-,-,1,1,-,1,-,-,-,-,-,-,-,33,32,-,1,-,-
S00170890,30,25,18,2,13,3,-,3,8,2,3,-,-,-,-,-,-,-,-,-,-,-,-,6,4,-,-,1,-
S00170891,34,24,17,5,11,2,-,2,4,1,1,1,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-
S00170892,76,38,33,7,26,-,-,-,2,1,1,3,1,-,-,-,-,-,-,-,-,-,1,40,18,2,6,9,3
S00170893,84,52,41,8,33,4,-,3,5,3,3,2,1,1,1,-,-,-,-,-,-,-,-,27,24,-,1,3,-
S00170894,75,41,38,8,26,1,-,1,6,-,5,-,3,3,1,1,-,-,-,-,-,-,-,32,27,1,-,6,-
S00170895,68,41,37,7,26,-,-,-,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-,24,21,-,1,3,1
S00170896,80,32,30,3,24,-,-,-,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,44,42,-,-,2,-
S00170897,37,16,15,2,14,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,20,18,-,-,1,1
S00170898,41,16,7,1,6,-,-,-,4,1,5,1,-,-,-,-,-,-,-,-,-,-,-,26,22,-,-,3,1
S00170899,49,26,23,6,17,3,-,3,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,18,10,-,-,4,-
S00170900,51,25,21,2,19,2,-,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,24,24,-,-,-,-
S00170901,49,32,20,2,17,2,-,2,10,3,7,-,-,-,-,-,-,-,-,-,-,-,-,17,14,-,-,1,1
S00170902,65,40,26,4,22,6,-,6,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,29,25,-,-,2,-
S00170903,57,43,34,2,28,4,2,2,2,-,2,-,1,1,-,1,-,-,-,-,-,-,-,13,12,-,1,-,-
