Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00158936",64,-,-,1,-,-,-,2,1,5,26,18,-,-,2,7,-,2,-,-,-,-
"S00158937",47,-,-,1,-,-,2,6,5,8,3,2,1,2,4,4,-,7,1,1,-,-
"S00158938",75,-,1,7,-,-,3,4,4,5,3,5,1,12,2,9,6,3,3,4,-,-
"S00158939",32,1,-,-,-,1,2,1,3,3,-,1,-,2,-,2,4,12,1,1,-,-
"S00158940",65,-,-,2,-,-,1,8,2,7,-,4,3,11,5,5,12,5,6,-,-,-
"S00158941",57,-,-,5,-,-,6,7,2,7,-,1,-,1,2,3,4,11,-,3,-,-
"S00158942",67,-,-,3,-,-,1,6,-,11,4,5,2,4,1,4,13,6,3,3,-,-
"S00158943",35,-,1,1,-,-,4,7,2,3,1,-,1,3,-,4,3,6,2,-,-,-
"S00158944",50,-,-,3,-,1,4,7,-,5,-,1,-,-,4,2,3,9,-,2,-,-
"S00158945",89,-,-,1,-,-,1,9,3,22,13,6,-,9,3,3,10,7,-,2,-,1
"S00158946",34,-,-,3,-,-,1,4,2,4,-,-,2,5,4,1,3,6,-,-,-,-
"S00158947",38,-,-,-,-,-,1,6,2,7,4,2,-,1,4,6,-,-,-,3,-,-
"S00158948",50,-,-,4,-,-,3,5,-,7,5,6,1,1,3,6,2,2,-,4,-,-
"S00158949",50,-,-,6,-,-,2,4,3,11,2,1,-,1,5,4,2,13,2,-,-,-
"S00158950",49,-,-,5,-,-,1,2,1,8,3,-,-,-,1,4,6,11,4,2,-,-
"S00158951",54,-,-,3,-,-,2,11,1,10,3,3,-,4,1,4,-,8,1,2,-,-
"S00158952",90,1,-,5,3,-,2,8,1,13,8,6,2,4,4,5,15,9,1,2,-,-
"S00158953",44,-,-,4,-,-,2,10,4,3,-,-,2,5,-,2,2,3,2,3,-,-
"S00158954",24,-,-,1,-,1,1,6,1,1,1,-,-,-,1,1,4,4,1,-,-,-
"S00158955",151,1,-,6,2,1,4,12,1,36,9,17,2,10,5,6,11,21,6,3,-,-
"S00158956",85,-,-,1,-,1,2,17,1,18,4,6,-,5,6,4,7,6,3,4,-,-
"S00158957",52,-,-,4,1,-,-,6,2,3,2,7,-,2,3,5,4,8,-,2,-,-
"S00158958",39,-,-,1,-,-,1,7,3,7,1,1,-,3,5,1,2,4,-,1,-,-
"S00158959",61,-,-,1,-,-,-,1,1,14,13,10,-,4,1,3,4,6,2,-,-,-
"S00158960",47,-,-,5,-,-,-,9,-,11,4,4,1,4,-,1,3,1,2,-,-,-
"S00158961",49,-,1,1,-,-,1,5,2,7,-,5,-,6,1,5,4,4,4,6,-,-
"S00158962",40,-,-,2,1,1,2,4,7,3,1,1,-,2,-,3,3,6,1,-,-,-
"S00158963",41,-,-,6,-,1,-,5,5,1,2,1,-,2,4,3,5,4,-,2,2,-
"S00158964",26,-,-,-,-,-,1,4,-,5,-,-,-,1,3,3,1,4,1,5,-,-
"S00158965",32,-,-,2,-,-,1,4,2,-,1,2,2,-,2,4,3,4,3,1,-,-
"S00158966",39,-,-,4,1,-,5,3,5,4,1,2,-,1,-,5,4,6,2,1,-,-
"S00158967",42,-,-,2,-,-,4,9,2,2,1,1,4,2,2,6,4,2,2,2,-,-
"S00158968",37,-,-,4,-,-,4,9,2,2,-,1,-,1,2,2,-,5,-,-,-,-
"S00158969",73,-,-,2,-,1,3,6,1,9,3,3,1,15,3,3,4,10,4,4,-,-
"S00158970",84,-,-,11,-,-,4,11,1,6,4,8,-,12,2,6,6,8,4,2,-,-
"S00158971",48,-,-,4,-,-,2,8,-,11,2,4,-,2,1,2,6,6,-,2,-,-
"S00158972",56,-,-,8,-,1,2,10,4,-,2,3,1,2,4,4,5,4,1,2,-,-
"S00158973",66,-,-,10,-,-,6,5,6,2,4,5,1,3,4,2,1,9,4,3,-,-
"S00158974",93,-,-,5,1,-,2,5,4,11,17,4,-,9,4,5,12,8,7,2,-,-
"S00158975",50,-,-,1,-,-,-,8,2,15,2,2,-,2,4,1,3,8,-,1,-,-
"S00158976",39,-,-,5,-,3,-,3,2,-,4,1,-,1,2,-,-,13,-,3,-,-
"S00158977",29,-,-,1,-,-,5,4,4,2,-,-,-,-,1,3,-,5,-,1,-,-
"S00158978",73,-,-,8,2,1,1,10,3,11,-,2,-,4,2,11,7,8,-,2,-,-
"S00158979",75,-,-,6,-,2,2,6,6,14,-,-,-,3,8,7,2,17,4,-,-,-
"S00158980",38,-,-,2,-,-,-,6,-,2,1,1,-,-,5,5,5,7,1,5,-,-
"S00158981",42,-,-,2,-,1,-,7,-,2,-,2,-,2,1,4,7,8,3,6,-,-
"S00158982",35,-,-,-,-,-,6,9,5,8,-,2,-,-,2,2,1,1,-,1,-,-
"S00158983",37,-,-,-,-,-,5,10,1,3,-,1,-,-,4,3,-,10,3,-,-,-
"S00158984",12,-,-,-,-,-,-,1,-,1,2,2,-,2,4,1,-,-,-,-,-,-
"S00158985",109,-,1,10,1,-,12,16,6,9,3,2,2,2,10,10,6,10,3,1,-,-
"S00158986",70,-,-,7,-,-,4,9,6,10,-,1,-,5,3,6,2,14,2,2,-,-
"S00158987",48,-,2,2,-,-,2,8,2,2,2,4,-,2,5,3,9,9,-,3,1,-
"S00158988",45,-,1,3,-,-,2,4,1,4,1,3,3,1,4,4,4,8,1,-,-,-
"S00158989",306,1,-,10,-,-,4,66,3,75,7,5,1,27,11,10,41,24,10,3,-,-
"S00158990",29,-,-,3,-,-,2,-,1,4,1,2,-,5,4,-,-,6,-,-,-,-
"S00158991",41,-,-,-,1,-,3,3,1,9,4,-,-,4,-,4,2,5,5,-,-,-
"S00158992",90,-,-,3,3,-,3,8,5,14,7,17,1,11,-,2,4,13,2,4,-,-
"S00158993",250,-,-,8,1,-,9,48,4,86,6,8,-,11,11,8,10,6,15,6,-,3
"S00158994",47,-,-,5,1,-,3,3,3,7,3,1,-,3,5,5,4,8,2,-,-,-
"S00158995",55,-,1,3,-,-,1,6,1,6,7,2,-,6,2,3,10,3,1,3,-,-
"S00158996",32,-,-,3,-,-,2,3,1,3,3,1,-,5,2,-,3,2,-,-,-,-
"S00158997",48,-,-,-,-,-,-,9,2,3,8,3,-,2,-,6,4,7,-,2,-,1
"S00158998",92,-,-,5,1,-,4,9,2,8,8,5,-,8,8,15,8,8,3,1,-,-
"S00158999",29,-,1,4,-,-,2,1,-,1,-,4,-,-,-,3,3,6,-,-,-,-
"S00159000",38,-,-,4,-,1,5,4,-,5,-,1,-,-,3,4,3,5,2,6,-,-
"S00159001",45,-,-,4,-,1,1,6,3,6,1,1,1,2,5,1,-,13,2,1,-,-
"S00159002",27,-,-,3,-,-,6,3,-,2,-,1,1,-,1,-,-,8,-,1,-,-
"S00159003",49,2,-,2,-,-,2,8,1,8,2,2,-,-,-,5,2,8,2,1,-,-
"S00159004",81,-,-,3,1,-,4,7,2,8,10,7,1,7,2,1,9,14,4,3,-,-
"S00159005",50,-,-,6,-,-,7,11,3,3,2,-,-,3,1,1,4,9,-,1,-,-
"S00159006",73,-,-,-,-,1,4,11,1,6,8,5,4,6,6,1,-,12,3,2,-,-
"S00159007",46,-,-,3,-,-,-,5,2,6,4,4,-,6,-,3,2,7,3,2,-,-
"S00159008",36,-,-,3,-,-,-,7,4,7,2,2,1,-,1,3,3,3,1,-,-,-
"S00159009",44,-,1,2,-,1,4,10,2,8,-,3,-,1,3,6,2,5,-,-,-,-
"S00159010",56,-,-,3,-,1,4,7,2,1,7,4,-,3,1,1,5,10,4,1,-,-
"S00159011",55,-,-,-,-,-,-,3,-,18,10,5,2,7,-,3,2,12,2,1,-,-
"S00159012",45,-,-,6,2,-,5,5,4,-,1,1,-,-,-,5,2,13,1,2,-,-
"S00159013",31,-,-,5,1,-,-,4,-,4,-,1,4,-,-,4,-,4,2,2,-,-
"S00159014",40,-,-,-,-,-,1,4,-,7,2,2,-,6,2,3,2,4,4,1,-,-
"S00159015",47,-,-,2,-,-,3,4,1,6,3,5,-,4,2,6,3,6,2,2,-,-
"S00159016",44,-,-,5,-,1,2,5,3,8,-,2,1,-,5,4,1,4,2,3,-,-
"S00159017",65,-,-,8,-,-,-,5,-,4,3,3,1,8,-,5,10,10,5,2,-,-
"S00159018",127,1,2,6,2,-,1,31,-,17,13,4,2,10,6,3,9,13,3,2,-,-
"S00159019",42,1,-,5,-,-,2,2,4,6,-,-,1,1,3,5,3,8,1,-,-,-
"S00159020",48,-,2,2,2,-,-,4,1,10,3,2,-,2,-,2,5,4,2,1,-,-
"S00159021",20,-,-,-,-,-,3,1,3,4,-,1,-,-,1,-,1,6,-,-,-,-
"S00159022",56,-,-,1,-,1,2,10,2,2,-,3,-,3,4,5,3,16,2,-,-,-
"S00159023",31,-,-,-,1,2,5,5,2,4,1,-,-,1,-,4,-,6,-,-,-,-
"S00159024",26,-,-,-,-,-,1,2,-,9,2,1,-,-,2,3,-,4,-,1,-,-
"S00159025",20,-,-,2,-,-,1,4,-,-,-,-,1,-,3,2,-,6,2,-,-,-
"S00159026",64,-,-,2,-,-,3,9,2,9,3,3,1,-,6,7,3,12,4,4,-,-
"S00159027",33,-,-,5,-,-,2,6,2,1,-,3,1,2,-,2,3,6,3,-,-,-
"S00159028",44,-,-,1,-,-,5,8,2,7,1,-,-,5,-,-,3,3,4,2,-,-
"S00159029",41,-,-,1,-,1,5,4,1,4,-,3,-,-,5,6,1,7,4,-,-,-
"S00159030",65,-,-,3,2,-,11,3,1,9,2,4,-,1,4,8,4,13,-,2,-,-
"S00159031",36,-,-,-,-,-,-,8,1,5,1,3,1,2,2,3,1,9,-,1,-,-
"S00159032",20,-,-,3,-,-,1,4,1,2,-,-,-,2,1,4,-,4,-,-,-,-
"S00159033",27,-,-,1,-,-,1,3,-,1,1,1,3,-,2,1,2,8,1,-,-,-
"S00159034",39,-,-,1,-,-,4,-,-,12,2,2,-,1,3,4,3,3,-,1,-,-
"S00159035",39,-,-,5,-,-,-,2,1,2,1,2,2,8,3,3,3,1,1,4,-,-
"S00159036",81,-,1,9,-,-,5,6,-,11,5,8,-,6,5,5,8,7,4,2,-,-
"S00159037",38,-,-,4,-,-,1,5,4,-,3,-,-,6,5,-,3,3,1,3,-,-
"S00159038",106,-,1,2,-,-,8,13,3,4,5,6,-,18,3,3,10,20,8,4,-,-
"S00159039",22,-,-,-,-,-,-,3,1,4,3,1,-,1,-,1,2,4,-,2,-,-
"S00159040",57,-,-,2,-,-,7,8,9,4,2,2,-,-,8,1,1,7,-,2,-,-
"S00159041",33,1,-,1,-,1,-,2,-,6,1,-,-,4,2,4,2,6,-,-,-,-
"S00159042",57,-,-,4,-,-,4,7,2,7,1,3,-,1,3,5,4,10,2,1,1,-
"S00159043",39,-,-,4,-,-,4,5,-,5,-,1,1,1,4,4,1,8,-,1,-,-
"S00159044",26,-,-,1,-,-,-,1,4,1,1,-,1,1,2,5,1,4,2,2,-,-
"S00159045",53,-,-,4,-,-,-,1,1,7,11,6,2,5,2,3,2,7,-,-,-,-
"S00159046",35,-,-,1,-,-,3,4,-,6,-,-,-,3,2,1,3,8,2,3,2,-
"S00159047",33,-,-,3,-,-,1,6,4,6,2,1,-,-,3,3,-,6,-,1,-,-
"S00159048",34,-,-,1,-,-,-,4,3,4,3,-,1,-,6,1,1,7,-,4,-,-
"S00159049",40,-,-,-,-,-,6,4,1,5,-,3,1,3,1,2,3,5,-,1,-,-
"S00159050",68,-,-,3,-,-,8,11,2,10,1,1,-,-,5,6,1,12,3,3,-,-
"S00159051",60,-,-,4,-,-,2,6,2,3,4,3,1,4,4,9,4,7,4,2,-,-
"S00159052",79,-,-,6,-,-,3,11,3,5,4,7,-,6,12,7,2,10,5,5,-,-
"S00159053",93,-,1,15,-,1,6,11,5,5,3,-,2,4,7,4,8,9,4,3,2,-
"S00159054",53,-,-,3,-,-,1,2,5,5,3,1,-,1,4,7,4,8,3,-,-,-
"S00159055",49,-,-,1,-,-,7,6,-,3,1,2,-,2,3,2,2,10,4,6,-,-
"S00159056",25,-,-,1,-,-,1,-,5,6,1,-,-,1,1,2,-,9,1,-,-,-
"S00159057",50,-,-,1,1,-,1,10,2,7,5,2,-,8,2,4,4,8,3,-,-,-
"S00159058",45,-,-,4,2,-,-,6,-,4,2,2,-,3,6,-,6,6,1,3,2,-
"S00159059",76,-,-,6,-,3,9,14,3,2,-,1,2,1,4,9,4,9,2,7,-,-
"S00159060",39,-,-,2,2,-,2,8,-,4,3,3,-,-,4,4,2,4,4,1,-,-
"S00159061",75,-,1,4,-,-,5,7,2,7,5,4,3,10,1,2,7,13,2,3,-,-
"S00159062",35,-,1,2,-,-,2,-,3,4,1,3,2,-,1,3,2,8,2,-,-,-
"S00159063",36,-,-,3,1,-,2,-,-,5,2,1,2,2,4,1,2,3,2,3,4,-
"S00159064",29,-,-,3,-,-,1,2,2,4,-,2,-,3,3,4,3,4,-,1,1,-
"S00159065",21,-,-,3,2,-,1,-,-,3,-,2,-,1,2,3,-,2,2,-,-,-
"S00159066",34,-,-,3,-,-,5,3,1,6,-,-,-,1,-,4,2,2,2,-,-,-
"S00159067",55,-,-,4,-,-,3,9,3,1,1,1,1,1,2,5,5,12,2,5,-,-
"S00159068",41,-,-,4,-,-,3,7,1,5,-,1,1,5,5,3,1,5,1,2,-,-
"S00159069",62,-,-,8,-,2,10,13,9,2,-,-,1,2,3,6,3,9,1,2,-,-
"S00159070",37,-,-,2,-,-,-,3,-,8,2,1,-,3,1,-,4,3,2,1,-,-
"S00159071",21,-,-,1,-,2,2,3,2,6,-,1,-,-,-,1,-,1,-,2,-,-
"S00159072",33,-,-,2,-,-,3,8,2,2,-,-,-,2,1,1,4,3,2,-,-,-
"S00159073",57,-,-,4,-,-,3,6,1,12,3,5,-,3,1,1,8,5,-,1,-,-
"S00159074",26,-,-,1,-,-,-,2,2,6,2,-,-,-,-,3,1,3,5,1,2,-
"S00159075",27,-,-,3,-,-,1,6,4,2,-,-,-,-,1,2,2,6,-,-,-,-
"S00159076",59,-,-,-,-,-,5,7,1,4,4,2,2,3,4,4,4,12,3,2,-,-
"S00159077",52,-,-,3,-,-,7,8,6,4,-,-,-,1,4,5,3,11,-,1,1,-
"S00159078",85,-,-,8,2,-,-,5,1,11,8,4,-,11,4,12,10,9,2,3,-,-
"S00159079",72,-,-,6,1,-,1,5,1,10,7,9,3,10,4,2,2,4,4,1,-,-
"S00159080",92,-,-,6,1,-,4,5,-,10,8,7,-,14,-,10,4,14,4,4,-,-
"S00159081",45,-,1,4,-,-,1,6,4,6,3,-,1,1,5,4,-,6,-,2,-,-
"S00159082",52,-,-,1,-,2,3,4,-,7,9,4,1,4,6,1,6,5,-,1,-,-
"S00159083",62,-,-,8,-,-,-,6,4,5,7,1,-,8,4,-,5,8,4,4,-,-
"S00159084",39,-,-,2,-,-,2,7,2,7,1,1,-,1,10,-,4,2,-,1,-,-
"S00159085",95,-,-,5,-,-,1,8,1,10,7,10,1,11,2,7,8,16,7,4,-,-
"S00159086",57,-,-,1,-,-,2,10,-,11,7,3,-,3,-,5,4,3,3,2,-,-
"S00159087",52,-,-,5,-,3,1,6,2,4,2,1,1,-,5,7,3,4,5,2,-,-
"S00159088",74,-,-,7,-,-,4,15,5,2,1,2,1,4,8,3,6,7,2,3,-,-
"S00159089",69,-,-,2,-,-,9,9,10,1,2,3,1,7,8,2,8,8,-,1,-,-
"S00159090",29,-,-,1,-,-,5,1,2,-,-,1,-,3,-,3,1,3,-,4,-,-
"S00159091",53,1,-,6,-,-,4,10,-,2,1,1,-,-,7,8,5,6,-,-,1,-
"S00159092",31,-,-,-,-,-,8,3,2,3,-,2,-,3,2,2,-,6,2,-,-,-
"S00159093",66,-,-,3,1,-,9,12,3,5,2,2,1,5,2,7,2,7,5,2,-,-
"S00159094",32,-,-,1,-,1,2,2,5,4,-,1,-,2,2,-,-,12,-,2,1,-
"S00159095",85,-,-,3,2,-,9,9,1,6,2,5,1,6,1,11,5,12,5,6,-,-
"S00159096",43,-,-,-,-,-,2,3,1,4,2,4,4,4,1,6,3,7,-,-,-,-
"S00159097",59,-,-,1,2,2,6,5,1,2,-,1,-,5,8,5,1,17,-,2,-,-
"S00159098",72,-,1,2,-,1,3,9,4,5,5,5,-,9,-,2,6,10,-,6,-,-
"S00159099",78,-,-,1,-,-,2,8,1,13,7,9,-,11,-,4,5,9,3,3,-,-
"S00159100",113,-,-,9,-,-,8,17,14,16,1,4,-,-,8,8,6,19,3,1,-,-
"S00159101",35,-,-,2,-,-,-,5,1,3,1,1,3,3,3,4,2,3,1,-,-,-
"S00159102",57,-,-,3,-,-,2,2,1,11,2,3,1,4,3,3,2,8,1,9,-,-
"S00159103",78,-,-,1,-,1,1,9,8,13,-,10,3,2,5,6,1,12,2,3,-,-
"S00159104",127,-,-,8,2,-,4,10,4,6,9,14,2,16,8,5,9,22,5,3,-,-
"S00159105",60,2,-,4,-,-,6,9,1,3,2,-,5,2,5,1,-,10,-,4,2,-
"S00159106",42,-,-,2,-,-,3,1,2,5,4,4,-,3,6,5,1,6,-,1,-,-
"S00159107",28,-,-,1,-,-,4,7,1,3,3,-,-,1,2,2,1,2,-,-,-,-
"S00159108",23,-,-,1,-,-,4,1,3,3,-,-,1,1,-,-,1,4,3,1,-,-
"S00159109",14,-,1,2,-,-,2,2,-,1,-,-,-,1,-,3,-,2,-,-,-,-
"S00159110",40,-,-,-,-,-,1,2,1,6,2,1,1,2,3,4,4,6,1,2,-,-
"S00159111",69,-,-,2,-,2,2,13,-,5,9,8,-,8,1,3,4,8,-,4,-,-
"S00159112",104,-,-,5,1,-,8,10,6,6,6,4,-,12,1,10,15,8,11,6,-,-
"S00159113",92,-,-,11,-,-,8,8,5,8,3,2,2,5,5,9,7,14,4,5,1,-
"S00159114",65,-,-,-,2,-,-,7,2,5,1,5,1,8,3,8,9,8,2,3,-,-
"S00159115",39,-,-,5,-,1,4,2,1,-,1,-,1,-,1,4,2,11,1,2,-,-
"S00159116",38,-,-,1,-,1,3,3,1,2,1,2,-,2,2,8,2,2,3,4,-,-
"S00159117",45,-,-,2,-,-,-,6,1,3,2,3,1,6,-,3,5,6,-,3,-,-
"S00159118",38,-,-,5,-,-,4,4,3,-,-,5,-,1,1,2,3,10,-,-,-,-
"S00159119",68,-,1,2,-,1,4,4,2,4,5,6,-,14,4,7,6,6,5,1,-,-
"S00159120",41,-,-,4,-,1,1,3,1,7,2,4,1,5,-,5,-,4,1,1,-,-
"S00159121",48,-,-,2,-,1,3,8,-,2,-,5,1,-,6,4,5,7,3,-,-,-
"S00159122",43,-,-,5,-,-,2,7,6,2,3,1,1,-,2,5,2,7,-,-,-,-
"S00159123",37,-,-,-,-,-,2,5,4,2,-,2,-,2,2,8,4,7,-,-,-,-
"S00159124",89,-,-,7,1,-,3,3,4,10,8,6,-,8,4,3,12,8,7,5,-,1
"S00159125",50,-,-,6,-,-,2,4,4,4,-,4,-,5,5,7,2,4,3,5,-,-
"S00159126",87,-,2,6,-,1,8,9,8,4,2,3,2,1,5,9,5,13,-,10,-,-
"S00159127",86,-,1,2,-,-,-,8,1,3,7,6,-,6,2,7,12,12,6,5,-,1
"S00159128",51,-,1,3,-,-,4,2,3,4,4,2,-,3,-,4,5,13,4,3,-,-
"S00159129",48,-,-,-,-,1,4,5,2,7,1,1,-,-,4,3,5,12,3,2,-,-
"S00159130",29,-,-,1,-,-,3,2,3,-,-,4,-,-,3,4,2,2,-,6,-,-
"S00159131",72,-,-,4,-,1,9,6,6,5,-,1,3,1,-,8,-,18,2,1,1,-
"S00159132",40,2,-,3,-,-,-,5,2,7,2,1,-,1,1,2,-,11,1,3,-,-
"S00159133",39,-,2,3,-,-,2,5,2,7,-,1,1,-,3,2,1,6,1,-,-,-
"S00159134",47,-,1,3,-,-,4,4,6,9,-,-,-,2,2,2,1,4,3,4,-,-
"S00159135",58,-,-,5,-,-,5,6,4,4,3,1,2,2,6,5,2,10,2,2,-,-
"S00159136",49,-,-,3,-,1,5,7,4,7,2,2,2,1,3,1,4,3,2,2,-,-
"S00159137",88,-,-,2,-,-,3,12,4,13,8,6,-,4,3,4,7,15,3,6,-,-
"S00159138",94,-,-,11,-,4,7,14,4,5,2,3,1,5,6,5,6,18,-,2,-,-
"S00159139",90,1,-,7,-,-,6,7,-,3,1,3,-,12,2,6,7,18,4,4,-,-
"S00159140",29,-,-,-,-,-,4,3,3,2,-,-,2,-,-,2,-,9,1,1,-,-
"S00159141",54,-,-,2,-,-,2,10,-,4,6,2,-,3,6,4,2,10,1,1,-,-
"S00159142",37,-,-,-,-,-,5,4,-,3,-,2,-,2,2,6,3,9,-,1,-,-
"S00159143",44,-,-,1,-,1,1,8,2,4,1,2,-,2,5,6,4,6,-,-,-,-
"S00159144",168,-,1,4,-,1,5,18,5,66,1,5,2,8,8,7,12,15,4,5,1,-
"S00159145",41,-,1,4,-,-,5,4,-,3,13,6,-,2,-,1,2,3,2,-,-,-
"S00159146",57,-,-,4,-,-,2,10,3,5,1,3,-,4,1,5,4,13,4,-,-,-
"S00159147",87,-,-,4,-,1,1,6,3,14,2,9,-,8,2,4,8,6,13,4,-,-
"S00159148",59,-,1,3,-,-,3,12,2,3,-,4,1,3,-,5,4,8,1,6,-,-
"S00159149",47,-,-,1,-,-,5,4,6,5,2,4,-,1,1,3,2,13,4,-,-,-
"S00159150",29,-,-,1,2,-,1,1,3,4,-,-,-,1,2,-,2,10,1,-,-,-
"S00159151",66,-,-,5,2,-,4,9,1,1,3,-,1,6,4,3,13,9,4,6,-,-
"S00159152",58,-,1,3,-,-,1,4,-,5,6,3,-,4,4,5,7,6,4,2,-,-
"S00159153",38,-,-,2,-,-,5,6,2,3,-,-,-,1,2,1,1,9,1,3,-,-
"S00159154",39,-,-,2,-,-,1,6,3,3,1,3,-,-,5,5,2,10,-,1,1,-
"S00159155",68,3,1,7,-,2,4,6,2,3,-,2,1,1,-,9,-,21,3,3,-,-
"S00159156",51,-,-,4,-,-,8,4,6,-,-,1,-,-,1,6,6,11,3,-,-,-
"S00159157",40,-,-,3,-,-,4,6,2,6,1,1,-,1,-,4,5,4,3,3,-,-
"S00159158",36,-,-,3,-,-,5,4,1,4,-,4,-,1,1,3,4,7,2,1,-,-
"S00159159",59,-,-,4,-,-,2,8,-,7,3,3,-,5,3,6,6,10,-,-,-,1
"S00159160",24,-,-,2,-,1,3,-,4,-,3,-,-,-,3,-,3,2,1,1,-,-
"S00159161",94,-,-,1,-,-,2,5,1,18,17,10,-,5,5,5,9,8,4,-,-,-
"S00159162",34,-,-,4,-,-,4,2,1,5,-,2,-,-,4,8,1,4,-,-,-,-
"S00159163",30,-,1,6,-,-,2,-,2,1,1,1,-,-,-,2,5,6,-,2,-,-
"S00159164",35,-,-,-,-,-,4,5,1,4,3,1,-,2,3,5,2,5,1,1,-,-
"S00159165",25,-,1,3,-,-,1,2,1,1,1,4,-,2,3,7,-,3,-,-,-,-
"S00159166",48,-,-,4,-,-,5,7,2,2,2,-,-,2,6,5,4,5,6,3,-,-
"S00159167",25,-,-,-,-,-,1,2,4,6,-,-,1,-,2,3,1,4,-,-,-,-
"S00159168",77,-,-,4,-,1,3,5,-,6,7,7,1,15,-,7,8,8,1,2,-,-
"S00159169",42,-,-,4,1,1,7,6,2,7,-,-,-,-,7,2,1,1,-,2,-,-
"S00159170",49,-,-,4,-,-,5,8,2,4,-,-,1,-,1,7,2,9,1,1,1,-
"S00159171",52,-,1,4,-,-,5,2,1,8,3,4,2,4,4,2,5,1,-,9,-,-
"S00159172",37,-,-,-,1,1,2,2,5,2,1,-,-,2,3,4,3,8,1,1,-,-
"S00159173",71,-,1,3,-,-,11,8,1,8,1,1,-,2,8,2,2,14,1,7,-,-
"S00159174",45,-,-,3,-,1,3,4,4,-,1,-,4,1,3,6,2,9,2,3,-,-
"S00159175",53,-,-,9,-,-,-,5,-,6,6,9,-,5,-,-,1,8,2,-,-,-
"S00159176",93,-,-,7,-,-,5,2,4,7,4,10,-,7,4,4,13,18,4,6,-,-
"S00159177",58,-,-,2,-,1,3,6,3,10,3,8,-,4,2,3,1,4,4,2,-,-
"S00159178",80,-,1,6,-,-,3,11,3,13,4,2,1,5,2,4,5,11,2,2,-,-
"S00159179",63,-,-,7,-,-,4,5,2,3,1,1,1,1,4,9,6,11,3,1,-,-
"S00159180",51,-,1,3,-,-,4,2,2,4,4,4,-,-,-,4,1,18,-,2,-,-
"S00159181",84,-,1,1,1,-,2,6,2,13,13,15,1,8,-,5,6,7,7,-,-,-
"S00159182",43,-,-,-,-,-,6,4,-,5,2,5,4,3,3,2,-,8,-,-,-,-
"S00159183",34,-,1,1,-,2,5,6,3,-,-,2,-,-,1,4,1,4,-,-,-,-
"S00159184",50,3,-,5,-,-,2,9,1,10,4,1,-,1,3,2,-,8,1,4,-,-
"S00159185",91,-,-,3,2,2,5,8,1,8,9,7,-,7,2,11,5,15,1,1,-,-
"S00159186",36,-,-,3,-,1,2,6,3,-,-,-,-,-,6,2,1,7,-,-,-,-
"S00159187",58,-,-,7,-,-,3,8,4,7,-,4,-,-,3,5,2,9,2,6,-,-
"S00159188",25,-,-,1,-,-,5,4,-,4,2,-,-,-,1,2,1,7,-,-,-,-
"S00159189",72,-,-,1,-,-,3,3,2,10,2,1,-,2,7,5,7,16,3,3,-,1
"S00159190",48,-,-,2,-,-,8,6,-,3,2,-,-,4,3,5,6,11,-,5,-,-
"S00159191",32,-,-,2,-,-,-,7,2,5,2,1,-,2,5,2,1,3,-,2,-,-
"S00159192",50,-,-,4,-,2,5,3,5,3,-,1,-,-,5,6,3,11,-,1,2,-
"S00159193",28,-,1,5,-,1,-,1,1,3,-,1,-,-,3,1,-,4,2,2,-,-
"S00159194",65,-,-,2,-,-,4,6,5,6,4,6,-,3,3,13,6,6,3,-,-,-
"S00159195",48,-,-,5,-,1,3,4,-,3,-,3,2,1,2,2,4,9,2,3,-,-
"S00159196",93,-,2,3,-,-,3,6,2,20,5,9,-,12,1,3,9,-,6,7,-,-
"S00159197",40,-,-,3,-,-,5,5,4,3,1,-,-,1,2,1,3,7,2,3,-,-
"S00159198",85,1,-,4,-,1,7,13,3,4,5,7,-,7,3,8,6,7,2,3,-,-
"S00159199",38,-,-,5,-,3,5,8,1,3,-,1,-,-,4,2,4,2,-,1,-,-
"S00159200",49,1,-,3,-,-,1,6,1,6,1,1,-,3,8,4,1,4,-,2,-,-
"S00159201",42,-,-,1,-,2,2,5,3,5,6,-,-,1,3,2,3,5,-,-,-,-
"S00159202",58,-,-,2,-,-,5,7,3,9,6,2,2,4,3,1,4,7,3,3,-,-
"S00159203",70,-,2,2,-,-,2,6,1,11,5,3,1,11,2,9,2,6,5,3,-,-
"S00159204",66,-,-,3,-,-,3,10,2,5,4,5,-,5,6,6,4,12,4,4,-,-
"S00159205",80,-,-,9,2,1,3,14,5,5,3,3,1,3,4,6,7,13,2,1,-,-
"S00159206",56,-,-,2,-,-,2,4,2,12,2,2,-,4,1,7,5,11,4,3,1,-
"S00159207",43,-,-,3,-,-,5,4,-,2,-,5,-,4,2,4,3,5,3,2,-,-
