Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00135495",49,1,2,4,-,-,2,3,7,3,-,-,1,3,-,2,4,6,5,4,-,-
"S00135496",49,-,7,3,-,1,1,2,5,2,-,1,-,1,5,1,9,6,1,-,-,-
"S00135497",108,-,21,3,1,-,7,8,11,5,2,2,2,11,13,3,9,6,4,3,1,-
"S00135498",93,-,13,5,-,-,2,15,17,2,2,4,-,7,5,6,1,9,3,4,-,-
"S00135499",59,-,9,6,1,-,9,2,3,3,2,1,-,2,2,3,6,5,1,1,-,-
"S00135500",74,-,14,3,1,-,4,2,3,6,4,1,2,7,8,5,2,11,-,4,-,-
"S00135501",61,-,8,5,-,1,4,5,1,4,4,-,2,6,-,5,8,7,-,4,-,-
"S00135502",92,1,11,5,-,-,4,5,11,4,-,4,-,4,2,11,12,15,2,1,-,-
"S00135503",31,3,6,3,1,2,-,3,-,-,-,-,-,2,-,1,2,3,-,4,-,-
"S00135504",49,1,-,5,-,-,5,8,1,1,2,-,-,-,3,4,8,11,-,2,-,-
"S00135505",93,1,14,6,2,-,2,12,3,9,-,3,1,10,2,8,5,9,1,3,-,-
"S00135506",65,-,5,9,-,-,3,7,3,4,-,-,-,8,4,-,4,7,-,2,-,-
"S00135507",88,-,16,2,-,-,2,7,5,-,2,4,-,7,-,8,14,16,1,5,-,-
"S00135508",32,-,8,2,-,1,1,1,-,2,-,-,-,2,4,2,3,4,-,2,-,-
"S00135509",65,-,7,2,-,1,6,5,5,2,1,1,-,7,4,1,2,15,-,7,-,-
"S00135510",64,-,5,5,1,-,1,10,4,1,1,2,-,7,-,8,7,13,-,1,-,-
"S00135511",79,2,8,6,-,-,3,8,9,-,-,1,-,4,4,12,5,14,2,4,-,-
"S00135512",69,-,12,6,-,-,5,7,3,4,-,2,-,5,4,7,5,11,-,3,-,-
"S00135513",46,-,2,1,-,-,4,7,5,5,-,-,-,4,7,-,2,5,1,1,-,-
"S00135514",56,-,3,6,1,2,3,8,3,1,-,2,-,2,3,2,5,9,-,3,-,-
"S00135515",68,-,8,7,-,-,6,3,3,7,3,2,-,3,4,3,10,7,2,1,-,-
"S00135516",90,-,13,9,1,-,5,12,4,4,4,-,-,8,5,8,5,8,-,2,-,-
"S00135517",73,2,7,6,1,1,4,3,8,5,1,2,1,3,3,8,7,9,1,5,-,-
"S00135518",45,2,4,4,-,-,3,12,1,2,-,1,-,1,2,4,2,9,1,-,-,-
"S00135519",88,-,7,7,1,-,11,10,6,4,1,1,3,4,-,3,12,11,3,4,-,-
"S00135520",88,1,9,7,-,1,7,4,6,5,4,1,-,14,3,13,8,10,-,-,-,-
"S00135521",75,-,10,7,-,-,1,10,3,-,3,1,3,8,3,5,7,9,-,-,-,-
"S00135522",55,-,10,1,-,-,1,4,2,5,4,-,-,3,5,4,4,8,1,-,-,-
"S00135523",20,-,2,-,-,-,3,2,2,1,-,-,-,1,-,4,4,3,-,-,-,-
"S00135524",69,-,6,6,-,1,8,9,6,4,-,1,1,5,4,5,4,6,1,3,-,-
"S00135525",81,-,14,5,2,-,-,3,6,3,2,4,1,12,4,4,2,13,4,2,-,-
"S00135526",54,-,2,1,-,-,-,10,4,4,-,-,-,5,6,5,3,3,1,3,-,-
"S00135527",29,-,2,2,-,-,-,6,-,4,-,-,-,3,1,2,2,5,-,3,-,-
"S00135528",66,-,4,7,-,-,7,6,3,3,2,1,-,6,5,6,4,6,1,4,-,-
"S00135529",68,-,9,8,-,-,9,3,2,2,4,-,-,6,5,7,5,7,1,5,-,-
"S00135530",41,-,2,3,-,-,6,6,5,1,-,5,-,1,5,-,3,5,-,2,-,-
"S00135531",49,-,3,5,-,-,6,6,1,8,-,1,-,1,4,-,4,3,2,1,-,-
"S00135532",59,-,10,7,-,-,3,3,-,2,-,4,-,5,9,2,5,5,1,4,-,-
"S00135533",80,-,5,2,-,-,7,3,6,7,-,3,-,8,5,4,10,15,-,2,-,-
