Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00161627",122,12,7,7,3,108,108,-,-,-
"S00161628",90,48,-,44,3,45,45,-,-,-
"S00161629",165,2,-,-,2,164,164,-,-,-
"S00161630",76,65,1,35,25,10,8,2,-,-
"S00161631",63,61,3,20,35,7,4,3,-,-
"S00161632",116,9,-,6,1,109,109,-,-,-
"S00161633",62,59,2,7,50,3,3,-,-,-
"S00161634",115,12,1,4,9,99,101,4,-,-
"S00161635",95,33,2,15,16,62,62,-,-,-
"S00161636",102,45,-,17,28,57,57,-,-,-
"S00161637",152,5,-,-,5,147,146,-,1,-
"S00161638",130,127,-,74,49,3,3,-,-,-
"S00161639",105,61,23,4,36,41,41,-,-,-
"S00161640",122,11,-,10,1,111,111,-,-,-
"S00161641",125,11,3,6,-,116,114,4,-,-
"S00161642",64,6,-,-,6,58,54,-,4,-
"S00161643",215,198,78,102,14,20,20,-,-,-
"S00161644",138,127,2,58,69,6,6,-,-,-
"S00161645",102,102,42,53,7,-,-,-,-,-
"S00161646",114,96,4,67,24,19,19,-,-,-
"S00161647",76,7,4,2,2,71,71,-,-,-
"S00161648",134,122,16,42,64,12,12,2,-,-
"S00161649",147,17,-,12,3,130,122,2,-,-
"S00161650",179,16,2,8,8,163,161,-,-,-
"S00161651",66,2,-,-,2,64,64,-,-,-
"S00161652",121,115,-,61,55,6,6,-,-,-
"S00161653",77,18,3,13,2,59,58,1,-,-
"S00161654",146,5,-,-,5,141,141,-,-,-
"S00161655",130,20,2,15,3,110,110,-,-,-
"S00161656",113,14,-,6,8,99,99,-,-,-
"S00161657",161,6,4,-,4,159,153,1,7,-
"S00161658",93,46,-,45,1,47,47,-,-,-
"S00161659",99,9,2,3,4,90,89,1,-,-
"S00161660",176,101,5,71,28,75,68,7,-,-
"S00161661",99,36,6,13,21,62,61,1,-,-
"S00161662",100,8,-,1,7,92,92,-,-,-
"S00161663",71,4,3,-,1,70,70,-,-,-
"S00161664",88,38,18,16,6,48,47,4,-,-
"S00161665",126,122,41,54,26,4,4,-,-,-
"S00161666",83,62,2,20,37,21,15,6,-,-
"S00161667",97,-,-,-,-,97,97,-,-,-
"S00161668",116,92,36,46,10,21,21,-,-,-
"S00161669",177,88,38,25,29,88,88,-,-,-
"S00161670",85,11,4,7,-,74,74,-,-,-
"S00161671",75,74,4,23,47,1,1,-,-,-
"S00161672",156,131,32,49,50,25,25,-,-,-
"S00161673",157,149,45,87,17,8,8,-,-,-
"S00161674",137,24,5,11,8,116,113,-,1,-
"S00161675",106,20,-,12,8,86,86,-,-,-
"S00161676",90,-,-,-,-,86,79,6,-,2
"S00161677",88,2,-,2,-,87,85,-,-,-
"S00161678",106,22,15,5,-,84,84,-,-,-
"S00161679",109,83,22,50,6,25,22,5,-,-
"S00161680",77,9,-,6,3,64,64,-,-,-
"S00161681",85,-,-,-,-,85,85,-,-,-
"S00161682",94,89,3,32,54,5,5,-,-,-
"S00161683",203,172,44,117,13,31,10,21,-,-
"S00161684",119,111,4,46,61,5,5,-,-,1
"S00161685",143,15,3,8,2,128,123,5,-,-
"S00161686",98,79,60,8,9,18,18,-,-,-
"S00161687",112,109,2,81,26,3,3,-,-,-
"S00161688",107,13,-,9,4,94,91,3,-,-
"S00161689",183,181,11,98,72,2,2,-,-,-
"S00161690",152,143,14,87,42,9,9,-,-,-
"S00161691",121,95,3,33,58,22,22,-,-,-
"S00161692",142,141,5,96,40,1,1,-,-,-
"S00161693",177,170,52,107,11,7,7,-,-,-
"S00161694",74,12,-,11,-,62,62,-,-,-
"S00161695",65,61,-,23,38,8,4,2,-,-
"S00161696",133,36,15,11,10,97,97,-,-,-
"S00161697",75,13,5,-,8,62,62,-,-,-
"S00161698",122,13,-,7,6,109,109,-,-,-
"S00161699",97,28,-,14,14,69,67,-,2,-
"S00161700",141,134,85,45,2,7,7,-,-,-
"S00161701",116,23,-,8,11,97,97,-,-,-
"S00161702",87,84,3,10,71,5,5,-,-,-
"S00161703",71,68,10,32,25,3,3,-,-,-
"S00161704",118,114,21,54,40,4,4,-,-,-
"S00161705",94,52,-,5,47,42,42,-,-,-
"S00161706",100,22,1,17,4,75,75,-,-,-
"S00161707",137,91,11,56,24,46,46,-,-,-
"S00161708",106,11,5,5,-,91,91,-,-,-
"S00161709",77,8,5,2,-,69,69,-,-,-
"S00161710",76,24,-,-,24,52,52,-,-,-
"S00161711",123,84,-,23,60,45,45,-,-,-
"S00161712",110,110,2,92,18,-,-,-,-,-
"S00161713",109,54,1,39,18,51,51,-,-,-
"S00161714",106,5,-,-,5,101,100,1,-,-
"S00161715",133,129,2,127,-,6,6,-,-,-
"S00161716",100,7,-,7,1,93,93,-,-,-
"S00161717",125,117,-,106,11,8,8,-,-,-
"S00161718",92,68,26,24,19,20,20,-,-,-
"S00161719",138,48,1,10,36,90,87,4,-,-
"S00161720",152,149,10,128,11,3,3,-,-,-
"S00161721",188,184,27,151,6,4,4,-,-,-
"S00161722",99,27,12,14,1,72,72,-,-,-
"S00161723",66,10,-,2,5,56,55,1,-,-
"S00161724",81,77,51,24,2,1,1,-,-,-
"S00161725",111,7,-,6,1,104,104,-,-,-
"S00161726",168,168,70,71,23,-,-,-,-,-
"S00161727",123,80,-,36,44,43,43,-,-,-
"S00161728",189,119,50,67,2,70,70,-,-,-
"S00161729",155,26,4,9,11,126,120,-,12,-
"S00161730",109,75,6,66,-,34,23,-,15,-
"S00161731",182,181,5,102,74,1,1,-,-,-
"S00161732",123,123,50,66,6,-,-,-,-,-
"S00161733",144,114,1,73,40,31,27,1,2,-
"S00161734",170,163,-,159,4,4,4,-,-,-
"S00161735",140,17,-,7,9,123,121,2,-,-
"S00161736",110,8,8,-,-,104,104,-,-,-
"S00161737",140,131,10,42,81,10,10,-,-,-
"S00161738",93,82,6,28,48,11,11,-,-,-
"S00161739",162,151,28,121,1,9,5,4,-,-
"S00161740",75,-,-,-,-,75,75,-,-,-
"S00161741",131,86,3,-,83,42,42,-,-,-
"S00161742",118,118,25,26,67,-,-,-,-,-
"S00161743",118,115,-,115,-,4,4,-,-,-
"S00161744",87,3,2,2,-,84,82,2,-,-
"S00161745",105,103,8,46,48,2,2,-,-,-
"S00161746",142,142,4,132,2,-,-,-,-,-
"S00161747",62,22,2,5,15,40,38,-,2,-
"S00161748",94,11,5,6,-,83,83,-,-,-
"S00161749",88,14,3,9,2,74,74,-,-,-
"S00161750",119,114,-,114,-,8,8,-,-,-
"S00161751",80,10,1,8,-,70,70,-,-,-
"S00161752",151,10,2,8,-,143,143,-,-,-
"S00161753",113,11,-,11,-,102,102,-,-,-
"S00161754",84,7,2,2,3,77,77,-,-,-
"S00161755",121,29,2,4,23,94,90,4,-,-
"S00161756",93,10,-,8,3,83,81,2,-,-
"S00161757",82,79,2,28,49,5,5,-,-,-
"S00161758",66,2,-,-,2,64,64,-,-,-
"S00161759",125,12,-,7,5,113,113,-,-,-
"S00161760",95,15,4,9,2,80,79,2,-,-
"S00161761",100,5,3,-,2,94,94,-,4,-
"S00161762",80,2,-,-,2,78,77,1,-,-
"S00161763",126,9,-,7,-,117,117,-,-,-
"S00161764",111,10,4,4,3,102,102,-,-,-
"S00161765",79,10,-,8,2,69,69,-,-,-
"S00161766",74,23,3,12,6,51,46,5,-,-
"S00161767",112,108,56,47,5,4,4,-,-,-
"S00161768",77,19,6,10,3,59,59,-,-,-
"S00161769",107,73,1,24,44,41,41,-,-,-
"S00161770",166,134,38,46,56,35,35,-,-,-
"S00161771",63,54,-,50,2,10,10,-,-,-
"S00161772",82,15,-,12,3,69,69,-,-,-
"S00161773",164,152,5,145,-,8,8,-,-,-
"S00161774",182,171,13,162,3,11,11,-,-,-
"S00161775",180,176,12,147,17,4,4,-,-,-
"S00161776",84,12,2,6,3,72,71,2,-,-
"S00161777",106,12,-,6,8,94,93,1,-,-
"S00161778",89,26,-,22,6,61,61,-,-,-
"S00161779",113,32,10,17,5,81,81,-,-,-
"S00161780",97,68,-,12,56,29,27,-,-,-
"S00161781",134,13,-,8,5,121,121,-,-,-
"S00161782",141,54,2,7,45,87,87,-,-,-
"S00161783",76,3,-,3,-,73,73,-,-,-
"S00161784",145,137,6,33,98,8,6,2,-,-
"S00161785",100,5,-,4,-,90,90,-,-,7
"S00161786",97,2,-,-,2,91,86,-,4,4
"S00161787",98,86,3,52,29,15,12,1,-,-
"S00161788",97,20,-,12,7,75,73,1,-,-
"S00161789",134,4,-,-,4,130,128,2,-,-
"S00161790",85,68,-,2,68,13,13,-,-,-
"S00161791",118,6,-,6,-,112,112,-,-,-
"S00161792",193,187,3,182,-,5,5,-,-,-
"S00161793",157,53,15,36,2,104,103,2,-,-
"S00161794",86,18,11,4,3,68,68,-,-,-
"S00161795",81,76,-,50,26,8,8,-,-,-
"S00161796",191,111,17,32,59,84,84,-,-,-
"S00161797",82,15,-,13,2,70,70,-,-,-
"S00161798",102,6,-,2,4,98,98,-,-,-
"S00161799",60,4,-,3,1,56,56,-,-,-
"S00161800",224,223,109,110,7,-,-,-,-,-
"S00161801",98,92,-,38,54,3,3,-,-,-
"S00161802",92,7,-,4,2,85,82,3,-,-
"S00161803",105,19,-,9,6,88,88,-,-,-
"S00161804",107,5,5,-,-,102,102,-,-,-
"S00161805",68,23,14,6,3,45,45,-,-,-
"S00161806",140,137,73,61,-,3,3,-,-,-
"S00161807",155,71,8,42,21,84,83,-,-,-
"S00161808",68,-,-,-,-,68,67,1,-,-
"S00161809",96,40,-,19,21,56,56,-,-,-
"S00161810",84,8,-,7,1,76,76,-,-,-
"S00161811",98,92,-,78,11,6,6,-,-,-
"S00161812",121,123,-,116,4,3,3,-,-,-
"S00161813",89,14,-,14,-,72,70,7,-,-
"S00161814",149,5,-,-,5,146,146,-,-,-
"S00161815",293,278,162,86,30,17,17,-,-,-
"S00161816",129,4,-,4,-,126,126,-,-,-
"S00161817",105,42,8,21,11,62,61,1,-,1
"S00161818",105,14,6,4,5,91,91,-,-,-
"S00161819",187,182,1,176,5,5,5,-,-,-
"S00161820",76,5,-,4,1,75,75,-,-,-
"S00161821",74,1,1,-,-,77,77,-,-,-
"S00161822",84,-,-,-,-,84,84,-,-,-
"S00161823",91,3,-,-,3,85,80,10,-,-
"S00161824",86,12,-,10,2,74,73,1,-,-
"S00161825",73,11,-,6,5,62,62,-,-,-
"S00161826",138,129,10,117,2,9,9,-,-,-
"S00161827",102,91,23,32,40,11,11,-,-,-
"S00161828",87,1,-,-,1,84,84,-,-,-
"S00161829",163,146,6,36,104,17,17,-,-,-
"S00161830",73,14,-,12,3,61,61,-,-,-
"S00161831",240,235,82,145,8,6,6,-,-,-
"S00161832",74,5,-,-,5,72,72,-,-,-
"S00161833",145,102,-,74,28,43,43,-,-,-
"S00161834",93,93,2,89,4,-,-,-,-,-
"S00161835",137,5,2,2,2,131,131,-,-,-
"S00161836",204,33,6,8,21,169,159,10,-,-
"S00161837",99,9,-,3,8,90,90,-,-,-
"S00161838",190,74,16,11,49,112,112,-,-,-
"S00161839",93,90,10,39,40,3,3,-,-,-
"S00161840",89,7,-,1,7,81,81,-,-,-
"S00161841",101,21,1,-,20,80,80,-,-,-
"S00161842",102,95,-,25,68,7,5,5,-,-
"S00161843",74,20,-,6,19,51,51,-,-,-
"S00161844",116,110,12,71,23,10,10,-,-,-
"S00161845",90,90,11,79,-,-,-,-,-,-
"S00161846",104,65,-,49,13,42,31,3,6,-
"S00161847",135,66,8,32,25,70,70,-,-,-
"S00161848",135,124,19,78,25,17,17,-,-,-
"S00161849",108,108,14,38,56,-,-,-,-,-
"S00161850",117,113,11,100,2,1,1,-,-,-
"S00161851",101,-,-,-,-,101,101,-,-,-
"S00161852",101,64,-,26,38,34,34,-,-,-
"S00161853",140,10,-,10,-,132,132,-,-,-
"S00161854",100,84,10,33,41,16,16,-,-,-
"S00161855",132,128,10,115,3,4,4,-,-,-
"S00161856",89,71,10,60,3,16,16,-,-,-
"S00161857",142,110,14,91,5,32,32,-,-,-
"S00161858",132,85,6,56,23,47,43,4,-,-
"S00161859",129,99,-,45,54,30,30,-,-,-
"S00161860",187,182,173,9,-,5,5,-,-,-
"S00161861",123,114,53,61,-,11,11,-,-,-
"S00161862",130,107,7,27,73,23,21,2,-,-
"S00161863",254,248,243,5,4,2,2,-,-,-
"S00161864",102,64,-,22,45,35,35,-,-,-
"S00161865",62,2,-,-,2,60,60,-,-,-
"S00161866",84,6,-,1,3,79,79,-,-,-
"S00161867",146,68,12,45,11,78,78,-,-,-
"S00161868",145,74,8,41,22,68,68,-,-,-
"S00161869",105,96,16,54,28,11,11,-,-,-
"S00161870",80,-,-,-,-,80,80,-,-,-
"S00161871",123,109,61,40,9,19,19,-,-,-
"S00161872",94,16,1,4,11,78,78,-,-,-
"S00161873",127,45,-,39,6,82,80,2,-,-
"S00161874",128,41,12,11,18,87,87,-,-,-
"S00161875",112,11,-,7,3,102,102,-,-,-
"S00161876",139,23,-,24,3,112,111,8,-,-
"S00161877",88,-,-,-,-,88,88,-,-,-
"S00161878",75,14,4,2,9,61,61,-,-,-
"S00161879",127,37,1,36,-,90,90,-,-,-
"S00161880",62,9,5,-,-,56,55,-,-,-
"S00161881",75,24,6,8,8,51,51,-,-,-
"S00161882",133,-,-,-,-,133,133,-,-,-
"S00161883",228,224,211,14,-,4,-,4,-,-
"S00161884",120,22,-,5,17,98,93,5,-,-
"S00161885",130,28,-,27,1,102,102,-,-,-
"S00161886",142,19,3,11,2,125,125,-,-,-
"S00161887",130,118,20,32,68,10,10,-,-,-
"S00161888",113,21,-,12,9,89,89,-,-,-
"S00161889",81,9,3,1,2,74,74,-,-,-
"S00161890",73,68,13,33,22,5,5,-,-,-
"S00161891",79,2,-,-,2,77,77,-,-,-
"S00161892",115,12,1,6,5,106,106,-,-,-
"S00161893",174,111,19,26,69,60,60,-,-,-
"S00161894",99,91,5,58,28,8,8,-,-,-
"S00161895",158,151,3,68,80,7,7,-,-,-
"S00161896",179,136,5,75,59,42,39,3,-,-
"S00161897",152,13,-,7,6,139,129,8,-,-
"S00161898",118,5,-,-,5,114,114,-,-,-
"S00161899",65,10,-,2,8,55,55,-,-,-
"S00161900",146,144,58,34,52,2,2,-,-,-
"S00161901",127,38,-,5,31,89,89,-,-,-
"S00161902",108,42,2,8,32,66,66,-,-,-
"S00161903",131,60,4,35,21,71,71,-,-,-
"S00161904",140,54,10,16,25,89,89,-,-,-
"S00161905",99,98,89,9,-,4,4,-,-,-
"S00161906",145,139,22,37,78,8,5,1,-,-
"S00161907",174,110,18,82,12,66,66,-,-,-
"S00161908",122,76,13,43,20,44,44,-,-,2
"S00161909",133,5,-,5,-,126,126,-,-,-
"S00161910",145,128,123,1,4,17,17,-,-,-
"S00161911",103,10,-,5,5,94,94,-,-,-
"S00161912",92,91,7,76,4,1,1,-,-,-
"S00161913",124,9,1,8,-,119,119,-,-,-
"S00161914",65,5,5,-,-,60,60,-,-,-
"S00161915",113,-,-,-,-,113,113,-,-,-
"S00161916",138,92,1,55,35,46,46,-,-,-
"S00161917",108,20,-,22,-,85,85,-,-,-
"S00161918",181,171,61,108,2,10,5,5,-,-
"S00161919",115,87,-,24,63,28,28,-,-,-
"S00161920",77,5,-,6,1,73,60,12,-,-
"S00161921",177,66,-,4,62,111,111,-,-,-
"S00161922",114,9,-,-,9,105,93,12,-,-
"S00161923",228,224,212,12,-,4,4,-,-,-
"S00161924",80,4,-,4,3,75,74,2,-,-
"S00161925",65,23,-,11,12,46,46,-,-,-
"S00161926",114,11,1,6,3,98,98,-,-,5
"S00161927",67,-,-,-,-,67,66,1,-,-
"S00161928",101,1,-,1,-,101,101,-,-,-
"S00161929",140,133,13,18,102,6,6,-,-,1
"S00161930",144,140,40,94,6,4,3,1,-,-
"S00161931",124,70,20,36,14,54,52,2,-,-
"S00161932",63,14,-,-,13,49,49,-,-,-
"S00161933",112,112,102,10,-,-,-,-,-,-
"S00161934",66,43,13,28,1,22,22,-,-,-
"S00161935",153,153,94,53,3,-,-,-,-,-
"S00161936",88,79,24,21,35,9,6,3,-,-
"S00161937",96,8,-,8,-,89,89,-,-,-
"S00161938",82,3,-,-,3,75,77,-,1,-
"S00161939",107,25,1,11,18,75,75,-,-,-
"S00161940",210,205,100,105,-,5,5,-,-,-
"S00161941",65,4,1,2,1,65,65,-,-,-
"S00161942",113,110,42,64,-,3,3,-,-,-
"S00161943",65,3,-,-,3,60,60,1,-,-
"S00161944",110,104,59,40,2,3,2,4,-,-
"S00161945",75,5,-,5,-,72,70,-,1,-
"S00161946",106,1,-,-,1,104,101,6,-,-
"S00161947",95,42,-,38,3,49,49,-,-,-
"S00161948",130,115,3,67,42,17,13,4,-,-
"S00161949",97,24,-,24,-,71,71,-,-,-
"S00161950",91,-,-,-,-,91,91,-,-,-
"S00161951",101,63,3,17,43,36,36,-,-,-
"S00161952",93,49,5,18,28,41,41,-,-,-
"S00161953",281,275,176,80,19,4,4,2,-,-
"S00161954",89,-,-,-,-,89,88,-,1,-
"S00161955",219,212,155,31,26,5,5,-,-,-
"S00161956",130,118,20,63,35,15,15,-,-,-
"S00161957",118,68,19,34,17,50,48,2,-,-
"S00161958",162,150,71,66,13,12,12,-,-,-
"S00161959",154,31,6,11,14,123,123,-,-,-
"S00161960",91,8,1,4,3,83,83,-,-,-
"S00161961",75,44,-,7,35,33,33,-,-,-
"S00161962",88,82,8,34,35,8,8,-,-,-
"S00161963",153,110,8,50,49,46,41,3,-,-
"S00161964",111,76,-,30,43,36,36,-,-,-
"S00161965",172,151,25,100,26,23,23,-,-,-
"S00161966",71,7,-,7,-,60,60,-,-,-
"S00161967",85,24,2,18,3,62,62,-,-,-
"S00161968",72,33,1,25,5,39,39,-,-,-
"S00161969",159,44,4,9,31,112,112,-,-,-
"S00161970",78,21,-,12,9,57,57,-,-,-
"S00161971",71,3,-,3,-,68,68,-,-,-
"S00161972",95,3,-,1,2,93,93,-,-,-
"S00161973",62,6,-,-,6,56,56,-,-,-
"S00161974",62,36,2,27,7,26,26,-,-,-
"S00161975",151,64,2,15,49,87,87,-,-,-
"S00161976",89,1,-,-,1,88,88,-,-,-
"S00161977",74,21,-,16,5,53,53,-,-,-
"S00161978",130,92,16,44,32,35,35,-,-,3
"S00161979",94,28,-,4,20,66,66,-,-,-
"S00161980",138,138,91,34,13,-,-,-,-,-
"S00161981",112,21,1,10,7,91,91,-,-,-
"S00161982",129,24,1,9,11,101,101,-,-,-
"S00161983",78,40,2,12,26,42,40,2,-,-
"S00161984",99,56,-,56,-,45,45,-,-,-
"S00161985",169,85,5,30,52,82,83,1,-,-
"S00161986",147,98,39,54,7,47,47,-,-,-
"S00161987",111,41,2,22,19,70,70,-,-,-
"S00161988",107,21,-,10,11,86,86,-,-,-
"S00161989",132,85,30,43,12,47,46,2,-,-
"S00161990",162,162,103,48,8,-,-,-,-,-
"S00161991",163,113,13,39,63,50,50,-,-,-
"S00161992",158,153,71,44,41,5,5,-,-,-
"S00161993",131,119,9,51,57,16,16,-,-,-
"S00161994",191,139,-,52,89,47,47,-,-,-
"S00161995",250,249,188,45,16,1,1,-,-,-
"S00161996",154,148,28,109,11,6,6,-,-,-
"S00161997",214,175,18,43,112,38,37,-,-,-
"S00161998",82,75,-,13,62,7,7,-,-,-
"S00161999",140,88,35,48,5,50,49,-,-,2
"S00162000",91,78,1,15,62,13,13,-,-,-
"S00162001",108,9,3,-,6,99,99,-,-,-
"S00162002",62,25,9,4,11,38,38,-,-,-
"S00162003",165,155,106,45,8,6,5,1,-,-
"S00162004",124,114,42,68,4,13,13,-,-,-
"S00162005",137,110,36,76,-,27,25,2,-,-
"S00162006",128,120,77,34,9,4,4,-,-,-
"S00162007",74,12,-,6,3,62,62,-,-,-
"S00162008",125,10,1,-,7,117,117,-,-,-
"S00162009",211,204,67,31,106,7,7,-,-,-
"S00162010",198,123,12,56,55,75,67,5,-,-
"S00162011",74,71,16,50,4,3,3,-,-,-
"S00162012",149,142,14,78,50,7,7,-,-,-
"S00162013",106,30,-,16,18,75,75,-,-,-
"S00162014",104,91,81,8,-,15,15,-,-,-
"S00162015",154,139,127,5,7,15,15,-,-,-
"S00162016",125,51,6,32,11,74,77,1,-,-
"S00162017",148,10,8,-,2,138,138,-,-,-
"S00162018",117,77,5,13,55,40,40,-,-,-
"S00162019",154,137,116,7,13,12,6,-,7,-
"S00162020",82,23,10,-,13,59,59,-,-,-
"S00162021",127,114,104,4,7,11,8,3,-,1
"S00162022",142,127,53,54,18,15,15,-,-,-
"S00162023",204,202,159,38,3,4,4,-,-,-
"S00162024",63,9,5,4,4,57,57,-,-,-
"S00162025",138,91,73,18,-,47,47,-,-,-
"S00162026",62,40,28,11,1,26,25,1,-,-
"S00162027",96,95,20,25,46,1,1,-,-,-
"S00162028",101,64,8,35,21,39,26,2,9,-
"S00162029",108,83,79,5,-,25,24,1,-,-
"S00162030",141,120,96,15,12,18,18,-,-,-
"S00162031",129,111,64,27,20,18,15,2,-,-
"S00162032",127,124,85,2,37,3,3,-,-,-
"S00162033",193,179,162,9,8,10,7,3,-,-
"S00162034",141,138,117,8,13,1,1,-,-,-
"S00162035",121,114,105,9,-,2,2,-,-,8
"S00162036",89,89,87,5,-,-,-,-,-,-
"S00162037",163,159,138,18,5,-,-,-,-,3
"S00162038",89,89,80,4,7,-,-,-,-,-
"S00162039",94,93,93,-,-,1,1,-,-,-
"S00162040",174,177,157,13,1,-,-,-,-,1
"S00162041",106,99,89,11,3,6,2,-,3,-
"S00162042",101,96,61,29,6,1,1,-,-,-
"S00162043",116,115,106,10,3,2,-,-,2,-
"S00162044",107,109,89,18,-,2,2,-,-,1
"S00162045",151,151,134,17,-,-,-,-,-,-
"S00162046",89,88,88,-,-,-,-,-,-,1
"S00162047",126,122,83,31,6,4,3,1,-,-
"S00162048",135,133,117,4,12,2,-,-,2,-
"S00162049",84,84,27,54,3,-,-,-,-,-
"S00162050",192,192,174,8,4,-,-,-,-,-
"S00162051",90,87,48,39,-,3,3,-,-,-
"S00162052",134,135,11,111,8,1,1,-,-,-
"S00162053",100,100,79,21,3,-,-,-,-,-
"S00162054",90,90,80,10,-,-,-,-,-,-
"S00162055",90,84,64,15,5,3,1,1,-,-
"S00162056",159,159,135,20,4,-,-,-,-,-
"S00162057",76,76,48,28,-,-,-,-,-,-
"S00162058",64,63,53,7,-,-,-,-,-,1
"S00162059",161,161,149,11,1,-,-,-,-,-
"S00162060",122,120,101,16,3,-,-,-,-,2
"S00162061",127,127,110,12,1,-,-,-,-,-
"S00162062",86,86,75,1,8,-,-,-,-,-
"S00162063",100,100,70,30,-,-,-,-,-,-
"S00162064",122,122,77,42,-,-,-,-,-,-
"S00162065",121,80,10,28,46,41,26,6,6,-
"S00162066",144,103,24,56,23,45,41,4,-,-
"S00162067",132,132,98,29,5,-,-,-,-,-
"S00162068",132,131,90,23,19,3,3,-,-,-
"S00162069",70,68,29,15,28,-,-,-,-,-
"S00162070",121,105,14,56,38,16,14,-,1,-
"S00162071",87,62,1,35,26,25,22,3,-,-
"S00162072",86,75,5,65,7,15,10,2,-,-
"S00162073",129,118,8,90,20,11,8,2,-,-
"S00162074",84,56,16,20,23,31,26,-,2,-
"S00162075",61,49,6,11,32,12,12,-,-,-
"S00162076",130,130,8,110,12,-,-,-,-,-
"S00162077",77,77,13,55,9,-,-,-,-,-
"S00162078",85,81,32,21,32,4,2,3,-,-
"S00162079",147,140,40,38,57,8,1,3,3,-
"S00162080",107,105,8,82,15,2,-,2,-,-
"S00162081",73,24,7,7,10,47,31,-,14,2
"S00162082",81,74,4,40,31,6,6,-,-,-
"S00162083",153,152,49,99,4,1,-,1,-,-
"S00162084",84,77,6,64,7,7,6,1,-,-
"S00162085",88,86,-,47,35,3,-,3,-,-
"S00162086",104,101,1,55,45,2,2,-,-,-
"S00162087",126,124,7,111,6,3,3,-,-,-
"S00162088",89,89,7,43,39,-,-,-,-,-
"S00162089",121,105,64,22,22,13,12,-,-,-
"S00162090",102,56,-,21,33,49,49,-,-,-
"S00162091",73,73,-,45,21,1,1,-,-,-
"S00162092",80,73,-,54,22,4,4,-,-,-
"S00162093",77,50,2,25,20,30,30,-,-,-
"S00162094",97,73,24,40,2,23,18,5,-,2
"S00162095",82,46,15,20,15,28,22,7,3,-
"S00162096",100,99,2,85,13,-,-,-,-,-
"S00162097",84,75,37,37,1,12,12,-,-,-
"S00162098",121,101,5,96,-,20,20,-,-,-
"S00162099",135,135,8,61,63,4,4,-,-,-
"S00162100",126,126,2,120,7,-,-,-,-,-
"S00162101",75,74,5,42,27,2,2,-,-,-
"S00162102",143,102,46,38,25,38,35,3,-,-
"S00162103",88,80,11,28,39,8,3,-,2,-
"S00162104",92,58,38,18,6,30,28,2,-,-
"S00162105",111,108,2,69,35,3,3,-,-,-
"S00162106",141,139,5,117,14,2,2,-,-,-
"S00162107",58,62,2,14,43,3,3,-,-,-
"S00162108",122,117,6,67,44,5,1,-,4,-
"S00162109",85,85,36,27,23,-,-,-,-,-
"S00162110",122,118,52,45,20,4,4,-,-,-
"S00162111",121,117,83,32,4,4,4,-,-,-
"S00162112",71,71,9,65,1,-,-,-,-,-
"S00162113",104,104,7,80,18,-,-,-,-,-
"S00162114",126,125,5,47,73,2,2,-,-,-
"S00162115",103,101,45,39,17,-,-,-,-,-
"S00162116",110,110,47,13,50,-,-,-,-,-
"S00162117",91,69,1,45,24,22,22,-,-,-
"S00162118",152,150,6,71,73,2,2,-,-,-
"S00162119",73,64,30,11,27,7,3,4,-,-
"S00162120",155,155,139,13,3,-,-,-,-,-
"S00162121",122,122,13,66,40,-,-,-,-,-
"S00162122",111,103,8,15,76,7,6,2,-,-
"S00162123",127,125,4,90,31,2,2,-,-,-
"S00162124",98,95,3,71,22,2,-,2,-,-
"S00162125",109,109,101,6,3,-,-,-,-,-
"S00162126",86,84,21,22,43,2,2,-,-,-
"S00162127",140,138,23,24,91,2,2,-,-,-
"S00162128",105,92,11,58,25,13,16,1,-,-
"S00162129",129,127,45,64,18,1,1,-,-,-
"S00162130",83,67,13,20,35,18,18,-,-,-
"S00162131",66,53,4,14,35,17,17,-,-,-
"S00162132",95,95,12,77,5,-,-,-,-,-
"S00162133",109,73,6,26,41,36,36,-,-,-
"S00162134",66,64,6,17,42,-,-,-,-,-
"S00162135",147,147,119,25,1,-,-,-,-,-
"S00162136",110,107,87,16,4,3,3,-,-,-
"S00162137",89,87,2,76,10,1,1,-,-,-
"S00162138",101,92,11,71,13,9,7,2,-,-
"S00162139",96,96,2,88,8,-,-,-,-,-
"S00162140",83,82,78,3,2,-,-,-,-,-
"S00162141",119,115,84,31,-,4,4,-,-,-
"S00162142",95,94,87,7,4,-,-,-,-,-
"S00162143",81,81,61,11,5,-,-,-,-,-
"S00162144",202,192,132,28,32,4,4,-,-,2
"S00162145",129,124,113,6,6,2,2,1,-,3
"S00162146",123,123,47,78,-,-,-,-,-,-
"S00162147",165,164,130,33,1,1,-,1,-,-
"S00162148",142,131,102,28,1,9,4,-,5,2
"S00162149",116,108,96,12,3,5,2,-,1,-
"S00162150",122,120,96,23,1,3,3,-,-,-
"S00162151",131,130,117,13,-,-,-,-,-,1
"S00162152",102,97,70,27,-,4,4,-,-,-
"S00162153",128,131,56,53,22,2,2,-,-,-
"S00162154",97,97,80,4,9,-,-,-,-,-
"S00162155",76,76,67,9,-,-,-,-,-,-
