Scotland's Census 2022 - National Records of Scotland
Table UV205 - Religion
All people

,"All people","Church of Scotland","Roman Catholic","Other Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Pagan","Other religion","No religion","Religion not stated"
"S00135730",107,17,16,15,-,-,-,-,-,1,-,56,3
"S00135731",85,17,-,4,1,7,1,2,-,-,-,53,4
"S00135732",98,9,4,6,-,-,-,1,-,-,-,69,9
"S00135733",84,7,21,11,-,1,-,-,-,1,-,42,-
"S00135734",192,17,26,32,-,7,-,6,-,3,1,89,12
"S00135735",102,14,4,9,4,2,-,2,-,-,2,58,8
"S00135736",81,12,6,8,-,-,-,-,-,2,-,42,9
"S00135737",89,6,14,8,1,-,-,-,-,-,1,42,15
"S00135738",185,5,10,9,-,3,4,4,-,-,1,137,9
"S00135739",120,2,24,8,2,-,-,11,-,1,-,64,6
"S00135740",98,7,10,15,-,-,-,-,-,-,-,56,6
"S00135741",69,11,4,2,-,-,1,-,-,-,-,52,1
"S00135742",99,16,-,8,-,-,-,7,-,-,-,60,3
"S00135743",100,5,22,4,-,-,-,2,-,-,-,64,2
"S00135744",98,12,15,1,-,-,-,-,-,-,-,69,1
"S00135745",116,9,21,14,-,4,-,-,-,-,2,65,7
"S00135746",61,6,1,4,-,-,-,-,-,-,-,49,3
"S00135747",90,13,11,2,-,-,-,-,-,-,-,56,5
"S00135748",121,13,14,1,3,-,-,-,2,-,2,80,6
"S00135749",63,9,8,3,-,-,-,2,-,2,1,31,8
"S00135750",101,10,12,16,-,-,-,-,-,2,-,58,4
"S00135751",120,14,17,10,-,-,-,-,-,3,-,68,8
"S00135752",92,-,19,2,-,-,-,4,-,-,1,55,5
"S00135753",97,4,6,10,-,3,-,-,-,1,1,59,10
"S00135754",119,12,6,4,-,-,-,2,-,-,-,80,16
"S00135755",166,1,78,5,3,-,-,14,-,-,-,61,8
"S00135756",86,9,15,4,1,-,-,3,-,4,-,50,2
"S00135757",111,17,20,4,-,-,1,2,-,-,-,59,5
"S00135758",108,13,3,11,-,-,-,-,-,-,-,73,7
"S00135759",83,3,8,3,-,-,-,5,-,-,-,62,3
"S00135760",72,3,30,-,2,-,-,1,-,1,-,31,3
"S00135761",114,3,15,12,-,-,-,-,-,-,-,80,2
"S00135762",110,15,19,8,-,-,-,-,-,1,-,63,4
"S00135763",86,17,3,9,1,-,-,-,2,-,-,46,6
"S00135764",103,10,26,1,-,-,-,-,-,1,-,62,1
"S00135765",141,-,37,6,-,6,1,4,-,-,1,76,10
"S00135766",103,16,13,15,-,-,-,12,-,-,-,43,2
"S00135767",137,7,12,2,-,-,-,-,-,-,-,98,14
"S00135768",218,12,19,7,-,-,-,-,-,-,-,165,13
"S00135769",130,14,5,1,-,13,-,-,-,-,-,86,12
"S00135770",111,4,21,9,-,-,-,2,-,6,-,55,14
"S00135771",124,7,19,8,2,-,-,3,-,-,4,63,12
"S00135772",185,21,23,-,-,-,-,-,-,-,-,134,7
"S00135773",171,3,28,15,-,-,-,-,-,1,-,121,4
"S00135774",78,10,4,4,-,2,-,5,-,1,-,45,9
"S00135775",189,6,37,5,-,-,-,-,-,1,-,135,6
"S00135776",96,7,4,11,-,2,-,7,-,2,1,50,13
"S00135777",159,24,4,-,-,-,-,3,-,-,-,112,16
"S00135778",75,6,11,6,-,-,-,4,-,1,-,45,4
"S00135779",110,22,12,6,2,3,-,5,-,-,-,52,8
"S00135780",105,3,28,17,-,-,-,-,-,2,-,47,9
"S00135781",134,14,2,23,-,1,-,6,-,-,2,68,15
"S00135782",96,18,1,7,-,-,-,2,-,-,1,55,10
"S00135783",158,20,44,17,-,-,-,-,-,-,2,66,6
"S00135784",89,17,5,4,-,-,-,-,-,-,-,68,-
"S00135785",66,6,13,5,-,-,-,-,-,1,-,36,5
"S00135786",162,13,24,11,-,-,-,-,-,-,-,106,6
"S00135787",60,9,16,7,-,-,-,5,-,-,-,13,5
"S00135788",105,11,14,-,-,-,-,-,-,-,-,71,9
"S00135789",101,14,9,1,-,2,-,5,-,-,-,68,3
"S00135790",115,14,16,4,-,-,-,8,-,2,-,57,16
"S00135791",165,9,38,9,-,-,-,-,-,4,-,90,8
"S00135792",102,5,34,11,-,-,-,5,-,-,-,48,-
"S00135793",99,5,16,15,-,-,-,5,-,2,1,47,8
"S00135794",151,29,15,8,1,-,-,-,-,-,-,95,2
"S00135795",92,11,13,6,1,-,-,2,-,1,-,52,7
"S00135796",107,13,15,11,-,4,-,3,-,-,1,49,9
"S00135797",211,9,15,39,5,11,-,19,3,-,-,90,22
"S00135798",77,11,7,10,3,4,-,-,-,-,-,33,11
"S00135799",201,14,19,8,-,10,-,-,-,6,-,132,9
"S00135800",109,17,5,-,2,-,-,9,-,1,-,67,3
"S00135801",78,-,8,5,-,-,-,-,-,-,-,57,7
"S00135802",84,7,8,8,-,-,-,5,-,-,-,51,6
"S00135803",102,18,13,2,-,-,-,-,1,-,1,57,6
"S00135804",109,23,2,6,-,-,-,2,-,-,3,71,5
"S00135805",73,12,3,14,-,4,2,2,-,-,-,31,10
"S00135806",128,8,9,6,1,-,-,-,-,-,4,93,8
"S00135807",104,5,15,12,-,2,-,4,-,-,-,62,6
"S00135808",121,20,35,2,-,1,-,2,-,-,2,42,14
"S00135809",101,18,7,5,-,-,-,-,-,-,-,64,9
"S00135810",129,30,3,18,-,-,-,-,-,-,-,73,2
"S00135811",182,12,36,10,1,1,-,17,-,-,2,96,2
"S00135812",117,2,29,5,2,-,-,-,-,-,1,64,12
"S00135813",113,6,37,1,-,2,-,10,-,2,-,48,11
"S00135814",71,3,16,7,-,-,-,2,-,2,-,40,1
"S00135815",70,16,15,3,-,-,-,2,-,-,-,31,2
"S00135816",106,16,3,12,-,-,-,11,-,-,-,55,5
"S00135817",122,8,26,11,-,-,-,-,2,-,-,71,2
"S00135818",102,18,17,10,-,-,-,3,-,-,-,49,2
"S00135819",116,4,7,10,-,-,-,-,-,-,1,90,6
"S00135820",190,7,18,16,-,-,-,7,-,-,-,128,11
"S00135821",77,18,10,3,-,-,-,-,-,-,-,41,3
"S00135822",141,6,13,20,-,5,-,8,-,-,5,71,11
"S00135823",182,12,27,7,-,-,-,17,-,-,-,114,4
"S00135824",187,18,13,-,-,-,-,12,-,-,-,137,6
"S00135825",107,8,21,2,-,-,-,-,-,-,-,69,8
"S00135826",100,8,12,16,-,-,-,14,-,-,-,50,1
"S00135827",71,6,5,-,-,1,-,-,-,-,-,53,3
"S00135828",139,8,7,20,-,2,-,2,-,1,-,87,14
"S00135829",85,13,15,3,-,-,-,4,-,-,-,42,7
"S00135830",68,12,7,11,-,-,-,-,-,1,-,32,4
"S00135831",115,17,14,7,-,-,-,-,-,-,-,74,5
"S00135832",171,14,36,15,-,-,-,2,-,1,2,86,22
"S00135833",118,8,21,3,-,-,-,-,-,-,-,83,3
"S00135834",104,6,12,5,1,-,-,17,-,-,-,63,4
"S00135835",155,21,28,19,2,3,-,7,-,-,-,71,8
"S00135836",110,8,16,2,1,-,-,-,-,-,-,80,4
"S00135837",143,8,17,6,-,-,-,-,-,-,2,107,5
"S00135838",164,8,16,23,4,3,-,12,-,4,-,85,11
"S00135839",266,13,34,17,-,6,1,11,-,2,-,159,22
"S00135840",166,11,23,23,-,-,-,6,1,-,-,100,7
"S00135841",62,12,3,4,1,-,-,-,-,-,1,34,9
"S00135842",86,22,3,16,4,3,-,-,-,-,-,34,6
"S00135843",80,14,5,4,-,-,-,-,-,-,-,49,8
"S00135844",69,6,7,1,-,-,-,-,-,-,-,50,5
"S00135845",79,8,13,-,-,-,-,-,-,-,-,48,6
"S00135846",113,17,15,4,-,4,-,6,-,-,-,56,12
"S00135847",218,9,21,35,-,5,-,15,-,2,-,123,6
"S00135848",119,8,2,1,-,-,-,7,-,-,1,95,4
"S00135849",68,8,7,7,2,-,-,2,-,-,-,38,7
"S00135850",87,11,15,6,-,-,-,5,-,-,-,53,-
"S00135851",126,4,8,6,-,-,-,-,-,-,-,106,3
"S00135852",71,-,12,10,-,-,-,5,-,2,1,42,2
"S00135853",78,25,10,2,-,1,-,-,-,-,-,36,6
"S00135854",75,12,6,1,-,8,-,-,-,-,1,41,7
"S00135855",94,24,12,14,-,-,1,5,-,4,2,37,8
"S00135856",64,7,2,11,-,-,-,4,-,1,-,35,4
"S00135857",62,8,5,9,2,3,-,4,-,1,-,28,3
"S00135858",64,7,13,4,-,-,-,-,-,-,-,39,1
"S00135859",75,13,13,3,-,-,-,1,-,1,-,38,3
"S00135860",139,7,13,6,-,5,-,3,-,-,-,92,10
"S00135861",101,36,6,10,-,-,-,-,2,-,-,46,2
"S00135862",84,7,9,8,1,-,-,-,-,-,-,53,6
"S00135863",95,12,12,8,-,-,-,-,-,-,-,59,7
"S00135864",90,9,6,6,-,-,-,16,-,2,1,42,10
"S00135865",94,11,1,5,1,-,-,3,-,-,-,66,11
"S00135866",106,-,17,11,6,3,-,22,-,1,-,35,11
"S00135867",104,10,2,17,-,-,-,1,-,-,-,68,3
"S00135868",118,20,10,12,1,5,-,10,-,-,1,46,13
"S00135869",77,11,3,4,-,-,-,14,-,1,-,42,2
"S00135870",74,9,7,8,-,-,-,-,-,-,-,49,4
"S00135871",185,6,16,23,5,1,-,33,-,-,-,89,11
"S00135872",92,19,13,2,-,-,-,-,-,1,-,49,6
"S00135873",119,9,16,10,-,-,-,-,-,-,1,69,12
"S00135874",118,30,6,13,-,4,-,12,-,2,-,50,5
"S00135875",131,5,6,5,-,-,-,4,-,-,-,107,3
"S00135876",107,16,8,3,-,-,-,5,-,4,-,68,4
"S00135877",160,15,15,6,-,-,-,-,-,-,2,115,7
"S00135878",156,7,23,14,-,12,-,15,2,2,-,69,15
"S00135879",86,4,13,3,-,-,-,-,-,-,-,61,6
"S00135880",190,8,17,35,-,5,-,18,-,2,-,94,11
"S00135881",118,13,19,3,-,-,2,3,-,-,-,72,8
"S00135882",107,7,19,1,-,-,-,-,-,-,-,74,6
"S00135883",75,6,14,1,-,-,-,-,-,-,1,50,3
"S00135884",71,8,8,5,-,-,-,-,-,-,-,44,4
"S00135885",80,7,3,8,1,-,-,2,-,-,1,55,7
"S00135886",86,16,5,-,-,-,-,4,-,3,-,52,8
"S00135887",65,12,9,2,-,-,-,-,-,1,1,29,8
"S00135888",106,4,14,19,2,2,-,1,-,2,-,55,8
"S00135889",75,12,3,15,-,7,-,6,-,-,-,29,4
"S00135890",91,10,9,2,-,-,-,-,-,-,-,67,3
"S00135891",82,6,-,4,-,-,-,-,-,1,2,66,3
"S00135892",116,22,5,2,1,4,-,-,-,-,-,70,9
"S00135893",110,13,15,14,1,-,-,2,-,-,-,52,8
"S00135894",114,24,4,5,1,-,-,-,-,-,-,71,8
"S00135895",164,13,51,7,1,-,-,-,-,1,-,75,15
"S00135896",148,7,31,14,1,-,-,1,-,2,-,85,6
"S00135897",147,11,22,16,2,-,-,2,-,1,4,82,5
"S00135898",115,3,12,10,-,-,-,-,-,1,-,77,11
"S00135899",94,3,21,4,-,1,-,21,-,-,-,36,8
"S00135900",123,8,15,15,-,1,-,14,-,-,-,63,5
"S00135901",109,12,8,6,-,-,-,1,-,3,1,68,10
"S00135902",89,5,6,4,-,-,-,-,-,-,-,64,13
"S00135903",117,2,18,4,1,-,-,11,-,1,1,66,13
"S00135904",77,8,10,9,1,2,-,1,-,-,1,42,4
"S00135905",78,8,4,3,-,4,-,-,-,-,-,61,3
"S00135906",64,10,5,2,-,-,-,5,-,-,-,42,1
"S00135907",97,8,9,10,-,-,-,-,-,-,-,59,11
"S00135908",109,9,16,5,-,-,-,-,-,-,-,76,2
"S00135909",70,4,4,4,-,-,-,-,-,2,-,51,4
"S00135910",74,21,2,-,1,-,-,-,-,1,-,46,1
"S00135911",121,6,30,4,-,-,-,-,-,-,-,72,8
"S00135912",120,6,6,18,1,8,-,16,-,1,-,51,10
"S00135913",127,14,9,3,4,9,-,30,2,1,1,46,4
"S00135914",121,21,2,13,2,8,-,13,-,-,-,57,5
"S00135915",131,26,1,12,-,-,-,3,-,-,-,79,10
"S00135916",103,5,7,12,-,9,-,19,-,-,1,47,4
"S00135917",147,16,17,3,-,-,-,-,-,1,-,104,5
"S00135918",120,4,4,2,-,-,-,10,-,2,-,84,12
"S00135919",89,16,6,1,-,4,-,2,-,1,1,47,2
"S00135920",126,23,7,3,-,-,-,-,-,-,-,89,5
"S00135921",121,16,23,3,-,8,-,-,-,-,1,58,15
"S00135922",135,24,4,25,-,-,-,4,-,-,-,66,9
"S00135923",209,15,26,30,-,8,-,11,-,-,1,109,13
"S00135924",99,15,5,1,2,2,-,3,-,-,2,66,5
"S00135925",81,5,7,5,-,-,-,7,1,-,-,54,-
"S00135926",97,21,9,10,1,-,-,-,-,-,2,44,7
"S00135927",126,37,6,9,1,1,-,10,-,-,1,47,10
"S00135928",86,8,16,14,-,-,-,-,-,1,7,38,5
"S00135929",64,14,4,3,-,4,-,-,-,-,1,35,4
"S00135930",140,31,8,9,-,2,-,-,-,-,-,88,5
"S00135931",120,24,-,7,1,9,-,3,-,-,-,71,5
"S00135932",103,13,5,3,-,-,-,4,-,-,-,76,7
"S00135933",131,33,12,10,-,-,-,2,-,1,-,66,6
"S00135934",121,12,15,8,2,-,-,8,-,-,-,62,8
"S00135935",102,25,3,6,5,5,-,-,-,-,-,54,3
"S00135936",118,6,20,15,2,-,-,6,-,-,-,48,19
"S00135937",122,16,16,5,-,-,-,14,-,-,-,62,10
"S00135938",117,11,18,10,-,-,-,-,-,-,-,67,10
"S00135939",73,6,2,8,-,-,-,1,-,-,2,48,-
"S00135940",94,16,7,-,-,-,-,-,-,-,1,57,11
"S00135941",120,9,17,12,-,2,-,2,-,-,-,72,5
"S00135942",142,30,6,11,-,9,2,1,-,2,1,72,8
"S00135943",119,22,10,8,-,2,-,13,-,-,1,58,7
"S00135944",170,33,14,5,-,-,-,-,-,-,-,104,18
"S00135945",79,6,6,14,1,-,-,6,-,-,-,40,8
"S00135946",173,24,8,5,1,-,-,7,-,1,-,114,15
"S00135947",128,14,9,13,-,7,-,5,-,-,-,77,-
"S00135948",134,11,9,16,1,5,-,16,-,-,-,62,14
"S00135949",174,25,10,3,-,16,-,14,-,-,-,93,12
"S00135950",77,9,-,14,1,6,-,4,-,-,-,41,5
"S00135951",135,6,23,4,1,3,-,2,-,2,-,83,8
"S00135952",78,3,9,1,5,-,-,31,-,-,-,25,4
"S00135953",117,9,7,1,3,3,-,-,-,2,-,69,20
"S00135954",151,20,17,33,2,4,-,6,-,-,-,50,15
"S00135955",134,12,11,5,-,-,-,3,-,2,1,91,2
"S00135956",115,22,7,14,-,9,-,-,-,-,1,60,5
"S00135957",110,11,15,17,3,2,-,5,-,2,-,53,3
"S00135958",81,8,5,7,-,-,3,-,-,-,2,54,3
"S00135959",131,29,2,1,-,2,-,3,-,-,-,81,15
"S00135960",165,13,12,4,-,9,-,8,-,1,2,105,8
"S00135961",177,14,17,15,-,6,-,4,-,-,-,110,10
"S00135962",100,8,6,7,-,-,-,12,-,2,-,58,8
"S00135963",192,59,6,2,-,8,-,17,-,-,1,92,6
"S00135964",114,8,9,12,1,-,-,5,-,4,-,73,4
"S00135965",103,9,9,13,2,-,-,14,-,-,-,55,3
"S00135966",86,15,8,5,-,-,-,13,-,-,-,42,6
"S00135967",106,12,15,2,2,12,-,2,-,-,-,54,2
"S00135968",158,18,9,7,2,-,-,2,-,2,-,113,6
"S00135969",79,5,6,6,-,3,-,11,-,-,-,37,10
"S00135970",102,11,4,-,-,10,-,-,-,-,1,68,7
"S00135971",117,9,14,10,2,2,-,2,-,-,1,64,6
"S00135972",94,17,16,4,3,-,-,1,-,-,1,44,5
"S00135973",120,10,5,11,-,3,-,12,-,-,-,74,5
"S00135974",96,18,12,5,1,9,-,-,-,-,-,50,1
"S00135975",82,6,12,-,-,-,-,3,-,-,-,55,8
"S00135976",112,7,9,6,1,-,-,4,-,1,-,75,12
"S00135977",78,7,6,2,1,-,-,-,-,-,-,58,-
"S00135978",117,5,13,8,-,2,-,12,-,4,-,63,6
"S00135979",89,5,4,-,-,-,-,-,-,-,1,76,2
"S00135980",106,14,4,17,-,-,-,3,-,-,-,68,-
"S00135981",156,37,8,22,-,3,-,4,-,-,-,76,6
"S00135982",82,9,6,9,2,2,-,4,-,-,-,42,11
"S00135983",116,10,14,3,-,4,-,2,-,-,-,71,10
"S00135984",117,19,10,7,-,-,-,-,-,-,-,65,17
"S00135985",119,11,12,17,-,-,-,10,-,1,1,64,6
"S00135986",126,10,13,3,-,-,-,-,-,1,2,84,10
"S00135987",77,9,10,8,-,1,-,4,-,-,-,41,3
"S00135988",69,11,3,4,-,3,-,-,-,-,-,33,13
"S00135989",95,8,6,4,2,-,1,3,-,-,-,68,8
"S00135990",69,14,2,1,-,-,-,-,-,-,-,45,8
"S00135991",71,6,4,1,-,2,-,9,-,-,-,46,6
"S00135992",99,16,1,1,-,-,-,-,-,-,-,70,4
"S00135993",107,19,5,11,-,-,-,-,-,-,-,67,4
"S00135994",175,17,17,21,-,-,-,11,-,-,-,98,10
"S00135995",65,4,4,3,-,3,-,-,-,-,-,42,6
"S00135996",176,21,8,14,-,5,-,3,-,-,-,120,6
"S00135997",118,25,5,7,-,4,-,-,-,1,-,60,15
"S00135998",93,-,11,8,3,1,-,6,-,-,-,53,3
"S00135999",99,6,10,13,-,2,-,4,-,-,1,56,6
"S00136000",131,27,11,7,-,3,2,4,-,-,-,76,4
"S00136001",75,14,9,1,-,3,-,-,-,1,2,42,5
"S00136002",108,8,15,11,-,-,-,2,-,-,-,67,5
"S00136003",70,4,7,6,2,3,-,2,-,-,-,45,3
"S00136004",76,13,4,-,2,12,-,-,-,-,-,39,-
"S00136005",146,14,8,6,1,-,-,-,-,-,3,108,6
"S00136006",66,8,1,4,-,3,-,4,-,-,1,42,2
"S00136007",168,20,22,14,-,25,-,10,6,-,1,63,7
"S00136008",78,4,9,10,4,8,-,2,-,-,-,34,3
"S00136009",113,15,5,3,-,-,-,-,-,1,-,85,1
"S00136010",131,15,11,15,-,-,-,-,-,-,-,87,3
"S00136011",126,12,11,8,-,-,-,2,-,-,-,84,8
"S00136012",110,18,7,5,-,-,-,-,-,-,2,71,7
"S00136013",88,5,7,14,-,-,-,3,-,-,-,48,11
"S00136014",121,8,17,19,-,11,-,1,-,-,-,59,7
"S00136015",113,18,10,1,2,-,-,2,-,1,2,70,6
"S00136016",114,1,14,18,-,7,-,5,-,1,2,61,6
"S00136017",153,10,10,20,-,-,-,10,-,-,-,88,15
"S00136018",154,8,9,33,1,-,-,11,1,1,4,76,7
"S00136019",871,36,93,122,2,27,-,32,4,7,5,504,40
"S00136020",134,21,10,4,-,3,-,-,-,-,-,90,5
"S00136021",66,3,7,12,-,-,-,-,-,-,-,31,14
"S00136022",133,4,10,5,-,4,-,17,-,1,-,89,7
"S00136023",65,15,6,5,-,-,-,-,-,1,-,29,4
"S00136024",88,19,21,-,-,-,-,-,-,1,-,45,3
"S00136025",115,6,5,4,-,-,-,-,-,1,-,97,4
"S00136026",139,18,8,4,-,4,1,4,1,1,-,85,13
"S00136027",71,8,4,3,-,2,-,2,-,2,1,42,6
"S00136028",62,6,5,6,-,2,-,1,-,-,-,36,5
"S00136029",92,16,6,7,-,9,-,-,-,-,-,41,11
"S00136030",143,21,2,3,-,6,-,4,-,-,-,86,21
"S00136031",118,14,14,15,1,-,-,4,-,-,2,62,9
"S00136032",108,12,7,6,-,4,-,6,-,1,1,55,18
"S00136033",145,12,15,14,2,28,-,-,-,-,-,64,10
"S00136034",108,2,19,7,-,5,-,8,-,4,1,49,21
"S00136035",129,7,17,19,3,2,-,1,-,-,-,72,8
"S00136036",109,9,2,12,-,-,-,9,1,-,-,59,16
"S00136037",99,13,27,11,-,3,-,-,-,1,1,37,6
"S00136038",81,10,8,2,-,-,-,-,-,1,-,60,-
"S00136039",85,9,13,2,-,4,-,3,-,-,1,47,6
"S00136040",84,9,2,5,-,-,-,-,-,-,-,59,7
"S00136041",146,20,21,6,-,5,-,7,-,-,-,82,8
"S00136042",113,13,18,6,-,-,-,-,2,-,1,68,2
"S00136043",91,18,20,-,-,-,-,-,-,-,-,53,2
"S00136044",63,13,6,4,-,-,-,1,-,-,2,37,-
"S00136045",146,12,7,6,-,3,-,-,-,1,-,118,2
"S00136046",90,11,16,3,-,-,-,-,-,-,2,49,11
"S00136047",131,17,20,18,1,13,2,-,-,-,-,59,7
"S00136048",107,14,17,4,1,-,-,-,-,1,-,70,3
"S00136049",148,27,12,17,-,8,-,28,-,-,-,47,11
"S00136050",143,17,16,10,-,3,-,6,-,-,-,74,13
"S00136051",111,15,19,1,-,-,2,-,-,-,-,68,7
"S00136052",64,4,4,7,-,-,-,6,-,-,-,38,-
"S00136053",94,5,11,8,2,1,-,-,-,1,1,63,4
"S00136054",118,10,15,2,-,1,-,10,-,-,-,77,-
"S00136055",127,14,14,10,-,-,-,2,-,1,-,77,11
"S00136056",94,7,8,6,-,-,-,11,-,-,-,59,1
"S00136057",130,21,17,13,2,13,-,4,-,-,-,57,2
"S00136058",249,25,25,30,-,4,-,8,-,-,1,136,14
"S00136059",91,15,6,2,-,-,-,-,-,-,-,65,2
"S00136060",100,5,22,7,-,-,-,2,-,2,-,59,3
"S00136061",405,23,39,58,5,14,-,19,1,1,1,222,22
"S00136062",90,11,7,7,-,11,-,6,-,-,-,44,4
"S00136063",101,20,4,11,-,1,-,-,-,-,2,55,10
"S00136064",142,28,11,13,-,21,-,1,-,2,-,62,6
"S00136065",102,7,7,9,2,6,-,5,-,-,-,64,4
"S00136066",58,11,3,8,-,-,-,-,-,-,-,42,-
"S00136067",64,12,22,4,-,-,-,1,-,-,-,25,5
"S00136068",123,7,9,22,-,-,-,22,-,1,-,52,13
"S00136069",135,4,11,6,-,8,-,5,-,-,1,95,6
"S00136070",76,15,7,8,-,-,-,-,-,-,-,46,5
"S00136071",204,4,30,42,-,4,-,28,-,-,1,87,8
"S00136072",78,1,6,18,-,4,-,4,-,2,1,40,5
"S00136073",105,10,6,14,-,1,-,7,-,-,-,47,18
"S00136074",96,4,25,2,-,-,-,9,-,1,-,49,5
"S00136075",101,5,18,9,2,-,-,6,-,-,-,61,2
"S00136076",124,10,9,17,1,4,-,4,3,-,3,65,7
"S00136077",98,9,14,9,-,-,-,6,-,-,-,52,4
"S00136078",204,61,18,8,-,4,-,7,-,-,-,98,9
"S00136079",63,3,7,3,-,5,-,5,-,4,1,36,1
"S00136080",140,22,1,14,2,7,-,-,4,-,-,91,2
"S00136081",80,6,2,8,-,3,-,7,-,1,1,50,4
"S00136082",73,4,-,8,-,2,-,-,-,-,-,43,10
"S00136083",105,16,11,5,-,2,-,6,-,3,4,55,2
"S00136084",97,14,3,4,-,-,-,-,-,-,-,73,2
"S00136085",88,15,8,1,-,-,-,1,-,2,4,59,2
"S00136086",90,4,9,12,-,-,-,8,-,-,-,48,4
"S00136087",98,16,4,3,-,-,-,8,-,-,1,58,8
"S00136088",84,2,7,13,1,-,-,4,-,-,2,51,5
"S00136089",155,61,4,11,2,1,-,4,-,1,-,70,3
"S00136090",106,25,13,11,-,3,-,-,-,-,-,54,-
"S00136091",138,17,14,8,-,-,-,3,-,-,-,86,11
"S00136092",173,16,13,10,6,-,-,4,-,1,-,116,9
"S00136093",118,9,18,15,-,4,1,2,-,-,-,58,12
"S00136094",89,1,23,10,-,-,-,15,-,-,2,35,4
"S00136095",62,15,2,7,-,-,-,-,-,-,-,36,3
"S00136096",153,27,13,22,1,15,-,10,-,-,-,57,10
"S00136097",158,6,8,31,1,-,-,4,-,5,-,96,5
"S00136098",94,10,5,3,-,-,-,-,-,-,1,64,11
"S00136099",147,15,12,2,-,-,-,1,-,1,-,113,2
"S00136100",195,41,5,29,1,9,-,28,-,-,-,73,11
"S00136101",102,16,13,4,-,4,-,2,-,-,-,60,5
"S00136102",109,8,23,6,-,-,-,9,-,2,5,51,7
"S00136103",92,13,8,6,-,2,-,-,-,-,-,60,3
"S00136104",102,11,11,2,-,1,-,2,-,-,-,65,12
"S00136105",149,8,16,13,1,-,-,20,2,2,-,74,11
"S00136106",110,1,22,13,-,-,-,13,-,-,-,50,6
"S00136107",125,18,13,26,-,-,-,8,-,2,3,54,1
"S00136108",154,35,10,5,-,21,-,15,-,-,-,63,5
"S00136109",113,19,4,13,-,-,-,-,-,-,-,70,8
"S00136110",85,26,-,6,-,8,-,3,-,-,-,39,8
"S00136111",115,6,18,13,-,-,-,8,-,1,-,57,14
"S00136112",139,15,11,11,-,-,-,-,-,-,1,95,9
"S00136113",85,6,5,4,-,-,-,-,-,-,-,63,7
"S00136114",159,16,19,15,2,-,-,12,-,-,1,90,3
"S00136115",129,12,10,15,-,14,-,-,-,1,-,64,10
"S00136116",87,6,1,4,-,-,-,9,-,-,1,53,9
"S00136117",100,7,9,17,-,5,-,1,-,-,4,47,6
"S00136118",84,6,2,3,-,-,-,-,-,-,2,61,5
"S00136119",86,12,-,-,-,8,-,-,-,-,-,61,6
"S00136120",90,17,2,8,-,1,-,2,-,-,-,57,4
"S00136121",126,28,5,20,-,-,-,-,-,2,1,63,4
"S00136122",121,4,18,13,-,-,1,6,1,1,1,56,15
"S00136123",155,33,21,6,-,-,-,13,-,-,2,77,2
"S00136124",82,12,8,6,-,-,-,-,-,-,-,53,3
"S00136125",102,18,8,-,-,-,-,-,-,-,-,61,12
"S00136126",88,36,5,-,-,2,-,1,-,-,-,38,4
"S00136127",145,14,17,2,-,-,-,-,-,1,-,103,7
"S00136128",70,6,9,11,-,-,-,-,-,-,-,31,6
"S00136129",103,9,5,4,-,-,-,17,-,2,-,66,2
"S00136130",74,8,4,3,1,-,-,1,-,-,-,48,8
"S00136131",81,4,5,11,-,-,-,6,-,1,2,44,9
"S00136132",84,12,5,5,-,-,-,-,-,-,-,57,5
"S00136133",117,22,8,14,-,3,-,4,-,-,-,63,3
"S00136134",92,16,4,-,-,-,-,-,-,2,1,69,5
"S00136135",83,8,11,5,-,-,-,4,-,-,-,48,2
"S00136136",74,9,-,3,-,-,-,-,-,-,-,55,4
"S00136137",97,11,14,8,-,-,-,-,-,-,-,56,8
"S00136138",83,29,1,4,-,-,-,-,-,-,-,45,2
"S00136139",82,41,3,3,-,-,-,-,-,-,-,31,4
"S00136140",121,17,3,2,3,-,-,5,-,-,-,84,6
"S00136141",71,6,8,5,-,6,1,1,-,2,-,38,5
"S00136142",120,4,15,22,1,2,-,11,-,1,-,47,15
"S00136143",67,12,8,5,-,-,-,-,-,1,-,40,-
"S00136144",141,23,2,10,-,-,-,-,-,-,-,97,9
"S00136145",293,4,51,70,-,8,-,10,1,1,2,130,15
"S00136146",112,8,11,18,-,-,-,4,2,1,-,59,5
"S00136147",69,6,12,4,-,-,-,-,-,1,-,41,4
"S00136148",97,19,9,11,-,-,-,-,-,-,-,50,6
"S00136149",80,10,9,1,-,-,-,-,-,-,-,57,3
"S00136150",113,14,7,9,2,1,-,13,1,-,-,58,7
"S00136151",74,6,6,10,-,-,-,-,-,-,-,44,8
"S00136152",84,11,13,1,2,-,-,-,-,-,1,50,2
"S00136153",76,5,8,8,-,1,-,-,-,2,-,49,-
"S00136154",116,8,15,21,-,-,-,8,-,-,2,55,7
"S00136155",117,41,4,8,-,-,-,-,5,-,-,45,14
"S00136156",123,16,6,5,-,20,1,14,-,-,-,60,1
"S00136157",60,4,5,5,-,-,-,6,-,-,-,38,2
"S00136158",133,26,11,7,2,-,-,-,-,-,-,73,11
"S00136159",90,15,7,6,-,-,-,-,-,-,-,61,2
"S00136160",77,13,1,7,-,-,-,-,-,-,-,51,5
"S00136161",107,4,13,5,-,-,-,-,-,-,1,76,4
"S00136162",124,13,19,5,-,2,-,-,-,1,1,79,4
"S00136163",71,6,8,1,-,-,-,-,-,-,-,48,6
