Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00136054",81,79,2
"S00136055",81,76,-
"S00136056",63,62,1
"S00136057",57,50,7
"S00136058",76,68,8
"S00136059",46,42,4
"S00136060",48,45,1
"S00136061",79,79,-
"S00136062",35,33,-
"S00136063",63,60,3
"S00136064",68,62,11
"S00136065",66,64,2
"S00136066",42,37,1
"S00136067",31,26,2
"S00136068",72,71,1
"S00136069",71,66,1
"S00136070",42,41,-
"S00136071",76,73,3
"S00136072",52,50,2
"S00136073",47,46,1
"S00136074",50,53,2
"S00136075",61,61,-
"S00136076",80,80,1
"S00136077",43,41,4
"S00136078",70,70,6
"S00136079",41,39,4
"S00136080",73,70,3
"S00136081",40,40,-
"S00136082",48,47,-
"S00136083",60,59,2
"S00136084",48,47,-
"S00136085",44,47,2
"S00136086",51,50,1
"S00136087",61,50,7
"S00136088",61,59,2
"S00136089",72,68,4
"S00136090",50,47,3
"S00136091",60,55,5
"S00136092",73,63,8
"S00136093",65,61,5
"S00136094",35,34,1
"S00136095",29,27,2
"S00136096",64,62,3
"S00136097",85,85,-
"S00136098",48,44,6
"S00136099",81,75,9
"S00136100",67,66,2
"S00136101",65,61,3
"S00136102",53,51,-
"S00136103",68,68,-
"S00136104",72,71,-
"S00136105",61,61,-
"S00136106",41,41,-
"S00136107",63,63,-
"S00136108",63,56,10
"S00136109",48,44,4
"S00136110",45,39,6
"S00136111",72,69,3
"S00136112",57,57,-
"S00136113",49,45,4
"S00136114",82,79,4
"S00136115",82,81,1
"S00136116",38,34,2
"S00136117",76,78,2
"S00136118",40,38,2
"S00136119",47,45,-
"S00136120",45,41,4
"S00136121",68,65,3
"S00136122",90,82,4
"S00136123",73,73,-
"S00136124",37,36,2
"S00136125",45,40,5
"S00136126",72,67,2
"S00136127",70,64,6
"S00136128",54,53,1
"S00136129",64,61,2
"S00136130",41,36,5
"S00136131",58,57,1
"S00136132",61,56,5
"S00136133",55,46,1
"S00136134",42,39,3
"S00136135",47,47,-
"S00136136",46,43,3
"S00136137",63,63,-
"S00136138",73,60,10
"S00136139",66,57,9
"S00136140",56,51,5
"S00136141",50,46,1
"S00136142",67,61,3
"S00136143",43,43,-
"S00136144",85,79,8
"S00136145",57,59,2
"S00136146",76,73,3
"S00136147",33,33,-
"S00136148",43,41,2
"S00136149",46,42,4
"S00136150",57,57,-
"S00136151",37,33,6
"S00136152",48,47,2
"S00136153",46,46,-
"S00136154",66,65,-
"S00136155",62,52,10
"S00136156",49,49,-
"S00136157",34,32,2
"S00136158",78,72,10
"S00136159",38,31,5
"S00136160",53,48,5
"S00136161",48,47,1
"S00136162",82,75,2
"S00136163",48,48,-
"S00136164",47,44,3
"S00136165",35,31,4
"S00136166",43,39,4
"S00136167",66,54,13
"S00136168",59,59,-
"S00136169",33,33,-
"S00136170",54,53,1
"S00136171",42,42,-
"S00136172",64,64,-
"S00136173",42,40,2
"S00136174",85,85,1
"S00136175",37,31,2
"S00136176",55,56,2
"S00136177",46,44,3
"S00136178",73,73,-
"S00136179",76,70,3
"S00136180",82,79,1
"S00136181",46,43,2
"S00136182",53,47,6
"S00136183",50,49,-
"S00136184",52,49,3
"S00136185",52,52,1
"S00136186",77,74,3
"S00136187",44,42,2
"S00136188",38,38,-
"S00136189",53,53,1
"S00136190",62,61,2
"S00136191",43,42,1
"S00136192",72,71,1
"S00136193",69,69,-
"S00136194",97,95,-
"S00136195",48,47,1
"S00136196",54,53,1
"S00136197",70,68,2
"S00136198",77,75,6
"S00136199",43,41,2
"S00136200",39,34,5
"S00136201",56,55,1
"S00136202",36,35,4
"S00136203",44,38,6
"S00136204",81,81,-
"S00136205",59,57,2
"S00136206",68,67,1
"S00136207",46,45,1
"S00136208",38,40,2
"S00136209",46,45,2
"S00136210",78,75,3
"S00136211",60,57,4
"S00136212",43,42,2
"S00136213",41,37,4
"S00136214",51,51,1
"S00136215",44,39,2
"S00136216",67,69,1
"S00136217",65,63,9
"S00136218",43,43,-
"S00136219",38,37,1
"S00136220",70,69,4
"S00136221",37,37,-
"S00136222",50,46,4
"S00136223",80,73,3
"S00136224",50,50,-
"S00136225",55,52,3
"S00136226",45,42,4
"S00136227",42,42,-
"S00136228",75,67,6
"S00136229",62,58,5
"S00136230",62,61,1
"S00136231",83,76,7
"S00136232",73,66,7
"S00136233",44,44,-
"S00136234",60,57,3
"S00136235",29,29,-
"S00136236",78,79,1
"S00136237",83,77,-
"S00136238",70,70,-
"S00136239",43,43,2
"S00136240",41,37,4
"S00136241",37,37,-
"S00136242",49,40,5
"S00136243",47,45,-
"S00136244",69,64,5
"S00136245",65,63,1
"S00136246",49,46,2
"S00136247",58,53,1
"S00136248",65,59,2
"S00136249",45,42,3
"S00136250",43,38,1
"S00136251",63,62,1
"S00136252",62,65,-
"S00136253",37,37,-
"S00136254",64,62,1
"S00136255",71,69,6
"S00136256",57,45,12
"S00136257",67,64,3
"S00136258",49,49,-
"S00136259",78,73,5
"S00136260",64,56,8
"S00136261",56,53,3
"S00136262",65,61,4
"S00136263",58,56,-
"S00136264",60,57,3
"S00136265",55,57,2
"S00136266",49,47,-
"S00136267",60,57,3
"S00136268",70,65,2
"S00136269",62,61,-
"S00136270",39,38,2
"S00136271",53,52,-
"S00136272",63,58,8
"S00136273",37,32,5
"S00136274",59,52,4
"S00136275",73,73,5
"S00136276",79,74,5
"S00136277",42,40,2
"S00136278",51,50,1
"S00136279",43,43,-
"S00136280",56,48,7
"S00136281",82,79,3
"S00136282",42,40,2
"S00136283",38,37,1
"S00136284",78,78,-
"S00136285",76,74,3
"S00136286",45,43,2
"S00136287",42,38,4
"S00136288",76,76,-
"S00136289",82,81,1
"S00136290",76,72,4
"S00136291",72,67,2
"S00136292",66,59,7
"S00136293",41,41,-
"S00136294",41,38,7
"S00136295",58,55,1
"S00136296",61,59,2
"S00136297",70,68,2
"S00136298",81,80,-
"S00136299",61,56,-
"S00136300",48,46,3
"S00136301",78,76,-
"S00136302",72,66,6
"S00136303",68,74,4
"S00136304",60,59,1
"S00136305",72,72,-
"S00136306",49,48,1
"S00136307",58,58,-
"S00136308",73,72,-
"S00136309",70,62,8
"S00136310",73,71,3
"S00136311",43,38,5
"S00136312",54,54,-
"S00136313",52,47,2
"S00136314",69,69,-
"S00136315",71,71,-
"S00136316",42,41,1
"S00136317",49,46,3
"S00136318",47,43,4
"S00136319",59,58,1
"S00136320",43,41,3
"S00136321",54,54,-
"S00136322",38,38,-
"S00136323",50,45,5
"S00136324",47,46,1
"S00136325",61,61,2
"S00136326",64,64,-
"S00136327",36,33,4
"S00136328",45,45,-
"S00136329",67,54,12
"S00136330",77,76,1
"S00136331",47,46,-
"S00136332",52,50,2
"S00136333",43,42,1
"S00136334",79,76,2
"S00136335",33,33,-
"S00136336",54,54,-
"S00136337",56,52,4
"S00136338",69,66,2
"S00136339",76,71,2
"S00136340",43,45,1
"S00136341",41,43,1
"S00136342",48,46,2
"S00136343",64,61,2
"S00136344",42,40,2
"S00136345",75,70,7
"S00136346",50,49,4
"S00136347",31,31,-
"S00136348",63,59,4
"S00136349",71,70,1
"S00136350",51,51,-
"S00136351",49,46,-
"S00136352",63,61,2
"S00136353",81,74,7
"S00136354",54,52,2
"S00136355",67,64,1
"S00136356",40,40,-
"S00136357",47,46,1
"S00136358",65,61,4
"S00136359",56,55,1
"S00136360",39,39,-
"S00136361",45,44,1
"S00136362",70,70,-
"S00136363",44,44,-
"S00136364",64,64,-
"S00136365",71,70,1
"S00136366",61,59,1
"S00136367",60,58,3
"S00136368",38,35,3
"S00136369",83,81,4
"S00136370",48,44,2
"S00136371",48,47,2
"S00136372",58,55,7
"S00136373",79,77,2
"S00136374",76,77,1
"S00136375",67,62,5
"S00136376",55,51,4
"S00136377",43,43,-
"S00136378",51,48,2
"S00136379",53,53,-
"S00136380",59,58,1
"S00136381",51,51,1
"S00136382",41,39,3
"S00136383",41,38,3
"S00136384",39,36,3
"S00136385",74,72,-
"S00136386",50,40,7
"S00136387",81,79,2
"S00136388",66,61,5
"S00136389",64,64,-
"S00136390",77,71,4
"S00136391",45,45,-
"S00136392",58,58,-
"S00136393",50,41,9
"S00136394",47,40,4
"S00136395",77,76,1
"S00136396",50,50,1
"S00136397",55,51,4
"S00136398",59,56,3
"S00136399",59,55,2
"S00136400",35,35,-
"S00136401",66,66,-
"S00136402",40,38,3
"S00136403",52,52,-
"S00136404",34,33,2
"S00136405",51,51,-
"S00136406",59,59,-
"S00136407",78,77,1
"S00136408",86,84,2
"S00136409",70,63,5
"S00136410",55,54,1
"S00136411",57,57,-
"S00136412",44,43,1
"S00136413",53,53,-
"S00136414",51,48,4
"S00136415",56,54,4
"S00136416",62,59,2
"S00136417",47,46,1
"S00136418",46,46,-
"S00136419",56,46,11
"S00136420",49,46,3
"S00136421",48,45,3
"S00136422",76,76,-
"S00136423",43,42,1
"S00136424",57,56,2
"S00136425",78,78,-
"S00136426",66,65,-
"S00136427",48,47,1
