Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00176404",115,19,24,15,4,19,33
"S00176405",78,19,26,8,8,13,9
"S00176406",68,12,9,9,10,12,17
"S00176407",91,22,24,6,9,10,30
"S00176408",60,12,13,9,3,11,10
"S00176409",77,18,27,9,4,8,11
"S00176410",78,24,26,8,5,10,5
"S00176411",91,11,21,10,10,11,28
"S00176412",75,20,22,9,3,11,10
"S00176413",109,9,17,13,13,24,32
"S00176414",51,12,11,8,5,4,14
"S00176415",146,9,16,24,8,24,65
"S00176416",63,18,18,6,7,7,7
"S00176417",66,25,15,3,5,9,7
"S00176418",90,13,21,16,8,14,18
"S00176419",85,13,15,7,4,13,33
"S00176420",72,28,7,6,5,3,23
"S00176421",69,30,18,4,8,6,6
"S00176422",71,8,15,12,3,13,21
"S00176423",76,2,19,6,7,16,29
"S00176424",87,12,17,18,5,14,29
"S00176425",68,23,20,3,6,10,9
"S00176426",81,13,30,7,4,12,15
"S00176427",123,41,33,7,8,25,9
"S00176428",89,10,14,13,10,13,29
"S00176429",106,31,27,8,6,19,13
"S00176430",126,34,24,12,5,25,22
"S00176431",82,31,13,6,4,18,13
"S00176432",73,15,26,11,5,7,9
"S00176433",92,11,27,15,8,11,18
"S00176434",131,41,40,8,6,20,16
"S00176435",88,20,12,8,10,12,27
"S00176436",84,25,27,2,9,10,8
"S00176437",76,17,18,3,7,6,23
"S00176438",97,1,15,15,5,11,44
"S00176439",118,34,31,6,8,18,20
"S00176440",141,20,27,15,15,25,41
"S00176441",74,7,18,12,5,13,19
"S00176442",91,-,16,9,7,19,39
"S00176443",266,19,52,35,18,38,102
"S00176444",161,74,22,12,8,13,35
"S00176445",96,11,8,9,7,18,43
"S00176446",102,11,13,13,7,11,44
"S00176447",100,20,36,10,5,19,7
"S00176448",75,23,16,5,5,15,15
"S00176449",125,12,27,14,9,26,37
"S00176450",106,27,23,12,7,14,21
"S00176451",152,42,18,11,9,19,47
"S00176452",80,18,25,11,3,9,10
"S00176453",83,14,18,8,9,12,22
"S00176454",71,13,25,8,5,8,15
"S00176455",65,18,16,4,8,6,13
"S00176456",92,28,24,8,8,14,13
"S00176457",147,23,20,18,19,18,47
"S00176458",94,23,23,9,7,12,21
"S00176459",87,9,7,10,4,12,45
"S00176460",161,19,34,19,17,27,41
"S00176461",129,25,44,13,9,12,21
"S00176462",113,19,20,14,11,15,36
"S00176463",103,18,13,13,10,5,38
"S00176464",138,36,40,13,13,14,26
"S00176465",58,12,16,3,2,9,11
"S00176466",76,25,12,4,11,10,14
"S00176467",132,37,32,12,7,19,27
"S00176468",82,19,21,7,9,12,13
"S00176469",165,7,26,18,13,32,70
"S00176470",78,25,17,8,6,10,10
"S00176471",149,15,29,14,12,22,57
"S00176472",134,23,28,15,8,25,38
"S00176473",99,9,16,11,11,9,46
"S00176474",95,6,7,14,4,6,58
"S00176475",64,12,23,12,4,6,5
"S00176476",68,7,9,8,2,-,36
"S00176477",70,15,16,8,5,9,15
"S00176478",121,27,43,11,6,20,15
"S00176479",94,8,19,11,4,22,29
"S00176480",62,16,14,10,7,10,6
"S00176481",84,19,12,13,4,11,28
"S00176482",72,16,5,4,6,3,39
"S00176483",54,11,15,5,2,7,14
"S00176484",162,24,23,25,10,36,43
"S00176485",142,3,24,20,7,21,65
"S00176486",86,29,26,2,6,14,6
"S00176487",119,13,18,16,8,26,42
"S00176488",103,9,12,10,5,7,60
"S00176489",166,17,23,29,12,33,51
"S00176490",101,22,19,12,12,16,20
"S00176491",107,11,12,14,8,12,51
"S00176492",90,9,7,7,8,11,47
"S00176493",136,6,19,9,10,30,60
"S00176494",97,15,26,7,10,10,32
"S00176495",114,35,31,8,2,19,14
"S00176496",146,8,19,20,9,21,61
"S00176497",88,9,21,6,9,14,29
"S00176498",87,3,13,8,4,10,44
"S00176499",123,13,26,16,10,29,33
"S00176500",125,18,25,12,21,15,34
"S00176501",104,14,7,15,4,8,56
"S00176502",86,19,6,14,6,19,23
"S00176503",89,18,15,8,7,19,26
"S00176504",93,9,7,12,1,13,47
"S00176505",88,34,15,4,8,2,20
"S00176506",86,14,9,13,3,12,38
"S00176507",130,8,15,7,13,11,72
"S00176508",139,19,14,16,13,17,61
"S00176509",98,9,15,12,5,12,50
"S00176510",81,15,24,5,12,9,20
"S00176511",101,13,13,7,3,8,62
"S00176512",138,22,18,19,8,13,55
"S00176513",91,22,18,7,4,6,34
"S00176514",92,8,34,7,8,12,15
"S00176515",93,13,16,12,11,12,30
"S00176516",110,18,21,12,16,16,25
"S00176517",65,6,10,8,5,9,28
"S00176518",64,21,20,2,2,9,8
"S00176519",96,37,24,5,12,14,5
"S00176520",114,10,9,13,5,16,61
"S00176521",143,43,36,14,17,21,12
"S00176522",72,9,14,3,3,15,28
"S00176523",110,22,14,17,11,14,30
"S00176524",61,18,17,5,7,9,11
"S00176525",93,27,29,3,8,10,12
"S00176526",53,8,10,7,9,8,9
"S00176527",61,9,3,6,2,9,31
"S00176528",53,14,9,4,3,8,16
"S00176529",118,5,20,14,9,13,61
"S00176530",109,34,20,11,12,18,11
"S00176531",169,28,33,23,21,20,47
"S00176532",99,10,8,8,-,15,56
"S00176533",72,18,16,7,9,10,16
"S00176534",68,6,5,11,2,3,39
"S00176535",129,38,31,16,10,14,20
"S00176536",117,11,16,16,9,15,48
"S00176537",118,22,22,7,22,19,27
"S00176538",70,8,12,9,6,12,23
"S00176539",82,26,22,5,5,11,15
"S00176540",86,38,20,6,7,4,11
"S00176541",104,30,34,8,13,15,11
"S00176542",55,18,10,5,4,9,9
"S00176543",75,41,15,2,5,6,8
"S00176544",75,9,13,8,5,12,27
"S00176545",93,21,19,9,9,16,19
"S00176546",132,13,14,11,4,17,71
"S00176547",113,32,28,9,11,9,20
"S00176548",118,14,12,16,5,12,55
"S00176549",132,47,24,14,11,15,21
"S00176550",112,11,8,16,2,10,65
"S00176551",71,23,19,7,6,7,9
"S00176552",80,13,6,5,3,9,48
"S00176553",58,17,11,6,2,6,17
"S00176554",92,34,22,7,14,4,11
"S00176555",94,25,16,13,12,16,12
"S00176556",112,9,10,8,2,20,59
"S00176557",92,27,23,7,9,8,14
"S00176558",72,8,9,8,7,11,29
"S00176559",87,18,17,12,10,12,14
"S00176560",77,14,19,14,3,9,17
"S00176561",84,24,22,7,9,14,10
"S00176562",72,20,18,4,7,17,6
"S00176563",104,13,10,9,4,8,60
"S00176564",95,6,18,21,4,21,27
"S00176565",78,20,22,9,8,5,19
"S00176566",72,26,12,13,11,4,6
"S00176567",83,8,23,9,4,12,31
"S00176568",71,17,12,7,7,17,12
"S00176569",98,24,24,9,9,11,21
"S00176570",93,6,9,20,4,16,38
"S00176571",95,27,14,13,11,14,17
"S00176572",108,25,33,11,5,14,20
"S00176573",121,27,23,16,10,20,25
"S00176574",124,23,19,24,16,16,30
"S00176575",105,37,28,14,12,3,7
"S00176576",106,10,18,14,9,18,36
"S00176577",102,30,23,15,10,14,8
"S00176578",72,19,17,6,8,8,19
"S00176579",111,27,26,8,10,16,20
"S00176580",57,31,11,4,3,6,4
"S00176581",102,8,13,9,8,21,43
"S00176582",61,12,16,6,7,13,10
"S00176583",80,15,20,5,8,16,16
"S00176584",89,28,26,8,4,6,17
"S00176585",92,25,19,7,13,10,16
"S00176586",67,16,14,7,4,13,11
"S00176587",110,27,16,9,17,20,18
"S00176588",75,34,12,7,4,9,8
"S00176589",73,27,12,8,3,13,9
"S00176590",105,31,40,6,8,8,12
"S00176591",89,20,18,7,14,15,17
"S00176592",69,21,16,7,2,11,12
"S00176593",66,22,13,4,5,7,11
"S00176594",64,11,13,12,5,9,7
"S00176595",113,36,26,10,12,12,17
"S00176596",126,15,27,13,9,28,33
"S00176597",97,20,18,10,12,12,22
"S00176598",77,24,27,8,9,5,6
"S00176599",94,28,29,10,4,10,13
"S00176600",126,60,12,6,11,18,17
"S00176601",83,7,13,12,7,11,36
"S00176602",114,18,37,11,12,19,17
"S00176603",105,29,18,11,14,15,15
"S00176604",85,29,16,15,10,9,9
"S00176605",72,18,17,3,2,10,17
"S00176606",59,13,13,8,5,8,9
"S00176607",135,15,27,19,17,18,38
"S00176608",103,6,14,19,9,15,32
"S00176609",69,16,23,12,2,8,5
"S00176610",85,32,20,6,6,8,11
"S00176611",88,31,19,5,8,10,12
"S00176612",65,17,16,8,5,9,13
"S00176613",125,33,31,11,12,19,19
"S00176614",88,22,24,8,7,10,14
"S00176615",95,24,33,11,6,7,10
"S00176616",102,17,21,13,3,27,25
"S00176617",211,68,20,9,11,22,74
"S00176618",68,23,22,4,4,11,10
"S00176619",75,31,16,3,7,13,2
"S00176620",100,26,24,11,9,12,18
"S00176621",92,28,24,12,8,14,7
"S00176622",118,47,30,16,5,8,9
"S00176623",96,19,14,20,6,12,25
"S00176624",76,22,27,8,3,8,8
"S00176625",94,24,16,9,10,12,23
"S00176626",85,33,27,8,6,5,8
"S00176627",90,29,18,5,11,13,11
"S00176628",111,24,23,12,7,16,27
"S00176629",96,23,19,15,6,13,16
"S00176630",71,26,10,7,2,9,17
"S00176631",89,28,10,10,9,16,16
"S00176632",114,43,27,9,13,12,10
"S00176633",89,14,12,11,4,13,35
"S00176634",71,12,17,6,16,7,13
"S00176635",109,24,26,9,5,14,31
"S00176636",66,16,23,4,4,6,9
"S00176637",88,32,27,5,7,7,10
"S00176638",72,13,20,7,6,14,15
"S00176639",67,26,14,10,6,1,8
"S00176640",111,29,29,9,8,11,25
"S00176641",114,42,29,10,10,12,10
"S00176642",56,14,25,4,3,-,10
"S00176643",107,10,31,10,7,25,22
"S00176644",135,24,25,10,13,18,45
"S00176645",126,21,10,16,14,16,48
"S00176646",62,16,18,8,4,6,10
"S00176647",84,21,18,19,5,11,11
"S00176648",57,10,15,4,8,10,10
"S00176649",76,23,8,7,6,5,22
"S00176650",94,30,20,12,9,8,18
"S00176651",97,28,31,8,3,21,13
"S00176652",98,10,33,6,6,24,22
"S00176653",70,31,12,1,4,12,7
"S00176654",64,18,11,5,6,9,15
"S00176655",126,23,29,10,9,23,34
"S00176656",57,16,11,3,4,13,10
"S00176657",62,19,9,9,3,7,16
"S00176658",89,6,17,25,6,10,22
"S00176659",98,19,18,6,10,17,31
"S00176660",93,23,20,7,15,8,22
"S00176661",98,18,19,16,17,13,21
"S00176662",102,44,22,10,7,12,10
"S00176663",96,24,15,8,7,24,18
"S00176664",71,18,20,10,6,11,6
"S00176665",68,36,13,3,4,3,9
"S00176666",90,20,15,16,8,15,17
"S00176667",71,20,16,4,9,8,12
"S00176668",92,14,18,7,14,21,18
"S00176669",109,33,20,13,4,20,18
"S00176670",98,36,21,13,6,9,20
"S00176671",182,16,39,31,14,36,46
"S00176672",131,11,17,18,8,27,44
"S00176673",93,12,18,5,6,13,34
"S00176674",86,5,30,3,6,15,23
"S00176675",96,31,26,4,8,14,14
"S00176676",65,22,11,7,6,12,10
"S00176677",96,23,23,7,6,17,23
"S00176678",86,8,21,18,4,13,31
"S00176679",66,16,18,11,3,8,11
"S00176680",83,27,26,5,8,10,7
"S00176681",71,20,16,6,4,8,13
"S00176682",78,8,13,10,3,16,20
"S00176683",71,26,10,6,5,10,15
"S00176684",110,12,22,9,8,10,45
"S00176685",66,23,19,6,6,6,6
"S00176686",120,30,35,19,7,11,14
"S00176687",98,3,18,19,6,18,39
"S00176688",98,17,21,13,10,11,25
"S00176689",100,8,15,10,10,16,41
"S00176690",104,2,11,11,8,12,49
"S00176691",165,45,37,15,17,13,30
"S00176692",94,26,13,6,10,12,24
"S00176693",93,31,12,10,7,14,14
"S00176694",85,21,17,9,8,10,20
"S00176695",130,27,41,16,8,18,15
"S00176696",106,7,12,20,5,16,46
"S00176697",92,29,22,9,7,14,11
"S00176698",70,21,22,12,7,5,7
"S00176699",79,32,12,6,6,13,11
"S00176700",69,22,12,6,7,10,12
"S00176701",103,42,24,10,11,9,4
"S00176702",88,12,27,10,11,12,17
"S00176703",103,27,31,5,12,17,10
"S00176704",100,31,22,10,7,18,17
"S00176705",85,26,22,5,-,10,16
"S00176706",106,9,24,9,9,12,33
"S00176707",84,33,21,6,7,13,4
"S00176708",113,44,23,8,11,8,22
"S00176709",124,49,26,3,7,17,19
"S00176710",70,10,13,7,7,16,12
"S00176711",87,7,16,14,9,12,32
"S00176712",62,17,16,6,6,13,3
"S00176713",103,16,17,11,4,20,35
"S00176714",100,30,26,7,7,9,13
"S00176715",93,20,28,10,9,8,19
"S00176716",93,33,15,2,6,10,26
"S00176717",111,28,41,10,6,19,11
"S00176718",61,9,14,6,8,5,15
"S00176719",70,21,22,3,9,8,5
"S00176720",93,20,18,14,8,11,23
"S00176721",113,31,25,10,7,19,23
"S00176722",56,-,5,5,2,13,25
"S00176723",96,9,23,14,2,23,26
"S00176724",104,26,22,12,9,18,17
"S00176725",73,7,12,11,1,10,32
"S00176726",83,16,19,6,9,10,16
"S00176727",102,6,21,14,7,22,32
"S00176728",89,12,23,13,8,17,11
"S00176729",95,30,25,7,4,15,18
"S00176730",103,11,16,17,6,13,32
"S00176731",73,7,13,3,10,21,19
"S00176732",93,11,10,13,2,16,40
"S00176733",56,17,19,1,1,5,12
"S00176734",94,30,22,7,3,16,14
"S00176735",81,27,11,11,10,13,11
"S00176736",135,32,27,17,11,15,34
"S00176737",88,26,34,8,-,13,7
"S00176738",102,28,18,6,21,11,18
"S00176739",69,27,11,5,4,9,12
"S00176740",63,6,12,7,3,20,16
"S00176741",158,22,21,25,9,23,58
"S00176742",102,32,27,11,5,10,21
"S00176743",120,28,21,10,9,17,35
"S00176744",100,31,25,11,8,12,13
"S00176745",112,20,29,9,13,23,21
"S00176746",67,15,11,10,10,12,12
"S00176747",116,19,27,11,10,17,34
"S00176748",61,17,11,7,2,9,12
"S00176749",213,87,28,17,9,24,43
"S00176750",108,17,19,12,17,20,27
"S00176751",97,10,13,14,4,14,42
"S00176752",107,21,31,15,10,16,13
"S00176753",87,11,10,14,8,15,30
"S00176754",91,15,19,7,9,21,20
"S00176755",128,7,17,10,5,27,59
"S00176756",128,49,21,16,10,14,26
"S00176757",138,22,30,18,15,29,24
"S00176758",95,23,28,10,6,11,16
"S00176759",88,17,15,11,9,20,16
"S00176760",110,31,27,11,12,12,21
"S00176761",64,-,6,9,5,5,37
"S00176762",64,20,16,2,2,10,18
"S00176763",121,10,15,13,10,29,40
"S00176764",100,14,37,12,5,11,19
"S00176765",111,34,34,7,10,15,11
"S00176766",111,22,24,12,8,15,23
"S00176767",101,10,25,19,10,21,21
"S00176768",117,17,34,16,5,16,27
"S00176769",63,12,15,6,4,8,18
"S00176770",66,15,9,7,8,7,18
"S00176771",102,32,26,8,3,19,14
"S00176772",87,26,15,11,6,18,8
"S00176773",124,9,19,10,5,27,52
"S00176774",137,19,34,20,10,20,36
"S00176775",95,8,8,11,4,14,50
"S00176776",102,2,9,14,7,16,54
"S00176777",104,9,15,14,2,11,48
"S00176778",117,39,34,7,5,21,9
"S00176779",117,15,26,16,16,19,22
"S00176780",94,15,16,14,11,19,19
"S00176781",81,13,24,10,5,11,16
"S00176782",75,32,14,7,4,10,10
"S00176783",89,19,20,11,7,12,23
"S00176784",57,2,6,7,2,6,28
"S00176785",89,22,21,9,3,16,14
"S00176786",106,13,22,9,14,18,30
"S00176787",86,14,18,12,6,17,19
"S00176788",97,15,32,13,10,10,17
"S00176789",64,14,8,6,3,9,20
"S00176790",112,15,33,9,10,21,18
"S00176791",96,18,16,9,8,10,40
"S00176792",65,9,14,7,2,16,14
"S00176793",121,22,22,11,14,26,28
"S00176794",93,13,24,12,6,17,25
"S00176795",65,2,10,4,8,11,27
"S00176796",81,10,22,15,8,16,17
"S00176797",104,24,30,12,5,14,19
"S00176798",84,10,14,6,10,12,29
"S00176799",100,10,12,21,8,17,40
"S00176800",134,4,13,16,11,22,63
"S00176801",105,32,24,9,12,17,13
"S00176802",117,10,13,18,6,19,45
"S00176803",82,19,15,8,9,10,22
"S00176804",67,21,17,9,5,9,8
"S00176805",91,27,18,9,6,9,22
"S00176806",62,16,15,9,3,10,7
"S00176807",68,17,11,3,7,4,25
"S00176808",80,12,19,8,9,17,13
"S00176809",64,24,18,-,4,12,9
"S00176810",113,29,21,18,12,20,16
"S00176811",55,24,10,-,4,5,10
"S00176812",110,24,24,8,9,17,26
"S00176813",103,10,14,12,10,10,46
"S00176814",88,15,27,12,10,13,13
"S00176815",54,10,15,2,3,10,11
"S00176816",86,4,7,17,6,11,39
"S00176817",84,13,10,11,6,19,28
"S00176818",152,52,23,14,13,20,32
"S00176819",77,15,20,8,5,18,13
"S00176820",74,1,17,8,10,22,19
"S00176821",88,5,24,14,6,22,17
"S00176822",63,25,15,8,9,6,8
"S00176823",104,-,9,15,11,20,48
"S00176824",86,30,20,8,5,10,13
"S00176825",87,20,24,4,11,10,16
"S00176826",66,5,9,8,10,8,22
"S00176827",72,29,14,6,3,7,13
"S00176828",153,90,16,14,7,11,14
"S00176829",79,16,8,5,10,9,31
"S00176830",133,9,16,14,13,22,59
"S00176831",108,8,13,13,6,16,52
"S00176832",75,6,19,6,9,10,27
"S00176833",88,27,16,14,10,12,13
"S00176834",163,7,22,30,5,16,82
"S00176835",64,17,7,10,6,11,13
"S00176836",75,24,15,3,8,12,7
"S00176837",66,14,16,11,9,10,9
"S00176838",81,20,20,9,10,10,8
"S00176839",63,15,17,8,6,7,8
"S00176840",68,22,8,9,6,12,13
"S00176841",89,26,23,5,3,15,14
"S00176842",58,5,17,4,7,10,13
"S00176843",110,21,29,11,5,21,23
"S00176844",111,13,20,11,5,8,51
"S00176845",51,7,11,5,6,11,14
"S00176846",98,23,27,10,9,20,15
"S00176847",129,39,36,15,10,15,16
"S00176848",83,18,22,17,1,12,12
"S00176849",135,26,15,12,10,10,56
"S00176850",119,21,25,20,5,27,25
"S00176851",63,2,23,9,8,4,21
"S00176852",75,16,5,6,5,12,29
"S00176853",107,38,17,12,11,9,24
"S00176854",96,16,23,10,10,13,24
"S00176855",64,26,15,6,3,5,9
"S00176856",70,6,19,7,9,16,13
"S00176857",186,12,35,21,12,23,84
"S00176858",48,14,12,5,9,6,7
"S00176859",90,24,26,8,9,9,10
"S00176860",60,22,8,2,5,7,17
"S00176861",68,10,16,11,6,8,17
"S00176862",102,9,21,13,5,20,37
"S00176863",99,22,15,16,1,13,33
"S00176864",108,8,14,14,8,12,55
"S00176865",123,25,29,16,16,10,30
"S00176866",82,6,15,8,7,14,32
"S00176867",96,5,16,11,11,7,47
"S00176868",69,28,16,7,6,6,7
"S00176869",58,8,15,7,11,9,8
"S00176870",97,26,13,7,7,11,34
"S00176871",103,11,10,14,8,16,47
"S00176872",130,10,18,9,8,22,66
"S00176873",74,5,9,10,3,13,30
"S00176874",105,5,12,19,8,16,46
"S00176875",162,15,26,31,11,19,63
"S00176876",108,12,10,12,10,23,41
"S00176877",110,20,25,11,10,20,23
"S00176878",78,19,22,7,6,6,18
"S00176879",147,19,17,10,7,17,78
"S00176880",154,5,9,27,10,20,83
"S00176881",95,14,25,7,13,10,25
"S00176882",56,19,12,5,6,5,9
"S00176883",81,18,22,8,9,14,14
"S00176884",167,8,22,15,10,24,85
"S00176885",63,12,14,9,4,6,17
"S00176886",66,20,19,7,3,8,10
"S00176887",86,16,14,10,7,18,21
"S00176888",104,12,14,13,5,13,50
"S00176889",131,6,24,15,12,21,53
"S00176890",98,22,24,10,9,19,15
"S00176891",103,23,26,7,10,20,17
"S00176892",75,18,12,13,12,8,20
"S00176893",101,18,22,20,7,18,20
"S00176894",102,29,21,13,9,10,16
"S00176895",90,13,13,16,6,10,38
"S00176896",68,10,14,9,4,7,26
"S00176897",136,11,20,21,11,12,59
"S00176898",189,14,25,36,17,34,68
"S00176899",82,14,20,8,5,16,22
"S00176900",88,9,12,5,7,20,41
"S00176901",150,38,21,14,4,17,58
"S00176902",153,14,22,21,10,25,63
"S00176903",120,6,13,16,5,22,62
"S00176904",98,36,21,8,11,9,12
"S00176905",104,10,13,11,12,15,46
"S00176906",69,6,11,14,-,8,32
"S00176907",102,23,21,4,15,6,37
"S00176908",89,1,11,2,4,12,57
"S00176909",73,18,20,8,6,12,16
"S00176910",61,8,10,9,6,11,17
"S00176911",133,10,16,26,8,21,51
"S00176912",108,15,25,10,14,22,20
"S00176913",112,30,19,14,11,20,16
"S00176914",135,14,31,15,11,26,35
"S00176915",122,16,21,15,9,16,41
"S00176916",86,13,16,12,10,10,28
"S00176917",119,7,7,15,6,23,62
"S00176918",132,8,25,20,6,19,59
"S00176919",111,25,19,8,10,18,28
"S00176920",122,9,27,9,11,39,27
"S00176921",87,25,33,7,4,10,14
"S00176922",66,17,25,7,6,4,7
"S00176923",83,8,10,11,13,9,31
"S00176924",81,18,17,16,1,14,15
"S00176925",62,7,10,11,2,20,12
"S00176926",78,12,19,12,9,9,17
"S00176927",135,14,21,18,7,26,53
"S00176928",107,21,34,13,5,15,19
"S00176929",100,6,15,13,3,25,41
"S00176930",67,9,19,6,6,16,10
"S00176931",103,26,17,15,8,14,26
"S00176932",127,14,15,21,8,13,52
"S00176933",68,11,11,5,6,8,25
"S00176934",177,15,27,28,14,22,68
"S00176935",111,18,23,12,11,30,21
"S00176936",126,13,18,18,16,21,45
"S00176937",56,7,16,7,3,10,13
"S00176938",77,6,11,7,6,14,29
"S00176939",115,16,15,14,9,20,45
"S00176940",63,17,16,7,3,11,13
"S00176941",59,8,12,5,8,7,22
"S00176942",89,8,16,12,4,13,34
"S00176943",68,14,18,2,4,16,18
"S00176944",118,17,21,6,24,18,36
"S00176945",127,19,19,18,10,19,37
"S00176946",71,17,11,5,11,10,13
"S00176947",131,46,29,9,6,22,19
"S00176948",102,17,19,14,13,17,22
"S00176949",100,23,14,15,6,22,19
"S00176950",121,19,14,15,17,16,43
"S00176951",131,21,25,20,17,17,34
"S00176952",91,13,19,13,11,21,16
"S00176953",83,9,20,6,-,15,29
"S00176954",104,7,11,10,14,18,43
"S00176955",106,11,7,16,11,19,42
"S00176956",155,8,24,19,14,24,70
"S00176957",103,19,32,9,6,18,20
"S00176958",55,15,17,4,3,9,9
"S00176959",65,13,22,2,2,11,11
"S00176960",82,21,29,9,9,8,9
"S00176961",105,25,17,8,15,11,31
"S00176962",83,23,18,14,12,12,8
"S00176963",72,16,27,5,3,10,10
"S00176964",123,19,21,16,4,22,40
"S00176965",161,16,29,17,13,20,66
"S00176966",75,9,7,9,10,8,29
"S00176967",84,17,14,8,10,18,16
"S00176968",99,6,16,18,6,16,38
"S00176969",71,11,15,8,8,18,10
"S00176970",79,15,20,5,8,15,16
"S00176971",62,19,12,6,3,8,15
"S00176972",57,13,9,4,2,5,23
"S00176973",139,28,21,13,20,15,42
"S00176974",113,13,8,13,3,13,60
"S00176975",66,19,17,5,5,8,9
"S00176976",89,18,13,10,14,10,21
"S00176977",88,13,18,9,10,11,25
"S00176978",75,19,20,9,4,5,23
"S00176979",85,17,14,10,5,14,19
"S00176980",82,33,17,14,5,10,4
"S00176981",94,9,14,11,11,22,24
"S00176982",104,28,24,11,10,12,18
"S00176983",74,9,22,9,8,6,20
"S00176984",84,10,17,15,4,13,25
"S00176985",65,13,20,9,4,11,12
"S00176986",87,11,24,12,4,13,23
"S00176987",111,35,22,9,8,15,25
"S00176988",104,6,17,12,11,17,42
"S00176989",104,30,27,11,4,13,16
"S00176990",99,13,16,12,4,18,38
"S00176991",124,18,23,17,15,21,28
"S00176992",77,2,12,6,5,16,36
"S00176993",66,4,6,7,5,15,33
"S00176994",96,5,13,14,4,13,50
"S00176995",100,16,13,6,8,11,46
"S00176996",93,23,16,5,8,11,34
"S00176997",100,15,35,9,11,15,15
"S00176998",154,22,22,19,17,28,43
"S00176999",75,12,17,6,11,13,16
"S00177000",53,8,15,6,4,7,14
"S00177001",96,7,10,12,5,12,47
"S00177002",91,19,14,11,5,16,25
"S00177003",168,15,19,22,9,29,74
"S00177004",172,9,24,27,7,16,87
"S00177005",50,6,8,4,4,10,19
"S00177006",87,7,6,8,8,12,46
"S00177007",82,13,15,14,7,17,16
"S00177008",71,15,8,13,8,10,20
"S00177009",69,12,16,9,1,10,17
"S00177010",95,7,16,15,8,15,33
"S00177011",70,8,15,8,6,10,14
"S00177012",102,4,15,19,8,15,41
"S00177013",112,35,24,7,14,12,14
"S00177014",99,23,26,10,4,18,18
"S00177015",119,40,36,6,5,10,21
"S00177016",88,11,14,11,10,17,29
"S00177017",74,10,16,11,9,14,14
"S00177018",163,9,25,22,8,30,69
"S00177019",58,8,9,7,8,9,13
"S00177020",93,20,19,11,7,17,19
"S00177021",105,16,16,10,17,18,28
"S00177022",113,17,21,13,7,15,35
"S00177023",89,14,14,11,12,10,29
"S00177024",77,42,13,6,5,5,6
"S00177025",86,8,13,12,3,16,34
"S00177026",85,12,4,13,4,11,41
"S00177027",105,24,14,11,8,15,37
"S00177028",83,7,24,10,5,12,22
"S00177029",84,22,15,11,6,7,22
"S00177030",83,7,6,13,6,14,37
"S00177031",131,8,12,17,8,14,72
"S00177032",108,14,19,16,10,20,25
"S00177033",82,6,8,21,5,12,27
"S00177034",76,5,16,8,1,15,29
"S00177035",107,26,17,10,6,14,34
"S00177036",83,7,10,4,3,13,39
"S00177037",68,21,9,10,8,8,11
"S00177038",145,22,13,13,7,20,71
"S00177039",81,12,19,9,9,7,25
"S00177040",100,12,17,11,13,15,31
"S00177041",72,3,19,11,3,13,18
"S00177042",67,13,17,6,7,8,16
"S00177043",114,44,23,8,9,15,16
"S00177044",122,6,10,11,9,13,73
"S00177045",58,17,18,5,2,12,8
"S00177046",79,16,19,13,3,12,13
"S00177047",130,12,16,17,4,20,65
"S00177048",130,10,19,18,11,16,54
"S00177049",79,12,9,5,4,14,36
"S00177050",92,6,6,18,2,12,48
"S00177051",84,15,12,8,3,14,32
"S00177052",74,8,7,15,8,18,19
"S00177053",140,27,28,18,10,15,45
"S00177054",87,8,19,9,5,16,30
"S00177055",128,7,21,15,7,16,55
"S00177056",83,9,11,14,11,6,33
"S00177057",92,7,27,13,5,13,27
"S00177058",90,13,12,15,7,20,23
"S00177059",108,3,15,17,4,23,51
"S00177060",157,27,28,15,19,18,53
"S00177061",82,10,16,11,11,13,24
"S00177062",56,13,19,5,8,6,4
"S00177063",111,16,12,17,9,10,46
"S00177064",81,12,8,8,3,7,41
"S00177065",64,10,9,6,7,13,19
"S00177066",121,24,26,11,8,13,38
"S00177067",71,13,15,14,4,8,18
"S00177068",134,20,21,17,17,26,30
"S00177069",101,28,26,14,8,14,11
"S00177070",109,17,12,9,9,22,40
"S00177071",72,21,19,9,4,12,8
"S00177072",152,20,30,10,13,28,49
"S00177073",78,8,15,10,5,14,26
"S00177074",104,45,17,6,8,8,16
"S00177075",95,12,17,18,6,19,26
"S00177076",102,27,35,6,3,14,17
"S00177077",153,4,33,22,7,30,56
"S00177078",127,12,26,16,7,16,50
"S00177079",91,6,12,15,6,13,39
"S00177080",60,8,10,8,5,6,23
"S00177081",89,24,30,-,6,12,23
"S00177082",143,15,22,24,6,24,54
"S00177083",89,9,10,10,10,18,36
"S00177084",72,11,14,10,6,13,16
"S00177085",73,9,7,6,5,8,32
"S00177086",49,10,10,3,-,5,21
"S00177087",203,7,33,40,14,32,85
"S00177088",67,19,16,9,-,10,12
"S00177089",108,22,20,14,15,12,25
"S00177090",98,6,16,9,9,12,34
"S00177091",88,13,25,11,6,14,22
"S00177092",123,4,15,13,3,13,74
"S00177093",96,51,5,11,7,8,16
"S00177094",57,4,11,3,2,12,27
"S00177095",66,5,9,10,4,9,26
"S00177096",67,14,9,6,5,10,25
