Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00136037",70,29,34,1,4,5
"S00136038",67,26,21,4,5,11
"S00136039",77,44,20,2,7,1
"S00136040",67,29,28,-,5,8
"S00136041",120,34,77,-,3,4
"S00136042",93,28,50,2,6,6
"S00136043",75,20,46,1,8,3
"S00136044",60,37,9,1,5,4
"S00136045",116,39,63,2,9,3
"S00136046",73,25,40,1,1,6
"S00136047",107,37,53,2,11,6
"S00136048",86,26,40,1,9,10
"S00136049",123,49,53,5,7,7
"S00136050",116,24,84,2,4,3
"S00136051",97,41,40,4,3,9
"S00136052",60,33,23,2,1,1
"S00136053",76,28,26,8,8,6
"S00136054",112,71,22,2,16,2
"S00136055",102,49,26,6,17,5
"S00136056",81,45,17,4,16,4
"S00136057",103,29,55,1,5,10
"S00136058",249,182,21,4,26,14
"S00136059",76,17,39,5,7,8
"S00136060",90,51,22,6,8,3
"S00136061",393,352,32,5,6,-
"S00136062",69,21,31,4,8,3
"S00136063",97,46,23,1,23,5
"S00136064",116,29,61,4,11,11
"S00136065",91,56,10,5,14,8
"S00136066",56,38,10,4,7,1
"S00136067",56,20,30,-,2,5
"S00136068",105,64,27,-,11,2
"S00136069",106,55,28,6,12,5
"S00136070",70,31,21,2,8,3
"S00136071",140,72,47,7,10,3
"S00136072",71,55,14,-,1,-
"S00136073",90,51,31,1,5,3
"S00136074",73,32,32,1,10,2
"S00136075",94,73,18,1,2,-
"S00136076",113,85,9,3,13,3
"S00136077",81,45,27,2,1,6
"S00136078",165,38,119,-,2,1
"S00136079",62,45,10,2,4,1
"S00136080",124,38,68,1,9,8
"S00136081",74,61,11,-,-,2
"S00136082",62,31,16,-,10,5
"S00136083",91,72,17,1,1,-
"S00136084",85,39,34,-,5,7
"S00136085",77,28,26,4,8,11
"S00136086",85,71,10,-,4,-
"S00136087",87,40,31,4,10,6
"S00136088",81,70,4,-,6,-
"S00136089",143,18,105,-,9,11
"S00136090",90,13,64,-,1,11
"S00136091",104,43,42,1,6,10
"S00136092",144,54,65,2,14,8
"S00136093",97,63,19,5,7,3
"S00136094",67,37,23,3,4,-
"S00136095",53,8,34,1,8,2
"S00136096",131,66,39,-,9,16
"S00136097",135,113,21,-,2,-
"S00136098",83,30,32,3,8,8
"S00136099",117,52,33,4,19,6
"S00136100",174,84,58,6,22,4
"S00136101",93,36,25,6,15,9
"S00136102",99,75,23,-,-,1
"S00136103",81,44,10,2,22,6
"S00136104",102,73,16,-,10,3
"S00136105",120,85,24,2,7,2
"S00136106",72,35,26,2,8,1
"S00136107",113,81,30,-,1,3
"S00136108",127,45,64,4,3,11
"S00136109",88,22,48,3,17,1
"S00136110",76,15,44,-,8,11
"S00136111",110,80,22,-,6,2
"S00136112",111,39,56,-,14,6
"S00136113",77,31,28,2,9,7
"S00136114",142,118,18,-,6,1
"S00136115",119,90,23,1,7,-
"S00136116",67,37,25,-,3,1
"S00136117",98,63,19,-,7,10
"S00136118",59,25,21,5,4,4
"S00136119",71,36,14,3,9,6
"S00136120",77,28,32,-,9,8
"S00136121",111,42,54,1,10,4
"S00136122",115,90,12,-,12,-
"S00136123",132,43,73,2,7,6
"S00136124",68,32,20,3,6,5
"S00136125",85,22,46,4,11,4
"S00136126",86,25,19,6,12,24
"S00136127",115,48,44,2,14,7
"S00136128",67,53,9,1,2,-
"S00136129",88,31,31,5,16,7
"S00136130",66,31,24,1,2,5
"S00136131",81,57,14,2,5,3
"S00136132",73,15,14,5,25,10
"S00136133",93,26,53,1,8,4
"S00136134",72,19,35,6,6,6
"S00136135",75,44,22,-,8,3
"S00136136",63,33,16,1,7,6
"S00136137",80,38,20,1,15,6
"S00136138",83,14,25,1,9,34
"S00136139",81,12,24,5,16,24
"S00136140",106,35,46,3,11,9
"S00136141",67,41,14,2,8,2
"S00136142",106,78,20,9,1,1
"S00136143",63,33,24,1,3,1
"S00136144",133,62,44,1,18,10
"S00136145",274,213,42,2,8,2
"S00136146",102,73,10,4,9,4
"S00136147",60,30,16,2,11,2
"S00136148",82,30,41,5,7,2
"S00136149",69,25,28,2,7,10
"S00136150",96,42,48,-,5,2
"S00136151",65,20,36,3,8,5
"S00136152",68,28,21,4,8,7
"S00136153",75,62,12,1,-,-
"S00136154",105,68,25,2,7,3
"S00136155",103,20,52,1,7,23
"S00136156",91,23,62,-,5,1
"S00136157",54,38,17,1,2,-
"S00136158",115,25,44,5,14,31
"S00136159",77,19,46,1,6,4
"S00136160",73,36,17,4,9,8
"S00136161",83,36,31,-,12,6
"S00136162",114,55,32,8,18,5
"S00136163",62,34,12,4,11,3
"S00136164",70,33,22,2,10,5
"S00136165",52,34,5,1,12,3
"S00136166",65,31,18,-,12,2
"S00136167",83,7,31,1,10,35
"S00136168",97,69,25,-,2,1
"S00136169",51,26,14,4,8,1
"S00136170",72,55,12,1,7,3
"S00136171",59,40,11,-,4,3
"S00136172",81,69,7,1,1,4
"S00136173",61,47,2,3,7,-
"S00136174",126,109,14,1,2,-
"S00136175",60,28,16,2,11,7
"S00136176",108,43,52,5,4,4
"S00136177",86,32,40,1,5,6
"S00136178",99,74,20,1,4,1
"S00136179",96,56,26,4,9,2
"S00136180",127,104,18,-,2,1
"S00136181",58,41,14,-,3,-
"S00136182",94,33,41,4,11,9
"S00136183",93,38,40,2,12,2
"S00136184",104,38,52,4,7,3
"S00136185",91,70,19,-,3,-
"S00136186",100,86,8,-,8,-
"S00136187",78,23,38,1,10,5
"S00136188",53,32,12,2,4,3
"S00136189",87,62,21,1,3,2
"S00136190",80,66,11,-,3,-
"S00136191",97,72,23,-,3,-
"S00136192",129,88,33,-,4,-
"S00136193",115,90,18,-,6,2
"S00136194",125,102,17,5,1,1
"S00136195",388,364,14,4,7,2
"S00136196",70,55,11,3,-,-
"S00136197",106,88,13,3,-,-
"S00136198",108,31,27,3,24,23
"S00136199",62,40,15,4,1,4
"S00136200",61,19,25,-,9,8
"S00136201",83,65,15,2,-,-
"S00136202",67,27,26,2,8,1
"S00136203",84,25,42,1,7,10
"S00136204",117,94,17,1,4,1
"S00136205",74,56,7,3,10,-
"S00136206",90,64,16,1,10,3
"S00136207",64,42,13,-,5,6
"S00136208",70,20,35,1,11,3
"S00136209",85,36,35,4,7,3
"S00136210",150,34,96,5,8,9
"S00136211",85,72,12,-,3,-
"S00136212",76,26,35,4,6,5
"S00136213",64,20,30,3,7,10
"S00136214",90,48,27,3,12,1
"S00136215",82,39,32,1,4,7
"S00136216",103,86,12,2,3,-
"S00136217",114,46,52,4,7,7
"S00136218",178,142,29,4,1,1
"S00136219",70,50,13,1,4,2
"S00136220",96,61,22,3,12,-
"S00136221",60,44,14,-,1,1
"S00136222",60,31,14,3,7,2
"S00136223",151,32,101,-,11,10
"S00136224",78,55,15,-,5,-
"S00136225",83,39,27,6,11,-
"S00136226",93,28,50,1,5,9
"S00136227",65,27,29,3,4,3
"S00136228",150,46,82,6,8,8
"S00136229",87,40,21,5,16,5
"S00136230",86,64,10,3,8,-
"S00136231",102,58,9,3,22,6
"S00136232",134,50,55,2,13,14
"S00136233",70,57,11,-,4,-
"S00136234",86,53,23,1,7,1
"S00136235",56,10,32,-,5,6
"S00136236",446,410,25,1,9,1
"S00136237",139,90,35,2,10,2
"S00136238",108,68,24,2,14,-
"S00136239",308,289,14,2,2,1
"S00136240",78,22,40,4,5,7
"S00136241",67,59,6,-,-,1
"S00136242",92,52,27,4,7,2
"S00136243",75,43,24,1,6,1
"S00136244",118,42,54,4,10,9
"S00136245",584,518,33,1,9,24
"S00136246",66,36,20,3,8,2
"S00136247",103,41,46,2,7,6
"S00136248",105,43,44,2,12,4
"S00136249",72,13,38,2,9,12
"S00136250",85,38,32,1,7,7
"S00136251",99,59,32,2,4,2
"S00136252",81,50,11,1,15,4
"S00136253",70,56,8,2,4,-
"S00136254",111,57,39,3,6,4
"S00136255",99,57,28,5,7,4
"S00136256",97,14,50,1,16,8
"S00136257",103,71,22,1,8,1
"S00136258",86,30,35,2,7,5
"S00136259",160,64,80,5,11,-
"S00136260",74,8,11,6,19,27
"S00136261",81,56,21,1,3,4
"S00136262",100,61,32,2,3,2
"S00136263",77,43,13,1,16,4
"S00136264",88,45,35,3,5,-
"S00136265",101,75,21,3,-,-
"S00136266",88,13,60,-,7,9
"S00136267",86,58,18,1,9,2
"S00136268",98,58,25,2,8,5
"S00136269",87,64,12,2,7,2
"S00136270",83,66,7,-,5,2
"S00136271",95,27,53,-,9,5
"S00136272",104,52,34,1,11,5
"S00136273",59,23,20,2,10,4
"S00136274",82,58,14,3,7,1
"S00136275",116,93,15,2,6,-
"S00136276",97,40,23,9,14,12
"S00136277",63,49,10,-,2,-
"S00136278",86,52,26,1,3,3
"S00136279",54,49,5,3,-,-
"S00136280",91,36,31,5,8,13
"S00136281",111,78,17,1,6,5
"S00136282",55,24,4,2,12,10
"S00136283",61,29,19,3,7,4
"S00136284",127,93,21,2,11,1
"S00136285",103,71,13,5,6,6
"S00136286",88,17,62,2,4,4
"S00136287",71,27,30,3,8,3
"S00136288",113,60,27,3,16,4
"S00136289",131,58,45,5,11,8
"S00136290",140,58,61,1,13,5
"S00136291",93,71,20,-,-,1
"S00136292",108,30,50,4,13,10
"S00136293",74,24,44,-,4,5
"S00136294",77,21,38,-,8,6
"S00136295",71,42,9,2,9,9
"S00136296",78,53,15,3,6,2
"S00136297",98,52,27,4,18,4
"S00136298",119,88,21,1,11,2
"S00136299",105,29,54,1,8,8
"S00136300",76,37,26,3,8,4
"S00136301",124,70,32,-,10,5
"S00136302",105,34,43,2,11,10
"S00136303",110,71,30,2,7,2
"S00136304",87,69,14,-,3,2
"S00136305",115,80,23,-,13,3
"S00136306",72,37,21,4,8,2
"S00136307",101,68,28,1,2,3
"S00136308",143,40,86,3,9,5
"S00136309",121,44,50,1,13,10
"S00136310",188,158,20,2,3,3
"S00136311",84,23,51,2,3,3
"S00136312",101,30,55,2,10,3
"S00136313",75,39,23,3,9,2
"S00136314",85,66,8,5,5,3
"S00136315",81,67,1,4,10,2
"S00136316",81,50,22,1,4,4
"S00136317",90,20,56,1,2,7
"S00136318",82,15,53,2,4,10
"S00136319",77,65,8,1,4,-
"S00136320",66,50,4,1,7,2
"S00136321",86,57,20,1,2,3
"S00136322",60,31,19,4,3,3
"S00136323",96,37,46,1,7,5
"S00136324",71,58,10,2,1,3
"S00136325",116,23,83,-,3,5
"S00136326",81,57,13,2,8,-
"S00136327",56,23,17,-,9,8
"S00136328",58,44,7,-,7,-
"S00136329",103,58,28,6,6,4
"S00136330",122,79,33,-,9,1
"S00136331",65,42,14,1,9,1
"S00136332",85,32,32,6,12,5
"S00136333",411,382,23,1,5,-
"S00136334",112,72,16,6,9,8
"S00136335",59,15,45,-,1,2
"S00136336",79,38,26,6,5,4
"S00136337",102,35,51,2,7,6
"S00136338",94,72,15,5,-,-
"S00136339",101,52,26,2,10,12
"S00136340",75,34,28,4,11,3
"S00136341",58,33,20,-,2,5
"S00136342",67,41,14,-,13,-
"S00136343",109,77,20,1,5,-
"S00136344",57,33,20,-,2,1
"S00136345",106,35,38,3,12,19
"S00136346",84,32,35,2,13,-
"S00136347",60,27,21,-,6,5
"S00136348",100,53,28,2,8,7
"S00136349",96,77,10,4,5,2
"S00136350",72,45,13,3,10,1
"S00136351",90,25,54,1,2,8
"S00136352",65,49,2,2,10,2
"S00136353",107,66,15,5,13,5
"S00136354",65,39,13,2,10,3
"S00136355",90,59,18,3,7,2
"S00136356",56,46,9,-,3,-
"S00136357",75,33,33,-,3,4
"S00136358",108,47,49,4,11,1
"S00136359",78,33,16,-,10,19
"S00136360",64,29,13,5,10,7
"S00136361",63,37,18,4,-,-
"S00136362",109,63,34,-,8,3
"S00136363",69,29,35,-,7,1
"S00136364",78,66,8,1,2,1
"S00136365",123,54,39,3,21,3
"S00136366",99,48,29,6,7,6
"S00136367",81,61,14,1,4,-
"S00136368",67,20,33,2,5,6
"S00136369",113,59,27,2,15,10
"S00136370",156,118,24,-,10,2
"S00136371",65,25,24,2,13,5
"S00136372",104,32,48,3,11,9
"S00136373",103,71,13,5,13,1
"S00136374",132,48,53,2,20,11
"S00136375",118,41,58,5,7,9
"S00136376",90,40,38,1,6,4
"S00136377",67,40,15,2,8,5
"S00136378",79,52,21,-,4,1
"S00136379",83,57,22,-,4,2
"S00136380",97,44,41,4,4,4
"S00136381",73,58,11,2,1,-
"S00136382",93,20,64,-,5,4
"S00136383",82,22,54,-,4,5
"S00136384",65,25,28,-,4,13
"S00136385",96,59,24,-,12,2
"S00136386",76,23,36,-,12,10
"S00136387",117,78,28,3,4,4
"S00136388",79,57,7,2,10,3
"S00136389",124,49,58,1,4,8
"S00136390",90,57,13,4,13,5
"S00136391",70,33,23,1,9,2
"S00136392",69,48,11,1,9,-
"S00136393",67,12,19,1,12,18
"S00136394",70,24,27,-,8,10
"S00136395",155,35,98,5,6,7
"S00136396",64,48,6,-,9,2
"S00136397",111,30,71,2,7,3
"S00136398",77,65,8,2,-,1
"S00136399",67,40,5,5,9,10
"S00136400",63,13,38,-,8,5
"S00136401",86,47,20,-,13,3
"S00136402",102,17,51,3,7,23
"S00136403",97,31,62,1,4,-
"S00136404",56,21,23,-,4,6
"S00136405",95,82,10,-,1,1
"S00136406",77,58,15,-,4,-
"S00136407",94,62,22,2,7,1
"S00136408",138,45,73,3,11,7
"S00136409",98,42,31,4,11,8
"S00136410",109,29,65,3,8,1
"S00136411",70,45,17,3,4,1
"S00136412",60,46,10,-,1,-
"S00136413",69,53,12,2,1,1
"S00136414",97,40,42,1,12,3
"S00136415",85,49,13,3,8,9
"S00136416",115,21,82,-,7,4
"S00136417",74,30,33,2,9,1
"S00136418",70,20,46,2,5,-
"S00136419",99,34,46,1,9,15
"S00136420",78,13,40,2,3,21
"S00136421",65,35,10,5,7,2
"S00136422",140,55,60,3,18,4
"S00136423",84,21,50,1,8,2
"S00136424",100,52,36,1,7,3
"S00136425",94,77,8,2,7,-
"S00136426",74,65,9,-,5,-
"S00136427",78,36,31,3,6,3
"S00136428",80,54,11,5,9,1
"S00136429",124,46,58,4,7,7
"S00136430",78,65,7,1,7,1
"S00136431",134,36,76,6,9,4
"S00136432",104,84,22,1,4,1
"S00136433",95,20,53,6,13,6
"S00136434",63,50,4,-,8,1
"S00136435",72,22,22,4,12,12
"S00136436",85,41,19,3,13,9
"S00136437",148,80,59,3,5,1
"S00136438",125,89,31,2,5,-
"S00136439",140,93,17,4,21,10
"S00136440",65,53,17,-,1,-
"S00136441",77,19,48,1,6,3
"S00136442",83,58,10,3,11,1
"S00136443",72,11,29,4,19,9
"S00136444",82,45,18,2,7,3
"S00136445",100,80,11,-,7,-
"S00136446",92,21,56,1,11,10
"S00136447",93,72,14,1,3,4
"S00136448",61,3,12,-,13,33
"S00136449",98,45,31,2,18,2
"S00136450",67,24,29,-,6,7
"S00136451",92,36,46,1,2,7
"S00136452",74,28,39,1,5,4
"S00136453",83,37,23,1,10,15
"S00136454",62,50,8,2,6,-
"S00136455",104,25,60,2,8,1
"S00136456",90,18,59,-,9,4
"S00136457",89,67,12,2,9,-
"S00136458",98,69,16,3,6,-
"S00136459",57,40,14,-,-,-
"S00136460",86,62,13,2,8,1
"S00136461",139,29,90,-,4,14
"S00136462",72,21,39,2,2,7
"S00136463",132,30,95,-,4,-
"S00136464",74,48,16,1,3,2
"S00136465",75,17,49,1,6,-
"S00136466",75,59,11,3,4,-
"S00136467",96,9,38,5,18,30
"S00136468",132,34,73,3,9,13
"S00136469",91,65,18,1,3,2
"S00136470",90,71,10,3,6,-
"S00136471",70,49,12,1,5,2
"S00136472",64,59,3,1,1,-
"S00136473",67,48,14,-,5,-
"S00136474",81,67,10,1,3,-
"S00136475",82,9,56,3,8,7
"S00136476",62,32,21,3,5,1
"S00136477",86,64,15,-,5,4
"S00136478",68,64,5,-,-,-
"S00136479",105,56,41,1,5,3
"S00136480",97,77,8,1,9,3
"S00136481",73,57,6,2,8,-
"S00136482",116,33,59,1,15,11
"S00136483",86,25,54,-,8,3
"S00136484",102,43,30,2,18,8
"S00136485",84,44,20,7,7,3
"S00136486",95,64,17,3,6,4
"S00136487",80,46,17,-,6,13
"S00136488",79,65,8,-,4,1
"S00136489",73,57,11,1,4,-
"S00136490",83,24,55,-,1,1
"S00136491",77,17,47,4,8,3
"S00136492",88,45,33,-,5,5
"S00136493",112,72,24,1,13,2
"S00136494",150,37,89,-,13,13
"S00136495",62,26,23,2,7,4
"S00136496",78,15,46,-,6,11
"S00136497",81,55,15,4,8,-
"S00136498",92,76,12,3,1,-
"S00136499",98,20,62,2,14,4
"S00136500",98,62,24,2,5,4
"S00136501",69,19,33,1,7,9
"S00136502",112,41,54,1,10,6
"S00136503",85,66,12,2,3,1
"S00136504",79,17,51,2,2,4
"S00136505",111,26,56,3,13,13
"S00136506",102,55,30,2,12,6
"S00136507",85,22,40,5,10,9
"S00136508",120,63,47,1,7,2
"S00136509",127,29,90,1,8,3
"S00136510",92,69,13,4,3,2
"S00136511",59,7,42,-,6,7
"S00136512",59,49,9,-,3,-
"S00136513",111,20,88,-,2,4
"S00136514",128,33,83,3,3,3
"S00136515",92,30,49,1,3,9
"S00136516",92,66,24,2,-,-
"S00136517",68,14,47,-,4,3
"S00136518",149,68,44,4,19,14
"S00136519",92,26,13,5,18,32
"S00136520",163,36,108,2,9,6
"S00136521",91,59,22,4,8,-
"S00136522",92,35,42,2,8,7
"S00136523",91,14,65,3,2,7
"S00136524",83,64,8,2,4,5
"S00136525",97,64,22,2,7,2
"S00136526",69,47,17,-,2,2
"S00136527",109,80,15,4,8,1
"S00136528",59,44,9,2,4,-
"S00136529",68,31,31,-,5,1
"S00136530",91,12,60,1,5,9
"S00136531",74,15,46,1,6,6
"S00136532",117,52,32,-,19,8
"S00136533",78,22,48,-,5,3
"S00136534",111,89,14,3,4,1
"S00136535",62,46,11,2,2,-
"S00136536",77,27,38,2,7,3
"S00136537",93,25,60,-,4,3
"S00136538",116,72,36,6,5,-
"S00136539",94,19,56,-,8,8
"S00136540",64,55,4,1,4,-
"S00136541",76,16,50,1,1,8
"S00136542",60,29,19,2,5,5
"S00136543",111,29,69,2,4,7
"S00136544",56,39,10,-,3,-
"S00136545",85,26,47,-,7,5
"S00136546",72,57,8,1,1,3
"S00136547",78,46,23,1,3,1
"S00136548",81,11,61,-,3,6
"S00136549",101,58,24,2,15,2
"S00136550",114,88,18,1,4,2
"S00136551",103,71,24,2,5,-
"S00136552",92,7,69,3,5,8
"S00136553",84,40,16,-,23,7
"S00136554",80,63,16,2,3,-
"S00136555",85,34,32,3,9,7
"S00136556",53,22,9,1,9,11
"S00136557",68,37,24,2,4,-
"S00136558",94,53,27,4,8,3
"S00136559",55,33,6,2,11,2
"S00136560",72,30,17,2,20,4
"S00136561",66,29,22,4,10,4
"S00136562",68,19,36,2,3,8
"S00136563",65,47,11,2,4,-
"S00136564",132,31,78,3,11,6
"S00136565",102,23,65,-,9,7
"S00136566",77,15,57,1,3,4
"S00136567",106,85,11,1,7,2
"S00136568",86,63,16,4,5,-
"S00136569",84,40,19,1,15,8
"S00136570",67,50,12,-,4,1
"S00136571",69,33,22,4,4,4
"S00136572",64,43,13,4,3,1
"S00136573",89,57,21,3,5,1
"S00136574",82,29,47,2,2,4
"S00136575",66,35,11,6,7,4
"S00136576",92,68,16,-,6,4
"S00136577",69,19,39,-,2,4
"S00136578",93,41,43,1,5,2
"S00136579",81,48,31,-,4,-
"S00136580",111,83,21,-,6,1
"S00136581",61,46,7,-,1,5
"S00136582",129,30,78,3,9,14
"S00136583",63,40,14,2,7,-
"S00136584",58,53,6,2,2,-
"S00136585",106,24,75,1,9,1
"S00136586",60,26,26,5,1,3
"S00136587",57,38,13,-,2,3
"S00136588",88,41,38,2,6,1
"S00136589",62,44,14,1,6,-
"S00136590",93,60,21,1,9,3
"S00136591",98,30,53,1,7,6
"S00136592",179,21,105,2,9,42
"S00136593",111,49,52,2,4,4
"S00136594",90,69,14,-,4,4
"S00136595",91,75,9,3,1,-
"S00136596",60,45,15,2,3,-
"S00136597",84,52,27,2,2,1
"S00136598",76,36,22,4,10,4
"S00136599",78,61,12,1,4,1
"S00136600",105,83,15,-,7,-
"S00136601",74,59,11,2,2,-
"S00136602",118,25,76,-,6,11
"S00136603",104,68,27,1,7,2
"S00136604",59,9,46,1,2,1
"S00136605",137,99,24,3,12,-
"S00136606",103,68,25,2,8,-
"S00136607",75,55,9,3,5,4
"S00136608",312,291,11,1,4,-
"S00136609",96,50,26,4,14,4
"S00136610",68,36,32,-,1,2
"S00136611",82,61,14,-,8,2
"S00136612",72,53,15,-,2,2
"S00136613",64,52,5,-,4,-
"S00136614",69,41,21,-,3,-
"S00136615",86,63,12,5,5,-
"S00136616",129,46,58,2,14,9
"S00136617",66,52,6,1,4,1
"S00136618",71,48,8,5,5,3
"S00136619",52,21,22,-,3,3
"S00136620",107,47,47,2,6,5
"S00136621",115,70,33,3,11,2
"S00136622",109,72,31,5,2,-
"S00136623",64,46,10,3,2,2
"S00136624",92,15,64,-,6,3
"S00136625",58,34,23,-,1,1
"S00136626",90,19,57,3,5,8
"S00136627",98,45,37,4,11,1
"S00136628",84,37,38,-,2,4
"S00136629",73,32,17,3,14,-
"S00136630",107,87,13,-,4,-
"S00136631",74,46,14,1,12,3
"S00136632",68,46,16,1,5,-
"S00136633",82,11,59,1,10,6
"S00136634",76,49,20,-,6,3
"S00136635",79,50,18,-,10,1
"S00136636",122,94,20,-,5,3
"S00136637",190,43,70,5,11,61
"S00136638",101,61,35,2,7,-
"S00136639",82,64,14,-,2,-
"S00136640",65,50,4,5,7,-
"S00136641",103,41,44,4,10,4
"S00136642",95,78,11,3,2,-
"S00136643",71,49,11,2,5,-
"S00136644",74,60,11,1,4,-
"S00136645",83,47,26,-,8,2
"S00136646",91,67,16,1,8,-
"S00136647",110,84,22,-,3,4
"S00136648",82,56,18,2,6,5
"S00136649",84,27,42,2,11,2
"S00136650",123,64,42,4,8,2
"S00136651",79,65,6,-,8,-
"S00136652",82,61,13,2,5,1
"S00136653",55,36,15,-,3,-
"S00136654",100,76,22,-,-,-
"S00136655",107,80,14,2,8,4
"S00136656",61,12,38,-,7,4
"S00136657",105,67,25,4,6,4
"S00136658",67,19,36,3,7,1
"S00136659",98,46,44,1,10,-
"S00136660",88,19,54,4,2,8
"S00136661",72,48,16,2,6,1
"S00136662",68,25,22,1,8,9
"S00136663",115,64,38,8,7,-
"S00136664",82,19,51,2,2,5
"S00136665",101,59,31,4,5,4
"S00136666",79,43,21,3,9,-
"S00136667",64,54,8,2,3,-
"S00136668",76,60,10,1,5,-
"S00136669",90,45,30,3,8,2
"S00136670",132,41,83,1,3,4
"S00136671",64,20,39,1,8,-
"S00136672",67,32,26,1,9,3
"S00136673",84,68,8,2,6,5
"S00136674",69,38,21,3,4,-
"S00136675",109,25,70,-,9,5
"S00136676",69,28,36,-,2,1
"S00136677",137,45,84,1,5,3
"S00136678",113,24,76,1,7,2
"S00136679",114,53,46,2,10,3
"S00136680",128,48,61,1,9,12
"S00136681",111,76,27,1,9,4
"S00136682",109,64,33,1,9,-
"S00136683",89,27,52,2,6,3
"S00136684",61,29,28,1,3,-
"S00136685",108,77,23,-,6,3
"S00136686",77,53,17,1,5,2
"S00136687",107,43,51,3,7,3
"S00136688",106,74,21,9,-,2
"S00136689",82,58,11,3,8,3
"S00136690",65,42,14,3,4,1
"S00136691",110,27,72,3,3,5
"S00136692",103,35,15,4,18,34
"S00136693",79,59,8,1,8,3
"S00136694",106,23,64,2,7,12
"S00136695",90,10,64,-,6,10
"S00136696",97,55,20,5,11,3
"S00136697",118,28,78,2,5,5
"S00136698",70,56,7,-,6,-
"S00136699",70,14,43,7,6,4
"S00136700",96,50,35,3,6,2
"S00136701",72,35,22,1,14,2
"S00136702",77,43,26,-,4,3
"S00136703",103,63,22,6,11,3
"S00136704",79,20,47,5,4,5
"S00136705",60,23,31,-,1,4
"S00136706",61,28,19,-,15,-
"S00136707",70,35,21,2,9,4
"S00136708",83,18,46,7,7,6
"S00136709",143,29,96,4,4,12
"S00136710",101,28,62,1,6,3
"S00136711",101,52,31,2,12,4
"S00136712",114,61,33,7,10,1
"S00136713",85,57,12,1,9,4
"S00136714",71,48,12,-,8,3
"S00136715",125,29,74,2,10,7
"S00136716",147,60,75,1,5,4
"S00136717",71,42,22,2,5,-
"S00136718",95,36,49,1,6,5
"S00136719",82,44,15,4,17,3
"S00136720",94,66,9,1,15,-
"S00136721",117,93,12,-,12,3
"S00136722",95,57,26,2,8,3
"S00136723",89,26,51,1,4,7
"S00136724",109,55,38,-,17,3
"S00136725",62,33,23,-,4,2
"S00136726",74,53,8,2,8,1
"S00136727",73,18,44,2,2,7
"S00136728",73,54,9,5,10,2
"S00136729",104,33,48,8,14,7
"S00136730",71,50,11,2,6,-
"S00136731",103,36,49,11,5,4
"S00136732",54,18,28,1,5,1
"S00136733",118,29,76,4,3,4
"S00136734",99,64,22,5,10,-
"S00136735",105,17,72,2,7,5
"S00136736",80,28,39,-,3,10
"S00136737",101,26,36,1,23,23
"S00136738",68,36,19,-,8,8
"S00136739",78,41,18,-,15,4
"S00136740",119,62,40,2,14,9
"S00136741",73,25,23,2,17,6
"S00136742",120,27,75,-,4,14
"S00136743",49,16,28,-,3,2
"S00136744",92,69,19,2,6,1
"S00136745",139,46,48,4,10,31
"S00136746",133,55,54,6,11,7
"S00136747",74,15,51,-,10,4
"S00136748",89,27,54,-,4,3
"S00136749",117,24,85,2,2,6
"S00136750",78,61,9,4,2,2
"S00136751",77,15,42,-,7,8
"S00136752",104,59,25,3,14,6
"S00136753",119,22,78,1,4,14
"S00136754",77,28,37,3,8,1
"S00136755",94,32,50,2,5,5
"S00136756",91,37,31,6,8,10
"S00136757",83,57,6,3,12,6
"S00136758",70,18,41,1,6,4
"S00136759",56,4,24,4,1,23
"S00136760",81,32,28,1,7,9
"S00136761",84,46,28,4,3,3
"S00136762",102,69,16,7,8,1
"S00136763",62,44,7,-,12,-
"S00136764",107,32,48,4,9,10
"S00136765",101,49,25,3,15,7
"S00136766",96,75,9,2,9,-
"S00136767",84,21,50,2,4,9
"S00136768",126,43,77,3,4,-
"S00136769",94,45,36,2,9,4
"S00136770",79,40,24,7,9,5
"S00136771",102,29,61,2,3,7
"S00136772",86,53,12,6,12,3
"S00136773",101,52,19,4,16,6
"S00136774",64,10,45,-,4,5
"S00136775",83,44,29,2,4,2
"S00136776",119,52,44,6,9,6
"S00136777",74,21,44,1,3,5
"S00136778",75,32,25,2,7,8
"S00136779",96,70,10,1,5,4
"S00136780",93,13,27,2,10,43
"S00136781",99,36,40,6,8,6
"S00136782",124,33,73,2,6,10
"S00136783",71,27,22,4,14,3
"S00136784",61,35,8,1,14,3
"S00136785",110,55,42,-,11,2
"S00136786",131,29,91,-,3,8
"S00136787",84,35,35,2,13,-
"S00136788",84,44,31,-,7,1
"S00136789",109,70,26,3,6,3
"S00136790",131,44,63,3,14,5
"S00136791",90,34,53,-,3,-
"S00136792",53,18,24,4,10,2
"S00136793",65,31,24,4,4,5
"S00136794",112,56,46,2,5,6
"S00136795",94,34,50,-,4,6
"S00136796",98,45,23,-,19,9
"S00136797",89,62,15,4,11,-
"S00136798",103,16,71,2,8,6
"S00136799",57,28,12,1,10,4
"S00136800",99,41,45,-,6,6
"S00136801",65,14,40,-,4,6
"S00136802",64,31,18,5,6,1
"S00136803",104,63,35,1,6,1
"S00136804",119,67,24,5,21,4
"S00136805",102,64,14,6,15,4
