Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00135932",64,36,18,2,4,4
"S00135933",120,42,52,6,5,9
"S00135934",114,84,18,-,7,1
"S00135935",89,15,62,1,5,8
"S00135936",94,60,23,1,11,4
"S00135937",105,40,48,1,7,9
"S00135938",90,32,44,2,5,5
"S00135939",67,43,17,-,5,1
"S00135940",82,33,18,2,16,12
"S00135941",113,84,19,2,7,1
"S00135942",115,20,76,1,6,11
"S00135943",88,26,51,-,6,5
"S00135944",144,58,60,4,10,12
"S00135945",74,28,33,-,5,8
"S00135946",130,54,66,-,11,1
"S00135947",112,50,46,2,9,5
"S00135948",121,80,25,4,10,5
"S00135949",128,26,82,6,13,3
"S00135950",60,18,34,2,1,5
"S00135951",129,98,26,1,4,-
"S00135952",57,27,28,-,3,-
"S00135953",110,79,20,-,1,6
"S00135954",115,33,69,2,8,4
"S00135955",117,38,46,3,14,10
"S00135956",99,36,49,3,8,8
"S00135957",101,53,36,5,5,1
"S00135958",65,24,23,2,12,6
"S00135959",114,38,47,2,11,16
"S00135960",124,42,58,5,10,7
"S00135961",133,49,59,3,12,10
"S00135962",87,48,27,1,6,5
"S00135963",146,33,101,3,6,6
"S00135964",97,60,23,-,4,6
"S00135965",90,63,21,1,3,3
"S00135966",75,22,38,-,9,6
"S00135967",87,26,43,3,8,3
"S00135968",124,37,44,3,24,14
"S00135969",70,47,16,1,4,4
"S00135970",86,24,38,4,18,4
"S00135971",111,68,28,1,9,4
"S00135972",90,41,20,1,18,10
"S00135973",97,35,42,2,7,8
"S00135974",89,25,47,1,3,8
"S00135975",76,45,13,5,11,1
"S00135976",112,84,11,-,15,3
"S00135977",63,32,28,-,4,2
"S00135978",110,86,23,-,4,1
"S00135979",78,49,8,2,11,6
"S00135980",80,26,46,-,6,2
"S00135981",128,32,90,-,4,-
"S00135982",81,47,24,3,6,-
"S00135983",107,68,27,-,7,5
"S00135984",100,33,45,4,14,9
"S00135985",101,56,24,5,11,5
"S00135986",107,42,34,4,14,11
"S00135987",74,48,15,-,3,5
"S00135988",67,42,22,-,1,1
"S00135989",88,59,18,2,12,3
"S00135990",52,8,34,1,1,3
"S00135991",71,61,9,-,-,-
"S00135992",86,27,40,4,8,7
"S00135993",90,38,34,5,7,2
"S00135994",125,33,75,1,15,1
"S00135995",63,53,6,1,2,3
"S00135996",135,46,73,4,9,3
"S00135997",105,30,30,6,13,29
"S00135998",86,48,19,4,8,7
"S00135999",93,70,17,-,3,2
"S00136000",113,29,43,5,18,20
"S00136001",75,35,17,1,18,4
"S00136002",82,43,26,1,11,4
"S00136003",69,50,13,2,5,-
"S00136004",63,29,18,5,7,6
"S00136005",100,49,28,4,16,7
"S00136006",58,41,12,1,2,4
"S00136007",141,44,77,-,8,12
"S00136008",62,26,30,-,2,3
"S00136009",96,43,19,7,17,7
"S00136010",110,36,60,2,7,8
"S00136011",108,48,15,5,24,12
"S00136012",97,50,21,4,16,6
"S00136013",84,62,12,2,5,2
"S00136014",100,45,39,5,9,2
"S00136015",105,69,14,3,12,4
"S00136016",116,94,16,-,-,3
"S00136017",138,88,30,7,8,7
"S00136018",127,87,36,2,-,-
"S00136019",870,844,21,-,3,1
"S00136020",112,41,48,-,14,9
"S00136021",59,37,13,3,3,-
"S00136022",99,44,46,1,7,4
"S00136023",55,10,20,4,6,18
"S00136024",73,22,41,2,-,8
"S00136025",88,39,37,2,5,6
"S00136026",133,119,9,-,3,4
"S00136027",69,43,19,-,3,3
"S00136028",56,32,10,-,12,5
"S00136029",68,15,45,-,6,4
"S00136030",127,36,61,1,8,20
"S00136031",101,54,32,4,11,2
"S00136032",102,67,28,2,6,4
"S00136033",121,54,47,-,14,6
"S00136034",105,79,11,-,11,-
"S00136035",125,103,19,3,4,1
"S00136036",97,60,26,1,4,1
