Scotland's Census 2022 - National Records of Scotland
Table UV211b - British Sign Language (BSL) skills by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","BSL User","BSL User","BSL User","BSL User","BSL User","BSL User","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over"
"S00135575",142,16,16,35,39,38,5,-,-,3,2,2,137,16,16,36,36,37
"S00135576",126,15,9,43,28,31,4,-,-,1,1,-,118,15,9,40,27,31
"S00135577",123,18,14,72,14,4,1,-,-,1,-,-,121,18,14,68,14,4
"S00135578",117,15,9,38,28,27,3,1,-,2,-,-,114,14,9,36,28,27
"S00135579",83,7,4,32,16,24,1,-,-,-,-,1,82,7,4,32,16,23
"S00135580",135,15,14,46,32,32,3,-,-,-,3,-,134,15,14,46,31,32
"S00135581",127,22,12,31,27,35,1,-,-,-,-,1,126,22,12,31,27,34
"S00135582",82,5,8,37,26,6,-,-,-,-,-,-,81,5,8,37,26,5
"S00135583",130,24,9,69,24,2,5,4,-,3,-,-,124,22,9,66,24,2
"S00135584",116,19,4,56,24,13,1,-,-,1,-,-,115,19,4,55,24,13
"S00135585",105,22,2,59,14,8,12,4,-,7,-,-,92,18,2,52,13,8
"S00135586",118,19,6,35,23,35,4,1,-,2,1,-,114,14,6,33,22,35
"S00135587",72,5,2,35,21,7,2,-,-,2,-,-,70,5,2,33,21,7
"S00135588",85,1,5,30,19,26,-,-,-,-,-,-,85,1,5,30,19,26
"S00135589",82,7,6,26,21,22,4,1,1,-,2,1,78,6,5,26,20,21
"S00135590",80,18,3,46,9,4,-,-,-,-,-,-,80,18,3,46,9,4
"S00135591",80,12,12,25,23,9,3,2,-,1,1,-,76,10,12,24,22,9
"S00135592",103,22,7,67,4,-,9,1,3,5,1,-,93,21,6,62,3,-
"S00135593",85,5,11,20,28,18,1,-,-,-,1,-,84,5,11,20,27,18
