Scotland's Census 2022 - National Records of Scotland
Table UV209 - Scots language skills
All people aged 3 and over

,"All people aged 3 and over","Understands but does not speak, read or write Scots","Speaks, reads and writes Scots","Speaks but does not read or write Scots","Speaks and reads but does not write Scots","Reads but does not speak or write Scots","Other combination of skills in Scots","No skills in Scots"
"S00153986",146,23,34,4,3,10,3,75
"S00153987",141,21,50,3,5,5,-,61
"S00153988",126,14,42,2,2,2,-,61
"S00153989",122,21,34,1,10,-,3,51
"S00153990",115,20,40,7,2,1,1,45
"S00153991",76,10,24,4,2,6,-,29
"S00153992",167,35,42,9,7,7,-,67
"S00153993",86,17,14,5,5,7,-,34
"S00153994",155,32,39,6,6,14,-,58
"S00153995",98,18,16,-,3,6,-,54
"S00153996",92,24,21,8,1,5,-,36
"S00153997",81,5,25,5,5,6,-,38
"S00153998",115,20,25,3,5,4,-,54
"S00153999",75,9,18,4,1,2,-,38
"S00154000",129,20,23,6,2,15,-,63
"S00154001",135,10,29,4,11,7,-,74
"S00154002",82,8,25,7,-,2,2,43
"S00154003",64,8,19,-,2,6,-,29
"S00154004",135,22,27,2,6,12,1,65
"S00154005",102,29,26,6,8,6,-,30
"S00154006",122,10,34,3,8,13,-,55
"S00154007",82,11,17,4,-,4,-,49
"S00154008",143,21,51,-,2,9,1,61
"S00154009",65,7,13,-,-,6,-,42
"S00154010",118,23,32,7,8,4,-,45
"S00154011",129,30,29,5,2,5,-,59
"S00154012",138,21,44,9,2,8,-,53
"S00154013",83,12,17,9,10,1,-,34
"S00154014",131,18,21,-,4,12,1,75
"S00154015",142,16,33,4,-,2,-,82
"S00154016",103,16,17,2,5,10,-,55
"S00154017",158,18,21,4,6,7,-,101
"S00154018",134,17,26,2,6,10,-,74
"S00154019",107,21,26,4,4,4,-,47
"S00154020",90,15,28,2,6,13,-,26
"S00154021",83,20,6,-,4,7,-,43
"S00154022",122,25,27,-,14,10,-,47
"S00154023",139,20,39,1,6,5,2,68
"S00154024",95,9,11,3,11,5,-,56
"S00154025",94,16,13,3,4,4,-,54
"S00154026",88,14,17,-,2,10,-,44
"S00154027",92,14,9,-,3,7,1,59
"S00154028",101,14,14,5,3,7,-,55
"S00154029",79,21,22,-,1,3,-,32
"S00154030",61,15,12,3,5,4,-,25
"S00154031",116,21,39,10,3,8,1,36
"S00154032",75,14,15,8,2,3,1,33
"S00154033",98,12,28,3,5,3,1,46
"S00154034",72,10,13,3,-,5,-,39
"S00154035",107,23,23,-,1,6,-,54
"S00154036",147,29,47,2,6,9,2,51
"S00154037",144,17,20,2,1,8,2,95
"S00154038",86,20,13,1,4,2,-,46
"S00154039",94,10,12,3,4,7,1,57
"S00154040",66,20,20,3,-,2,-,19
"S00154041",142,13,21,7,6,4,-,91
"S00154042",90,9,15,6,-,3,1,58
"S00154043",113,26,21,2,1,12,-,52
"S00154044",172,32,28,6,13,17,-,76
"S00154045",105,16,21,1,6,13,-,48
"S00154046",99,12,36,-,8,2,-,40
"S00154047",75,24,17,1,2,3,-,28
"S00154048",80,17,13,3,4,8,1,37
"S00154049",68,10,15,1,1,8,-,39
"S00154050",173,14,65,6,-,10,3,74
"S00154051",81,16,19,3,-,2,-,43
"S00154052",69,9,16,1,2,2,-,40
"S00154053",63,14,17,3,6,2,-,21
"S00154054",157,17,42,7,10,7,-,74
"S00154055",77,15,11,6,8,5,-,40
"S00154056",123,15,37,7,1,6,-,55
"S00154057",107,11,34,10,7,1,-,43
"S00154058",87,11,32,3,4,7,1,29
"S00154059",64,14,7,4,1,1,-,38
"S00154060",77,16,14,3,6,3,-,36
"S00154061",151,33,41,4,3,4,-,67
"S00154062",85,7,16,-,4,5,1,48
"S00154063",83,10,20,1,2,5,-,50
"S00154064",89,13,36,5,2,3,-,28
"S00154065",148,35,33,4,9,14,-,53
"S00154066",88,13,18,-,1,6,-,51
"S00154067",76,16,22,2,3,7,-,30
"S00154068",87,14,18,1,10,3,1,40
"S00154069",88,12,30,6,3,5,1,36
"S00154070",189,29,61,12,9,6,-,74
"S00154071",161,24,52,9,15,3,-,58
"S00154072",90,9,10,6,2,13,-,50
"S00154073",99,13,26,-,8,2,-,44
"S00154074",90,9,16,2,3,8,-,53
"S00154075",72,7,19,2,4,8,-,31
"S00154076",64,11,18,2,4,-,-,27
"S00154077",104,15,22,2,1,8,-,56
"S00154078",116,17,42,6,2,5,-,52
"S00154079",99,17,29,3,3,8,-,39
"S00154080",138,25,39,8,7,4,-,52
"S00154081",162,16,42,9,7,5,2,80
"S00154082",144,21,39,10,9,6,-,59
"S00154083",72,8,17,4,5,1,-,37
"S00154084",137,18,43,5,2,7,-,60
"S00154085",95,17,33,7,6,2,-,27
"S00154086",72,5,14,1,3,5,-,43
"S00154087",118,22,34,7,15,8,-,34
"S00154088",147,31,32,15,4,8,2,59
"S00154089",99,18,27,2,9,3,-,37
"S00154090",160,35,53,4,9,4,-,55
"S00154091",222,25,48,14,11,9,-,117
"S00154092",159,38,33,7,6,3,-,68
"S00154093",109,17,32,3,4,6,-,47
"S00154094",129,21,34,13,7,5,3,52
"S00154095",69,9,27,2,-,1,-,27
"S00154096",93,20,35,5,4,-,-,32
"S00154097",168,23,50,15,8,9,-,63
"S00154098",144,22,38,3,4,5,2,69
"S00154099",128,24,33,7,2,3,-,59
"S00154100",74,7,24,1,3,10,-,29
"S00154101",77,9,14,3,12,9,-,26
"S00154102",77,17,13,2,1,1,1,40
"S00154103",99,14,22,4,1,12,1,45
"S00154104",96,22,35,9,2,1,-,29
"S00154105",88,13,29,1,5,3,1,36
"S00154106",105,11,46,5,10,2,-,27
"S00154107",144,22,28,3,15,2,1,67
"S00154108",68,12,21,2,2,2,-,26
"S00154109",125,23,27,-,7,10,3,54
"S00154110",173,29,45,8,5,7,2,77
"S00154111",89,12,20,2,2,8,-,40
"S00154112",141,24,29,5,1,13,1,67
"S00154113",66,13,16,5,7,-,-,25
"S00154114",124,8,36,1,3,6,-,70
"S00154115",105,10,29,8,2,6,-,49
"S00154116",141,23,29,2,7,3,-,77
"S00154117",74,16,16,2,2,4,1,33
"S00154118",62,19,14,-,3,3,-,24
"S00154119",87,9,21,9,10,5,-,33
"S00154120",100,19,34,11,2,-,-,33
"S00154121",131,20,37,8,2,5,-,58
"S00154122",117,13,25,3,2,5,-,71
"S00154123",106,8,18,4,-,8,-,66
"S00154124",108,9,29,6,4,8,-,54
"S00154125",66,9,20,3,-,2,-,31
"S00154126",82,19,24,5,4,3,-,27
"S00154127",60,11,16,-,3,4,-,25
"S00154128",134,18,43,4,4,5,2,58
"S00154129",86,19,33,2,10,2,-,20
"S00154130",64,8,27,2,2,1,-,24
"S00154131",135,13,49,4,6,1,-,64
"S00154132",171,15,47,8,3,3,-,97
"S00154133",144,30,47,3,7,1,-,56
"S00154134",161,39,26,9,11,4,1,71
"S00154135",84,12,21,3,-,6,-,38
"S00154136",148,24,43,1,2,9,2,64
"S00154137",166,13,50,11,15,7,-,65
"S00154138",119,14,39,10,6,-,-,45
"S00154139",168,19,26,2,-,1,-,120
"S00154140",116,11,27,10,5,1,-,62
"S00154141",191,21,39,8,10,8,-,106
"S00154142",113,9,45,10,5,1,1,37
"S00154143",83,11,38,4,3,2,-,22
"S00154144",123,12,43,11,-,4,1,50
"S00154145",105,16,41,10,3,1,-,30
"S00154146",171,31,53,13,7,6,2,63
"S00154147",147,25,37,7,6,5,-,64
"S00154148",122,32,41,5,5,7,-,35
"S00154149",132,20,61,6,-,-,-,49
"S00154150",148,16,45,4,5,2,-,73
"S00154151",77,8,43,1,-,3,-,27
"S00154152",151,21,37,15,4,7,-,67
"S00154153",57,10,21,-,1,2,-,22
"S00154154",116,10,42,9,6,2,-,49
"S00154155",84,11,13,5,2,-,-,60
"S00154156",111,21,34,6,2,-,3,42
"S00154157",68,9,26,8,4,-,1,20
"S00154158",66,8,27,1,3,-,1,26
"S00154159",62,7,26,4,3,1,-,23
"S00154160",111,4,30,2,6,3,1,64
"S00154161",118,14,43,6,7,2,-,45
"S00154162",98,15,32,3,5,-,-,42
"S00154163",78,9,18,2,-,2,-,43
"S00154164",96,15,24,6,9,5,1,36
"S00154165",158,27,25,13,7,2,1,83
"S00154166",81,14,22,5,2,4,-,32
"S00154167",117,19,36,7,4,5,2,46
"S00154168",170,20,61,2,2,4,1,75
"S00154169",80,11,34,-,3,3,-,30
"S00154170",154,12,63,15,4,-,-,60
"S00154171",121,22,38,2,-,-,-,55
"S00154172",88,11,21,9,8,-,-,34
"S00154173",100,13,29,4,5,2,-,46
"S00154174",94,13,38,6,4,2,-,35
"S00154175",98,19,20,5,7,-,-,49
"S00154176",109,14,38,9,4,2,-,44
"S00154177",84,8,42,2,-,1,-,28
"S00154178",127,24,28,1,9,3,-,59
"S00154179",112,12,48,3,9,2,-,42
"S00154180",95,7,36,2,6,-,-,43
"S00154181",90,15,26,6,5,2,-,38
"S00154182",112,13,32,2,3,4,-,58
"S00154183",71,10,16,-,-,11,-,36
"S00154184",129,27,46,6,3,4,3,39
"S00154185",113,23,33,2,6,7,-,46
"S00154186",123,11,45,12,14,5,-,40
"S00154187",73,8,26,2,-,2,-,34
"S00154188",141,29,50,4,1,3,2,52
"S00154189",85,12,27,11,5,3,-,30
"S00154190",70,10,30,4,2,-,-,25
"S00154191",96,8,33,5,1,-,-,49
"S00154192",88,18,23,4,-,2,-,39
"S00154193",76,8,17,2,4,4,-,38
"S00154194",69,8,34,2,-,2,3,21
"S00154195",90,18,31,5,2,-,-,34
"S00154196",63,10,24,6,-,2,-,20
"S00154197",73,11,22,3,-,5,-,29
"S00154198",150,19,43,4,5,8,4,72
"S00154199",95,17,35,6,8,1,2,28
"S00154200",79,8,23,6,1,1,-,37
"S00154201",142,39,34,7,12,2,-,53
"S00154202",71,15,12,1,3,6,-,35
"S00154203",62,8,10,-,-,5,-,39
"S00154204",70,19,12,-,4,4,-,34
"S00154205",125,13,41,12,6,6,-,51
"S00154206",96,13,24,3,4,-,-,50
"S00154207",128,8,37,3,5,8,2,61
"S00154208",76,11,21,4,4,6,-,33
"S00154209",148,16,46,1,2,3,-,74
"S00154210",133,24,46,7,12,-,-,47
"S00154211",89,8,23,2,5,1,-,50
"S00154212",102,16,18,2,6,5,-,51
"S00154213",107,22,30,7,1,-,-,44
"S00154214",81,10,28,3,2,7,-,31
"S00154215",132,28,34,8,12,7,2,42
"S00154216",59,6,5,2,3,2,1,37
"S00154217",188,22,36,6,13,15,-,96
"S00154218",206,41,44,6,11,4,-,102
"S00154219",91,5,18,1,5,4,-,58
"S00154220",101,7,42,6,2,3,-,37
"S00154221",80,14,22,6,6,2,1,29
"S00154222",98,19,34,3,3,-,4,35
"S00154223",73,9,17,2,5,2,-,41
"S00154224",117,11,49,3,-,6,-,47
"S00154225",112,19,20,2,8,4,-,57
"S00154226",143,10,45,12,-,4,-,74
"S00154227",189,30,36,10,5,5,-,99
"S00154228",110,10,26,4,10,4,-,57
"S00154229",104,11,25,-,5,6,2,50
"S00154230",96,16,50,-,1,3,-,25
"S00154231",125,16,13,4,4,13,-,76
"S00154232",72,20,16,-,3,6,-,32
"S00154233",108,19,31,8,3,2,-,44
"S00154234",135,24,39,3,2,1,-,66
"S00154235",84,18,24,4,8,-,2,35
"S00154236",115,13,18,4,8,7,1,64
"S00154237",106,17,30,4,5,4,2,46
"S00154238",115,20,23,1,5,12,-,54
"S00154239",130,17,39,5,6,8,-,58
"S00154240",137,15,35,6,9,3,-,69
"S00154241",132,18,39,3,3,1,-,69
"S00154242",131,25,27,1,4,10,1,63
"S00154243",71,10,21,1,11,6,-,24
"S00154244",82,19,16,4,5,1,-,40
"S00154245",90,13,21,7,7,11,-,33
"S00154246",93,15,32,5,3,6,-,32
"S00154247",119,16,27,6,5,9,-,62
"S00154248",156,36,50,13,6,2,-,49
"S00154249",65,8,31,5,3,5,-,13
"S00154250",123,20,39,17,5,2,-,42
"S00154251",79,11,30,3,3,-,-,31
"S00154252",149,28,63,2,3,2,2,50
"S00154253",81,5,35,2,3,6,-,28
"S00154254",87,11,25,2,4,-,-,44
"S00154255",63,4,22,4,4,-,-,32
"S00154256",141,12,50,11,4,2,-,62
"S00154257",85,10,25,8,-,3,-,39
"S00154258",95,8,27,7,3,1,1,48
"S00154259",67,10,11,3,2,-,-,36
"S00154260",104,15,42,9,4,-,2,36
"S00154261",98,10,33,13,-,4,3,34
"S00154262",165,21,41,10,5,9,6,75
"S00154263",72,11,34,2,-,1,1,24
"S00154264",117,23,34,2,11,8,-,39
"S00154265",106,15,24,1,3,3,-,56
"S00154266",78,8,26,4,1,8,-,34
"S00154267",116,22,33,-,1,1,2,54
"S00154268",84,5,32,2,6,4,-,36
"S00154269",145,19,55,7,4,4,3,50
"S00154270",145,28,60,3,4,1,-,46
"S00154271",152,21,55,5,5,3,-,62
"S00154272",124,12,52,9,3,4,-,45
"S00154273",78,9,20,6,3,-,-,43
"S00154274",92,10,41,12,1,-,1,25
"S00154275",141,27,24,3,17,2,-,76
"S00154276",83,16,31,10,6,-,-,19
"S00154277",105,23,22,5,3,4,-,52
"S00154278",165,28,40,3,5,1,-,91
"S00154279",106,10,51,8,4,1,-,30
"S00154280",84,14,25,-,4,5,-,37
"S00154281",67,10,29,2,1,-,-,25
"S00154282",215,32,39,10,-,11,-,126
"S00154283",121,18,37,7,2,6,-,55
"S00154284",109,8,32,7,5,10,1,42
"S00154285",157,26,42,11,5,8,-,63
"S00154286",90,12,30,9,9,2,-,29
"S00154287",115,13,23,6,12,6,-,52
"S00154288",79,15,24,2,6,3,-,29
"S00154289",124,18,49,6,3,-,-,49
"S00154290",87,14,18,2,6,-,-,45
"S00154291",118,23,33,3,2,1,-,54
"S00154292",118,24,35,3,1,3,-,52
"S00154293",148,9,45,10,9,6,4,69
"S00154294",147,27,40,8,5,4,1,64
"S00154295",117,21,48,8,4,-,1,35
"S00154296",147,24,56,12,2,3,1,48
"S00154297",81,10,15,-,4,1,-,50
"S00154298",114,13,35,-,4,4,-,59
"S00154299",137,32,33,2,11,2,-,55
"S00154300",95,14,26,6,4,-,-,43
"S00154301",125,24,40,7,6,3,1,42
"S00154302",156,13,33,3,16,6,-,85
"S00154303",108,15,34,3,3,4,-,49
"S00154304",83,8,12,5,4,1,-,51
"S00154305",91,13,25,5,7,-,1,41
"S00154306",99,13,13,6,7,5,-,54
"S00154307",86,16,24,2,3,1,-,40
"S00154308",136,18,33,2,8,7,-,71
"S00154309",117,13,45,6,6,1,-,41
"S00154310",116,8,60,4,-,1,-,50
"S00154311",157,31,51,-,5,5,1,65
"S00154312",63,4,22,3,5,10,-,18
"S00154313",177,12,35,-,10,5,-,115
"S00154314",101,9,27,7,4,2,1,45
"S00154315",60,6,17,4,2,-,-,31
"S00154316",95,12,42,1,4,1,1,37
"S00154317",93,12,25,3,2,2,1,45
"S00154318",73,5,36,4,6,4,-,20
"S00154319",87,14,34,4,3,1,1,25
"S00154320",89,17,28,-,4,-,-,35
"S00154321",77,7,31,4,2,2,1,30
"S00154322",177,15,46,7,14,7,-,81
"S00154323",118,30,33,6,5,4,-,40
"S00154324",73,13,20,-,-,-,-,39
"S00154325",140,14,37,8,11,6,-,61
"S00154326",98,16,41,1,6,-,-,35
"S00154327",91,16,25,-,3,2,1,44
"S00154328",157,24,66,8,7,-,1,53
"S00154329",82,16,34,5,-,2,2,29
"S00154330",161,22,59,-,6,7,-,65
"S00154331",97,12,21,4,5,-,-,51
"S00154332",108,16,37,4,1,1,-,44
"S00154333",96,21,32,5,1,1,1,32
"S00154334",174,31,63,5,3,8,2,63
"S00154335",80,7,30,1,3,6,1,30
"S00154336",92,7,37,10,3,2,-,33
"S00154337",80,17,19,1,1,1,-,40
"S00154338",120,26,35,11,7,-,-,44
"S00154339",80,7,31,7,2,6,1,31
"S00154340",103,15,26,7,1,1,1,51
"S00154341",162,19,50,4,10,2,-,83
"S00154342",67,7,28,3,1,4,-,24
"S00154343",62,15,17,2,4,-,-,28
"S00154344",76,12,17,2,3,4,2,39
"S00154345",99,15,42,6,4,6,-,26
"S00154346",77,8,29,4,3,-,-,32
"S00154347",127,9,23,6,7,14,2,69
"S00154348",186,25,29,11,3,9,3,108
"S00154349",127,6,54,11,4,5,-,49
"S00154350",94,14,24,9,6,-,-,40
"S00154351",105,17,40,9,6,1,-,32
"S00154352",85,11,25,3,2,-,-,44
"S00154353",88,16,25,2,3,4,-,42
"S00154354",113,17,25,7,4,5,-,58
"S00154355",143,21,41,6,6,2,-,60
"S00154356",124,27,36,4,3,6,2,49
"S00154357",143,31,40,9,3,3,-,58
"S00154358",97,15,26,3,3,1,-,47
"S00154359",89,7,28,9,4,4,-,38
"S00154360",94,18,24,1,6,-,-,50
"S00154361",81,11,18,1,3,-,-,41
"S00154362",112,18,41,1,4,6,-,42
"S00154363",66,8,23,2,2,6,-,30
"S00154364",120,22,32,2,7,3,-,51
"S00154365",87,14,24,6,1,3,-,39
"S00154366",85,13,23,3,5,2,-,34
"S00154367",67,6,28,-,2,3,-,26
"S00154368",79,10,24,4,4,4,-,33
"S00154369",109,9,29,11,5,1,1,56
"S00154370",113,16,56,1,8,-,1,27
"S00154371",102,6,45,-,3,4,-,42
"S00154372",118,8,29,6,3,1,-,71
"S00154373",82,23,21,3,-,-,-,42
"S00154374",92,21,9,-,4,7,-,47
"S00154375",76,7,27,-,-,3,1,36
"S00154376",151,22,46,7,4,7,-,67
"S00154377",75,11,26,5,4,2,1,24
"S00154378",212,30,37,13,3,7,-,122
"S00154379",103,16,29,3,5,9,1,46
"S00154380",165,17,49,9,7,2,2,78
"S00154381",118,16,43,5,4,-,-,50
"S00154382",99,12,31,5,3,5,-,42
"S00154383",98,7,21,11,2,3,-,54
"S00154384",117,12,23,6,10,5,2,61
"S00154385",102,12,23,7,1,-,-,55
"S00154386",75,13,17,1,-,2,-,43
"S00154387",125,21,44,6,1,4,-,50
"S00154388",177,17,67,5,3,3,-,82
"S00154389",124,6,46,1,3,5,1,64
"S00154390",107,4,36,2,5,6,-,52
"S00154391",93,6,37,4,4,3,-,36
"S00154392",69,4,19,-,4,7,2,36
"S00154393",161,17,30,3,7,12,-,95
"S00154394",137,17,37,6,2,3,1,71
"S00154395",66,10,21,1,2,5,-,27
"S00154396",101,11,44,5,3,3,-,31
"S00154397",68,14,26,5,3,1,1,17
"S00154398",95,17,29,1,4,6,-,38
"S00154399",108,17,43,5,3,-,-,37
"S00154400",137,15,32,9,7,4,1,67
"S00154401",87,12,25,1,-,3,-,48
"S00154402",70,11,24,1,4,5,-,25
"S00154403",100,18,24,2,4,2,1,50
"S00154404",88,8,27,7,5,3,1,40
"S00154405",81,15,31,2,2,5,-,24
"S00154406",63,14,17,-,1,-,-,35
"S00154407",87,15,29,1,1,3,1,36
"S00154408",142,22,27,4,1,6,1,81
"S00154409",86,11,31,5,4,2,-,35
"S00154410",100,6,25,1,5,4,-,62
"S00154411",65,9,26,4,-,5,-,25
"S00154412",109,9,53,9,2,-,-,37
"S00154413",60,7,23,4,1,1,2,25
"S00154414",116,26,32,8,3,3,-,48
"S00154415",109,18,30,3,2,1,-,53
"S00154416",99,12,36,11,3,3,-,34
"S00154417",130,19,44,1,2,1,-,60
"S00154418",117,17,46,3,1,2,-,42
"S00154419",144,21,48,6,4,6,-,62
"S00154420",137,17,47,6,6,4,-,59
"S00154421",73,3,24,3,-,1,-,43
"S00154422",162,21,54,7,4,3,-,73
"S00154423",109,13,44,5,2,7,-,38
"S00154424",138,14,22,5,5,8,-,84
"S00154425",98,15,46,-,3,4,-,30
"S00154426",119,11,41,10,4,2,-,52
"S00154427",63,8,24,2,1,2,-,29
"S00154428",105,12,34,-,2,3,-,54
"S00154429",89,19,22,1,2,2,-,41
"S00154430",180,20,81,14,5,2,-,62
"S00154431",76,16,28,2,4,1,1,29
"S00154432",133,14,53,7,2,6,-,53
"S00154433",137,15,52,5,5,7,-,56
"S00154434",152,19,50,11,3,3,-,66
"S00154435",102,15,37,1,-,-,-,47
"S00154436",108,18,44,5,1,3,-,34
"S00154437",65,11,14,5,4,1,1,29
"S00154438",70,5,27,6,2,-,-,29
"S00154439",129,23,47,6,2,2,-,53
"S00154440",88,7,26,3,3,5,-,46
"S00154441",53,14,18,3,1,-,-,22
"S00154442",103,18,36,3,2,-,-,48
"S00154443",129,18,45,4,7,1,2,49
"S00154444",155,11,44,7,5,-,-,88
"S00154445",66,8,15,3,5,2,-,33
"S00154446",101,9,27,3,1,6,-,55
"S00154447",103,12,35,7,1,4,-,41
"S00154448",93,13,28,5,2,3,-,42
"S00154449",121,34,29,6,4,-,-,45
"S00154450",102,19,11,8,8,6,-,47
"S00154451",141,21,46,8,5,3,-,58
"S00154452",127,10,25,6,6,4,-,79
"S00154453",65,8,20,3,3,1,-,30
"S00154454",82,13,22,4,9,1,-,35
"S00154455",67,12,16,-,6,2,-,31
"S00154456",161,23,37,9,9,3,-,79
"S00154457",78,6,25,2,3,-,1,41
"S00154458",136,22,33,6,7,-,-,63
"S00154459",102,19,23,2,3,6,-,46
"S00154460",139,17,42,9,10,2,-,55
"S00154461",116,21,18,3,4,1,1,65
"S00154462",94,16,29,2,-,3,-,45
"S00154463",186,23,38,5,1,-,1,118
"S00154464",88,13,27,4,5,1,-,36
"S00154465",126,11,53,2,4,1,-,55
"S00154466",71,7,24,1,1,4,-,34
"S00154467",114,15,22,3,7,7,-,60
"S00154468",112,17,39,1,5,1,5,39
"S00154469",90,7,26,6,4,3,-,47
"S00154470",100,10,33,4,3,-,-,49
"S00154471",167,16,36,16,12,-,-,87
"S00154472",123,12,44,1,-,-,-,67
"S00154473",76,7,18,-,5,1,1,43
"S00154474",129,18,39,5,4,4,-,63
"S00154475",167,13,65,3,5,3,-,77
"S00154476",82,14,31,-,5,-,-,30
"S00154477",159,17,57,12,10,5,-,61
"S00154478",87,5,19,1,5,-,-,60
"S00154479",87,8,31,4,7,3,1,34
"S00154480",129,15,53,4,3,1,-,53
"S00154481",129,12,28,2,4,-,-,82
"S00154482",105,18,32,9,-,-,-,47
"S00154483",100,21,33,5,4,-,-,35
"S00154484",118,25,42,5,4,3,-,38
"S00154485",153,27,57,7,8,1,-,53
"S00154486",82,17,22,3,3,3,-,36
"S00154487",124,32,30,3,4,3,-,55
"S00154488",134,21,45,5,2,2,-,60
"S00154489",238,36,70,6,5,5,6,104
"S00154490",83,11,34,3,4,2,-,29
"S00154491",122,11,38,4,4,5,-,56
"S00154492",114,20,26,2,4,9,2,50
"S00154493",85,14,33,-,5,3,1,32
"S00154494",197,32,45,11,3,2,2,96
"S00154495",136,13,45,6,5,4,-,61
"S00154496",91,11,29,2,4,4,-,40
"S00154497",119,22,33,7,5,8,-,41
"S00154498",111,19,31,4,4,10,-,45
"S00154499",81,22,26,1,4,-,-,26
"S00154500",88,11,9,6,3,2,-,56
"S00154501",72,11,28,4,3,-,-,27
"S00154502",122,17,48,4,2,2,-,48
"S00154503",125,14,35,7,9,4,1,55
"S00154504",86,13,26,4,7,1,-,33
"S00154505",104,17,36,13,2,2,-,34
"S00154506",168,20,49,10,3,2,1,79
"S00154507",87,11,30,2,2,-,-,41
"S00154508",114,6,26,6,3,1,-,70
"S00154509",94,11,26,10,8,2,-,39
"S00154510",94,15,28,4,4,6,-,35
"S00154511",99,16,31,5,6,2,1,38
"S00154512",127,10,42,7,2,2,-,64
"S00154513",82,11,34,4,1,2,-,33
"S00154514",133,14,43,5,5,2,1,65
"S00154515",147,28,41,7,3,4,-,72
"S00154516",117,19,30,2,6,-,-,56
"S00154517",93,27,34,9,-,1,-,26
"S00154518",172,25,42,7,2,5,3,90
"S00154519",111,23,34,5,7,2,-,43
"S00154520",110,17,31,4,-,5,-,55
"S00154521",112,31,25,1,2,1,-,50
"S00154522",73,11,23,3,1,1,-,34
"S00154523",101,10,29,2,-,3,-,56
"S00154524",115,19,34,7,1,-,1,52
"S00154525",119,10,36,3,1,3,2,60
"S00154526",129,29,23,1,6,5,-,68
"S00154527",69,5,27,4,2,2,-,32
"S00154528",133,9,31,4,5,6,-,77
"S00154529",128,20,43,4,2,1,-,60
"S00154530",139,23,47,2,2,2,-,66
"S00154531",111,9,31,1,-,4,-,66
"S00154532",60,8,21,10,2,-,-,20
"S00154533",121,21,43,7,4,-,-,49
"S00154534",146,26,47,2,5,5,2,64
"S00154535",87,15,35,4,-,2,-,34
"S00154536",95,12,20,6,5,-,-,52
"S00154537",98,14,27,2,4,1,1,48
"S00154538",81,20,27,5,3,1,-,30
"S00154539",129,25,44,3,1,1,-,49
"S00154540",73,12,28,-,3,-,-,30
"S00154541",104,12,32,6,2,2,-,54
"S00154542",127,11,35,3,1,1,-,76
"S00154543",75,13,25,3,-,-,-,34
"S00154544",81,12,26,2,8,1,-,33
"S00154545",85,12,27,5,8,1,-,32
"S00154546",95,24,30,7,5,6,-,24
"S00154547",120,20,48,7,3,2,3,30
"S00154548",177,16,45,7,13,6,-,90
"S00154549",84,8,17,3,3,6,-,46
"S00154550",108,20,40,10,5,3,-,31
"S00154551",101,12,30,-,3,2,-,55
"S00154552",100,15,26,-,4,2,-,51
"S00154553",85,8,25,8,2,1,-,38
"S00154554",90,7,33,-,1,3,-,42
"S00154555",108,16,40,6,3,3,-,37
"S00154556",111,10,45,9,1,2,1,41
"S00154557",161,33,35,4,2,1,-,86
"S00154558",86,15,29,3,2,2,1,36
"S00154559",95,18,36,-,-,3,-,36
"S00154560",134,11,31,3,-,10,-,79
"S00154561",100,17,22,4,5,1,-,50
"S00154562",113,9,37,4,7,1,-,54
"S00154563",150,16,52,14,9,5,-,57
"S00154564",137,16,52,4,6,-,1,58
"S00154565",101,12,30,1,2,1,1,54
"S00154566",134,17,35,8,4,2,-,68
"S00154567",85,14,31,2,-,-,-,38
"S00154568",117,17,46,3,3,1,2,40
"S00154569",140,20,46,3,1,2,1,66
"S00154570",75,16,21,1,-,5,-,27
"S00154571",78,11,36,5,2,-,-,27
"S00154572",92,19,29,4,1,2,1,35
"S00154573",72,16,23,-,4,1,2,27
"S00154574",223,50,56,10,9,6,3,88
"S00154575",75,12,21,8,3,-,-,31
"S00154576",148,20,33,3,9,3,-,83
"S00154577",124,10,46,5,2,1,-,57
"S00154578",113,16,36,-,-,4,-,56
"S00154579",161,12,41,2,11,2,-,90
"S00154580",87,18,26,3,1,3,-,36
"S00154581",109,12,32,2,-,4,-,59
"S00154582",153,14,43,6,6,-,-,84
"S00154583",98,19,30,6,3,1,1,42
"S00154584",80,10,17,-,4,1,1,44
"S00154585",94,7,31,5,1,2,-,48
"S00154586",142,14,44,18,8,1,-,57
"S00154587",122,19,36,1,-,3,1,62
"S00154588",174,28,48,3,7,1,-,87
"S00154589",123,18,48,7,3,1,2,44
"S00154590",87,13,26,8,7,2,-,34
"S00154591",129,14,36,1,-,6,-,72
"S00154592",92,5,21,6,2,6,-,50
"S00154593",73,7,13,1,-,-,-,52
"S00154594",94,15,29,5,3,-,-,42
"S00154595",125,23,45,7,3,3,2,43
"S00154596",76,12,19,1,3,-,-,40
"S00154597",85,8,35,2,1,5,-,33
"S00154598",71,10,27,1,4,1,-,30
"S00154599",88,9,32,4,6,1,-,37
"S00154600",80,15,25,-,4,3,-,37
"S00154601",154,17,52,12,7,4,-,58
"S00154602",92,17,22,2,3,-,-,49
"S00154603",121,16,31,2,7,3,-,59
"S00154604",143,19,37,7,15,10,1,60
"S00154605",113,18,39,8,3,-,-,43
"S00154606",130,22,32,10,2,13,-,51
"S00154607",158,17,27,5,6,4,-,98
"S00154608",140,20,29,5,3,3,-,81
"S00154609",117,15,29,7,2,2,-,59
"S00154610",79,13,17,3,6,4,-,36
"S00154611",141,16,58,4,-,-,-,62
"S00154612",123,13,46,7,5,4,-,48
"S00154613",76,10,22,2,3,4,1,34
"S00154614",140,16,40,5,5,7,3,56
