Scotland's Census 2022 - National Records of Scotland
Table UV208b - Gaelic language skills (2) by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over"
"S00175539",129,24,9,21,29,23,23,1,-,-,1,-,-,-,128,24,9,20,29,23,23
"S00175540",78,6,11,5,14,26,20,1,-,-,-,1,-,-,77,6,11,5,13,26,20
"S00175541",135,15,7,3,21,35,52,-,-,-,-,-,-,-,135,15,7,3,21,35,52
"S00175542",70,4,4,1,11,20,30,1,-,-,-,-,-,1,69,4,4,1,11,20,29
"S00175543",159,23,17,18,26,38,37,1,-,-,1,-,-,-,158,23,17,17,26,38,37
"S00175544",116,5,6,8,8,35,52,1,-,-,-,-,-,1,113,5,6,8,8,35,51
"S00175545",164,33,16,17,37,41,20,1,-,-,-,-,1,-,163,33,16,17,37,40,20
"S00175546",131,29,8,11,23,37,21,1,1,-,-,-,-,-,130,28,8,11,23,37,21
"S00175547",117,23,2,12,27,24,27,6,2,-,-,-,2,2,111,21,2,12,27,19,25
"S00175548",111,20,14,23,26,20,10,2,-,-,2,-,-,-,112,20,14,24,26,20,10
"S00175549",73,-,-,-,2,24,42,-,-,-,-,-,-,-,73,-,-,-,2,24,42
"S00175550",142,8,15,4,11,50,54,-,-,-,-,-,-,-,142,8,15,4,11,50,54
"S00175551",154,28,14,19,31,41,21,1,-,-,-,1,-,-,153,28,14,19,30,41,21
"S00175552",90,6,5,7,4,22,49,2,-,-,-,-,-,2,88,6,5,7,4,22,47
"S00175553",131,14,9,16,22,33,37,2,-,-,2,-,-,-,129,14,9,14,22,33,37
"S00175554",111,24,11,11,24,23,17,1,-,-,-,-,1,-,110,24,11,11,24,26,17
"S00175555",131,17,15,10,26,42,20,2,-,-,-,2,-,-,129,17,15,10,24,42,20
"S00175556",87,13,2,4,14,18,32,1,-,-,-,-,-,1,82,13,2,4,14,18,32
"S00175557",153,12,21,9,24,44,43,3,-,-,-,1,-,2,150,12,21,9,23,44,41
"S00175558",90,9,11,18,21,18,8,5,-,1,2,-,2,-,85,9,10,16,21,19,8
"S00175559",90,13,8,10,22,17,20,-,-,-,-,-,-,-,90,13,8,10,22,17,20
"S00175560",152,23,13,22,40,35,23,-,-,-,-,-,-,-,151,23,13,22,40,34,23
"S00175561",155,12,24,12,20,48,36,4,3,-,-,-,-,1,149,9,24,12,20,48,39
"S00175562",107,15,13,13,13,28,25,1,-,-,-,-,1,-,106,15,13,13,13,24,25
"S00175563",121,22,10,8,22,25,34,6,2,-,-,2,2,1,115,20,10,8,20,24,33
"S00175564",123,15,12,4,17,23,52,2,-,-,-,-,-,1,121,15,12,4,17,22,51
"S00175565",76,6,4,6,10,16,34,1,-,-,-,1,-,-,75,6,4,6,9,16,34
"S00175566",96,7,15,8,30,15,22,2,-,1,-,-,1,-,93,7,14,8,30,13,22
"S00175567",89,8,9,18,17,19,18,-,-,-,-,-,-,-,89,8,9,18,17,19,18
"S00175568",79,3,4,5,7,18,43,-,-,-,-,-,-,-,79,3,4,5,7,18,43
"S00175569",161,24,5,20,33,33,40,1,-,-,-,-,-,1,160,24,5,20,33,33,39
"S00175570",124,8,7,10,11,31,60,-,-,-,-,-,-,-,124,8,7,10,11,31,60
"S00175571",157,20,19,12,24,40,44,6,2,-,-,-,1,2,148,19,18,12,24,39,42
"S00175572",89,10,2,4,10,21,39,5,4,-,-,-,-,1,84,6,2,4,10,21,38
"S00175573",104,18,12,16,20,19,19,2,1,-,-,1,-,-,102,17,12,16,19,19,19
"S00175574",60,5,4,14,6,19,16,-,-,-,-,-,-,-,60,5,4,14,6,19,16
"S00175575",72,8,1,2,7,11,46,-,-,-,-,-,-,-,72,8,1,2,7,11,46
"S00175576",98,8,14,20,13,34,12,-,-,-,-,-,-,-,98,8,14,20,13,34,12
"S00175577",94,4,5,1,18,22,44,-,-,-,-,-,-,-,94,4,5,1,18,22,44
"S00175578",147,36,12,33,30,18,18,4,4,-,-,-,-,-,143,32,12,33,30,18,18
"S00175579",69,8,10,15,16,17,6,-,-,-,-,-,-,-,69,8,10,15,16,17,6
"S00175580",97,14,3,8,14,25,33,-,-,-,-,-,-,-,97,14,3,8,14,25,33
"S00175581",68,7,9,9,6,24,16,-,-,-,-,-,-,-,67,7,9,8,6,24,16
"S00175582",108,15,4,14,15,23,37,5,-,1,2,-,-,-,104,15,4,12,13,23,37
"S00175583",124,6,13,14,22,27,46,4,4,-,-,-,-,-,122,6,13,14,22,27,46
"S00175584",80,4,7,10,15,20,21,-,-,-,-,-,-,-,80,4,7,10,15,20,21
"S00175585",80,16,5,7,9,20,20,-,-,-,-,-,-,-,80,16,5,7,9,20,20
"S00175586",103,12,6,15,19,31,20,2,-,-,2,-,-,-,100,12,6,13,19,31,20
"S00175587",60,9,3,12,6,17,13,4,2,1,-,-,-,-,58,8,2,12,6,17,13
"S00175588",66,6,4,8,11,20,17,-,-,-,-,-,-,-,66,6,4,8,11,20,17
"S00175589",75,10,6,14,15,10,18,2,-,-,-,-,-,2,73,10,6,14,15,10,16
"S00175590",146,18,10,1,20,33,67,3,1,-,-,-,-,1,143,15,10,1,20,33,62
"S00175591",102,11,3,4,11,26,49,1,-,-,-,-,-,1,98,11,3,4,11,26,45
"S00175592",101,6,9,7,11,31,42,-,-,-,-,-,-,-,101,6,9,7,11,31,42
"S00175593",89,14,10,9,15,20,15,-,-,-,-,-,-,-,89,14,10,9,15,20,15
"S00175594",102,17,15,18,19,20,14,-,1,-,-,-,-,1,103,16,15,18,19,20,13
"S00175595",67,12,4,14,11,14,13,-,-,-,-,-,-,-,67,12,4,14,11,14,13
"S00175596",65,4,5,10,15,14,18,3,-,1,-,1,-,-,63,4,4,10,11,14,18
"S00175597",97,11,7,6,15,31,27,2,-,-,-,-,1,1,95,11,7,6,15,30,26
"S00175598",138,24,20,9,23,31,34,1,-,-,-,-,1,-,137,24,20,9,23,33,34
"S00175599",76,9,3,8,29,15,9,2,-,-,-,2,-,-,69,9,3,8,26,15,9
"S00175600",100,22,9,18,13,19,16,2,-,-,-,1,-,1,97,22,9,18,15,19,15
"S00175601",89,12,13,9,18,24,13,4,3,-,-,-,-,-,85,9,13,9,17,24,13
"S00175602",125,20,12,14,28,29,22,5,1,-,-,-,2,-,120,22,12,13,28,29,21
"S00175603",149,24,17,25,29,33,24,4,2,-,-,2,-,1,145,22,17,25,28,33,23
"S00175604",125,10,8,12,23,24,48,-,-,-,-,-,-,-,125,10,8,12,23,24,48
"S00175605",194,23,30,19,27,60,33,6,-,5,-,-,2,1,186,23,30,19,27,58,32
"S00175606",125,10,7,8,22,40,41,2,-,-,-,-,-,2,123,10,7,8,22,40,39
"S00175607",71,9,2,6,9,20,25,-,-,-,-,-,-,-,71,9,2,6,9,20,25
"S00175608",189,41,14,19,37,44,32,2,2,-,-,-,-,-,187,39,14,19,37,44,32
"S00175609",74,9,7,20,7,21,14,-,-,-,-,-,-,-,74,9,7,20,7,21,14
"S00175610",113,21,17,11,26,22,14,3,1,-,-,1,-,-,110,21,16,11,25,22,14
"S00175611",104,22,7,6,20,30,22,2,-,-,-,2,-,-,101,22,7,6,19,30,22
"S00175612",92,6,6,2,8,15,55,-,-,-,-,-,-,-,92,6,6,2,8,15,55
"S00175613",194,37,28,27,36,27,36,-,-,-,-,-,-,-,194,37,28,27,36,27,36
"S00175614",102,12,9,6,21,33,17,1,1,-,-,-,-,-,101,15,9,6,21,33,17
"S00175615",66,12,3,3,9,17,22,-,-,-,-,-,-,-,66,12,3,3,9,17,22
"S00175616",105,11,8,5,15,26,39,-,-,-,-,-,-,-,105,11,8,5,15,26,39
"S00175617",151,29,21,16,32,25,38,2,2,-,-,-,-,-,153,27,21,16,32,25,38
"S00175618",166,21,18,9,28,41,48,1,-,-,-,-,-,2,163,21,18,9,28,41,46
"S00175619",95,17,4,-,13,26,37,2,-,1,-,-,1,-,96,17,3,-,13,25,37
"S00175620",121,19,8,14,27,25,27,1,-,-,-,-,-,1,119,19,8,14,27,25,26
"S00175621",130,18,14,2,22,19,54,3,-,-,-,-,2,2,127,18,14,2,22,18,52
"S00175622",132,26,13,12,33,35,19,4,2,-,-,-,-,1,129,23,13,12,33,35,17
"S00175623",101,13,9,7,13,30,30,1,1,-,-,-,-,-,100,12,9,7,13,30,30
"S00175624",101,8,4,7,4,25,51,3,1,1,-,-,-,-,99,9,3,7,4,25,51
"S00175625",112,26,16,9,24,21,16,1,-,1,-,-,-,-,111,26,19,9,24,21,16
"S00175626",104,19,8,18,22,17,19,-,-,-,-,-,-,-,104,19,8,18,22,17,19
"S00175627",93,17,1,11,22,13,29,-,-,-,-,-,-,-,93,17,1,11,22,13,29
"S00175628",105,9,9,8,20,21,38,1,1,-,-,-,-,-,104,8,9,8,20,21,38
"S00175629",134,21,14,13,30,28,21,-,-,-,-,-,-,-,134,21,14,13,30,28,21
"S00175630",93,13,11,13,20,16,15,4,1,1,-,-,-,-,91,9,10,13,20,16,15
"S00175631",92,8,13,4,11,38,18,2,-,2,-,-,-,-,90,8,12,4,11,37,18
"S00175632",187,32,12,10,41,43,52,5,3,-,2,-,1,2,182,30,12,9,41,39,51
"S00175633",108,19,4,13,17,19,39,5,2,-,-,-,1,2,103,18,4,13,16,15,37
"S00175634",84,12,2,4,19,15,34,4,4,-,-,-,-,-,85,9,2,4,19,15,34
"S00175635",129,17,14,7,15,32,47,3,1,1,-,-,1,-,126,16,17,7,15,34,47
"S00175636",124,21,8,15,28,17,35,4,-,-,-,2,-,2,124,21,8,15,26,17,37
"S00175637",154,35,10,17,29,30,33,4,-,1,-,-,1,-,150,33,7,17,29,29,33
"S00175638",106,15,12,10,23,23,24,-,-,-,-,-,-,-,106,15,12,10,23,23,24
"S00175639",93,9,10,7,11,26,31,4,-,2,-,-,-,-,89,9,7,7,11,26,30
"S00175640",103,12,5,5,15,21,46,2,-,-,-,2,-,-,101,12,5,5,13,21,46
"S00175641",134,9,12,3,10,31,66,-,-,-,-,-,-,-,134,9,12,3,10,31,66
"S00175642",159,27,6,46,32,37,14,4,1,-,-,-,3,-,155,24,6,46,32,34,14
"S00175643",102,9,9,1,13,25,46,-,-,-,-,-,-,-,102,9,9,1,13,25,46
"S00175644",95,11,5,15,13,24,26,2,-,-,-,-,-,2,94,11,5,15,13,24,25
"S00175645",135,9,15,6,8,56,41,2,-,-,-,-,-,2,134,9,15,6,8,56,40
"S00175646",188,44,18,26,39,27,34,11,6,1,-,1,-,-,183,38,17,25,38,27,34
"S00175647",127,6,6,5,10,33,68,-,-,-,-,-,-,-,127,6,6,5,10,33,68
"S00175648",265,67,17,45,61,41,34,4,-,-,-,3,2,-,261,67,17,45,66,40,34
"S00175649",101,12,8,3,18,24,39,-,-,-,-,-,-,-,101,12,8,3,18,24,39
"S00175650",127,18,19,14,17,20,38,1,-,-,-,1,-,-,126,18,19,14,16,20,38
"S00175651",90,13,8,4,13,26,33,-,-,-,-,-,-,-,90,13,8,4,13,26,33
"S00175652",109,11,6,6,19,19,48,1,-,-,-,-,1,-,108,11,6,6,19,18,48
"S00175653",106,19,9,5,20,20,33,3,-,-,-,-,1,2,99,19,9,5,20,19,31
"S00175654",136,37,10,7,28,28,27,-,-,-,-,-,-,-,136,37,10,7,28,28,27
"S00175655",85,6,-,10,7,17,40,-,-,-,-,-,-,-,85,6,-,10,7,17,40
"S00175656",79,13,8,18,20,20,3,-,-,-,-,-,-,-,79,13,8,18,20,20,3
"S00175657",114,29,10,12,40,16,15,2,-,-,2,-,-,-,113,29,10,11,40,16,15
"S00175658",150,30,12,11,21,32,40,1,-,-,-,-,1,-,149,30,12,11,21,31,40
"S00175659",144,24,9,17,30,30,34,2,-,1,-,-,-,1,142,24,8,17,30,30,32
"S00175660",96,18,3,12,25,18,21,1,-,-,-,-,1,-,95,18,3,12,25,17,21
"S00175661",124,22,10,10,23,26,38,-,-,-,-,-,-,-,124,22,10,10,23,26,38
"S00175662",122,18,4,-,19,31,51,4,-,-,-,-,1,-,123,18,6,-,19,30,51
"S00175663",133,13,21,7,20,25,48,-,-,-,-,-,-,-,133,13,21,7,20,25,48
"S00175664",91,6,4,8,12,25,35,-,-,-,-,-,-,-,91,6,4,8,12,25,35
"S00175665",116,11,8,14,18,25,36,-,-,-,-,-,-,-,116,11,8,14,18,25,36
"S00175666",87,11,7,2,11,20,36,-,-,-,-,-,-,-,87,11,7,2,11,20,36
"S00175667",107,13,11,10,19,16,32,1,-,-,-,-,-,1,106,13,11,10,19,16,31
"S00175668",115,19,9,12,16,22,42,1,-,-,-,1,-,-,114,19,9,12,15,22,42
"S00175669",121,18,12,6,27,29,26,-,-,-,-,-,-,-,121,18,12,6,27,29,26
"S00175670",108,5,9,8,5,33,52,1,-,-,-,-,-,1,111,5,9,8,5,33,51
"S00175671",152,36,6,6,33,28,43,1,-,-,-,-,-,1,154,36,6,6,33,28,42
"S00175672",154,13,8,2,11,30,87,-,-,-,-,-,-,-,154,13,8,2,11,30,87
"S00175673",84,14,7,7,17,19,20,-,-,-,-,-,-,-,83,14,7,7,16,19,20
"S00175674",87,8,5,6,14,23,34,-,-,-,-,-,-,-,87,8,5,6,14,23,34
"S00175675",82,5,7,2,9,25,36,-,-,-,-,-,-,-,82,5,7,2,9,25,36
"S00175676",161,18,7,11,21,42,62,3,2,-,-,-,1,1,158,17,7,11,21,41,61
"S00175677",93,6,10,13,10,21,34,3,2,-,4,-,1,-,87,5,10,8,10,20,34
"S00175678",163,41,14,9,38,24,36,1,-,-,-,-,-,1,162,41,14,9,38,24,35
"S00175679",93,10,6,3,16,16,43,2,-,-,-,-,-,2,92,10,6,3,16,16,42
"S00175680",77,4,5,4,9,19,36,1,-,-,-,-,-,1,76,4,5,4,9,19,35
"S00175681",65,6,5,4,7,21,24,-,-,-,-,-,-,-,65,6,5,4,7,21,24
"S00175682",109,15,10,8,23,18,35,2,-,-,-,-,-,1,107,15,10,8,23,17,34
"S00175683",126,12,8,5,12,35,53,-,-,-,-,-,-,-,126,12,8,5,12,35,53
"S00175684",116,7,6,2,8,32,62,-,-,-,-,-,-,-,116,7,6,2,8,32,62
"S00175685",143,16,15,6,20,36,51,2,-,-,-,-,1,1,141,16,15,6,20,35,50
"S00175686",116,20,8,7,22,30,34,4,-,-,-,-,1,1,115,20,6,7,22,26,31
"S00175687",123,27,9,-,27,26,33,-,-,-,-,-,-,-,123,27,9,-,27,26,33
"S00175688",145,14,12,6,17,38,56,1,-,-,-,1,-,-,144,14,12,6,16,38,56
"S00175689",139,25,11,10,27,40,31,-,-,-,-,-,-,-,139,25,11,10,27,40,31
"S00175690",107,25,15,3,30,18,14,1,-,1,-,-,-,-,104,25,14,3,30,18,14
"S00175691",118,8,8,1,13,19,68,1,-,-,-,-,-,1,117,8,8,1,13,19,67
"S00175692",100,11,3,9,13,19,44,2,-,-,-,-,2,-,98,11,3,9,13,17,44
"S00175693",105,20,11,9,32,26,8,-,-,-,-,-,-,-,105,20,11,9,32,26,8
"S00175694",202,46,27,12,43,46,36,-,-,-,-,-,-,-,202,46,27,12,43,46,36
"S00175695",90,30,6,15,15,16,6,3,-,-,-,-,-,-,87,28,6,15,15,16,6
"S00175696",217,60,12,13,73,32,27,1,-,-,-,-,-,1,216,60,12,13,73,32,26
"S00175697",97,6,2,5,16,29,42,2,-,-,-,-,2,-,95,6,2,5,16,27,42
"S00175698",117,8,9,8,18,39,32,1,-,-,-,1,-,-,120,8,9,8,16,39,32
"S00175699",160,23,15,12,32,49,25,1,-,-,-,1,-,-,155,23,15,12,34,49,25
"S00175700",73,3,5,1,12,27,26,2,-,2,-,-,-,-,71,3,3,1,12,27,26
"S00175701",88,10,4,3,13,34,26,2,-,-,-,1,-,2,86,10,4,3,14,34,21
"S00175702",56,8,2,9,6,12,20,1,-,-,-,-,-,1,55,8,2,9,6,12,19
"S00175703",117,19,9,12,16,30,35,1,-,-,-,-,-,1,116,19,9,12,16,30,34
"S00175704",118,15,13,10,23,38,14,-,-,-,-,-,-,-,118,15,13,10,23,38,14
"S00175705",123,12,10,13,20,35,32,1,-,-,-,1,-,1,121,12,10,13,15,35,31
"S00175706",80,8,9,5,9,23,26,2,-,-,-,1,-,1,78,8,9,5,8,23,25
"S00175707",70,10,8,4,16,16,16,1,-,-,-,-,-,1,69,10,8,4,16,16,15
"S00175708",84,12,11,2,25,21,16,-,-,-,-,-,-,-,84,12,11,2,25,21,16
"S00175709",92,18,8,4,25,26,16,3,-,1,-,-,2,-,89,18,7,4,25,20,16
"S00175710",84,8,8,7,12,27,18,1,-,-,-,-,1,-,83,8,8,7,12,26,18
"S00175711",125,12,10,1,14,41,47,2,-,-,-,-,-,2,123,12,10,1,14,41,41
"S00175712",66,1,2,12,7,24,16,1,-,-,-,-,-,1,65,1,2,12,7,24,15
"S00175713",156,13,12,25,22,20,61,5,1,3,-,-,-,2,151,12,10,25,22,20,62
"S00175714",122,4,11,8,11,30,55,2,-,-,-,-,-,2,121,4,11,8,11,30,54
"S00175715",89,10,7,4,18,26,30,4,-,-,-,-,2,-,85,10,3,4,18,28,25
"S00175716",128,13,11,6,22,30,46,3,-,-,-,-,-,3,122,13,11,6,22,30,45
"S00175717",156,9,6,7,19,24,91,4,1,1,-,-,-,2,152,8,3,7,18,24,90
"S00175718",86,15,7,6,16,18,24,4,-,1,-,3,-,-,82,15,6,6,13,18,24
"S00175719",74,7,6,11,18,17,15,-,-,-,-,-,-,-,74,7,6,11,18,17,15
"S00175720",114,24,11,19,23,30,12,4,-,-,-,-,4,-,112,24,11,19,23,24,12
"S00175721",79,8,8,3,13,17,28,3,-,-,-,-,1,2,76,8,8,3,13,16,26
"S00175722",73,16,6,12,11,18,10,3,-,-,2,-,2,-,69,16,6,11,11,15,10
"S00175723",63,10,2,4,15,15,16,1,-,-,-,1,-,-,62,10,2,4,14,15,16
"S00175724",86,26,12,4,20,15,10,5,-,2,-,2,2,-,79,26,10,4,18,13,10
"S00175725",126,10,18,10,24,36,31,1,-,-,-,-,1,-,122,10,18,10,24,35,31
"S00175726",114,12,7,6,20,23,46,-,-,-,-,-,-,-,114,12,7,6,20,23,46
"S00175727",112,14,6,11,15,30,35,-,-,-,-,-,-,-,112,14,6,11,15,30,35
"S00175728",173,19,17,22,29,40,47,1,1,-,-,-,-,-,172,17,17,22,29,40,47
"S00175729",86,13,10,6,17,23,16,3,-,-,-,-,3,-,84,13,10,6,17,21,16
"S00175730",111,20,16,13,17,31,17,4,-,-,-,4,-,-,109,20,16,13,15,31,17
"S00175731",76,4,11,8,9,15,29,2,-,-,-,-,-,2,74,4,11,8,9,15,27
"S00175732",184,35,22,26,40,37,26,1,-,-,1,-,-,-,183,35,22,25,40,37,26
"S00175733",115,8,14,13,20,39,21,2,-,-,-,1,-,1,113,8,14,13,23,39,20
"S00175734",56,6,1,8,10,11,18,1,-,-,-,-,1,-,55,6,1,8,10,8,18
"S00175735",124,21,21,20,22,24,14,-,-,-,-,-,-,-,124,21,21,20,22,24,14
"S00175736",165,22,9,17,29,37,53,2,-,-,-,-,2,-,164,22,9,17,29,36,53
"S00175737",100,11,9,7,16,32,26,-,-,-,-,-,-,-,100,11,9,7,16,32,26
"S00175738",135,13,14,24,26,43,15,-,-,-,-,-,1,-,133,13,14,24,26,42,14
"S00175739",146,24,19,7,32,40,22,3,-,-,-,-,-,-,143,24,19,7,30,36,22
"S00175740",90,20,8,18,12,20,11,9,3,3,5,-,-,-,80,17,8,15,12,20,11
"S00175741",84,4,15,9,12,34,15,-,-,-,-,-,-,-,84,4,15,9,12,34,15
"S00175742",69,2,9,10,14,19,10,1,-,-,1,-,-,-,68,2,9,9,14,19,10
"S00175743",73,5,14,10,17,19,10,-,-,-,-,-,-,-,73,5,14,10,17,19,10
"S00175744",66,6,7,4,15,23,11,4,-,2,-,2,-,-,58,6,4,4,13,23,11
"S00175745",141,20,9,14,20,40,45,3,-,-,-,1,2,-,139,20,9,14,21,38,45
"S00175746",85,14,12,10,16,20,15,-,-,-,-,-,-,-,85,14,12,10,16,20,15
"S00175747",126,17,22,13,20,29,24,1,-,1,-,-,-,-,125,17,21,13,20,29,24
"S00175748",76,11,10,11,19,12,11,-,-,-,-,-,-,-,76,11,10,11,19,12,11
"S00175749",149,36,17,24,26,25,21,-,-,-,-,-,-,-,149,36,17,24,26,25,21
"S00175750",125,15,9,19,23,32,34,-,-,-,-,-,-,-,125,15,9,19,23,32,34
"S00175751",72,14,8,9,15,8,24,4,2,-,2,-,-,-,69,12,8,7,15,8,24
"S00175752",141,23,12,11,31,32,32,1,-,-,-,-,-,1,140,23,12,11,31,32,31
"S00175753",171,33,12,21,27,38,34,4,2,1,1,-,-,-,167,35,11,20,27,38,34
"S00175754",154,16,8,14,18,34,62,3,-,-,-,-,-,2,151,16,8,13,18,34,60
"S00175755",71,4,7,4,6,21,30,1,-,-,-,-,-,1,70,4,7,4,6,21,29
"S00175756",113,9,8,4,16,37,41,3,-,-,1,1,1,-,109,9,8,3,12,36,41
"S00175757",108,8,6,10,8,21,51,2,-,-,-,2,-,-,107,8,6,10,11,21,51
"S00175758",82,8,6,9,15,25,25,2,-,-,-,-,2,-,80,8,6,9,15,21,25
"S00175759",105,13,16,10,15,29,24,1,-,1,-,-,-,-,105,13,15,10,15,29,24
"S00175760",86,6,10,4,15,23,28,3,-,2,-,-,1,-,84,6,9,4,15,22,28
"S00175761",88,10,1,8,9,24,34,2,-,-,-,-,1,1,84,10,1,8,9,23,33
"S00175762",110,10,8,5,18,24,46,-,-,-,-,-,1,1,108,10,8,5,18,23,45
"S00175763",145,13,5,14,21,30,62,-,-,-,-,-,-,-,144,13,5,14,21,30,61
"S00175764",109,18,16,7,14,33,21,-,-,-,-,-,-,-,109,18,16,7,14,33,21
"S00175765",106,19,9,11,19,30,14,-,-,-,-,-,-,-,106,19,9,11,19,30,14
"S00175766",138,12,11,3,32,37,43,4,-,-,-,1,-,3,137,12,11,3,31,37,40
"S00175767",103,12,7,8,15,31,30,-,-,-,-,-,-,-,103,12,7,8,15,31,30
"S00175768",160,13,14,11,22,48,50,1,-,-,-,-,1,-,159,13,14,11,22,49,50
"S00175769",76,8,5,9,11,21,22,2,1,-,-,-,-,2,74,7,5,9,11,21,21
"S00175770",84,10,3,7,12,24,24,-,-,-,-,-,-,-,84,10,3,7,12,24,24
"S00175771",72,6,6,8,6,21,22,-,-,-,-,-,-,-,71,6,6,8,6,20,22
"S00175772",101,5,7,3,8,40,38,3,-,-,-,-,3,-,98,5,7,3,8,37,38
"S00175773",59,8,3,7,11,18,11,-,-,-,-,-,-,-,59,8,3,7,11,18,11
"S00175774",117,16,9,5,15,35,37,2,-,-,-,-,-,1,115,16,9,5,15,34,36
"S00175775",92,10,3,5,19,22,35,3,-,-,-,-,-,1,89,10,3,5,19,20,34
"S00175776",163,18,11,17,25,48,41,2,2,-,-,-,-,1,158,17,11,17,25,48,37
"S00175777",66,4,-,-,7,27,26,-,-,-,-,-,-,-,66,4,-,-,7,27,26
"S00175778",164,26,10,28,24,44,35,3,-,-,-,3,-,-,162,26,10,28,22,44,35
"S00175779",106,16,5,13,20,22,30,2,-,-,-,1,1,-,104,16,5,13,19,21,30
"S00175780",116,11,18,6,17,31,37,3,-,-,-,-,1,4,113,11,18,6,17,30,35
"S00175781",115,13,8,10,16,26,43,1,-,-,-,-,-,1,114,13,8,10,16,26,42
"S00175782",77,11,4,9,9,34,10,5,-,-,-,1,-,1,71,9,4,9,8,34,9
"S00175783",155,22,20,13,19,51,33,1,-,-,-,-,1,-,154,22,20,13,19,50,33
"S00175784",84,18,12,8,16,23,6,4,-,-,1,-,-,-,82,17,12,7,16,23,6
"S00175785",118,6,17,10,19,24,44,2,-,-,-,-,2,2,115,6,17,10,18,23,43
"S00175786",94,6,12,12,12,26,26,-,-,-,-,-,-,-,94,6,12,12,12,26,26
"S00175787",83,4,5,2,16,13,46,2,-,2,-,-,-,-,82,4,5,2,16,13,46
"S00175788",145,20,12,13,18,23,64,2,-,-,-,-,1,1,143,20,12,13,18,26,60
"S00175789",102,16,7,12,14,14,41,-,-,-,-,-,-,-,102,16,7,12,14,14,41
"S00175790",71,3,2,11,9,34,14,5,-,-,1,-,1,-,70,2,2,11,9,33,14
"S00175791",97,11,1,18,12,31,27,4,4,-,-,-,-,-,94,9,1,18,12,31,27
"S00175792",90,3,5,7,15,24,37,3,-,-,-,1,-,2,87,3,5,7,13,24,32
"S00175793",87,15,16,6,20,9,17,1,-,1,-,-,-,-,86,15,15,6,20,9,17
"S00175794",133,25,11,8,29,39,22,2,2,-,-,-,-,-,131,22,11,8,29,39,22
"S00175795",64,-,9,6,2,28,17,-,-,-,-,-,-,-,64,-,9,6,2,28,17
"S00175796",60,7,9,7,10,16,14,-,-,-,-,-,-,-,60,7,9,7,10,16,14
"S00175797",82,9,7,8,14,19,28,4,-,1,-,1,2,-,78,8,6,8,13,17,28
"S00175798",132,6,9,9,13,37,58,3,-,-,-,-,-,3,129,6,9,9,13,37,55
"S00175799",130,9,5,9,15,37,55,5,-,-,1,-,2,2,125,9,5,8,15,33,53
"S00175800",161,25,12,15,21,43,43,9,6,1,-,-,2,1,156,19,14,15,21,42,44
"S00175801",105,7,13,4,9,34,38,4,1,1,-,-,-,3,102,4,12,4,9,34,36
"S00175802",82,10,6,11,8,14,37,-,-,-,-,-,-,-,81,10,5,11,8,14,37
"S00175803",86,11,2,3,22,25,19,-,-,-,-,-,-,-,85,10,2,3,22,25,19
"S00175804",99,4,9,6,10,24,47,6,2,-,-,1,1,1,89,3,9,5,9,23,46
"S00175805",93,6,10,6,8,24,36,1,-,-,-,1,-,-,92,6,10,6,6,24,36
"S00175806",78,8,6,6,17,29,11,5,-,1,-,2,2,-,73,8,5,6,14,27,11
"S00175807",98,8,11,6,14,19,39,1,-,-,-,1,-,-,97,8,11,6,13,19,39
"S00175808",114,10,11,8,17,29,39,5,1,2,-,-,2,-,109,9,10,8,17,28,38
"S00175809",95,9,7,12,12,21,30,2,-,-,-,-,2,-,93,9,7,12,12,19,30
"S00175810",132,11,13,15,17,41,35,1,-,-,1,-,-,-,128,11,13,14,17,41,35
"S00175811",66,4,6,1,9,17,26,2,-,2,-,-,-,-,68,4,4,1,9,17,26
"S00175812",89,3,8,9,8,26,35,2,-,-,-,-,1,1,87,3,8,9,8,25,34
"S00175813",166,27,13,8,40,37,40,-,-,-,-,-,-,-,166,27,13,8,40,37,40
"S00175814",116,23,11,7,17,22,29,2,-,-,-,-,-,2,115,23,11,7,17,22,28
"S00175815",85,18,5,16,9,16,28,1,-,-,-,-,-,1,84,18,5,16,9,16,27
"S00175816",134,28,23,17,22,31,13,1,1,-,-,-,-,-,133,27,23,17,22,31,13
"S00175817",76,12,6,9,13,12,24,2,1,-,-,1,-,-,73,11,6,9,15,12,24
"S00175818",90,11,18,9,17,19,19,1,1,-,-,-,-,-,86,9,18,9,17,19,19
"S00175819",93,9,11,12,13,29,22,-,-,-,-,-,-,-,93,9,11,12,13,29,22
