Scotland's Census 2022 - National Records of Scotland
Table UV702 - Method of travel to work or study
All occupied households
,"All occupied households","No person working or studying in the household","One person working or studying in the household - Total","One person working or studying in the household - Driving a car or van","One person working or studying in the household - Other method of travel to place of work or study","One person working or studying in the household - Works or studies at home","Two people working or studying in the household - Total","Two people working or studying in the household - Both driving cars or vans","Two people working or studying in the household - Both other method of travel to place of work or study","Two people working or studying in the household - Both working or studying at home","Two people working or studying in the household - One driving a car or van, one other method","Two people working or studying in the household - One driving a car or van, one working at home","Two people working or studying in the household - One other method, one working at home","Three or more people working or studying in the household - Total","Three or more people working or studying in the household - All driving cars or vans","Three or more people working or studying in the household - All other method of travel to work","Three or more people working or studying in the household - All working at home","Three or more people working or studying in the household - Mixture of driving a car or van and other method","Three or more people working or studying in the household - Mixture of driving a car or van and working at home","Three or more people working or studying in the household - Mixture of other method and working at home","Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
"S00179660",47,14,17,4,4,7,8,-,2,-,4,-,2,10,-,2,1,2,-,3,-
"S00179661",55,7,20,12,5,5,12,5,2,-,2,2,1,13,1,-,2,1,1,1,7
"S00179662",60,26,11,7,2,3,8,2,-,-,-,5,-,19,-,-,-,6,1,3,8
"S00179663",65,20,21,7,7,7,21,5,3,1,1,3,5,3,-,-,-,2,-,-,1
"S00179664",47,19,11,5,7,2,4,-,2,-,2,-,2,10,-,2,-,3,1,3,1
"S00179665",45,32,2,2,-,-,4,1,-,3,-,-,2,2,-,-,-,-,2,1,-
"S00179666",62,10,12,5,3,5,10,1,1,2,5,3,3,26,1,2,2,8,2,6,7
"S00179667",46,23,5,3,-,2,10,4,-,1,4,2,-,7,-,-,1,3,-,1,2
"S00179668",51,17,16,8,4,4,15,1,2,1,1,3,1,7,-,1,1,-,2,1,2
"S00179669",67,14,24,14,3,7,16,6,-,1,2,2,2,15,1,-,1,6,-,3,9
"S00179670",52,21,8,4,-,4,11,5,-,1,2,2,1,15,-,-,-,3,2,-,6
"S00179671",74,24,25,11,7,7,17,-,3,2,3,1,4,12,-,1,1,2,-,3,5
"S00179672",47,16,19,10,7,3,9,2,2,-,2,2,3,3,-,1,-,1,-,2,-
"S00179673",77,21,23,3,7,13,22,7,3,-,2,4,4,12,-,2,-,-,2,4,7
"S00179674",44,15,14,7,4,6,7,3,1,-,1,2,-,4,1,1,-,1,-,-,-
"S00179675",36,17,6,2,1,4,6,-,-,2,1,-,-,4,-,-,-,-,1,1,-
"S00179676",39,18,7,5,1,1,12,5,2,-,3,1,2,5,-,-,-,-,-,2,3
"S00179677",42,17,11,7,4,2,4,-,-,-,-,2,-,11,-,-,-,6,1,1,2
"S00179678",29,6,4,3,1,-,10,2,-,2,1,3,-,12,-,-,-,6,2,-,3
"S00179679",47,16,15,5,3,7,6,-,1,2,1,-,2,13,-,2,3,-,-,5,5
"S00179680",35,11,13,7,1,6,8,1,2,3,3,-,-,3,-,-,-,-,2,-,1
"S00179681",35,12,8,3,4,2,11,-,3,1,3,4,2,4,-,1,-,-,-,-,2
"S00179682",31,14,2,-,-,2,9,1,-,1,3,2,3,6,4,-,-,3,-,-,1
"S00179683",44,12,13,8,4,4,7,1,1,2,2,-,1,12,-,2,1,-,-,2,7
"S00179684",44,18,11,5,3,1,7,5,-,1,-,1,-,8,1,-,-,3,2,-,2
"S00179685",55,21,12,6,6,3,12,3,-,3,1,3,2,8,-,-,1,1,1,-,2
"S00179686",44,15,2,-,1,2,11,2,2,3,4,1,1,12,-,-,-,4,-,1,5
"S00179687",37,7,14,-,6,4,8,-,-,1,5,-,2,7,-,1,2,-,-,5,2
"S00179688",45,13,8,3,2,3,13,3,2,2,-,6,-,11,-,-,-,3,-,1,7
"S00179689",54,21,25,14,5,6,6,-,-,1,3,-,2,-,-,-,-,-,-,-,-
"S00179690",65,21,27,6,11,11,5,-,-,-,2,1,2,9,-,2,1,1,1,-,2
"S00179691",57,11,21,9,6,11,17,5,2,3,6,-,4,7,-,-,-,5,-,1,1
"S00179692",54,16,8,1,5,2,4,2,2,-,2,-,-,22,-,-,1,6,1,4,9
"S00179693",37,12,12,5,4,3,7,-,1,2,2,-,1,6,-,-,-,1,-,3,2
"S00179694",43,7,23,14,5,4,11,1,4,-,5,1,1,2,-,-,-,-,-,2,-
"S00179695",63,27,6,5,-,1,13,3,-,3,2,4,-,17,-,1,-,1,3,7,3
"S00179696",37,7,9,5,2,4,11,3,-,1,4,2,1,10,1,-,-,4,-,1,4
"S00179697",56,19,27,12,7,10,8,5,1,-,1,-,-,2,-,-,-,1,1,-,-
"S00179698",56,22,14,7,3,4,8,-,1,2,1,3,3,10,-,-,-,3,1,3,2
"S00179699",43,14,7,2,2,4,6,3,-,-,-,-,1,12,-,-,-,3,2,2,7
"S00179700",57,7,4,4,-,-,13,-,2,3,1,2,3,32,2,-,1,7,2,9,10
"S00179701",64,26,14,6,3,5,14,2,1,2,4,1,4,10,-,-,-,4,1,1,2
"S00179702",40,16,8,-,3,5,7,4,-,2,1,2,1,7,-,-,1,2,-,2,1
"S00179703",65,28,8,4,-,4,14,7,-,1,3,2,-,12,1,-,-,1,2,3,3
"S00179704",29,15,8,-,2,4,4,1,-,1,-,1,-,5,-,-,-,3,-,-,1
"S00179705",78,35,17,8,4,5,16,4,3,5,3,-,3,10,-,1,-,3,-,2,7
"S00179706",81,26,38,20,9,9,11,2,2,2,2,5,1,6,-,-,-,3,1,1,1
"S00179707",57,28,20,7,8,5,6,-,2,1,2,1,-,6,-,-,1,-,-,4,1
"S00179708",64,32,15,14,4,3,8,-,1,-,3,4,-,7,-,-,-,3,-,3,1
"S00179709",34,1,6,3,2,2,13,1,-,3,1,6,2,14,-,-,-,6,-,3,3
"S00179710",71,33,31,9,9,12,7,2,1,1,2,2,-,2,-,-,-,1,-,4,1
"S00179711",65,31,25,9,6,9,6,-,2,1,1,1,-,3,-,1,-,1,-,-,1
"S00179712",22,11,2,1,1,-,2,1,-,1,2,-,-,4,-,1,4,1,-,5,-
"S00179713",59,15,17,5,7,4,12,2,4,4,-,1,-,13,-,1,-,6,-,-,4
"S00179714",61,48,5,1,5,2,4,-,-,2,-,-,3,-,-,-,-,-,-,-,-
"S00179715",67,26,24,15,6,7,7,-,2,1,4,1,-,7,-,-,-,4,-,1,2
"S00179716",70,20,28,10,13,7,12,1,4,2,4,-,-,7,-,2,2,3,2,2,2
"S00179717",42,16,11,6,4,-,9,2,2,-,3,1,1,4,-,2,1,-,-,1,-
"S00179718",46,22,15,4,5,8,9,-,-,-,4,5,-,1,-,-,-,1,-,-,-
"S00179719",35,8,6,3,-,2,14,2,1,2,3,4,-,8,-,1,-,4,2,-,-
"S00179720",68,40,13,7,7,1,6,-,-,-,1,2,2,9,-,2,-,2,-,4,1
"S00179721",50,31,12,5,4,3,6,3,-,1,1,1,-,-,-,-,-,-,-,-,-
"S00179722",72,21,26,8,9,11,15,3,2,1,3,3,3,10,-,1,-,4,-,5,1
"S00179723",44,19,10,2,4,4,6,1,-,-,2,2,-,5,-,3,-,-,-,4,-
"S00179724",73,15,42,17,13,12,12,1,1,1,3,1,2,-,-,-,-,-,-,-,-
"S00179725",46,16,15,3,4,8,7,-,1,3,-,1,-,10,-,-,-,5,-,2,4
"S00179726",45,24,4,2,1,4,6,-,1,5,-,2,1,10,-,2,-,1,-,4,1
"S00179727",62,22,38,7,19,13,8,-,-,1,3,2,-,-,-,-,-,-,-,-,-
"S00179728",44,16,12,4,3,7,7,1,1,3,-,-,-,15,-,1,2,5,-,1,3
"S00179729",49,12,7,3,1,1,14,3,2,3,2,2,2,15,-,1,-,7,-,1,2
"S00179730",46,14,16,7,6,3,13,1,1,1,3,3,3,3,-,1,-,1,-,-,1
"S00179731",45,15,17,5,8,4,7,-,4,-,3,-,2,3,-,1,-,-,-,-,3
"S00179732",54,43,6,1,3,2,3,-,-,-,-,1,-,2,-,-,-,-,1,-,1
"S00179733",81,51,17,5,7,5,12,1,1,-,3,1,1,-,-,-,-,-,-,-,-
"S00179734",57,49,3,-,2,1,5,1,1,-,2,-,1,-,-,-,-,-,-,-,-
"S00179735",42,9,11,-,6,4,10,-,2,-,2,2,1,12,-,2,-,2,-,-,6
"S00179736",44,5,12,4,7,2,8,-,6,-,1,-,1,19,-,1,3,5,1,1,6
"S00179737",80,37,19,8,6,5,12,5,-,1,2,2,2,12,-,-,-,4,1,3,3
"S00179738",55,27,20,12,4,4,6,-,-,2,2,-,2,2,-,2,-,-,-,-,1
"S00179739",50,10,27,8,15,4,8,2,-,-,3,-,2,1,-,-,-,-,-,-,1
"S00179740",65,17,15,6,5,8,13,4,-,1,-,4,2,17,-,-,-,6,1,5,4
"S00179741",55,26,14,6,5,3,7,4,2,1,1,1,-,7,-,1,-,3,-,-,3
"S00179742",43,10,10,1,5,2,16,5,4,1,4,3,-,9,-,1,-,-,-,4,-
"S00179743",72,40,17,9,3,4,8,1,2,1,1,4,-,7,-,-,2,-,2,-,-
"S00179744",50,24,10,3,3,4,6,-,-,2,3,1,-,10,1,-,-,3,1,2,4
"S00179745",51,11,12,7,2,2,17,4,-,3,5,4,4,7,3,-,-,1,1,2,3
"S00179746",36,8,11,4,2,3,3,-,2,-,1,-,-,6,-,1,-,2,1,1,4
"S00179747",57,28,25,11,5,9,8,3,-,-,2,2,1,-,-,-,-,-,-,-,-
"S00179748",43,12,16,9,1,5,7,2,-,2,2,3,1,5,1,-,-,-,-,-,2
"S00179749",79,12,26,7,6,13,18,4,3,-,4,3,2,23,3,-,1,8,2,3,6
"S00179750",56,13,23,12,4,7,12,1,3,2,3,4,1,4,-,1,-,-,-,4,-
"S00179751",52,22,10,1,4,7,6,4,1,-,4,-,-,15,-,-,-,7,1,1,5
"S00179752",59,23,10,3,4,3,14,4,2,2,4,3,6,8,1,-,-,3,-,4,1
"S00179753",46,12,7,4,1,4,13,5,-,4,1,1,1,14,-,-,-,2,-,4,5
"S00179754",53,20,19,12,4,5,12,1,1,1,2,4,1,3,1,-,-,2,1,-,1
"S00179755",40,15,7,5,4,3,10,2,2,3,2,1,-,9,-,4,-,-,-,-,2
"S00179756",47,15,10,6,1,5,16,6,1,5,-,2,-,6,1,-,-,2,-,-,1
"S00179757",34,11,8,2,1,3,5,2,-,-,-,2,-,11,-,-,-,7,1,-,1
"S00179758",42,15,7,-,2,8,12,2,-,-,4,3,-,8,-,1,-,4,-,4,2
"S00179759",54,16,22,6,6,7,15,-,6,2,-,2,3,4,-,-,3,1,-,-,1
"S00179760",41,15,7,2,2,2,8,3,-,2,4,2,-,10,-,1,1,2,-,4,4
"S00179761",60,19,32,10,14,8,11,-,2,2,3,-,2,1,-,-,-,-,-,-,1
"S00179762",37,15,5,-,2,2,9,3,-,7,1,1,-,8,-,-,-,1,1,3,-
"S00179763",49,21,9,3,1,3,10,3,-,2,3,1,1,6,-,-,-,2,2,2,2
"S00179764",40,19,11,6,-,5,3,-,1,-,1,2,-,5,-,-,-,4,-,1,-
"S00179765",76,21,35,11,7,17,15,1,-,5,4,1,2,6,-,-,-,3,-,2,-
"S00179766",64,20,18,5,3,10,10,2,3,1,-,2,2,16,-,3,-,3,3,4,3
"S00179767",58,16,19,9,6,6,9,-,2,3,3,-,3,11,-,1,-,6,-,2,-
"S00179768",37,8,12,8,3,-,11,1,2,1,1,3,4,6,-,-,-,-,-,3,3
"S00179769",52,17,9,3,1,5,10,4,-,1,2,3,-,19,-,-,-,7,1,3,3
"S00179770",41,18,8,5,3,-,7,3,-,1,1,2,1,6,-,-,-,1,1,1,2
"S00179771",73,7,46,12,12,19,18,4,-,1,10,1,2,-,-,-,-,-,-,-,-
"S00179772",45,27,9,5,2,5,5,-,-,3,1,1,-,10,-,-,2,2,-,3,4
"S00179773",52,17,7,4,-,3,13,1,-,3,4,4,1,15,-,-,1,4,4,3,5
"S00179774",55,21,11,6,-,7,10,-,-,5,3,2,3,14,1,-,-,6,-,2,4
"S00179775",77,20,35,19,13,2,9,5,2,1,2,3,-,11,-,1,-,1,3,1,8
"S00179776",58,8,20,7,2,10,21,9,2,-,5,4,3,9,-,-,-,1,1,6,1
"S00179777",40,22,10,5,3,2,8,1,-,3,-,1,-,4,-,-,-,3,-,-,1
"S00179778",41,11,4,4,1,2,10,4,-,2,2,1,-,18,-,-,2,10,-,-,6
"S00179779",53,9,23,4,9,10,20,6,2,6,4,1,-,1,-,-,-,1,-,-,-
"S00179780",66,23,17,4,4,9,16,1,2,2,5,3,3,7,2,-,-,2,1,1,1
"S00179781",45,13,13,8,2,3,10,1,1,2,4,2,-,9,1,-,-,5,-,-,3
"S00179782",65,20,16,9,2,5,18,5,1,3,4,3,3,10,-,-,-,1,-,4,-
"S00179783",50,14,9,2,2,5,8,4,-,1,2,4,-,16,2,-,-,3,2,5,5
"S00179784",61,27,15,6,6,3,16,1,3,6,2,2,6,3,-,-,1,-,-,-,1
"S00179785",39,7,6,3,-,3,10,4,-,3,2,1,1,16,1,2,-,6,3,-,1
"S00179786",39,18,8,2,3,2,8,2,-,4,-,1,-,4,-,-,-,3,-,-,2
"S00179787",80,24,37,18,10,9,14,2,2,2,2,7,-,5,-,-,-,3,-,-,1
"S00179788",40,14,4,3,-,1,10,5,-,2,3,1,-,12,-,-,2,2,1,4,1
"S00179789",51,13,10,6,1,3,15,4,2,2,1,4,-,13,-,-,-,8,-,2,4
"S00179790",56,15,8,6,3,4,17,4,2,5,2,3,3,12,-,-,-,3,-,1,5
"S00179791",76,13,20,15,3,3,30,7,1,7,2,10,2,16,-,-,-,8,2,5,3
"S00179792",80,22,14,5,-,8,20,10,-,3,2,2,3,27,-,-,2,6,6,5,8
"S00179793",35,10,13,6,3,4,2,-,-,1,1,-,2,9,-,-,-,2,-,3,5
"S00179794",75,5,8,4,5,-,21,5,4,2,3,3,1,32,1,1,-,15,1,4,12
"S00179795",69,17,11,5,1,5,16,1,-,2,7,6,3,23,1,1,3,4,2,-,10
"S00179796",61,7,6,3,-,3,16,2,3,-,5,3,3,32,1,-,-,12,2,5,10
"S00179797",68,31,13,7,3,3,13,3,-,4,2,-,2,7,-,-,-,-,4,1,5
"S00179798",25,9,3,1,-,1,4,1,-,3,-,-,-,13,-,-,-,5,1,3,4
"S00179799",39,11,6,1,2,2,8,2,-,1,2,-,2,12,-,-,1,6,-,3,4
"S00179800",48,16,16,5,3,3,10,2,2,-,3,1,2,10,-,1,-,4,-,4,2
"S00179801",37,11,9,4,4,6,7,3,1,3,1,-,-,5,-,-,-,1,-,1,3
"S00179802",70,28,27,8,5,14,8,-,1,-,3,2,-,7,-,2,-,1,-,-,3
"S00179803",77,23,30,16,4,11,20,10,4,3,-,5,-,4,-,-,-,1,1,-,-
"S00179804",60,23,23,6,5,10,8,4,1,1,1,4,-,2,-,-,-,1,-,1,-
"S00179805",56,9,26,12,8,6,16,-,3,1,7,-,4,6,-,-,-,2,-,2,2
"S00179806",31,7,7,1,5,2,7,2,2,-,3,-,-,10,-,2,2,2,-,3,-
"S00179807",41,9,9,-,6,2,16,4,2,-,4,2,3,8,-,1,-,2,-,-,4
"S00179808",39,17,3,1,-,2,5,-,1,3,1,3,-,10,1,-,-,1,2,2,4
"S00179809",35,11,6,1,3,2,8,-,1,1,2,-,3,12,-,1,1,4,1,5,4
"S00179810",43,6,19,5,5,5,13,2,-,5,3,1,2,9,-,1,2,1,-,-,5
"S00179811",46,4,3,2,1,1,9,-,-,7,1,1,1,25,1,-,-,4,1,5,15
"S00179812",48,8,17,2,6,5,9,4,4,-,2,-,1,18,-,4,3,-,1,7,4
"S00179813",73,16,21,10,5,9,11,2,2,2,3,1,1,25,-,4,1,5,3,2,10
"S00179814",67,19,16,4,8,4,20,1,6,1,5,4,4,16,-,5,-,2,-,1,5
"S00179815",63,27,11,4,3,2,7,3,-,1,3,1,-,23,-,2,-,6,2,2,7
"S00179816",47,8,19,2,10,7,12,2,4,-,2,4,1,8,-,2,-,1,2,1,2
"S00179817",57,19,12,6,3,3,12,2,1,-,2,8,2,14,-,2,-,2,1,2,7
"S00179818",46,15,12,6,2,7,8,1,2,2,4,-,1,14,-,1,-,1,2,2,5
"S00179819",49,10,16,5,8,3,15,1,-,6,3,2,1,4,1,-,1,1,-,-,-
"S00179820",70,16,23,4,15,6,22,4,9,-,2,3,1,9,-,-,1,-,2,-,4
"S00179821",51,24,9,2,4,4,10,1,2,1,3,4,2,8,-,1,-,2,1,1,3
"S00179822",42,11,14,6,2,5,7,-,3,2,1,-,2,10,-,1,1,1,-,1,4
"S00179823",30,6,11,4,3,2,7,-,-,3,1,-,2,5,-,-,1,-,-,3,1
"S00179824",44,9,12,3,6,1,8,-,1,1,2,1,3,15,-,1,1,1,1,5,6
"S00179825",41,11,6,4,-,4,9,3,-,2,1,2,2,15,1,-,1,2,2,1,6
"S00179826",45,12,5,4,-,3,12,1,-,4,3,3,1,8,1,-,-,2,-,-,6
"S00179827",31,11,7,4,1,3,4,1,-,2,1,-,1,8,1,-,-,2,-,1,3
"S00179828",53,16,7,5,3,3,9,1,-,-,4,2,2,17,1,-,3,4,3,1,7
"S00179829",48,11,19,7,2,6,12,-,1,3,4,2,2,7,-,2,-,4,1,1,1
"S00179830",36,18,7,4,2,-,5,-,4,1,-,1,-,6,-,2,-,1,-,-,1
"S00179831",68,24,15,7,2,6,8,1,-,2,4,1,-,18,1,-,2,5,2,-,8
"S00179832",67,29,18,6,5,7,8,1,-,-,4,4,-,12,-,-,-,3,3,-,6
"S00179833",43,15,13,2,9,2,8,2,3,3,4,-,-,4,-,-,2,2,-,-,-
"S00179834",76,32,15,4,4,9,10,6,-,1,1,2,-,23,4,1,4,3,1,3,9
"S00179835",39,12,8,2,-,5,10,2,-,7,2,-,1,8,-,-,1,1,2,-,2
"S00179836",38,14,7,1,2,3,12,-,2,4,5,2,-,6,-,1,-,-,-,-,2
"S00179837",46,16,7,2,2,3,10,1,2,2,3,-,2,13,-,-,-,2,2,4,5
"S00179838",49,8,21,-,12,6,11,-,1,1,3,-,3,10,-,3,1,-,-,1,5
"S00179839",46,20,7,5,-,2,6,1,-,2,2,-,-,12,1,-,1,3,-,2,5
"S00179840",34,12,4,4,-,-,5,-,-,-,2,3,-,11,1,-,3,4,1,-,3
"S00179841",56,17,12,6,-,5,8,1,3,-,4,-,-,19,-,2,1,6,-,2,9
"S00179842",52,10,15,1,9,5,15,-,3,3,7,1,1,11,-,4,2,-,1,3,3
"S00179843",45,17,12,1,3,8,14,2,3,2,4,1,2,3,-,-,-,-,-,1,1
"S00179844",70,23,25,7,10,8,9,2,5,-,1,1,-,13,-,1,1,1,-,7,3
"S00179845",38,9,15,10,6,1,5,-,2,-,-,-,1,12,2,2,2,3,-,2,2
"S00179846",49,17,15,2,5,7,11,4,1,2,3,2,-,12,-,1,1,1,-,-,4
"S00179847",43,16,8,8,-,-,8,2,1,2,1,2,-,12,1,-,3,1,1,-,3
"S00179848",74,37,21,7,6,8,12,2,1,5,4,2,1,8,-,-,-,5,1,1,1
"S00179849",56,5,29,13,8,8,11,4,-,3,2,1,2,11,-,2,-,-,1,4,3
"S00179850",25,14,3,2,-,-,3,1,1,-,-,-,-,6,-,-,1,1,1,1,-
"S00179851",75,27,16,8,5,3,16,4,4,-,5,2,1,16,-,2,-,1,3,-,7
"S00179852",61,18,13,8,2,5,10,2,2,-,5,2,-,16,-,-,1,8,3,3,3
"S00179853",41,12,16,4,6,6,9,-,-,1,3,5,2,4,-,1,-,-,1,-,2
"S00179854",37,7,12,5,2,4,11,-,3,1,6,-,1,8,-,1,-,-,1,4,-
"S00179855",37,12,7,4,-,2,6,-,-,3,-,-,-,14,1,-,-,5,1,3,4
"S00179856",37,18,12,4,4,1,6,1,1,-,2,1,-,4,-,-,-,1,-,1,2
"S00179857",60,24,10,4,2,4,10,3,-,-,5,3,-,18,-,-,2,4,1,6,8
"S00179858",27,8,6,2,2,2,4,-,-,3,-,-,1,9,2,1,1,3,1,-,1
"S00179859",43,17,8,3,1,4,7,2,-,1,1,2,-,11,-,1,-,4,-,1,3
"S00179860",40,20,6,1,-,5,12,1,-,1,5,-,1,9,-,-,1,2,1,-,4
"S00179861",55,21,12,8,5,1,15,4,4,4,1,2,-,7,-,-,1,1,1,2,2
"S00179862",45,18,7,7,-,2,8,1,-,2,-,3,-,14,-,-,1,5,2,1,5
"S00179863",65,24,14,6,5,3,12,2,3,2,1,-,2,15,-,1,-,5,1,5,1
"S00179864",57,29,6,3,1,-,10,4,2,-,3,1,-,14,3,-,2,-,2,1,5
"S00179865",48,19,9,1,1,5,13,6,-,2,3,-,2,15,-,-,1,4,5,-,2
"S00179866",39,21,9,3,2,4,5,-,1,2,2,1,-,3,-,-,-,1,1,2,1
"S00179867",34,11,9,2,5,3,11,1,-,3,2,-,1,8,1,2,-,2,-,1,2
"S00179868",32,9,9,7,2,2,6,-,4,1,2,-,-,8,1,2,-,2,-,-,4
"S00179869",62,26,9,7,4,3,11,4,-,2,2,3,-,12,1,-,-,3,-,2,6
"S00179870",38,10,9,4,2,5,13,2,1,2,2,3,3,4,-,-,-,2,-,-,2
"S00179871",49,12,19,10,4,2,12,1,-,2,6,2,-,8,1,-,-,2,-,1,-
"S00179872",32,9,9,3,5,1,12,-,4,-,3,-,2,4,-,1,2,-,2,-,-
"S00179873",42,18,6,2,2,3,10,3,-,-,3,2,-,8,-,-,1,1,2,1,1
"S00179874",62,28,5,1,2,2,10,2,1,4,1,-,1,19,-,-,-,3,1,5,9
"S00179875",31,10,7,6,-,-,5,-,-,2,-,2,-,9,-,-,-,4,-,-,3
"S00179876",48,13,20,8,4,8,7,1,-,-,3,3,-,8,-,-,3,1,1,-,3
"S00179877",46,15,6,4,1,1,9,5,2,2,2,3,2,12,-,4,1,4,-,1,4
"S00179878",57,19,14,4,6,4,7,-,2,1,7,-,2,15,1,4,1,2,-,1,4
"S00179879",63,23,17,4,6,1,9,1,5,2,4,1,-,11,-,1,2,3,-,4,4
"S00179880",72,23,23,8,11,7,11,2,2,2,4,3,-,15,2,1,2,5,-,4,2
"S00179881",45,11,15,7,3,5,9,-,-,2,1,3,2,10,1,-,1,-,1,1,6
"S00179882",69,26,16,5,5,6,12,1,1,2,2,4,-,17,-,2,-,6,-,3,4
"S00179883",47,30,6,4,-,2,9,-,1,-,3,4,1,-,-,-,-,-,-,-,-
"S00179884",54,27,12,3,2,7,11,2,1,2,2,3,-,4,-,-,-,2,2,-,1
"S00179885",32,6,5,1,-,3,13,1,6,2,4,3,-,5,-,1,-,1,-,2,2
"S00179886",53,23,14,5,7,2,7,1,4,4,1,2,-,7,-,-,1,1,1,4,2
"S00179887",30,8,12,4,2,6,5,-,2,-,-,-,1,5,-,-,1,1,2,-,1
"S00179888",56,15,20,7,3,9,15,3,4,2,5,2,-,7,-,-,-,2,-,2,3
"S00179889",56,24,11,3,2,6,10,3,3,2,-,2,-,11,3,-,-,-,-,1,7
"S00179890",64,36,25,10,3,12,4,1,1,-,1,-,3,-,-,-,-,-,-,-,-
"S00179891",50,14,20,12,5,5,6,2,-,2,1,3,1,8,-,-,-,2,2,4,-
"S00179892",76,26,21,3,9,9,16,1,5,3,3,-,4,13,-,1,3,2,2,-,6
"S00179893",39,13,17,8,5,3,6,1,-,3,2,2,-,1,-,-,-,-,1,-,4
"S00179894",32,9,12,8,-,1,5,3,-,-,-,-,4,4,-,-,2,2,-,3,1
"S00179895",69,16,19,6,2,14,8,-,-,1,3,-,3,25,-,3,2,5,3,4,4
"S00179896",28,14,4,4,1,-,6,-,-,1,1,1,-,6,-,1,-,-,1,2,2
"S00179897",59,22,15,6,4,3,10,4,-,-,4,1,2,12,-,-,-,3,1,3,5
"S00179898",38,18,8,2,1,6,7,3,-,1,-,1,2,6,-,3,1,1,-,-,1
"S00179899",52,28,14,4,4,5,5,-,-,-,1,2,2,6,-,-,-,-,-,3,1
"S00179900",50,27,15,6,4,4,3,1,-,-,1,-,1,4,1,1,-,-,-,-,2
"S00179901",49,23,11,5,1,3,11,1,5,2,-,4,1,7,-,-,-,3,-,4,1
"S00179902",50,14,20,12,4,5,10,1,2,3,1,1,1,5,-,1,-,2,-,1,1
"S00179903",54,24,18,11,6,4,8,-,1,-,1,4,1,5,-,-,-,1,-,1,-
"S00179904",45,18,6,6,-,2,5,1,-,-,-,4,1,14,-,-,1,9,-,4,1
"S00179905",37,16,10,2,3,6,4,-,1,1,-,2,-,8,-,-,-,5,1,-,2
"S00179906",44,15,16,8,5,3,11,4,2,1,-,1,5,2,-,-,-,1,-,1,-
"S00179907",45,24,8,5,1,1,7,2,-,-,1,-,2,8,-,-,1,5,-,1,1
"S00179908",64,18,11,7,1,4,15,5,-,2,2,4,-,20,-,-,-,3,1,1,13
"S00179909",70,40,16,6,7,3,11,2,6,4,2,1,1,5,-,2,-,-,-,4,-
"S00179910",30,7,9,4,4,2,5,2,-,2,2,1,-,9,-,1,-,1,2,3,3
"S00179911",94,15,26,15,6,5,20,4,-,6,8,2,2,33,-,-,1,16,3,5,13
"S00179912",52,16,19,6,8,5,10,1,2,3,2,1,-,7,-,-,-,1,-,1,3
"S00179913",63,21,15,7,3,5,10,7,-,-,4,2,3,17,2,-,1,6,1,4,4
"S00179914",63,22,13,5,-,7,13,6,-,1,1,1,-,15,-,-,2,7,-,3,6
"S00179915",43,9,12,5,3,3,8,-,2,1,3,1,1,13,-,-,3,3,1,2,-
"S00179916",53,6,23,14,4,7,11,6,-,-,6,1,-,12,-,-,2,1,-,1,7
"S00179917",47,24,10,6,1,3,5,3,-,2,3,-,-,6,2,1,-,2,-,-,2
"S00179918",44,14,18,8,4,5,9,1,-,1,2,2,2,3,-,-,-,1,-,-,3
"S00179919",47,24,18,8,5,1,6,-,-,-,2,2,1,4,-,-,-,2,-,1,1
"S00179920",54,19,20,6,3,4,8,3,-,-,1,3,-,11,1,-,1,5,-,2,2
"S00179921",46,12,24,10,2,12,7,-,1,1,2,1,1,6,-,1,-,-,-,-,3
"S00179922",64,8,16,8,1,3,16,8,2,3,5,-,-,25,4,-,4,11,3,4,1
"S00179923",43,28,8,4,4,2,4,4,-,-,1,-,-,3,-,-,-,-,-,-,3
"S00179924",40,8,6,5,-,3,9,3,-,1,2,2,2,15,2,-,1,4,-,2,7
"S00179925",60,10,9,2,1,6,9,1,1,4,-,1,1,32,2,-,1,9,2,7,11
"S00179926",42,10,8,5,4,2,9,3,-,1,1,2,2,9,-,-,-,4,1,1,3
"S00179927",35,15,8,4,1,6,7,2,-,1,-,1,-,-,-,-,-,1,-,-,1
"S00179928",56,20,19,8,10,4,14,5,4,1,1,-,1,3,-,-,-,1,-,1,1
"S00179929",54,8,31,14,3,14,17,5,-,2,-,3,3,2,-,-,-,-,-,-,2
"S00179930",72,24,18,5,8,7,11,3,3,-,4,1,-,19,3,-,1,8,2,3,4
"S00179931",60,17,10,1,7,1,10,6,-,1,1,1,-,22,3,-,3,3,-,5,7
"S00179932",48,17,20,13,7,5,7,2,2,1,-,1,-,4,-,-,-,-,-,-,-
"S00179933",32,2,6,3,-,2,9,3,-,2,3,4,-,12,-,-,-,6,-,3,3
"S00179934",47,14,11,7,1,3,11,2,-,2,6,3,-,11,-,2,-,1,2,1,6
"S00179935",45,8,21,9,1,15,9,-,-,3,4,-,3,4,-,2,-,1,-,2,1
"S00179936",35,15,4,1,2,3,4,1,-,-,-,1,2,10,2,1,-,3,-,2,4
"S00179937",66,16,18,8,-,4,7,3,-,4,4,1,1,25,1,-,-,12,2,3,7
"S00179938",42,12,11,4,4,2,7,-,2,-,3,1,2,12,-,-,1,7,-,-,5
"S00179939",42,22,12,7,1,4,6,2,-,-,-,1,-,2,-,-,-,1,-,-,1
"S00179940",45,13,13,5,2,6,10,-,2,3,1,1,1,10,1,1,1,2,1,2,2
