Scotland's Census 2022 - National Records of Scotland
Table UV303b - Disability by age (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited"
,"Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over"
"S00135433",128,20,5,13,17,34,45,6,-,-,-,-,2,4,14,3,-,2,2,5,5,110,17,5,12,15,29,32
"S00135434",111,5,3,3,9,26,62,12,-,-,-,-,2,8,17,-,-,-,-,2,14,79,5,3,3,9,21,38
"S00135435",77,5,4,2,7,20,35,7,-,-,-,-,2,4,11,-,-,-,2,-,9,59,5,4,2,5,18,25
"S00135436",109,15,6,9,17,32,30,1,-,-,-,1,-,2,15,1,1,1,-,7,5,91,14,4,8,16,25,23
"S00135437",127,32,5,27,31,18,12,9,1,-,4,2,4,2,8,-,2,4,3,6,-,106,28,5,23,30,12,8
"S00135438",82,16,3,14,12,21,17,3,-,-,-,-,1,3,15,1,2,-,2,3,7,63,14,-,14,10,17,6
"S00135439",92,12,2,3,10,30,33,2,-,-,-,-,1,2,18,-,-,-,1,7,7,72,12,2,3,9,22,22
"S00135440",131,18,4,15,19,29,43,4,-,-,-,-,2,1,30,-,3,3,4,9,12,97,18,5,12,15,18,29
"S00135441",127,17,13,12,20,31,35,7,-,-,-,-,1,6,19,-,3,-,5,6,4,104,17,10,12,19,24,25
"S00135442",67,-,-,-,3,11,53,28,-,-,-,-,6,22,13,-,-,-,-,-,13,26,-,-,-,3,3,18
"S00135443",99,12,10,9,21,19,24,4,-,-,-,-,-,3,9,-,-,-,-,4,4,85,12,10,9,18,15,17
"S00135444",99,28,6,22,38,2,1,3,1,-,-,-,-,1,3,1,1,-,1,-,-,93,26,5,22,40,2,-
"S00135445",141,23,7,15,27,28,46,11,-,-,1,2,4,7,10,-,-,-,1,3,11,119,23,7,14,24,23,32
"S00135446",159,30,6,9,21,33,59,8,1,-,-,-,1,6,29,-,-,-,1,7,17,126,32,6,9,20,25,36
"S00135447",137,28,15,17,37,28,12,4,-,1,-,1,2,-,10,-,-,-,1,1,6,123,28,14,17,35,24,3
"S00135448",170,57,5,43,48,7,4,5,1,-,-,-,1,2,11,5,1,1,4,-,-,152,51,4,42,44,8,3
"S00135449",98,5,3,3,5,10,72,38,1,-,-,2,2,33,21,-,-,-,2,2,20,41,4,3,3,4,4,22
"S00135450",92,6,5,5,10,16,47,11,-,-,1,1,-,9,19,2,-,-,2,3,14,62,6,5,4,8,15,24
"S00135451",70,2,4,7,9,14,36,4,-,-,-,-,-,4,14,-,-,-,2,2,10,53,2,4,7,8,11,22
"S00135452",64,7,6,6,11,18,14,14,-,2,-,3,4,6,9,2,-,-,1,4,1,41,5,3,6,7,14,6
"S00135453",110,14,4,35,22,19,12,11,4,-,-,3,-,4,13,-,-,5,1,6,2,83,12,4,28,18,14,6
"S00135454",123,28,7,33,33,12,8,-,-,-,-,-,-,-,11,-,-,3,3,3,-,111,27,7,30,33,10,5
"S00135455",106,13,12,13,20,20,33,3,-,-,2,-,-,2,19,1,-,-,2,2,18,84,12,12,9,18,18,17
