Scotland's Census 2022 - National Records of Scotland
Table UV301 - Provision of unpaid care
All people aged 3 and over
,"All people aged 3 and over","No","All unpaid carers","Yes, 1 to 19 hours a week","Yes, 20 to 34 hours a week","Yes, 35 to 49 hours a week","Yes, 50 or more hours a week"
"S00161324",113,101,12,11,-,1,2
"S00161325",104,93,9,4,-,-,5
"S00161326",121,108,16,12,4,-,-
"S00161327",81,74,7,1,1,4,1
"S00161328",123,109,19,17,3,1,2
"S00161329",79,60,19,7,3,4,5
"S00161330",156,131,25,15,3,3,3
"S00161331",130,122,8,6,1,-,1
"S00161332",116,103,13,7,-,-,6
"S00161333",75,65,10,8,-,-,2
"S00161334",99,88,11,8,2,1,3
"S00161335",74,69,5,4,-,-,1
"S00161336",155,126,33,16,4,2,11
"S00161337",89,81,8,6,1,-,1
"S00161338",80,70,10,7,-,1,4
"S00161339",67,53,6,2,-,3,1
"S00161340",74,65,9,3,1,1,4
"S00161341",64,61,5,5,-,-,-
"S00161342",129,116,13,14,-,-,-
"S00161343",86,78,8,3,-,1,1
"S00161344",108,105,3,2,1,-,-
"S00161345",93,82,13,8,1,-,1
"S00161346",74,63,5,6,-,-,-
"S00161347",193,176,13,10,1,3,4
"S00161348",92,82,6,4,1,1,-
"S00161349",105,98,6,1,1,2,4
"S00161350",72,70,2,1,-,-,2
"S00161351",67,60,7,3,-,2,2
"S00161352",125,99,27,13,-,1,10
"S00161353",98,84,15,10,-,2,4
"S00161354",63,55,9,-,-,3,8
"S00161355",71,63,9,-,3,1,5
"S00161356",176,140,38,22,7,4,4
"S00161357",156,133,23,12,-,3,8
"S00161358",74,69,5,5,-,-,2
"S00161359",80,69,7,3,1,-,-
"S00161360",71,67,3,3,-,-,-
"S00161361",113,97,11,-,2,1,8
"S00161362",136,120,23,13,1,1,3
"S00161363",150,134,13,8,-,1,4
"S00161364",137,124,9,7,2,-,-
"S00161365",146,137,9,2,4,1,2
"S00161366",64,57,7,4,3,-,-
"S00161367",76,67,5,4,-,-,2
"S00161368",106,91,12,9,-,1,3
"S00161369",143,129,12,7,2,1,3
"S00161370",63,60,3,2,1,-,1
"S00161371",157,132,21,5,4,3,9
"S00161372",115,94,21,15,-,2,4
"S00161373",99,89,10,7,-,1,-
"S00161374",102,88,15,9,1,-,5
"S00161375",93,89,7,6,-,1,-
"S00161376",122,117,5,4,-,1,-
"S00161377",116,89,30,10,4,6,11
"S00161378",95,87,10,5,-,2,-
"S00161379",113,105,11,5,2,-,6
"S00161380",59,57,3,3,-,-,-
"S00161381",143,127,19,6,2,4,8
"S00161382",90,74,16,9,-,-,7
"S00161383",130,112,18,6,1,4,7
"S00161384",89,82,7,3,5,1,-
"S00161385",132,116,17,10,-,4,4
"S00161386",66,64,2,2,-,-,-
"S00161387",165,131,34,23,3,2,7
"S00161388",73,66,7,3,2,-,1
"S00161389",140,130,10,4,1,-,5
"S00161390",69,62,4,2,1,-,4
"S00161391",142,125,17,8,-,2,7
"S00161392",102,98,4,4,-,-,-
"S00161393",80,59,15,9,-,5,5
"S00161394",141,128,15,10,-,1,3
"S00161395",68,63,5,4,-,-,1
"S00161396",102,93,9,6,1,1,1
"S00161397",86,76,10,-,1,2,5
"S00161398",78,72,6,1,-,1,4
"S00161399",58,53,5,5,-,-,-
"S00161400",148,125,23,14,2,-,8
"S00161401",83,77,6,3,4,-,-
"S00161402",133,111,22,8,4,4,6
"S00161403",79,76,7,4,-,-,4
"S00161404",152,132,20,11,1,2,5
"S00161405",67,58,7,4,2,-,2
"S00161406",190,173,13,7,2,1,3
"S00161407",156,153,3,3,-,-,-
"S00161408",139,117,22,12,2,5,6
"S00161409",79,69,10,7,-,-,2
"S00161410",104,87,17,7,4,1,2
"S00161411",209,168,41,18,5,5,14
"S00161412",75,61,14,8,1,2,3
"S00161413",102,84,18,4,1,3,7
"S00161414",112,102,11,5,-,3,2
"S00161415",86,83,1,1,-,-,-
"S00161416",110,94,16,10,2,-,4
"S00161417",87,74,13,8,2,-,1
"S00161418",111,89,22,5,2,4,11
"S00161419",110,93,17,17,1,-,3
"S00161420",160,142,21,13,3,2,4
"S00161421",106,97,9,7,-,1,1
"S00161422",94,86,7,2,-,1,3
"S00161423",76,69,8,5,2,-,-
"S00161424",134,126,11,7,1,1,2
"S00161425",84,68,16,4,2,2,5
"S00161426",116,96,20,12,5,3,1
"S00161427",164,140,24,8,2,3,10
"S00161428",97,74,28,11,1,2,8
"S00161429",110,99,15,7,4,-,3
"S00161430",201,191,10,6,-,2,-
"S00161431",91,81,10,7,-,2,1
"S00161432",114,99,15,6,-,4,5
"S00161433",127,109,18,15,3,-,-
"S00161434",144,134,14,13,-,-,-
"S00161435",82,79,3,3,-,-,-
"S00161436",142,126,16,4,7,-,3
"S00161437",99,94,4,3,-,1,1
"S00161438",66,54,12,6,1,3,2
"S00161439",101,90,11,7,-,2,1
"S00161440",73,61,12,10,-,-,2
"S00161441",103,83,20,14,2,2,5
"S00161442",138,117,21,14,2,2,3
"S00161443",96,77,19,10,1,-,6
"S00161444",228,204,24,19,1,1,-
"S00161445",125,105,20,17,1,-,1
"S00161446",93,83,10,4,2,1,4
"S00161447",102,95,7,4,3,1,-
"S00161448",72,63,9,3,1,3,2
"S00161449",81,73,8,4,-,-,4
"S00161450",103,97,7,4,2,1,1
"S00161451",111,101,10,6,1,2,1
"S00161452",122,109,9,4,-,-,5
"S00161453",103,91,12,5,-,3,4
"S00161454",133,104,25,7,4,8,6
"S00161455",152,139,17,8,2,2,5
"S00161456",97,82,15,5,2,3,6
"S00161457",118,107,11,9,-,-,2
"S00161458",118,107,11,10,-,-,2
"S00161459",168,141,23,18,3,-,6
"S00161460",79,66,13,4,1,1,7
"S00161461",99,82,17,5,2,2,5
"S00161462",72,69,3,1,-,-,1
"S00161463",137,122,19,7,2,-,13
"S00161464",104,93,11,8,-,-,3
"S00161465",169,143,24,11,2,7,9
"S00161466",75,64,11,5,-,-,4
"S00161467",122,107,22,5,1,5,7
"S00161468",58,54,3,2,-,1,1
"S00161469",78,70,8,5,-,-,2
"S00161470",150,129,18,13,1,4,2
"S00161471",95,87,9,8,-,-,2
"S00161472",96,90,6,2,5,1,-
"S00161473",106,95,11,6,3,1,1
"S00161474",95,84,15,6,5,-,5
"S00161475",151,136,15,7,1,3,2
"S00161476",102,98,4,2,-,1,1
"S00161477",198,184,11,10,5,-,1
"S00161478",77,59,10,9,2,-,4
"S00161479",71,66,5,-,1,2,-
"S00161480",142,124,18,7,2,2,6
"S00161481",81,71,10,4,-,-,3
"S00161482",114,101,13,1,4,1,5
"S00161483",113,98,15,9,4,1,2
"S00161484",118,92,23,13,4,3,3
"S00161485",113,96,17,9,1,1,6
"S00161486",155,147,8,4,1,-,3
"S00161487",158,127,31,18,2,3,8
"S00161488",141,122,21,19,-,1,2
"S00161489",136,113,23,9,2,10,4
"S00161490",118,97,21,8,5,2,6
"S00161491",107,102,2,4,-,-,-
"S00161492",164,142,22,13,-,1,8
"S00161493",118,104,16,11,-,1,4
"S00161494",187,155,32,16,1,5,10
"S00161495",110,102,8,5,-,-,1
"S00161496",84,79,5,2,-,-,2
"S00161497",62,60,2,-,-,2,-
"S00161498",136,114,23,7,3,6,7
"S00161499",75,68,8,4,-,1,4
"S00161500",73,62,12,3,2,2,7
"S00161501",96,90,6,5,1,-,-
"S00161502",72,59,13,5,3,2,1
"S00161503",186,163,21,14,2,3,3
"S00161504",69,63,6,7,2,-,1
"S00161505",93,88,5,4,-,-,2
"S00161506",81,76,2,2,-,-,-
"S00161507",157,132,27,17,4,1,5
"S00161508",176,160,16,11,2,-,2
"S00161509",80,72,11,5,-,3,4
"S00161510",130,113,17,11,-,4,4
"S00161511",106,88,16,6,-,4,6
"S00161512",153,130,23,12,3,3,6
"S00161513",81,66,15,4,4,4,5
"S00161514",165,141,24,6,3,1,13
"S00161515",184,158,22,13,2,-,6
"S00161516",127,113,14,5,-,3,6
"S00161517",157,143,18,10,2,2,5
"S00161518",100,86,12,10,2,-,2
"S00161519",66,59,7,6,1,-,-
"S00161520",127,106,21,17,2,1,1
"S00161521",142,123,19,8,1,2,6
"S00161522",105,92,13,11,-,-,5
"S00161523",70,64,5,4,1,1,-
"S00161524",110,103,10,7,-,1,2
"S00161525",91,76,11,8,1,2,4
"S00161526",124,105,19,15,3,-,4
"S00161527",161,131,30,9,4,3,14
"S00161528",110,96,14,6,1,-,4
"S00161529",92,74,17,14,3,-,3
"S00161530",126,111,14,10,-,1,3
"S00161531",137,115,22,12,1,-,12
"S00161532",143,127,15,6,2,2,5
"S00161533",68,60,8,4,1,-,2
"S00161534",106,94,20,7,-,3,9
"S00161535",141,120,24,7,4,1,9
"S00161536",122,103,17,4,1,3,9
"S00161537",66,60,8,3,-,2,3
"S00161538",110,100,10,5,2,1,2
"S00161539",108,90,19,9,4,2,5
"S00161540",73,66,8,3,3,1,2
"S00161541",75,70,5,1,2,-,2
"S00161542",137,123,14,8,1,-,5
"S00161543",150,124,22,7,6,3,7
"S00161544",117,100,17,8,-,4,6
"S00161545",104,92,16,7,3,4,4
"S00161546",132,112,22,6,4,7,5
"S00161547",140,121,19,5,-,3,11
"S00161548",152,132,20,11,4,2,6
"S00161549",123,109,10,3,3,3,1
"S00161550",68,61,9,2,-,2,3
"S00161551",91,85,7,3,-,2,-
"S00161552",82,67,12,5,2,2,4
"S00161553",127,110,17,14,-,-,5
"S00161554",106,95,11,5,1,4,2
"S00161555",99,83,16,6,-,5,6
"S00161556",64,54,7,5,-,-,2
"S00161557",154,125,29,18,3,1,7
"S00161558",82,71,11,8,4,-,1
"S00161559",179,150,25,9,5,9,8
"S00161560",131,117,16,14,2,-,-
"S00161561",103,91,15,3,1,2,5
"S00161562",78,68,10,7,1,-,-
"S00161563",355,333,22,9,3,5,5
"S00161564",137,124,11,4,4,2,3
"S00161565",87,78,9,4,1,-,4
"S00161566",95,85,9,8,-,-,-
"S00161567",90,85,5,4,-,1,-
"S00161568",175,146,29,17,3,4,5
"S00161569",62,52,10,4,2,-,6
"S00161570",78,61,16,14,1,-,1
"S00161571",124,116,8,4,2,-,3
"S00161572",80,68,12,6,-,3,4
"S00161573",141,111,23,11,2,4,2
"S00161574",86,75,11,2,1,-,6
"S00161575",131,121,10,4,-,2,4
"S00161576",129,120,9,-,4,-,4
"S00161577",77,64,18,8,2,1,4
"S00161578",142,115,25,24,1,5,2
"S00161579",121,94,24,12,4,6,4
"S00161580",121,104,17,12,-,1,4
"S00161581",69,60,7,8,-,1,2
"S00161582",100,84,16,11,2,3,3
"S00161583",111,94,19,6,4,3,8
"S00161584",137,117,20,10,2,1,7
"S00161585",79,68,11,3,4,2,2
"S00161586",106,88,20,4,-,6,5
"S00161587",73,65,8,-,1,2,4
"S00161588",65,61,7,3,1,-,2
"S00161589",111,97,14,6,3,1,5
"S00161590",193,160,33,20,7,3,6
"S00161591",74,68,4,2,-,1,2
"S00161592",127,108,19,13,1,-,4
"S00161593",149,126,21,8,7,2,4
"S00161594",154,126,28,22,3,1,2
"S00161595",204,173,30,19,3,2,7
"S00161596",189,164,25,12,2,3,9
"S00161597",101,94,7,3,2,1,-
"S00161598",112,94,18,7,2,1,8
"S00161599",99,89,10,4,1,2,2
"S00161600",228,189,39,16,8,2,13
"S00161601",152,126,26,17,1,2,3
"S00161602",117,101,17,11,1,1,7
"S00161603",161,145,19,3,2,5,3
"S00161604",102,92,10,4,-,-,5
"S00161605",131,111,20,7,3,4,6
"S00161606",93,84,9,4,-,1,4
"S00161607",126,112,14,1,4,4,4
"S00161608",191,168,23,7,3,2,9
"S00161609",101,86,15,5,1,3,6
"S00161610",136,121,15,4,6,2,4
"S00161611",92,81,11,7,-,1,3
"S00161612",204,192,12,7,1,1,1
"S00161613",102,95,7,3,1,-,3
"S00161614",132,112,24,13,1,2,4
"S00161615",114,101,13,8,1,1,3
"S00161616",102,88,14,7,1,2,4
"S00161617",123,112,12,12,1,1,-
"S00161618",73,64,9,7,-,-,2
"S00161619",97,81,18,15,2,1,-
"S00161620",174,157,16,14,-,-,1
"S00161621",151,130,21,14,5,-,2
"S00161622",112,92,17,11,1,1,6
"S00161623",136,120,16,10,4,-,4
"S00161624",65,67,-,-,-,-,-
"S00161625",146,136,10,3,-,1,6
"S00161626",115,106,13,5,1,1,6
"S00161627",117,101,16,6,3,1,5
"S00161628",85,73,8,8,-,-,-
"S00161629",160,126,34,13,2,4,16
"S00161630",74,66,9,2,-,2,5
"S00161631",64,50,14,9,-,-,2
"S00161632",105,96,9,4,4,3,2
"S00161633",61,50,11,4,1,1,5
"S00161634",109,89,24,10,3,4,10
"S00161635",119,107,12,4,4,1,5
"S00161636",97,84,13,7,3,-,4
"S00161637",146,128,18,8,2,1,7
"S00161638",120,108,17,6,3,-,7
"S00161639",102,90,12,4,-,2,5
"S00161640",118,98,16,7,-,3,8
"S00161641",116,104,12,12,1,1,2
"S00161642",61,51,10,6,-,-,4
"S00161643",210,187,23,4,4,4,13
"S00161644",135,116,19,4,1,4,10
"S00161645",100,92,9,4,3,1,1
"S00161646",110,92,18,8,3,3,5
"S00161647",74,62,12,4,-,3,5
"S00161648",125,118,11,9,3,1,2
"S00161649",135,125,11,3,2,1,3
"S00161650",178,150,28,16,3,4,7
"S00161651",65,56,11,4,2,2,2
"S00161652",118,108,10,5,1,-,2
"S00161653",75,67,7,-,-,4,1
"S00161654",143,127,20,6,4,4,7
"S00161655",122,103,17,4,5,-,6
"S00161656",109,93,16,3,2,1,5
"S00161657",159,140,19,5,5,6,3
"S00161658",95,80,11,5,4,1,3
"S00161659",97,75,19,8,5,2,1
"S00161660",173,157,18,11,-,2,5
"S00161661",93,77,19,7,1,3,7
"S00161662",101,87,11,8,1,-,5
"S00161663",70,63,7,4,-,1,4
"S00161664",86,73,12,6,1,-,1
"S00161665",124,111,13,9,-,-,4
"S00161666",81,73,8,7,-,-,2
"S00161667",93,80,13,8,1,-,6
"S00161668",112,103,6,7,-,-,1
"S00161669",171,141,30,21,2,-,5
"S00161670",80,72,8,3,-,1,4
"S00161671",73,61,12,3,-,1,8
"S00161672",150,123,30,22,3,-,5
"S00161673",155,127,28,16,5,3,5
"S00161674",135,127,11,10,1,-,-
"S00161675",101,91,10,6,1,1,2
"S00161676",85,74,7,-,2,-,4
"S00161677",86,71,15,10,1,-,4
"S00161678",105,96,9,5,2,-,2
"S00161679",107,93,12,6,2,-,3
"S00161680",71,59,12,3,3,2,5
"S00161681",84,68,18,11,1,-,6
"S00161682",90,77,16,7,1,3,6
"S00161683",190,156,34,33,-,-,4
"S00161684",115,96,19,12,1,-,3
"S00161685",140,119,22,10,3,1,8
"S00161686",93,79,14,9,1,2,-
"S00161687",110,96,16,7,1,2,4
"S00161688",103,93,13,5,1,-,4
"S00161689",180,155,25,16,-,1,8
"S00161690",145,118,27,13,3,3,8
"S00161691",181,158,23,11,-,2,7
"S00161692",137,116,21,16,1,-,6
"S00161693",171,143,28,21,-,3,3
"S00161694",71,61,10,6,1,1,3
"S00161695",65,54,11,9,2,1,-
"S00161696",125,109,16,9,5,1,2
"S00161697",74,60,14,4,2,2,5
"S00161698",119,98,21,10,2,3,6
"S00161699",91,81,10,6,2,-,4
"S00161700",172,149,23,12,4,1,6
"S00161701",114,96,18,8,-,6,4
"S00161702",84,70,14,8,4,-,3
"S00161703",73,65,4,4,1,-,1
"S00161704",114,105,9,5,-,-,4
"S00161705",92,82,10,9,-,-,1
"S00161706",97,86,11,5,-,2,4
"S00161707",130,113,20,6,10,-,5
"S00161708",103,94,10,4,1,2,3
"S00161709",77,70,10,1,1,-,3
"S00161710",74,70,4,2,-,-,-
"S00161711",122,99,23,7,5,4,7
"S00161712",110,84,24,10,1,2,8
"S00161713",109,98,12,4,-,-,3
"S00161714",106,83,20,13,2,1,4
"S00161715",128,106,23,10,4,-,5
"S00161716",99,91,9,8,-,-,-
"S00161717",121,99,22,20,1,1,4
"S00161718",83,79,4,4,-,-,-
"S00161719",140,126,9,5,2,1,5
"S00161720",146,126,20,13,4,-,5
"S00161721",182,161,21,8,-,4,7
"S00161722",95,90,5,5,-,-,-
"S00161723",67,57,6,3,1,-,4
"S00161724",79,70,9,3,-,1,1
"S00161725",107,94,14,5,-,3,6
"S00161726",159,130,29,19,2,-,7
"S00161727",124,96,24,12,1,-,11
"S00161728",176,158,18,10,4,1,5
"S00161729",145,117,28,8,1,6,15
"S00161730",103,86,21,14,-,1,2
"S00161731",177,145,32,22,2,3,6
"S00161732",121,106,15,8,-,3,4
"S00161733",181,164,17,12,4,1,2
"S00161734",167,136,31,22,4,3,4
"S00161735",128,104,28,14,4,3,7
"S00161736",102,90,13,12,-,3,1
"S00161737",137,117,20,11,-,2,6
"S00161738",91,73,18,11,2,3,3
"S00161739",145,133,12,8,-,3,1
"S00161740",66,56,13,8,-,1,1
"S00161741",127,115,12,8,-,-,3
"S00161742",117,100,20,13,2,1,3
"S00161743",114,100,14,9,5,-,2
"S00161744",83,70,13,7,3,1,4
"S00161745",103,86,17,4,2,1,10
"S00161746",135,119,16,9,2,-,2
"S00161747",61,54,10,9,1,-,-
"S00161748",91,71,24,6,3,2,2
"S00161749",85,72,13,4,-,1,6
"S00161750",117,94,23,8,2,1,10
"S00161751",80,67,9,2,-,-,5
"S00161752",152,137,15,7,-,2,5
"S00161753",108,102,6,3,2,-,-
"S00161754",83,74,9,4,5,-,2
"S00161755",118,104,15,8,-,4,2
"S00161756",90,80,10,7,-,1,4
"S00161757",82,64,18,11,3,1,2
"S00161758",62,54,8,3,2,-,2
"S00161759",111,101,10,1,2,-,7
"S00161760",91,78,11,6,1,-,6
"S00161761",98,83,15,3,1,6,5
"S00161762",78,75,3,1,-,-,-
"S00161763",118,98,20,6,1,6,6
"S00161764",103,91,12,8,-,-,3
"S00161765",79,68,11,5,3,1,2
"S00161766",71,59,12,12,-,-,3
"S00161767",111,91,20,16,-,4,2
"S00161768",74,62,9,-,1,2,6
"S00161769",106,93,13,5,-,3,5
"S00161770",153,133,20,12,3,4,3
"S00161771",62,45,18,7,4,3,6
"S00161772",80,71,9,5,-,1,-
"S00161773",160,140,24,18,1,3,5
"S00161774",172,150,22,15,4,2,2
"S00161775",173,155,18,9,1,4,3
"S00161776",83,67,16,10,2,1,3
"S00161777",106,86,22,15,5,-,-
"S00161778",86,72,14,8,-,2,2
"S00161779",110,93,18,12,4,2,4
"S00161780",95,82,13,8,4,-,2
"S00161781",132,119,13,4,5,1,3
"S00161782",132,105,31,16,3,6,8
"S00161783",75,65,10,7,1,1,1
"S00161784",138,113,25,16,2,1,6
"S00161785",97,90,9,6,1,2,1
"S00161786",95,86,9,3,-,1,5
"S00161787",93,81,12,5,3,2,-
"S00161788",96,80,16,4,-,1,7
"S00161789",130,115,15,10,1,2,3
"S00161790",80,73,7,5,1,-,1
"S00161791",115,95,15,9,3,1,6
"S00161792",188,164,24,15,4,3,-
"S00161793",151,139,8,6,1,1,6
"S00161794",84,71,13,6,2,1,3
"S00161795",85,71,11,1,2,1,7
"S00161796",190,153,37,5,3,8,16
"S00161797",83,71,11,4,-,3,3
"S00161798",97,80,17,4,-,1,10
"S00161799",57,46,10,1,-,1,9
"S00161800",222,203,13,4,1,4,8
"S00161801",92,78,10,7,1,1,5
"S00161802",89,80,9,2,4,1,5
"S00161803",103,87,16,5,1,3,5
"S00161804",104,85,20,5,3,8,4
"S00161805",65,61,6,1,-,4,-
"S00161806",137,121,16,8,-,-,6
"S00161807",144,132,10,6,3,1,4
"S00161808",68,67,3,3,-,-,-
"S00161809",95,78,15,6,2,4,3
"S00161810",82,70,14,10,-,1,1
"S00161811",97,83,14,6,2,2,5
"S00161812",117,96,19,16,-,4,1
"S00161813",87,78,9,6,-,-,2
"S00161814",147,123,20,2,2,7,9
"S00161815",284,261,23,10,4,2,7
"S00161816",124,107,17,8,3,2,4
"S00161817",100,83,16,7,2,2,6
"S00161818",104,85,19,14,1,-,4
"S00161819",176,146,30,21,1,2,3
"S00161820",76,67,13,6,2,4,3
"S00161821",76,65,8,3,4,2,5
"S00161822",83,69,14,4,3,2,5
"S00161823",84,73,18,4,3,5,3
"S00161824",83,76,7,3,1,1,2
"S00161825",72,64,11,5,-,-,3
"S00161826",134,119,15,5,2,1,4
"S00161827",95,82,16,11,1,2,4
"S00161828",83,74,9,7,1,1,-
"S00161829",160,135,24,4,2,3,15
"S00161830",69,58,7,8,2,-,3
"S00161831",232,210,22,9,3,5,5
"S00161832",73,64,12,6,1,-,2
"S00161833",140,121,19,6,-,3,10
"S00161834",91,77,14,10,2,3,1
"S00161835",133,121,12,9,-,1,4
"S00161836",193,162,31,12,4,1,16
"S00161837",94,84,10,3,1,1,6
"S00161838",183,163,20,7,4,4,6
"S00161839",89,74,15,2,5,2,6
"S00161840",83,67,16,5,1,3,7
"S00161841",97,91,9,5,1,-,3
"S00161842",96,81,14,9,-,2,2
"S00161843",73,60,13,6,2,-,5
"S00161844",116,100,16,9,1,1,3
"S00161845",88,75,13,11,1,1,-
"S00161846",100,89,11,7,1,-,3
"S00161847",135,112,23,4,4,5,12
"S00161848",125,116,10,6,2,1,1
"S00161849",104,89,12,7,-,1,3
"S00161850",112,88,21,8,1,-,9
"S00161851",100,93,7,3,-,2,3
"S00161852",99,83,16,10,4,2,1
"S00161853",132,112,17,4,3,4,6
"S00161854",97,84,13,2,1,2,6
"S00161855",126,113,11,5,-,-,4
"S00161856",87,74,16,8,2,-,2
"S00161857",134,123,15,7,3,1,1
"S00161858",129,113,16,6,-,2,7
"S00161859",124,107,17,12,2,1,2
"S00161860",182,160,22,11,3,3,5
"S00161861",115,108,6,5,-,-,2
"S00161862",125,115,17,-,1,3,6
"S00161863",251,212,39,16,9,3,13
"S00161864",101,82,18,8,3,6,2
"S00161865",57,57,3,-,1,1,2
"S00161866",84,75,9,2,1,1,4
"S00161867",138,120,18,11,1,2,4
"S00161868",137,116,19,10,-,2,6
"S00161869",105,94,12,6,4,-,6
"S00161870",73,56,16,8,-,-,7
"S00161871",121,105,16,7,3,4,3
"S00161872",91,82,15,5,1,-,6
"S00161873",124,108,16,6,6,-,6
"S00161874",128,113,19,7,2,1,5
"S00161875",110,87,23,5,1,2,13
"S00161876",131,121,8,3,3,1,3
"S00161877",83,71,12,7,-,-,5
"S00161878",71,60,11,1,1,4,5
"S00161879",120,94,18,1,5,6,7
"S00161880",58,48,6,1,5,-,1
"S00161881",77,68,5,4,-,-,1
"S00161882",127,105,20,6,6,2,6
"S00161883",224,186,34,16,4,6,10
"S00161884",120,102,18,8,2,3,5
"S00161885",127,110,17,8,4,2,5
"S00161886",140,120,24,13,1,4,6
"S00161887",126,112,14,2,-,5,7
"S00161888",105,92,13,5,1,3,4
"S00161889",79,73,6,1,-,2,2
"S00161890",71,61,10,6,2,-,2
"S00161891",75,68,7,2,-,4,1
"S00161892",117,100,14,10,-,-,4
"S00161893",170,151,19,3,6,3,9
"S00161894",93,82,16,10,1,3,2
"S00161895",148,121,27,5,5,3,14
"S00161896",174,152,26,10,1,1,10
"S00161897",135,119,16,7,1,4,4
"S00161898",113,95,18,10,-,-,5
"S00161899",64,53,11,8,3,-,1
"S00161900",140,122,18,9,-,4,3
"S00161901",126,109,19,4,2,4,6
"S00161902",107,96,12,2,1,3,6
"S00161903",203,189,14,6,-,3,5
"S00161904",132,118,14,4,2,2,4
"S00161905",95,84,11,4,5,-,-
"S00161906",141,120,21,12,5,2,4
"S00161907",177,153,24,12,2,4,6
"S00161908",121,109,12,2,2,2,5
"S00161909",128,111,17,8,3,3,1
"S00161910",140,124,16,12,2,2,-
"S00161911",99,89,8,6,-,1,4
"S00161912",87,72,15,9,-,-,8
"S00161913",123,113,10,2,-,2,4
"S00161914",63,55,4,2,-,-,3
"S00161915",112,95,14,2,-,5,6
"S00161916",133,123,16,8,-,-,4
"S00161917",103,87,18,6,2,4,6
"S00161918",178,150,26,16,3,4,3
"S00161919",110,94,16,6,1,5,4
"S00161920",75,63,9,3,-,-,7
"S00161921",168,153,15,5,2,3,6
"S00161922",115,101,14,-,1,5,8
"S00161923",219,198,21,11,3,4,2
"S00161924",79,73,6,1,2,-,3
"S00161925",68,59,8,4,-,-,4
"S00161926",113,106,10,5,-,1,4
"S00161927",60,54,6,3,3,-,1
"S00161928",97,78,17,9,1,1,6
"S00161929",136,122,17,8,1,4,4
"S00161930",143,119,24,12,2,5,6
"S00161931",117,99,18,3,4,3,8
"S00161932",58,47,11,7,1,-,3
"S00161933",112,96,18,12,-,-,2
"S00161934",66,56,9,3,-,4,4
"S00161935",146,128,17,4,2,4,6
"S00161936",86,69,20,5,4,2,6
"S00161937",93,81,12,6,3,2,2
"S00161938",82,74,8,2,-,-,5
"S00161939",103,91,14,10,-,-,5
"S00161940",204,171,33,22,6,5,2
"S00161941",64,58,5,3,1,-,1
"S00161942",113,101,12,3,3,1,5
"S00161943",65,59,3,3,-,-,-
"S00161944",102,90,12,8,2,2,1
"S00161945",74,66,9,4,-,-,4
"S00161946",103,90,13,4,1,3,4
"S00161947",87,78,9,4,3,-,2
"S00161948",128,109,22,13,6,2,2
"S00161949",91,76,19,7,2,1,5
"S00161950",88,80,8,5,3,-,-
"S00161951",101,85,9,-,2,-,6
"S00161952",93,73,20,6,-,5,9
"S00161953",270,238,32,18,5,5,5
"S00161954",84,76,8,8,1,-,1
"S00161955",204,182,18,14,1,-,3
"S00161956",124,110,17,5,7,4,3
"S00161957",117,99,18,12,4,-,2
"S00161958",153,123,31,11,-,3,9
"S00161959",145,138,9,6,1,-,4
"S00161960",87,75,11,5,1,1,6
"S00161961",73,54,19,7,2,3,7
"S00161962",84,77,6,6,1,-,-
"S00161963",149,117,32,11,7,7,8
"S00161964",108,88,20,7,4,1,8
"S00161965",155,139,16,11,-,4,3
"S00161966",65,58,8,-,-,1,2
"S00161967",83,74,8,2,3,3,2
"S00161968",69,58,11,6,1,3,-
"S00161969",149,121,31,12,-,7,6
"S00161970",77,67,12,4,-,1,5
"S00161971",69,58,11,4,2,2,4
"S00161972",93,78,15,2,2,1,10
"S00161973",61,49,12,2,3,3,2
"S00161974",60,45,15,6,4,-,5
"S00161975",144,119,25,7,2,1,12
"S00161976",82,71,11,3,-,5,3
"S00161977",70,55,12,5,-,2,4
"S00161978",130,113,17,6,1,3,7
"S00161979",89,75,15,6,1,-,6
"S00161980",130,120,10,7,-,-,4
"S00161981",103,90,12,7,2,2,7
"S00161982",121,101,20,8,2,5,6
"S00161983",77,65,8,3,-,4,4
"S00161984",98,88,10,4,1,2,3
"S00161985",162,141,25,11,1,1,7
"S00161986",147,124,20,13,2,-,3
"S00161987",106,91,13,2,2,2,9
"S00161988",106,101,8,-,2,1,5
"S00161989",130,112,20,15,1,2,2
"S00161990",151,132,18,18,1,2,2
"S00161991",159,131,28,8,3,6,11
"S00161992",152,133,19,10,10,-,2
"S00161993",128,105,21,10,4,1,5
"S00161994",186,161,25,7,-,10,6
"S00161995",238,213,21,17,1,2,3
"S00161996",152,131,21,12,2,1,7
"S00161997",207,172,35,8,5,4,19
"S00161998",82,64,18,6,3,6,4
"S00161999",136,121,15,8,2,3,2
"S00162000",89,73,16,10,3,-,3
"S00162001",106,90,16,8,-,5,3
"S00162002",62,52,5,3,-,1,3
"S00162003",145,132,13,10,1,-,4
"S00162004",122,111,11,7,-,3,2
"S00162005",132,106,26,17,4,-,5
"S00162006",116,111,4,4,-,1,-
"S00162007",70,57,13,5,2,-,9
"S00162008",118,105,13,3,2,5,5
"S00162009",195,180,15,8,-,3,3
"S00162010",193,166,27,6,2,3,13
"S00162011",73,67,6,-,-,2,4
"S00162012",148,137,11,4,4,1,4
"S00162013",104,92,12,4,-,1,4
"S00162014",102,84,18,13,1,3,-
"S00162015",153,131,22,15,7,1,2
"S00162016",116,93,23,9,4,3,11
