Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00160192",109,2,107
"S00160193",171,3,169
"S00160194",97,-,97
"S00160195",186,1,185
"S00160196",77,1,74
"S00160197",107,3,104
"S00160198",84,9,75
"S00160199",69,-,69
"S00160200",115,1,114
"S00160201",98,5,93
"S00160202",109,2,108
"S00160203",76,-,76
"S00160204",62,3,63
"S00160205",102,-,102
"S00160206",106,7,98
"S00160207",67,5,64
"S00160208",90,4,87
"S00160209",78,1,77
"S00160210",81,3,80
"S00160211",111,1,108
"S00160212",74,1,73
"S00160213",88,2,83
"S00160214",71,2,69
"S00160215",134,1,136
"S00160216",97,-,97
"S00160217",102,4,96
"S00160218",116,4,112
"S00160219",104,2,102
"S00160220",75,1,73
"S00160221",106,2,104
"S00160222",102,2,101
"S00160223",146,4,142
"S00160224",101,4,97
"S00160225",85,-,85
"S00160226",60,2,60
"S00160227",56,2,54
"S00160228",84,8,76
"S00160229",86,2,84
"S00160230",101,2,96
"S00160231",106,1,105
"S00160232",118,2,116
"S00160233",52,2,51
"S00160234",90,3,86
"S00160235",81,-,81
"S00160236",87,-,87
"S00160237",82,-,82
"S00160238",52,2,53
"S00160239",127,2,126
"S00160240",132,1,134
"S00160241",63,3,61
"S00160242",105,3,103
"S00160243",77,6,72
"S00160244",114,3,109
"S00160245",85,2,84
"S00160246",94,3,91
"S00160247",109,2,104
"S00160248",73,-,73
"S00160249",115,2,113
"S00160250",56,5,51
"S00160251",77,1,76
"S00160252",98,2,98
"S00160253",112,6,107
"S00160254",124,6,118
"S00160255",84,4,81
"S00160256",85,-,85
"S00160257",64,3,61
"S00160258",131,4,127
"S00160259",60,2,59
"S00160260",90,1,89
"S00160261",62,3,59
"S00160262",70,-,70
"S00160263",68,2,67
"S00160264",63,3,63
"S00160265",92,3,90
"S00160266",185,3,182
"S00160267",113,5,106
"S00160268",65,1,64
"S00160269",115,2,112
"S00160270",72,-,72
"S00160271",78,1,77
"S00160272",82,3,79
"S00160273",70,3,67
"S00160274",91,4,90
"S00160275",87,1,86
"S00160276",65,2,60
"S00160277",77,3,74
"S00160278",114,7,107
"S00160279",101,-,101
"S00160280",78,-,78
"S00160281",85,2,83
"S00160282",124,1,123
"S00160283",64,2,62
"S00160284",87,2,85
"S00160285",82,2,80
"S00160286",56,-,54
"S00160287",141,2,138
"S00160288",67,-,66
"S00160289",191,6,183
"S00160290",119,9,112
"S00160291",56,1,51
"S00160292",83,3,80
"S00160293",87,4,83
"S00160294",58,1,56
"S00160295",97,1,96
"S00160296",83,-,83
"S00160297",120,5,117
"S00160298",127,6,121
"S00160299",130,4,126
"S00160300",84,4,76
"S00160301",88,1,87
"S00160302",150,1,150
"S00160303",59,2,59
"S00160304",97,3,94
"S00160305",64,-,63
"S00160306",90,4,88
"S00160307",92,-,92
"S00160308",93,-,93
"S00160309",88,-,88
"S00160310",84,5,79
"S00160311",95,1,95
"S00160312",89,2,88
"S00160313",83,2,81
"S00160314",109,4,105
"S00160315",100,1,102
"S00160316",275,5,270
"S00160317",78,4,74
"S00160318",142,2,147
"S00160319",70,2,68
"S00160320",57,3,54
"S00160321",132,8,124
"S00160322",91,-,91
"S00160323",64,1,63
"S00160324",90,3,85
"S00160325",66,-,66
"S00160326",90,1,89
"S00160327",68,4,64
"S00160328",77,-,76
"S00160329",124,3,121
"S00160330",77,1,74
"S00160331",58,-,58
"S00160332",54,3,52
"S00160333",93,4,89
"S00160334",80,-,80
"S00160335",101,-,101
"S00160336",60,1,59
"S00160337",165,10,159
"S00160338",79,1,78
"S00160339",136,8,128
"S00160340",95,4,91
"S00160341",80,1,79
"S00160342",77,2,71
"S00160343",118,-,118
"S00160344",78,5,73
"S00160345",108,2,106
"S00160346",62,2,60
"S00160347",79,3,76
"S00160348",93,6,87
"S00160349",86,-,86
"S00160350",121,5,115
"S00160351",95,5,90
"S00160352",65,2,66
"S00160353",118,-,118
"S00160354",99,2,98
"S00160355",74,1,73
"S00160356",61,3,59
"S00160357",132,3,129
"S00160358",81,-,80
"S00160359",79,1,75
"S00160360",82,-,82
"S00160361",86,2,84
"S00160362",122,1,121
"S00160363",108,5,100
"S00160364",91,2,90
"S00160365",84,2,82
"S00160366",116,3,113
"S00160367",156,1,158
"S00160368",89,4,85
"S00160369",91,2,90
"S00160370",73,-,73
"S00160371",77,2,75
"S00160372",127,2,123
"S00160373",130,2,129
"S00160374",61,1,61
"S00160375",104,9,93
"S00160376",93,-,94
"S00160377",131,4,127
"S00160378",114,1,107
"S00160379",148,5,145
"S00160380",116,4,115
"S00160381",78,1,76
"S00160382",120,6,111
"S00160383",111,1,110
"S00160384",112,4,108
"S00160385",52,-,52
"S00160386",79,4,75
"S00160387",100,5,97
"S00160388",147,4,144
"S00160389",142,2,141
"S00160390",79,1,78
"S00160391",82,3,80
"S00160392",91,2,94
"S00160393",146,5,145
"S00160394",70,-,70
"S00160395",63,2,62
"S00160396",51,2,48
"S00160397",146,3,143
"S00160398",123,-,122
"S00160399",73,2,71
"S00160400",79,-,79
"S00160401",67,-,67
"S00160402",64,-,64
"S00160403",166,1,165
"S00160404",121,5,119
"S00160405",70,3,67
"S00160406",110,4,106
"S00160407",126,-,126
"S00160408",128,2,126
"S00160409",128,1,127
"S00160410",83,3,81
"S00160411",103,4,98
"S00160412",114,4,110
"S00160413",104,-,104
"S00160414",100,1,99
"S00160415",99,4,95
"S00160416",81,4,77
"S00160417",63,-,63
"S00160418",59,2,60
"S00160419",73,5,63
"S00160420",183,4,182
"S00160421",65,2,61
"S00160422",119,-,119
"S00160423",73,-,73
"S00160424",117,7,109
"S00160425",102,6,93
"S00160426",152,4,148
"S00160427",74,3,72
"S00160428",54,-,54
"S00160429",101,-,101
"S00160430",77,3,74
"S00160431",61,3,58
"S00160432",108,-,109
"S00160433",192,2,190
"S00160434",87,3,84
"S00160435",51,1,50
"S00160436",62,-,62
"S00160437",99,4,95
"S00160438",96,1,95
"S00160439",61,2,55
"S00160440",59,4,55
"S00160441",70,4,66
"S00160442",99,1,99
"S00160443",108,-,108
"S00160444",73,1,70
"S00160445",106,5,101
"S00160446",60,1,59
"S00160447",80,2,78
"S00160448",62,3,55
"S00160449",117,-,117
"S00160450",62,3,59
"S00160451",66,2,64
"S00160452",78,2,81
"S00160453",144,2,142
"S00160454",73,-,71
"S00160455",98,2,96
"S00160456",76,1,73
"S00160457",72,2,70
"S00160458",100,1,99
"S00160459",103,3,100
"S00160460",64,1,63
"S00160461",58,5,53
"S00160462",50,-,50
"S00160463",89,3,86
"S00160464",88,2,86
"S00160465",113,2,108
"S00160466",110,4,108
"S00160467",86,2,83
"S00160468",106,5,103
"S00160469",58,-,58
"S00160470",98,5,96
"S00160471",81,2,79
"S00160472",89,2,87
"S00160473",88,3,82
"S00160474",82,4,82
"S00160475",72,2,71
"S00160476",87,5,82
"S00160477",77,1,76
"S00160478",112,-,112
"S00160479",71,-,71
"S00160480",49,1,48
"S00160481",109,2,108
"S00160482",71,2,70
"S00160483",122,3,118
"S00160484",99,3,96
"S00160485",74,1,73
"S00160486",119,1,116
"S00160487",88,3,85
"S00160488",119,2,118
"S00160489",61,-,60
"S00160490",65,-,65
"S00160491",113,2,111
"S00160492",91,4,90
"S00160493",125,2,124
"S00160494",149,3,146
"S00160495",75,4,67
"S00160496",85,1,84
"S00160497",116,3,113
"S00160498",68,3,65
"S00160499",137,-,137
"S00160500",154,-,154
"S00160501",88,1,84
"S00160502",83,-,78
"S00160503",128,3,126
"S00160504",116,2,114
"S00160505",80,1,82
"S00160506",124,-,124
"S00160507",96,4,91
"S00160508",81,2,78
"S00160509",72,2,70
"S00160510",95,2,93
"S00160511",123,1,120
"S00160512",86,6,82
"S00160513",100,2,98
"S00160514",159,2,157
"S00160515",66,-,66
"S00160516",87,2,84
"S00160517",69,4,68
"S00160518",99,-,99
"S00160519",51,1,50
"S00160520",82,-,81
"S00160521",89,4,85
"S00160522",62,2,56
"S00160523",96,2,94
"S00160524",146,5,137
"S00160525",109,-,109
"S00160526",141,5,133
"S00160527",95,4,91
"S00160528",107,3,108
"S00160529",107,-,112
"S00160530",168,5,163
"S00160531",91,2,93
"S00160532",96,4,94
"S00160533",123,2,120
"S00160534",94,-,92
"S00160535",107,9,102
"S00160536",61,1,60
"S00160537",124,3,118
"S00160538",74,1,73
"S00160539",97,1,94
"S00160540",53,-,53
"S00160541",59,-,59
"S00160542",58,3,55
"S00160543",143,1,139
"S00160544",59,-,59
"S00160545",137,9,131
"S00160546",72,1,71
"S00160547",107,-,107
"S00160548",66,2,60
"S00160549",120,2,118
"S00160550",74,5,65
"S00160551",78,4,76
"S00160552",119,10,112
"S00160553",185,2,180
"S00160554",94,2,92
"S00160555",63,2,63
"S00160556",135,3,136
"S00160557",78,5,75
"S00160558",99,1,98
"S00160559",79,1,78
"S00160560",78,1,77
"S00160561",65,2,64
"S00160562",73,4,69
"S00160563",91,1,90
"S00160564",84,1,83
"S00160565",112,1,112
"S00160566",116,-,116
"S00160567",76,3,73
"S00160568",74,2,73
"S00160569",133,1,128
"S00160570",120,-,120
"S00160571",135,7,128
"S00160572",58,-,58
"S00160573",72,1,71
"S00160574",106,-,106
"S00160575",129,-,129
"S00160576",86,4,84
"S00160577",58,2,56
"S00160578",80,5,73
"S00160579",57,-,57
"S00160580",76,1,75
"S00160581",127,2,121
"S00160582",78,1,73
"S00160583",83,1,80
"S00160584",111,3,105
"S00160585",158,-,158
"S00160586",71,-,69
"S00160587",97,1,96
"S00160588",89,-,89
"S00160589",78,5,73
"S00160590",76,1,72
"S00160591",67,-,67
"S00160592",113,1,112
"S00160593",80,1,79
"S00160594",118,2,117
"S00160595",71,-,70
"S00160596",98,2,95
"S00160597",103,10,93
"S00160598",111,1,110
"S00160599",120,9,114
"S00160600",72,-,71
"S00160601",91,3,91
"S00160602",77,2,75
"S00160603",136,-,136
"S00160604",85,5,79
"S00160605",183,1,182
"S00160606",113,-,113
"S00160607",133,2,131
"S00160608",73,3,70
"S00160609",95,3,92
"S00160610",129,2,124
"S00160611",87,2,85
"S00160612",95,-,94
"S00160613",79,5,74
"S00160614",69,2,67
"S00160615",134,2,132
"S00160616",64,3,61
"S00160617",75,4,71
"S00160618",58,-,58
"S00160619",120,3,119
"S00160620",100,1,99
"S00160621",142,-,142
"S00160622",116,6,114
"S00160623",130,2,128
"S00160624",102,4,100
"S00160625",110,2,108
"S00160626",98,2,96
"S00160627",82,1,81
"S00160628",106,-,105
"S00160629",80,-,80
"S00160630",67,2,66
"S00160631",87,4,85
"S00160632",107,3,104
"S00160633",87,2,85
"S00160634",115,2,113
"S00160635",161,-,161
"S00160636",85,-,85
"S00160637",77,-,77
"S00160638",113,-,112
"S00160639",90,-,90
"S00160640",97,-,97
"S00160641",97,3,94
"S00160642",79,1,78
"S00160643",87,-,85
"S00160644",104,-,104
"S00160645",100,4,98
"S00160646",72,2,70
"S00160647",85,-,85
"S00160648",152,-,154
"S00160649",128,-,128
"S00160650",81,1,80
"S00160651",56,1,52
"S00160652",134,4,130
"S00160653",82,1,81
"S00160654",98,-,96
"S00160655",61,4,57
"S00160656",180,14,166
"S00160657",76,5,71
"S00160658",64,-,64
"S00160659",97,2,95
"S00160660",87,3,84
"S00160661",83,-,83
"S00160662",100,4,96
"S00160663",123,5,121
"S00160664",167,1,165
"S00160665",101,1,100
"S00160666",100,1,99
"S00160667",104,1,102
"S00160668",72,1,71
"S00160669",183,-,183
"S00160670",138,-,137
"S00160671",106,6,100
"S00160672",108,-,108
"S00160673",87,6,81
"S00160674",102,3,99
"S00160675",59,-,59
"S00160676",59,2,57
"S00160677",126,3,123
"S00160678",101,-,101
"S00160679",62,5,61
"S00160680",88,-,87
"S00160681",93,-,92
"S00160682",52,-,52
"S00160683",116,7,112
"S00160684",123,2,121
"S00160685",120,6,114
"S00160686",137,1,140
"S00160687",78,3,78
"S00160688",76,2,74
"S00160689",79,6,73
"S00160690",228,7,221
"S00160691",68,-,66
"S00160692",47,1,43
"S00160693",94,6,90
"S00160694",89,1,88
"S00160695",85,6,82
"S00160696",142,4,134
"S00160697",124,2,121
"S00160698",106,-,106
"S00160699",56,-,56
"S00160700",138,-,138
"S00160701",136,2,134
"S00160702",68,-,68
"S00160703",153,-,152
"S00160704",98,2,97
"S00160705",65,2,63
"S00160706",182,-,182
"S00160707",81,-,81
"S00160708",139,6,129
"S00160709",82,1,81
"S00160710",65,3,62
"S00160711",91,1,89
"S00160712",109,1,108
"S00160713",80,1,83
"S00160714",99,1,98
"S00160715",68,2,62
"S00160716",135,2,133
"S00160717",97,-,95
"S00160718",62,-,62
"S00160719",108,3,104
"S00160720",81,1,85
"S00160721",104,4,100
"S00160722",51,-,51
"S00160723",88,3,84
"S00160724",125,5,120
"S00160725",117,-,117
"S00160726",91,2,89
"S00160727",73,2,67
"S00160728",233,3,226
"S00160729",124,8,123
"S00160730",54,-,54
"S00160731",118,2,116
"S00160732",128,2,126
"S00160733",84,1,82
"S00160734",92,-,92
"S00160735",133,-,133
"S00160736",95,-,95
"S00160737",96,1,94
"S00160738",100,-,100
"S00160739",111,-,110
"S00160740",111,4,107
"S00160741",57,3,54
"S00160742",99,4,95
"S00160743",78,-,78
"S00160744",92,4,87
"S00160745",107,3,104
"S00160746",132,3,129
"S00160747",89,2,86
"S00160748",122,1,125
"S00160749",73,2,71
"S00160750",97,3,94
"S00160751",79,1,78
"S00160752",98,1,97
"S00160753",171,3,169
"S00160754",125,6,119
"S00160755",134,5,129
"S00160756",61,-,61
"S00160757",94,4,91
"S00160758",140,1,138
"S00160759",111,-,111
"S00160760",76,1,72
"S00160761",60,-,60
"S00160762",104,5,98
"S00160763",111,2,109
"S00160764",69,-,68
"S00160765",130,-,130
"S00160766",99,-,99
"S00160767",66,-,66
"S00160768",110,2,109
"S00160769",69,-,68
"S00160770",169,1,170
"S00160771",69,3,66
"S00160772",70,1,68
"S00160773",55,2,53
"S00160774",102,-,102
"S00160775",95,3,92
"S00160776",80,1,74
"S00160777",98,-,98
"S00160778",110,-,110
"S00160779",103,4,98
"S00160780",96,3,93
"S00160781",85,-,84
"S00160782",69,1,68
"S00160783",125,1,124
"S00160784",82,-,82
"S00160785",129,-,129
"S00160786",112,8,107
"S00160787",66,-,66
"S00160788",98,4,94
"S00160789",62,-,62
"S00160790",122,5,115
"S00160791",134,3,131
"S00160792",69,2,68
"S00160793",130,5,125
"S00160794",121,5,116
"S00160795",136,6,130
"S00160796",51,2,49
"S00160797",69,-,69
"S00160798",68,1,67
"S00160799",79,-,79
"S00160800",76,1,71
"S00160801",57,-,56
"S00160802",60,2,59
"S00160803",109,-,109
"S00160804",49,2,48
"S00160805",68,-,67
"S00160806",109,4,105
"S00160807",99,1,98
"S00160808",117,3,110
"S00160809",116,7,109
"S00160810",68,1,67
"S00160811",101,-,100
"S00160812",74,2,72
"S00160813",104,-,104
"S00160814",99,2,93
"S00160815",142,5,134
"S00160816",109,1,109
"S00160817",60,-,60
"S00160818",100,1,97
"S00160819",64,-,64
"S00160820",70,2,65
"S00160821",74,-,74
"S00160822",145,2,138
"S00160823",62,-,62
"S00160824",93,3,94
"S00160825",99,-,98
"S00160826",77,-,77
"S00160827",100,-,100
"S00160828",135,2,130
"S00160829",97,-,97
"S00160830",81,1,82
"S00160831",64,-,63
"S00160832",65,1,64
"S00160833",79,-,78
"S00160834",70,-,70
"S00160835",168,1,167
"S00160836",65,-,65
"S00160837",102,-,102
"S00160838",60,-,60
"S00160839",82,1,81
"S00160840",114,2,116
"S00160841",94,4,91
"S00160842",99,4,96
"S00160843",60,-,60
"S00160844",135,5,132
"S00160845",72,-,72
"S00160846",80,-,80
"S00160847",108,-,108
"S00160848",87,3,88
"S00160849",145,8,134
"S00160850",84,7,79
"S00160851",96,-,96
"S00160852",176,2,174
"S00160853",100,1,99
"S00160854",92,2,91
"S00160855",117,-,117
"S00160856",110,4,107
"S00160857",156,-,156
"S00160858",132,-,132
"S00160859",58,-,58
"S00160860",77,2,75
"S00160861",145,-,145
"S00160862",65,3,62
"S00160863",147,4,143
"S00160864",155,2,152
"S00160865",118,5,115
"S00160866",109,-,109
"S00160867",101,-,101
"S00160868",83,7,76
"S00160869",91,2,89
"S00160870",188,1,187
"S00160871",118,1,117
"S00160872",142,2,139
"S00160873",75,2,73
"S00160874",69,2,67
"S00160875",105,3,98
"S00160876",99,-,99
"S00160877",119,7,112
"S00160878",122,1,120
"S00160879",123,4,121
"S00160880",123,1,120
"S00160881",111,-,111
"S00160882",87,3,85
"S00160883",66,3,63
"S00160884",88,-,88
"S00160885",105,3,101
"S00160886",117,-,116
"S00160887",104,-,104
"S00160888",59,-,59
"S00160889",66,1,62
"S00160890",120,4,116
"S00160891",55,1,51
"S00160892",104,1,100
"S00160893",62,-,62
"S00160894",91,1,90
"S00160895",120,-,120
"S00160896",85,3,82
"S00160897",59,3,56
"S00160898",128,3,125
"S00160899",99,1,96
"S00160900",104,-,104
"S00160901",137,2,138
"S00160902",99,4,95
"S00160903",118,-,118
"S00160904",84,1,82
"S00160905",85,3,82
"S00160906",77,-,77
"S00160907",71,-,71
"S00160908",78,1,77
"S00160909",117,2,115
"S00160910",103,-,103
"S00160911",124,6,118
"S00160912",121,-,121
"S00160913",161,2,159
"S00160914",85,2,84
"S00160915",100,1,95
"S00160916",71,1,70
"S00160917",64,2,62
"S00160918",109,1,108
"S00160919",99,2,97
"S00160920",64,2,63
"S00160921",82,-,82
"S00160922",70,2,68
"S00160923",83,1,82
"S00160924",106,1,105
"S00160925",74,1,73
"S00160926",200,1,202
"S00160927",228,1,225
"S00160928",89,2,88
"S00160929",119,-,119
"S00160930",168,4,164
"S00160931",103,-,103
"S00160932",79,-,78
"S00160933",112,1,111
"S00160934",82,-,82
"S00160935",97,-,97
"S00160936",60,-,60
"S00160937",114,5,109
"S00160938",124,-,123
"S00160939",135,2,133
"S00160940",52,2,50
"S00160941",116,-,116
"S00160942",154,1,153
"S00160943",62,1,61
"S00160944",100,-,100
"S00160945",102,-,102
"S00160946",85,2,83
"S00160947",151,2,149
"S00160948",148,5,143
"S00160949",52,1,50
"S00160950",64,1,63
"S00160951",97,3,97
"S00160952",63,1,62
"S00160953",207,1,206
"S00160954",108,-,108
"S00160955",150,1,149
"S00160956",68,-,68
"S00160957",136,1,136
"S00160958",127,4,124
"S00160959",80,-,80
"S00160960",87,2,85
"S00160961",120,-,120
"S00160962",72,-,72
"S00160963",101,1,100
"S00160964",184,3,181
"S00160965",129,6,123
"S00160966",103,6,99
"S00160967",106,1,105
"S00160968",115,-,115
"S00160969",157,1,160
"S00160970",93,2,90
"S00160971",107,-,107
"S00160972",74,2,76
"S00160973",69,1,70
"S00160974",104,2,102
"S00160975",95,5,92
"S00160976",68,-,68
"S00160977",85,-,85
"S00160978",139,3,135
"S00160979",68,-,67
"S00160980",112,4,111
"S00160981",78,-,78
"S00160982",65,-,65
"S00160983",129,-,129
"S00160984",88,-,88
"S00160985",71,1,70
"S00160986",155,1,154
"S00160987",127,1,126
"S00160988",117,-,117
"S00160989",85,1,84
"S00160990",121,-,121
"S00160991",64,-,64
"S00160992",67,-,67
"S00160993",78,3,76
"S00160994",65,1,64
"S00160995",77,1,76
"S00160996",71,-,71
"S00160997",111,-,111
"S00160998",88,1,87
"S00160999",103,-,103
"S00161000",81,4,77
"S00161001",95,-,95
"S00161002",90,7,83
"S00161003",94,-,94
"S00161004",94,2,92
"S00161005",102,-,102
"S00161006",91,3,84
"S00161007",84,2,80
"S00161008",76,-,76
"S00161009",191,2,189
"S00161010",126,2,124
"S00161011",66,-,66
"S00161012",175,6,169
"S00161013",82,-,82
"S00161014",98,3,93
"S00161015",101,-,101
"S00161016",131,-,131
"S00161017",119,3,119
"S00161018",81,-,81
"S00161019",115,-,115
"S00161020",73,-,73
"S00161021",126,-,126
"S00161022",162,4,158
"S00161023",105,7,98
"S00161024",154,-,154
"S00161025",130,3,127
"S00161026",78,-,78
"S00161027",100,2,98
"S00161028",99,5,97
"S00161029",147,1,146
"S00161030",65,-,65
"S00161031",103,2,101
"S00161032",103,1,102
"S00161033",102,-,102
"S00161034",68,1,67
"S00161035",83,-,83
"S00161036",140,2,138
"S00161037",61,-,61
"S00161038",89,3,86
"S00161039",85,2,83
"S00161040",142,2,140
"S00161041",84,2,83
"S00161042",135,2,137
"S00161043",110,3,108
"S00161044",77,-,77
"S00161045",57,1,58
"S00161046",113,6,107
"S00161047",70,1,69
"S00161048",118,4,115
"S00161049",132,2,131
"S00161050",90,5,85
"S00161051",153,1,152
"S00161052",183,2,182
"S00161053",186,6,180
"S00161054",115,3,113
"S00161055",92,5,88
"S00161056",130,4,123
"S00161057",132,1,131
"S00161058",86,1,84
"S00161059",63,1,62
"S00161060",66,-,66
"S00161061",84,2,82
"S00161062",106,4,106
"S00161063",71,2,69
"S00161064",153,2,149
"S00161065",110,3,107
"S00161066",104,5,99
"S00161067",121,3,118
"S00161068",108,1,107
"S00161069",122,-,122
"S00161070",91,1,90
"S00161071",107,1,109
"S00161072",118,2,116
"S00161073",97,1,94
"S00161074",108,2,106
"S00161075",85,3,88
"S00161076",158,1,157
"S00161077",100,2,99
"S00161078",131,-,131
"S00161079",114,3,111
"S00161080",55,6,51
"S00161081",76,4,72
"S00161082",72,1,71
"S00161083",90,4,86
"S00161084",87,-,87
"S00161085",101,5,96
"S00161086",138,-,138
"S00161087",87,6,81
"S00161088",101,1,100
"S00161089",104,1,103
"S00161090",74,-,74
"S00161091",107,-,107
"S00161092",96,2,94
"S00161093",142,-,142
"S00161094",112,-,112
"S00161095",82,-,82
"S00161096",68,-,68
"S00161097",78,3,78
"S00161098",82,2,83
"S00161099",65,4,70
"S00161100",118,7,111
"S00161101",111,1,109
"S00161102",74,1,71
