OA_Code,Latitude,Longitude,All occupied Households,No Cars or Vans,One Car or Van,Two Cars or Vans,Three Cars or Vans,Four or More Cars or Vans
S00135724,57.16927187,-2.141714298,38,18,12,6,2,-
S00135725,57.17035645,-2.151408932,53,34,7,8,1,-
S00135726,57.17031886,-2.145224077,66,23,30,12,3,1
S00135727,57.16922469,-2.107930789,51,20,24,10,-,1
S00135728,57.170246,-2.167614351,65,31,26,7,1,-
S00135729,57.17002626,-2.09422438,82,49,29,4,-,-
S00135730,57.17029468,-2.164770272,43,9,18,16,-,-
S00135731,57.17043157,-2.132689717,45,16,20,12,-,-
S00135732,57.16980428,-2.139566607,61,26,30,7,1,-
S00135733,57.169398,-2.115058402,48,25,12,10,-,-
S00135734,57.17011403,-2.096920058,65,31,25,4,-,1
S00135735,57.17013372,-2.125346422,50,14,21,12,2,1
S00135736,57.16792798,-2.100948998,57,32,19,4,4,-
S00135737,57.17008025,-2.115556622,46,30,12,6,-,-
S00135738,57.16920794,-2.164616605,73,22,32,16,3,-
S00135739,57.16976514,-2.11631631,44,20,16,8,-,-
S00135740,57.16886627,-2.142919871,41,13,16,7,5,-
S00135741,57.16980607,-2.137946047,36,14,22,3,4,-
S00135742,57.16929549,-2.136621248,51,21,17,13,-,-
S00135743,57.1700067,-2.150927941,38,13,23,6,1,-
S00135744,57.16962083,-2.15059564,38,16,12,6,-,-
S00135745,57.16908044,-2.136124371,66,29,27,13,1,-
S00135746,57.16960361,-2.134125404,38,15,20,3,-,-
S00135747,57.16985706,-2.16959696,41,9,22,9,-,-
S00135748,57.16719127,-2.138630771,65,24,28,10,-,-
S00135749,57.1700242,-2.143685026,52,42,13,-,2,-
S00135750,57.16909608,-2.129857253,59,14,31,10,1,3
S00135751,57.16973991,-2.123889886,78,42,34,5,1,-
S00135752,57.16921576,-2.117835905,35,12,16,7,1,-
S00135753,57.16934325,-2.094619506,63,35,25,3,-,-
S00135754,57.16833151,-2.147035204,46,21,18,7,2,-
S00135755,57.16955502,-2.120036312,62,15,35,7,-,-
S00135756,57.16939648,-2.125972298,55,22,30,2,-,-
S00135757,57.16852853,-2.122546424,63,36,24,2,1,-
S00135758,57.16957704,-2.156995011,78,61,15,1,-,-
