Scotland's Census 2022 - National Records of Scotland
Table UV212 - Main language
All people aged 3 and over

,"All people aged 3 and over","English","Scots","Gaelic","Sign Language","Other language"
"S00135896",145,113,-,-,-,30
"S00135897",147,126,-,-,-,25
"S00135898",113,98,-,-,-,15
"S00135899",92,66,-,-,-,25
"S00135900",121,100,-,-,-,19
"S00135901",111,92,2,-,-,11
"S00135902",85,69,1,-,-,18
"S00135903",111,80,-,-,-,31
"S00135904",77,64,-,-,-,13
"S00135905",77,76,-,-,1,-
"S00135906",63,59,-,-,-,4
"S00135907",97,89,-,-,-,8
"S00135908",101,94,-,-,-,9
"S00135909",68,64,-,-,-,4
"S00135910",73,65,-,-,-,6
"S00135911",117,88,-,-,-,28
"S00135912",113,86,-,-,-,33
"S00135913",124,88,-,-,-,35
"S00135914",116,101,-,-,-,19
"S00135915",129,121,-,-,-,8
"S00135916",93,71,-,-,-,28
"S00135917",140,131,2,-,-,7
"S00135918",118,108,-,-,-,9
"S00135919",89,70,-,-,2,15
"S00135920",121,112,-,-,-,9
"S00135921",117,106,1,-,-,9
"S00135922",131,123,1,-,-,7
"S00135923",206,176,-,-,-,29
"S00135924",95,78,3,-,-,7
"S00135925",80,77,-,-,-,3
"S00135926",96,89,1,-,-,9
"S00135927",124,107,1,-,-,15
"S00135928",86,66,-,-,-,20
"S00135929",64,59,-,-,-,5
"S00135930",140,137,-,-,-,3
"S00135931",117,111,-,-,-,6
"S00135932",99,89,-,-,-,12
"S00135933",128,122,-,-,-,8
"S00135934",119,88,1,-,-,30
"S00135935",102,96,-,-,-,6
"S00135936",116,78,-,-,-,38
"S00135937",118,105,1,-,-,12
"S00135938",112,102,-,-,-,10
"S00135939",70,62,-,-,-,10
"S00135940",93,86,5,-,1,3
"S00135941",120,79,-,-,-,41
"S00135942",140,125,1,-,-,7
"S00135943",115,110,-,-,-,5
"S00135944",169,160,-,-,-,9
"S00135945",80,59,-,-,-,21
"S00135946",167,157,-,-,-,10
"S00135947",126,107,-,-,-,18
"S00135948",129,100,-,-,-,29
"S00135949",167,148,-,-,-,22
"S00135950",77,66,2,-,-,10
"S00135951",133,114,-,-,-,18
"S00135952",72,52,-,-,-,20
"S00135953",113,100,-,-,1,12
"S00135954",143,125,-,-,-,19
"S00135955",130,119,-,-,-,13
"S00135956",115,106,-,-,-,9
"S00135957",103,80,-,-,-,22
"S00135958",80,72,3,-,-,2
"S00135959",127,121,-,-,-,7
"S00135960",161,140,-,-,-,21
"S00135961",171,146,1,-,-,23
"S00135962",98,76,-,-,-,18
"S00135963",191,182,-,-,-,8
"S00135964",109,95,1,-,-,16
"S00135965",101,82,-,-,-,19
"S00135966",82,75,3,-,-,4
"S00135967",106,91,-,-,-,15
"S00135968",150,137,4,-,-,11
