OA_Code,Latitude,Longitude,All people,"Female, All","Male, All","All people, 0 - 4","All people, 5 - 9","All people, 10 - 14","All people, 15","All people, 16 - 17","All people, 18 - 19","All people, 20 - 24","All people, 25 - 29","All people, 30 - 34","All people, 35 - 39","All people, 40 - 44","All people, 45 - 49","All people, 50 - 54","All people, 55 - 59","All people, 60 - 64","All people, 65 - 69","All people, 70 - 74","All people, 75 - 79","All people, 80 - 84","All people, 85 and over","Female, 0 - 4","Female, 5 - 9","Female, 10 - 14","Female, 15","Female, 16 - 17","Female, 18 - 19","Female, 20 - 24","Female, 25 - 29","Female, 30 - 34","Female, 35 - 39","Female, 40 - 44","Female, 45 - 49","Female, 50 - 54","Female, 55 - 59","Female, 60 - 64","Female, 65 - 69","Female, 70 - 74","Female, 75 - 79","Female, 80 - 84","Female, 85 and over"
S00135399,57.19153523,-2.12119979,243,120,122,8,12,12,1,2,1,3,15,14,13,15,8,1,4,-,9,13,20,25,66,5,5,5,1,1,-,1,7,8,7,5,6,1,3,-,5,5,10,13,33
S00135400,57.17961507,-2.209538129,162,72,90,5,5,7,2,-,3,11,5,9,13,12,11,25,16,9,11,7,8,2,-,1,3,2,-,-,1,7,2,5,5,7,6,13,5,4,5,2,5,-,-
S00135401,57.1967276,-2.129937854,99,52,47,8,1,3,-,2,-,7,5,7,4,5,7,7,9,20,6,8,2,-,-,5,-,2,-,2,-,4,5,4,-,4,2,5,-,10,4,4,1,-,-
S00135402,57.19620493,-2.102697694,80,35,44,4,3,4,1,-,-,4,1,12,8,7,6,6,10,6,2,3,1,3,-,1,2,4,1,-,-,-,1,5,3,3,3,-,4,4,-,2,1,-,-
S00135403,57.19593605,-2.130944502,131,61,70,6,9,8,1,2,3,8,6,9,19,7,3,14,6,11,8,3,6,3,-,2,3,5,-,-,-,3,2,5,9,5,-,9,2,7,3,-,3,2,-
S00135404,57.19543162,-2.132266541,86,43,43,6,4,5,1,-,-,5,8,13,6,2,6,5,2,3,2,3,3,1,1,3,1,3,-,-,-,5,3,7,4,-,5,3,3,4,-,1,2,1,1
S00135405,57.19441126,-2.099068826,188,92,100,13,12,14,-,3,2,5,8,12,9,17,7,12,10,15,13,17,9,3,-,7,6,6,1,-,1,3,2,10,5,10,-,7,5,6,7,6,6,3,-
S00135406,57.1943644,-2.121672402,172,80,90,4,5,5,-,3,4,8,7,8,13,8,4,9,22,26,15,12,11,2,5,-,2,1,-,1,2,-,2,4,7,4,4,4,15,11,8,6,4,1,2
S00135407,57.1947352,-2.119075661,153,82,71,3,8,18,4,3,3,3,10,4,6,14,17,15,9,7,10,13,7,2,-,-,4,10,4,2,1,3,1,1,3,7,11,7,2,6,4,6,4,2,-
S00135408,57.19499626,-2.097663846,152,79,73,4,8,8,-,1,2,7,6,6,10,7,13,4,13,15,10,12,7,8,10,2,6,5,-,-,1,3,4,4,3,4,6,2,7,5,8,6,6,4,5
S00135409,57.19537391,-2.127268892,70,39,31,4,4,-,-,-,-,1,3,2,11,2,-,1,9,9,6,10,4,6,1,3,2,-,-,-,-,-,1,2,6,-,-,1,7,5,2,7,-,1,1
S00135410,57.19442937,-2.128572882,111,52,59,5,-,5,-,3,-,6,6,12,14,10,7,13,7,9,11,4,-,1,-,3,-,1,-,-,-,1,3,7,7,3,6,4,4,3,5,2,-,1,-
S00135411,57.19464343,-2.130062901,183,90,97,8,8,6,-,-,2,17,27,14,23,7,11,10,16,16,9,3,8,-,-,6,5,-,-,-,1,6,12,10,10,1,7,6,10,8,3,-,1,-,-
S00135412,57.1948369,-2.115998139,113,54,59,3,7,5,2,3,2,2,1,4,8,8,5,5,1,8,22,15,9,-,-,2,4,3,-,3,1,1,2,2,2,5,2,3,1,5,9,7,1,-,-
S00135413,57.19423875,-2.101368439,134,71,66,8,5,3,-,2,8,5,9,4,7,4,5,5,9,17,21,15,5,3,4,1,2,2,-,-,5,4,7,1,9,2,3,2,5,8,9,6,4,3,2
S00135414,57.19428455,-2.120646205,89,53,42,-,-,3,2,1,4,9,7,2,4,2,3,8,9,9,11,12,6,3,-,-,-,2,1,1,-,-,3,2,3,-,1,2,6,6,4,10,4,1,-
S00135415,57.19438685,-2.126223006,104,53,51,4,5,6,1,3,3,3,6,5,2,4,9,8,7,15,8,6,4,-,-,3,1,4,1,-,2,-,4,3,-,4,5,4,4,9,3,2,4,-,-
