OA_Code,Latitude,Longitude,Constituency
S00135352,57.20312674,-2.184612764,Gordon
S00135353,57.20271854,-2.10149104,Gordon
S00135354,57.20341173,-2.099622637,Gordon
S00135355,57.2031507,-2.100283984,Gordon
S00135356,57.20282959,-2.191082789,Gordon
S00135357,57.20232941,-2.104965664,Gordon
S00135358,57.20034385,-2.17711823,Gordon
S00135359,57.20300334,-2.176733751,Gordon
S00135360,57.2034295,-2.173905494,Gordon
S00135361,57.20293795,-2.178504419,Gordon
S00135362,57.2023108,-2.183582528,Gordon
S00135363,57.20239715,-2.099007512,Gordon
S00135364,57.20113892,-2.186357175,Gordon
S00135365,57.20102183,-2.180431553,Gordon
S00135366,57.18949571,-2.274980913,Aberdeen North
S00135367,57.20129824,-2.181856245,Gordon
S00135368,57.20155088,-2.121547132,Gordon
S00135369,57.20109633,-2.096819372,Gordon
S00135370,57.20125016,-2.125882359,Gordon
S00135371,57.20035336,-2.124389797,Gordon
S00135372,57.20098527,-2.121214263,Gordon
S00135373,57.20038465,-2.12897427,Gordon
S00135374,57.20065339,-2.100343398,Gordon
S00135375,57.1995019,-2.181681906,Gordon
S00135376,57.19985567,-2.18547356,Gordon
S00135377,57.2002608,-2.127103687,Gordon
S00135378,57.2006026,-2.096387773,Gordon
S00135379,57.19992386,-2.102708042,Gordon
S00135380,57.20004768,-2.105041924,Gordon
S00135381,57.20005842,-2.122866211,Gordon
S00135382,57.20009183,-2.125415012,Gordon
S00135383,57.19936983,-2.179827699,Gordon
S00135384,57.19849027,-2.098119922,Gordon
S00135385,57.19807339,-2.181840372,Gordon
S00135386,57.19947642,-2.100604992,Gordon
S00135387,57.19881829,-2.103515884,Gordon
S00135388,57.19310185,-2.178341075,Gordon
S00135389,57.19859498,-2.13097048,Gordon
S00135390,57.19862073,-2.123291708,Gordon
S00135391,57.19775695,-2.124728577,Gordon
S00135392,57.19815982,-2.126086961,Gordon
S00135393,57.19829765,-2.182056615,Gordon
S00135394,57.19703995,-2.103179925,Gordon
S00135395,57.19734625,-2.102105116,Gordon
S00135396,57.19731061,-2.130783889,Gordon
S00135397,57.1899883,-2.131932687,Gordon
S00135398,57.1965936,-2.09972007,Gordon
S00135399,57.19153523,-2.12119979,Gordon
S00135400,57.17961507,-2.209538129,Aberdeen North
S00135401,57.1967276,-2.129937854,Gordon
S00135402,57.19620493,-2.102697694,Gordon
S00135403,57.19593605,-2.130944502,Gordon
S00135404,57.19543162,-2.132266541,Gordon
S00135405,57.19441126,-2.099068826,Gordon
S00135406,57.1943644,-2.121672402,Gordon
S00135407,57.1947352,-2.119075661,Gordon
S00135408,57.19499626,-2.097663846,Gordon
S00135409,57.19537391,-2.127268892,Gordon
S00135410,57.19442937,-2.128572882,Gordon
S00135411,57.19464343,-2.130062901,Gordon
S00135412,57.1948369,-2.115998139,Gordon
S00135413,57.19423875,-2.101368439,Gordon
S00135414,57.19428455,-2.120646205,Gordon
S00135415,57.19438685,-2.126223006,Gordon
S00135416,57.19364423,-2.113743995,Gordon
S00135417,57.19432681,-2.132179848,Gordon
S00135418,57.19214253,-2.177029281,Gordon
S00135419,57.19271604,-2.106890831,Gordon
S00135420,57.1934796,-2.095773479,Gordon
S00135421,57.19340529,-2.12860241,Gordon
S00135422,57.19354601,-2.131498626,Gordon
S00135423,57.19351622,-2.116192554,Gordon
S00135424,57.19089403,-2.183194897,Gordon
S00135425,57.19208494,-2.179626785,Gordon
S00135426,57.19274317,-2.116752708,Gordon
